abs(H),angle(H),W
1.0014,0,0
0.99185,1.2331,0.0031416
0.98072,2.4662,0.0062832
0.98244,3.6992,0.0094248
0.98852,4.9323,0.012566
0.98985,6.1654,0.015708
0.98761,7.3985,0.01885
0.98842,8.6315,0.021991
0.99534,9.8646,0.025133
1.0041,11.098,0.028274
1.0072,12.331,0.031416
1.0018,13.564,0.034558
0.99232,14.797,0.037699
0.98657,16.03,0.040841
0.98893,17.263,0.043982
0.99712,18.496,0.047124
1.0045,19.729,0.050265
1.0065,20.962,0.053407
1.0041,22.195,0.056549
1.0023,23.428,0.05969
1.0048,24.662,0.062832
1.0101,25.895,0.065973
1.013,27.128,0.069115
1.0092,28.361,0.072257
1.0001,29.594,0.075398
0.99106,30.827,0.07854
0.98719,32.06,0.081681
0.98832,33.293,0.084823
0.66067,34.526,0.087965
0.0042457,35.759,0.091106
0.0017806,33.851,0.094248
0.0085623,35.084,0.097389
0.0084779,36.317,0.10053
0.00082041,37.55,0.10367
0.0076185,35.641,0.10681
0.0090272,36.874,0.10996
0.0020074,38.108,0.1131
0.0068298,36.199,0.11624
0.009247,37.432,0.11938
0.0030407,38.665,0.12252
0.0060413,36.757,0.12566
0.0095425,37.99,0.12881
0.0040311,39.223,0.13195
0.0052853,37.314,0.13509
0.0096967,38.547,0.13823
0.0050369,39.78,0.14137
0.0043884,37.872,0.14451
0.0097032,39.105,0.14765
0.0058792,40.338,0.1508
0.0033943,38.43,0.15394
0.0094652,39.663,0.15708
0.006694,40.896,0.16022
0.0023883,38.987,0.16336
0.0092049,40.22,0.1665
0.0073993,41.453,0.16965
0.0013167,39.545,0.17279
0.0058746,40.778,0.17593
9.5601e-07,38.869,0.17907
9.914e-07,40.102,0.18221
1.6672e-05,41.336,0.18535
1.5314e-05,39.427,0.1885
4.5392e-06,40.66,0.19164
6.5766e-05,38.752,0.19478
8.6397e-05,39.985,0.19792
1.5913e-05,41.218,0.20106
3.7104e-05,39.309,0.2042
7.5994e-06,40.542,0.20735
1.1076e-05,38.634,0.21049
4.7324e-05,36.725,0.21363
9.0255e-05,37.958,0.21677
3.5003e-05,39.191,0.21991
3.4349e-05,37.283,0.22305
1.9351e-05,38.516,0.22619
1.337e-05,36.607,0.22934
3.0906e-05,34.699,0.23248
8.9101e-05,35.932,0.23562
5.3457e-05,37.165,0.23876
2.4726e-05,35.257,0.2419
2.8994e-05,36.49,0.24504
1.1631e-05,34.581,0.24819
1.132e-05,32.673,0.25133
7.7619e-05,33.906,0.25447
8.968e-05,35.139,0.25761
0.0029205,36.372,0.26075
0.0040249,37.605,0.26389
0.00070893,35.696,0.26704
0.0052877,36.929,0.27018
0.0085588,38.162,0.27332
0.0096517,39.396,0.27646
0.0083056,40.629,0.2796
0.0049296,41.862,0.28274
0.00037239,43.095,0.28588
0.0043059,41.186,0.28903
0.0079619,42.419,0.29217
0.0095601,43.652,0.29531
0.0087172,44.886,0.29845
0.0057271,46.119,0.30159
0.0013742,47.352,0.30473
0.0033272,45.443,0.30788
0.0072587,46.676,0.31102
0.0093862,47.909,0.31416
0.0091256,49.142,0.3173
0.0065876,50.375,0.32044
0.0024382,51.609,0.32358
0.0023671,49.7,0.32673
0.0066232,50.933,0.32987
0.0092056,52.166,0.33301
0.0094171,53.399,0.33615
0.0072964,54.632,0.33929
0.0034327,55.865,0.34243
0.00131,53.957,0.34558
0.0056991,55.19,0.34872
0.0085318,56.423,0.35186
0.0092782,57.656,0.355
0.0077249,58.889,0.35814
0.0042149,60.122,0.36128
0.00021342,58.214,0.36442
0.004372,59.447,0.36757
0.0072951,60.68,0.37071
0.0082917,61.913,0.37385
0.0071203,63.146,0.37699
0.0042503,64.379,0.38013
0.00060487,65.612,0.38327
0.0028189,63.704,0.38642
0.0052292,64.937,0.38956
0.0061295,66.17,0.3927
0.0054165,67.403,0.39584
0.0034583,68.636,0.39898
0.00095769,69.869,0.40212
0.0013584,67.961,0.40527
0.0029523,69.194,0.40841
0.0035352,70.427,0.41155
0.0031374,71.66,0.41469
0.0020526,72.893,0.41783
0.00073057,74.126,0.42097
0.0004143,72.217,0.42412
0.001133,73.45,0.42726
0.0013575,74.684,0.4304
0.0011667,75.917,0.43354
0.00065686,77.15,0.43668
2.1952e-06,75.241,0.43982
4.6682e-07,73.333,0.44296
1.3286e-06,74.566,0.44611
4.069e-07,72.657,0.44925
1.0824e-06,73.89,0.45239
2.7109e-07,75.123,0.45553
5.112e-09,76.356,0.45867
8.7746e-09,77.589,0.46181
2.9757e-07,75.681,0.46496
3.3229e-08,76.914,0.4681
6.1219e-07,75.006,0.47124
5.2216e-07,76.239,0.47438
4.1833e-08,77.472,0.47752
2.1716e-08,75.563,0.48066
3.1543e-09,76.796,0.48381
4.6727e-08,78.029,0.48695
2.8186e-07,76.121,0.49009
5.5484e-07,77.354,0.49323
1.8324e-07,78.587,0.49637
1.3089e-07,76.678,0.49951
1.528e-07,74.77,0.50265
2.2194e-07,76.003,0.5058
3.0754e-07,74.094,0.50894
5.7445e-07,75.328,0.51208
2.3209e-07,76.561,0.51522
1.0151e-07,74.652,0.51836
2.7977e-06,75.885,0.5215
7.6e-06,73.977,0.52465
8.8281e-06,72.068,0.52779
4.5111e-05,73.301,0.53093
4.4827e-05,74.534,0.53407
1.3705e-05,72.626,0.53721
7.4274e-05,73.859,0.54035
6.6673e-05,75.092,0.5435
6.3686e-06,73.183,0.54664
6.8701e-05,74.416,0.54978
5.9513e-05,75.65,0.55292
1.6623e-06,76.883,0.55606
3.493e-05,74.974,0.5592
2.3386e-05,76.207,0.56235
1.152e-06,77.44,0.56549
7.3704e-06,78.673,0.56863
2.5589e-05,79.906,0.57177
1.0531e-05,81.139,0.57491
3.9273e-05,79.231,0.57805
6.7168e-05,80.464,0.58119
2.7318e-05,81.697,0.58434
4.9442e-05,79.789,0.58748
8.2208e-05,81.022,0.59062
3.7063e-05,82.255,0.59376
3.5416e-05,80.346,0.5969
6.2784e-05,81.579,0.60004
3.3646e-05,82.812,0.60319
9.6273e-07,80.904,0.60633
0.00027113,78.995,0.60947
0.00029984,80.228,0.61261
0.0014952,78.32,0.61575
0.0032375,79.553,0.61889
0.0048245,80.786,0.62204
0.0061725,82.019,0.62518
0.0072461,83.252,0.62832
0.0080308,84.485,0.63146
0.0084885,85.718,0.6346
0.008559,86.951,0.63774
0.0082129,88.185,0.64088
0.0074916,89.418,0.64403
0.0064802,90.651,0.64717
0.005243,91.884,0.65031
0.0037993,93.117,0.65345
0.0021641,94.35,0.65659
0.00040212,95.583,0.65973
0.0013763,93.674,0.66288
0.0030724,94.908,0.66602
0.004633,96.141,0.66916
0.006017,97.374,0.6723
0.0071504,98.607,0.67544
0.0079456,99.84,0.67858
0.0083699,101.07,0.68173
0.0084722,102.31,0.68487
0.0083014,103.54,0.68801
0.0078031,104.77,0.69115
0.0068699,106.01,0.69429
0.0055689,107.24,0.69743
0.0041097,108.47,0.70058
0.0025171,109.7,0.70372
0.00079249,110.94,0.70686
