abs(H),angle(H),W
4096,0,0
4096,-0.0043982,0.00031416
4096,-0.0087965,0.00062832
4096,-0.013195,0.00094248
4095.9,-0.017593,0.0012566
4095.9,-0.021991,0.0015708
4095.8,-0.026389,0.001885
4095.8,-0.030788,0.0021991
4095.7,-0.035186,0.0025133
4095.7,-0.039584,0.0028274
4095.6,-0.043982,0.0031416
4095.5,-0.048381,0.0034558
4095.4,-0.052779,0.0037699
4095.3,-0.057177,0.0040841
4095.2,-0.061575,0.0043982
4095,-0.065973,0.0047124
4094.9,-0.070372,0.0050265
4094.8,-0.07477,0.0053407
4094.6,-0.079168,0.0056549
4094.5,-0.083566,0.005969
4094.3,-0.087965,0.0062832
4094.1,-0.092363,0.0065973
4093.9,-0.096761,0.0069115
4093.8,-0.10116,0.0072257
4093.6,-0.10556,0.0075398
4093.3,-0.10996,0.007854
4093.1,-0.11435,0.0081681
4092.9,-0.11875,0.0084823
4092.7,-0.12315,0.0087965
4092.4,-0.12755,0.0091106
4092.2,-0.13195,0.0094248
4091.9,-0.13635,0.0097389
4091.7,-0.14074,0.010053
4091.4,-0.14514,0.010367
4091.1,-0.14954,0.010681
4090.8,-0.15394,0.010996
4090.5,-0.15834,0.01131
4090.2,-0.16273,0.011624
4089.9,-0.16713,0.011938
4089.5,-0.17153,0.012252
4089.2,-0.17593,0.012566
4088.9,-0.18033,0.012881
4088.5,-0.18473,0.013195
4088.2,-0.18912,0.013509
4087.8,-0.19352,0.013823
4087.4,-0.19792,0.014137
4087,-0.20232,0.014451
4086.6,-0.20672,0.014765
4086.2,-0.21112,0.01508
4085.8,-0.21551,0.015394
4085.4,-0.21991,0.015708
4085,-0.22431,0.016022
4084.5,-0.22871,0.016336
4084.1,-0.23311,0.01665
4083.6,-0.2375,0.016965
4083.2,-0.2419,0.017279
4082.7,-0.2463,0.017593
4082.2,-0.2507,0.017907
4081.7,-0.2551,0.018221
4081.2,-0.2595,0.018535
4080.7,-0.26389,0.01885
4080.2,-0.26829,0.019164
4079.7,-0.27269,0.019478
4079.2,-0.27709,0.019792
4078.6,-0.28149,0.020106
4078.1,-0.28588,0.02042
4077.5,-0.29028,0.020735
4077,-0.29468,0.021049
4076.4,-0.29908,0.021363
4075.8,-0.30348,0.021677
4075.2,-0.30788,0.021991
4074.7,-0.31227,0.022305
4074,-0.31667,0.022619
4073.4,-0.32107,0.022934
4072.8,-0.32547,0.023248
4072.2,-0.32987,0.023562
4071.5,-0.33427,0.023876
4070.9,-0.33866,0.02419
4070.2,-0.34306,0.024504
4069.6,-0.34746,0.024819
4068.9,-0.35186,0.025133
4068.2,-0.35626,0.025447
4067.5,-0.36065,0.025761
4066.9,-0.36505,0.026075
4066.1,-0.36945,0.026389
4065.4,-0.37385,0.026704
4064.7,-0.37825,0.027018
4064,-0.38265,0.027332
4063.2,-0.38704,0.027646
4062.5,-0.39144,0.02796
4061.7,-0.39584,0.028274
4061,-0.40024,0.028588
4060.2,-0.40464,0.028903
4059.4,-0.40904,0.029217
4058.6,-0.41343,0.029531
4057.9,-0.41783,0.029845
4057,-0.42223,0.030159
4056.2,-0.42663,0.030473
4055.4,-0.43103,0.030788
4054.6,-0.43542,0.031102
4053.7,-0.43982,0.031416
4052.9,-0.44422,0.03173
4052.1,-0.44862,0.032044
4051.2,-0.45302,0.032358
4050.3,-0.45742,0.032673
4049.4,-0.46181,0.032987
4048.6,-0.46621,0.033301
4047.7,-0.47061,0.033615
4046.8,-0.47501,0.033929
4045.8,-0.47941,0.034243
4044.9,-0.48381,0.034558
4044,-0.4882,0.034872
4043.1,-0.4926,0.035186
4042.1,-0.497,0.0355
4041.2,-0.5014,0.035814
4040.2,-0.5058,0.036128
4039.2,-0.51019,0.036442
4038.3,-0.51459,0.036757
4037.3,-0.51899,0.037071
4036.3,-0.52339,0.037385
4035.3,-0.52779,0.037699
4034.3,-0.53219,0.038013
4033.3,-0.53658,0.038327
4032.2,-0.54098,0.038642
4031.2,-0.54538,0.038956
4030.2,-0.54978,0.03927
4029.1,-0.55418,0.039584
4028,-0.55858,0.039898
4027,-0.56297,0.040212
4025.9,-0.56737,0.040527
4024.8,-0.57177,0.040841
4023.7,-0.57617,0.041155
4022.6,-0.58057,0.041469
4021.5,-0.58496,0.041783
4020.4,-0.58936,0.042097
4019.3,-0.59376,0.042412
4018.2,-0.59816,0.042726
4017,-0.60256,0.04304
4015.9,-0.60696,0.043354
4014.7,-0.61135,0.043668
4013.6,-0.61575,0.043982
4012.4,-0.62015,0.044296
4011.2,-0.62455,0.044611
4010,-0.62895,0.044925
4008.8,-0.63335,0.045239
4007.6,-0.63774,0.045553
4006.4,-0.64214,0.045867
4005.2,-0.64654,0.046181
4004,-0.65094,0.046496
4002.7,-0.65534,0.04681
4001.5,-0.65973,0.047124
4000.2,-0.66413,0.047438
3999,-0.66853,0.047752
3997.7,-0.67293,0.048066
3996.4,-0.67733,0.048381
3995.2,-0.68173,0.048695
3993.9,-0.68612,0.049009
3992.6,-0.69052,0.049323
3991.3,-0.69492,0.049637
3989.9,-0.69932,0.049951
3988.6,-0.70372,0.050265
3987.3,-0.70811,0.05058
3986,-0.71251,0.050894
3984.6,-0.71691,0.051208
3983.3,-0.72131,0.051522
3981.9,-0.72571,0.051836
3980.5,-0.73011,0.05215
3979.1,-0.7345,0.052465
3977.8,-0.7389,0.052779
3976.4,-0.7433,0.053093
3975,-0.7477,0.053407
3973.6,-0.7521,0.053721
3972.1,-0.7565,0.054035
3970.7,-0.76089,0.05435
3969.3,-0.76529,0.054664
3967.8,-0.76969,0.054978
3966.4,-0.77409,0.055292
3964.9,-0.77849,0.055606
3963.5,-0.78288,0.05592
3962,-0.78728,0.056235
3960.5,-0.79168,0.056549
3959,-0.79608,0.056863
3957.5,-0.80048,0.057177
3956,-0.80488,0.057491
3954.5,-0.80927,0.057805
3953,-0.81367,0.058119
3951.5,-0.81807,0.058434
3950,-0.82247,0.058748
3948.4,-0.82687,0.059062
3946.9,-0.83127,0.059376
3945.3,-0.83566,0.05969
3943.7,-0.84006,0.060004
3942.2,-0.84446,0.060319
3940.6,-0.84886,0.060633
3939,-0.85326,0.060947
3937.4,-0.85765,0.061261
3935.8,-0.86205,0.061575
3934.2,-0.86645,0.061889
3932.6,-0.87085,0.062204
3931,-0.87525,0.062518
3929.3,-0.87965,0.062832
3927.7,-0.88404,0.063146
3926,-0.88844,0.06346
3924.4,-0.89284,0.063774
3922.7,-0.89724,0.064088
3921.1,-0.90164,0.064403
3919.4,-0.90604,0.064717
3917.7,-0.91043,0.065031
3916,-0.91483,0.065345
3914.3,-0.91923,0.065659
3912.6,-0.92363,0.065973
3910.9,-0.92803,0.066288
3909.2,-0.93242,0.066602
3907.4,-0.93682,0.066916
3905.7,-0.94122,0.06723
3903.9,-0.94562,0.067544
3902.2,-0.95002,0.067858
3900.4,-0.95442,0.068173
3898.7,-0.95881,0.068487
3896.9,-0.96321,0.068801
3895.1,-0.96761,0.069115
3893.3,-0.97201,0.069429
3891.5,-0.97641,0.069743
3889.7,-0.98081,0.070058
3887.9,-0.9852,0.070372
3886.1,-0.9896,0.070686
3884.3,-0.994,0.071
3882.4,-0.9984,0.071314
3880.6,-1.0028,0.071628
3878.7,-1.0072,0.071942
3876.9,-1.0116,0.072257
3875,-1.016,0.072571
3873.2,-1.0204,0.072885
3871.3,-1.0248,0.073199
3869.4,-1.0292,0.073513
3867.5,-1.0336,0.073827
3865.6,-1.038,0.074142
3863.7,-1.0424,0.074456
3861.8,-1.0468,0.07477
3859.9,-1.0512,0.075084
3857.9,-1.0556,0.075398
3856,-1.06,0.075712
3854.1,-1.0644,0.076027
3852.1,-1.0688,0.076341
3850.2,-1.0732,0.076655
3848.2,-1.0776,0.076969
3846.2,-1.082,0.077283
3844.3,-1.0864,0.077597
3842.3,-1.0908,0.077911
3840.3,-1.0952,0.078226
3838.3,-1.0996,0.07854
3836.3,-1.104,0.078854
3834.3,-1.1084,0.079168
3832.2,-1.1128,0.079482
