abs(z),angle(z),count
0.99994, 0.78544,4
0.99996, 0.78534,
1.0001,  0.78536,
1,       0.78546,
1.0001,  1.5709, 4
1.0001,  1.5707,
0.99988, 1.5707,
0.99989, 1.5709,
0.99984, 2.3562, 4
1,       2.356, 
1,       2.3564,
1.0002,  2.3562,
1,       3.1414, 4
1,       3.1414,
1.0002,  3.1416,
0.99985, 3.1416,
0.99984,-2.3562, 4
1,      -2.356, 
1,      -2.3564,
1.0002, -2.3562,
0.99988,-1.5707, 4
0.99989,-1.5709,
1.0001, -1.5707,
1.0001, -1.5709,
0.99994,-0.78544,4
0.99996,-0.78534,
1,      -0.78546,
1.0001, -0.78536,
