abs(H),w
2.6217e+05,0
2.6217e+05,0.0007854
2.6216e+05,0.0015708
2.6216e+05,0.0023562
2.6215e+05,0.0031416
2.6214e+05,0.003927
2.6214e+05,0.0047124
2.6213e+05,0.0054978
2.6212e+05,0.0062832
2.6211e+05,0.0070686
2.621e+05,0.007854
2.6209e+05,0.0086394
2.6208e+05,0.0094248
2.6207e+05,0.01021
2.6206e+05,0.010996
2.6206e+05,0.011781
2.6205e+05,0.012566
2.6205e+05,0.013352
2.6205e+05,0.014137
2.6206e+05,0.014923
2.6206e+05,0.015708
2.6207e+05,0.016493
2.6208e+05,0.017279
2.6209e+05,0.018064
2.6211e+05,0.01885
2.6212e+05,0.019635
2.6214e+05,0.02042
2.6216e+05,0.021206
2.6217e+05,0.021991
2.6219e+05,0.022777
2.6221e+05,0.023562
2.6223e+05,0.024347
2.6224e+05,0.025133
2.6226e+05,0.025918
2.6227e+05,0.026704
2.6228e+05,0.027489
2.6229e+05,0.028274
2.623e+05,0.02906
2.623e+05,0.029845
2.6231e+05,0.030631
2.6231e+05,0.031416
2.623e+05,0.032201
2.623e+05,0.032987
2.6229e+05,0.033772
2.6228e+05,0.034558
2.6227e+05,0.035343
2.6226e+05,0.036128
2.6225e+05,0.036914
2.6224e+05,0.037699
2.6223e+05,0.038485
2.6222e+05,0.03927
2.622e+05,0.040055
2.6219e+05,0.040841
2.6219e+05,0.041626
2.6218e+05,0.042412
2.6218e+05,0.043197
2.6217e+05,0.043982
2.6218e+05,0.044768
2.6218e+05,0.045553
2.6219e+05,0.046338
2.6219e+05,0.047124
2.6221e+05,0.047909
2.6222e+05,0.048695
2.6223e+05,0.04948
2.6225e+05,0.050265
2.6227e+05,0.051051
2.6229e+05,0.051836
2.6231e+05,0.052622
2.6233e+05,0.053407
2.6236e+05,0.054192
2.6238e+05,0.054978
2.624e+05,0.055763
2.6241e+05,0.056549
2.6243e+05,0.057334
2.6245e+05,0.058119
2.6246e+05,0.058905
2.6247e+05,0.05969
2.6248e+05,0.060476
2.6249e+05,0.061261
2.6249e+05,0.062046
2.6249e+05,0.062832
2.6249e+05,0.063617
2.6249e+05,0.064403
2.6249e+05,0.065188
2.6248e+05,0.065973
2.6247e+05,0.066759
2.6246e+05,0.067544
2.6246e+05,0.06833
2.6245e+05,0.069115
2.6244e+05,0.0699
2.6243e+05,0.070686
2.6243e+05,0.071471
2.6242e+05,0.072257
2.6242e+05,0.073042
2.6242e+05,0.073827
2.6242e+05,0.074613
2.6242e+05,0.075398
2.6243e+05,0.076184
2.6244e+05,0.076969
2.6245e+05,0.077754
2.6246e+05,0.07854
2.6248e+05,0.079325
2.625e+05,0.080111
2.6252e+05,0.080896
2.6254e+05,0.081681
2.6256e+05,0.082467
2.6259e+05,0.083252
2.6261e+05,0.084038
2.6263e+05,0.084823
2.6266e+05,0.085608
2.6268e+05,0.086394
2.627e+05,0.087179
2.6272e+05,0.087965
2.6274e+05,0.08875
2.6275e+05,0.089535
2.6277e+05,0.090321
2.6278e+05,0.091106
2.6279e+05,0.091892
2.628e+05,0.092677
2.628e+05,0.093462
2.628e+05,0.094248
2.628e+05,0.095033
2.628e+05,0.095819
2.628e+05,0.096604
2.628e+05,0.097389
2.6279e+05,0.098175
2.6279e+05,0.09896
2.6278e+05,0.099746
2.6278e+05,0.10053
2.6278e+05,0.10132
2.6277e+05,0.1021
2.6277e+05,0.10289
2.6278e+05,0.10367
2.6278e+05,0.10446
2.6279e+05,0.10524
2.628e+05,0.10603
2.6281e+05,0.10681
2.6282e+05,0.1076
2.6284e+05,0.10838
2.6285e+05,0.10917
2.6287e+05,0.10996
2.629e+05,0.11074
2.6292e+05,0.11153
2.6294e+05,0.11231
2.6297e+05,0.1131
2.63e+05,0.11388
2.6302e+05,0.11467
2.6305e+05,0.11545
2.6307e+05,0.11624
2.6309e+05,0.11702
2.6312e+05,0.11781
2.6314e+05,0.1186
2.6316e+05,0.11938
2.6317e+05,0.12017
2.6319e+05,0.12095
2.632e+05,0.12174
2.6321e+05,0.12252
2.6322e+05,0.12331
2.6322e+05,0.12409
2.6323e+05,0.12488
2.6323e+05,0.12566
2.6323e+05,0.12645
2.6323e+05,0.12723
2.6323e+05,0.12802
2.6323e+05,0.12881
2.6323e+05,0.12959
2.6323e+05,0.13038
2.6323e+05,0.13116
2.6323e+05,0.13195
2.6324e+05,0.13273
2.6325e+05,0.13352
2.6325e+05,0.1343
2.6327e+05,0.13509
2.6328e+05,0.13587
2.633e+05,0.13666
2.6331e+05,0.13744
2.6333e+05,0.13823
2.6336e+05,0.13902
2.6338e+05,0.1398
2.6341e+05,0.14059
