abs(H),w
NaN,0
728.73,0.0061359
727.9,0.012272
726.53,0.018408
724.62,0.024544
722.17,0.03068
719.18,0.036816
715.66,0.042951
711.62,0.049087
707.06,0.055223
702,0.061359
696.44,0.067495
690.39,0.073631
683.87,0.079767
676.89,0.085903
669.46,0.092039
661.59,0.098175
653.31,0.10431
644.62,0.11045
635.54,0.11658
626.09,0.12272
616.29,0.12885
606.15,0.13499
595.69,0.14113
584.94,0.14726
573.9,0.1534
562.61,0.15953
551.08,0.16567
539.32,0.17181
527.37,0.17794
515.23,0.18408
502.94,0.19021
490.51,0.19635
477.96,0.20249
465.32,0.20862
452.6,0.21476
439.82,0.22089
427,0.22703
414.17,0.23317
401.34,0.2393
388.53,0.24544
375.76,0.25157
363.05,0.25771
350.41,0.26384
337.86,0.26998
325.43,0.27612
313.12,0.28225
300.95,0.28839
288.93,0.29452
277.09,0.30066
265.42,0.3068
253.96,0.31293
242.7,0.31907
231.66,0.3252
220.84,0.33134
210.27,0.33748
199.94,0.34361
189.87,0.34975
180.07,0.35588
170.53,0.36202
161.27,0.36816
152.29,0.37429
143.59,0.38043
135.18,0.38656
127.06,0.3927
119.24,0.39884
111.7,0.40497
104.46,0.41111
97.518,0.41724
90.865,0.42338
84.504,0.42951
78.431,0.43565
72.645,0.44179
67.14,0.44792
61.915,0.45406
56.963,0.46019
52.28,0.46633
47.861,0.47247
43.699,0.4786
39.788,0.48474
36.122,0.49087
32.693,0.49701
29.494,0.50315
26.518,0.50928
23.755,0.51542
21.2,0.52155
18.842,0.52769
16.674,0.53383
14.688,0.53996
12.874,0.5461
11.223,0.55223
9.7286,0.55837
8.3804,0.5645
7.1702,0.57064
6.0894,0.57678
5.1296,0.58291
4.2824,0.58905
3.5397,0.59518
2.8933,0.60132
2.3355,0.60746
1.8586,0.61359
1.4551,0.61973
1.1179,0.62586
0.83999,0.632
0.6147,0.63814
0.43566,0.64427
0.29675,0.65041
0.19218,0.65654
0.11645,0.66268
0.064375,0.66882
0.031097,0.67495
0.012074,0.68109
0.0030897,0.68722
0.00025244,0.69336
5.7417e-06,0.6995
0.00093107,0.70563
0.0054515,0.71177
0.016181,0.7179
0.035427,0.72404
0.065194,0.73017
0.10719,0.73631
0.16285,0.74245
0.23333,0.74858
0.31951,0.75472
0.42202,0.76085
0.54127,0.76699
0.67741,0.77313
0.83041,0.77926
1,0.7854
1.1858,0.79153
1.3871,0.79767
1.6031,0.80381
1.8331,0.80994
2.0758,0.81608
2.3302,0.82221
2.5949,0.82835
2.8687,0.83449
3.1502,0.84062
3.4377,0.84676
3.7298,0.85289
4.025,0.85903
4.3217,0.86517
4.6182,0.8713
4.9131,0.87744
5.2047,0.88357
5.4915,0.88971
5.772,0.89584
6.0449,0.90198
6.3086,0.90812
6.562,0.91425
6.8036,0.92039
7.0324,0.92652
7.2473,0.93266
7.4472,0.9388
7.6314,0.94493
7.7988,0.95107
7.9489,0.9572
8.0811,0.96334
8.1949,0.96948
8.2898,0.97561
8.3656,0.98175
8.422,0.98788
8.4592,0.99402
8.4769,1.0002
8.4754,1.0063
8.455,1.0124
8.4158,1.0186
8.3584,1.0247
8.2831,1.0308
8.1906,1.037
8.0816,1.0431
7.9566,1.0492
7.8166,1.0554
7.6624,1.0615
7.4947,1.0677
7.3147,1.0738
7.1231,1.0799
6.9212,1.0861
6.7098,1.0922
6.4901,1.0983
6.2631,1.1045
6.0299,1.1106
5.7915,1.1167
5.5491,1.1229
5.3037,1.129
5.0563,1.1351
4.8081,1.1413
4.5598,1.1474
4.3126,1.1536
4.0674,1.1597
3.825,1.1658
3.5863,1.172
3.3521,1.1781
3.1232,1.1842
2.9001,1.1904
2.6836,1.1965
2.4742,1.2026
2.2725,1.2088
2.0788,1.2149
1.8937,1.221
1.7173,1.2272
1.55,1.2333
1.392,1.2395
1.2435,1.2456
1.1044,1.2517
0.97485,1.2579
0.85481,1.264
0.74417,1.2701
0.64279,1.2763
0.55047,1.2824
0.46698,1.2885
0.39203,1.2947
0.32528,1.3008
0.26638,1.307
0.21491,1.3131
0.17045,1.3192
0.13254,1.3254
0.10069,1.3315
0.074404,1.3376
0.053155,1.3438
0.036414,1.3499
0.023641,1.356
0.014291,1.3622
0.0078212,1.3683
0.0036883,1.3744
0.0013574,1.3806
0.00030323,1.3867
1.3673e-05,1.3929
6.9244e-06,1.399
0.00023495,1.4051
0.0011248,1.4113
0.0031062,1.4174
0.0065822,1.4235
0.011927,1.4297
0.019483,1.4358
0.029562,1.4419
0.04244,1.4481
0.058359,1.4542
0.077526,1.4603
0.10011,1.4665
0.12624,1.4726
0.15602,1.4788
0.18951,1.4849
0.22673,1.491
0.26766,1.4972
0.31225,1.5033
0.36044,1.5094
0.41209,1.5156
0.46706,1.5217
0.52519,1.5278
0.58625,1.534
0.65003,1.5401
0.71627,1.5463
0.78469,1.5524
0.855,1.5585
0.92688,1.5647
1,1.5708
1.074,1.5769
1.1486,1.5831
1.2234,1.5892
1.298,1.5953
1.372,1.6015
1.4452,1.6076
1.5171,1.6137
1.5874,1.6199
1.6557,1.626
1.7217,1.6322
1.7851,1.6383
1.8455,1.6444
1.9026,1.6506
1.9563,1.6567
2.0061,1.6628
2.0519,1.669
2.0934,1.6751
2.1305,1.6812
2.163,1.6874
2.1907,1.6935
2.2135,1.6997
2.2313,1.7058
2.2441,1.7119
2.2517,1.7181
2.2543,1.7242
2.2518,1.7303
2.2442,1.7365
2.2317,1.7426
2.2142,1.7487
2.192,1.7549
2.1652,1.761
2.1338,1.7671
2.0982,1.7733
2.0584,1.7794
2.0148,1.7856
1.9675,1.7917
1.9169,1.7978
1.8631,1.804
1.8065,1.8101
1.7473,1.8162
1.6859,1.8224
1.6225,1.8285
1.5574,1.8346
1.4909,1.8408
1.4235,1.8469
1.3552,1.853
1.2866,1.8592
1.2178,1.8653
1.1491,1.8715
1.0809,1.8776
1.0134,1.8837
0.94685,1.8899
0.88153,1.896
0.81765,1.9021
0.75545,1.9083
0.69512,1.9144
0.63686,1.9205
0.58082,1.9267
0.52715,1.9328
0.476,1.939
0.42746,1.9451
0.38162,1.9512
0.33856,1.9574
0.29832,1.9635
0.26093,1.9696
0.2264,1.9758
0.19472,1.9819
0.16585,1.988
0.13975,1.9942
0.11635,2.0003
0.09557,2.0064
0.077301,2.0126
0.061429,2.0187
0.047824,2.0249
0.036342,2.031
0.026829,2.0371
0.019117,2.0433
0.013033,2.0494
0.0083923,2.0555
0.0050062,2.0617
0.0026804,2.0678
0.0012169,2.0739
0.00041605,2.0801
7.7321e-05,2.0862
1.2025e-06,2.0923
9.5676e-06,2.0985
0.00014858,2.1046
0.00060439,2.1108
0.0015593,2.1169
0.0031879,2.123
0.0056563,2.1292
0.0091205,2.1353
0.013726,2.1414
0.019606,2.1476
0.026882,2.1537
0.03566,2.1598
0.046035,2.166
0.058085,2.1721
0.071873,2.1783
0.087448,2.1844
0.10484,2.1905
0.12407,2.1967
0.14514,2.2028
0.16803,2.2089
0.19271,2.2151
0.21914,2.2212
0.24725,2.2273
0.27697,2.2335
0.30821,2.2396
0.34087,2.2457
0.37484,2.2519
0.40998,2.258
0.44616,2.2642
0.48324,2.2703
0.52105,2.2764
0.55944,2.2826
0.59823,2.2887
0.63725,2.2948
0.67632,2.301
0.71525,2.3071
0.75387,2.3132
0.79199,2.3194
0.82942,2.3255
0.86598,2.3317
0.90149,2.3378
0.93578,2.3439
0.96867,2.3501
1,2.3562
1.0296,2.3623
1.0574,2.3685
1.0831,2.3746
1.1067,2.3807
1.1281,2.3869
1.1471,2.393
1.1637,2.3991
1.1777,2.4053
1.1892,2.4114
1.1979,2.4176
1.204,2.4237
1.2074,2.4298
1.2081,2.436
1.206,2.4421
1.2012,2.4482
1.1937,2.4544
1.1836,2.4605
1.171,2.4666
1.1558,2.4728
1.1382,2.4789
1.1183,2.485
1.0961,2.4912
1.0719,2.4973
1.0457,2.5035
1.0176,2.5096
0.98791,2.5157
0.95663,2.5219
0.92397,2.528
0.89008,2.5341
0.85514,2.5403
0.81931,2.5464
0.78277,2.5525
0.74568,2.5587
0.70823,2.5648
0.67057,2.571
0.63287,2.5771
0.59531,2.5832
0.55803,2.5894
0.52121,2.5955
0.48497,2.6016
0.44948,2.6078
0.41485,2.6139
0.38121,2.62
0.34868,2.6262
0.31737,2.6323
0.28736,2.6384
0.25875,2.6446
0.23159,2.6507
0.20596,2.6569
0.1819,2.663
0.15945,2.6691
0.13862,2.6753
0.11944,2.6814
0.10189,2.6875
0.08597,2.6937
0.071646,2.6998
0.058882,2.7059
0.047631,2.7121
0.037833,2.7182
0.029418,2.7243
0.022306,2.7305
0.01641,2.7366
0.011633,2.7428
0.0078702,2.7489
0.0050112,2.755
0.0029391,2.7612
0.0015322,2.7673
0.00066469,2.7734
0.00020775,2.7796
3.0275e-05,2.7857
3.0239e-08,2.7918
1.5453e-05,2.798
0.00014789,2.8041
0.00052729,2.8103
0.001281,2.8164
0.0025328,2.8225
0.0044019,2.8287
0.0070024,2.8348
0.010442,2.8409
0.014821,2.8471
0.020234,2.8532
0.026764,2.8593
0.034488,2.8655
0.043472,2.8716
0.053772,2.8777
0.065434,2.8839
0.078492,2.89
0.092971,2.8962
0.10888,2.9023
0.12623,2.9084
0.145,2.9146
0.16517,2.9207
0.18671,2.9268
0.20957,2.933
0.2337,2.9391
0.25904,2.9452
0.2855,2.9514
0.313,2.9575
0.34145,2.9637
0.37073,2.9698
0.40075,2.9759
0.43138,2.9821
0.46249,2.9882
0.49395,2.9943
0.52564,3.0005
0.55739,3.0066
0.58909,3.0127
0.62056,3.0189
0.65168,3.025
0.6823,3.0311
0.71225,3.0373
0.74141,3.0434
0.76963,3.0496
0.79677,3.0557
0.82269,3.0618
0.84726,3.068
0.87036,3.0741
0.89187,3.0802
0.91169,3.0864
0.9297,3.0925
0.94583,3.0986
0.95997,3.1048
0.97207,3.1109
0.98205,3.117
0.98987,3.1232
0.99549,3.1293
0.99887,3.1355
