abs(H),w
Inf,0
4.3287e+06,0.0061359
5.411e+05,0.012272
1.6033e+05,0.018408
67641,0.024544
34634,0.03068
20044,0.036816
12623,0.042951
8457.1,0.049087
5940.2,0.055223
4330.8,0.061359
3254.1,0.067495
2506.7,0.073631
1971.9,0.079767
1579,0.085903
1283.9,0.092039
1058.1,0.098175
882.28,0.10431
743.37,0.11045
632.18,0.11658
542.11,0.12272
468.39,0.12885
407.46,0.13499
356.66,0.14113
313.98,0.14726
277.85,0.1534
247.07,0.15953
220.68,0.16567
197.92,0.17181
178.19,0.17794
161,0.18408
145.96,0.19021
132.74,0.19635
121.07,0.20249
110.74,0.20862
101.55,0.21476
93.348,0.22089
86.011,0.22703
79.426,0.23317
73.498,0.2393
68.148,0.24544
63.306,0.25157
58.914,0.25771
54.921,0.26384
51.282,0.26998
47.958,0.27612
44.917,0.28225
42.129,0.28839
39.568,0.29452
37.212,0.30066
35.04,0.3068
33.035,0.31293
31.18,0.31907
29.463,0.3252
27.87,0.33134
26.391,0.33748
25.016,0.34361
23.735,0.34975
22.54,0.35588
21.425,0.36202
20.383,0.36816
19.408,0.37429
18.495,0.38043
17.638,0.38656
16.835,0.3927
16.079,0.39884
15.369,0.40497
14.7,0.41111
14.07,0.41724
13.476,0.42338
12.915,0.42951
12.385,0.43565
11.884,0.44179
11.41,0.44792
10.962,0.45406
10.536,0.46019
10.133,0.46633
9.7505,0.47247
9.3872,0.4786
9.0419,0.48474
8.7136,0.49087
8.4012,0.49701
8.1038,0.50315
7.8205,0.50928
7.5505,0.51542
7.293,0.52155
7.0472,0.52769
6.8125,0.53383
6.5884,0.53996
6.3741,0.5461
6.1692,0.55223
5.9732,0.55837
5.7855,0.5645
5.6058,0.57064
5.4336,0.57678
5.2685,0.58291
5.1102,0.58905
4.9583,0.59518
4.8125,0.60132
4.6725,0.60746
4.538,0.61359
4.4087,0.61973
4.2844,0.62586
4.1649,0.632
4.0499,0.63814
3.9392,0.64427
3.8326,0.65041
3.7299,0.65654
3.6309,0.66268
3.5355,0.66882
3.4436,0.67495
3.3548,0.68109
3.2692,0.68722
3.1866,0.69336
3.1068,0.6995
3.0298,0.70563
2.9553,0.71177
2.8834,0.7179
2.8138,0.72404
2.7466,0.73017
2.6815,0.73631
2.6186,0.74245
2.5577,0.74858
2.4987,0.75472
2.4416,0.76085
2.3863,0.76699
2.3327,0.77313
2.2808,0.77926
2.2304,0.7854
2.1816,0.79153
2.1343,0.79767
2.0884,0.80381
2.0438,0.80994
2.0006,0.81608
1.9586,0.82221
1.9179,0.82835
1.8783,0.83449
1.8399,0.84062
1.8025,0.84676
1.7662,0.85289
1.731,0.85903
1.6967,0.86517
1.6633,0.8713
1.6309,0.87744
1.5993,0.88357
