abs(H),w
1,0
1,0.00031416
0.99999,0.00062832
0.99999,0.00094248
0.99998,0.0012566
0.99996,0.0015708
0.99994,0.001885
0.99992,0.0021991
0.9999,0.0025133
0.99987,0.0028274
0.99984,0.0031416
0.99981,0.0034558
0.99978,0.0037699
0.99974,0.0040841
0.9997,0.0043982
0.99965,0.0047124
0.9996,0.0050265
0.99955,0.0053407
0.9995,0.0056549
0.99944,0.005969
0.99938,0.0062832
0.99931,0.0065973
0.99925,0.0069115
0.99918,0.0072257
0.99911,0.0075398
0.99903,0.007854
0.99895,0.0081681
0.99887,0.0084823
0.99878,0.0087965
0.99869,0.0091106
0.9986,0.0094248
0.99851,0.0097389
0.99841,0.010053
0.99831,0.010367
0.9982,0.010681
0.9981,0.010996
0.99799,0.01131
0.99787,0.011624
0.99776,0.011938
0.99764,0.012252
0.99752,0.012566
0.99739,0.012881
0.99726,0.013195
0.99713,0.013509
0.99699,0.013823
0.99686,0.014137
0.99672,0.014451
0.99657,0.014765
0.99642,0.01508
0.99627,0.015394
0.99612,0.015708
0.99596,0.016022
0.9958,0.016336
0.99564,0.01665
0.99548,0.016965
0.99531,0.017279
0.99514,0.017593
0.99496,0.017907
0.99478,0.018221
0.9946,0.018535
0.99442,0.01885
0.99423,0.019164
0.99404,0.019478
0.99385,0.019792
0.99365,0.020106
0.99345,0.02042
0.99325,0.020735
0.99304,0.021049
0.99284,0.021363
0.99262,0.021677
0.99241,0.021991
0.99219,0.022305
0.99197,0.022619
0.99175,0.022934
0.99152,0.023248
0.99129,0.023562
0.99106,0.023876
0.99082,0.02419
0.99058,0.024504
0.99034,0.024819
0.9901,0.025133
0.98985,0.025447
0.9896,0.025761
0.98934,0.026075
0.98909,0.026389
0.98883,0.026704
0.98856,0.027018
0.9883,0.027332
0.98803,0.027646
0.98776,0.02796
0.98748,0.028274
0.9872,0.028588
0.98692,0.028903
0.98664,0.029217
0.98635,0.029531
0.98606,0.029845
0.98577,0.030159
0.98547,0.030473
0.98517,0.030788
0.98487,0.031102
0.98457,0.031416
0.98426,0.03173
0.98395,0.032044
0.98363,0.032358
0.98332,0.032673
0.983,0.032987
0.98268,0.033301
0.98235,0.033615
0.98202,0.033929
0.98169,0.034243
0.98135,0.034558
0.98102,0.034872
0.98068,0.035186
0.98033,0.0355
0.97999,0.035814
0.97964,0.036128
0.97929,0.036442
0.97893,0.036757
0.97857,0.037071
0.97821,0.037385
0.97785,0.037699
0.97748,0.038013
0.97711,0.038327
0.97674,0.038642
0.97636,0.038956
0.97598,0.03927
0.9756,0.039584
