abs(H),w
0.00090147,0.0012267
0.00089971,0.0024534
0.00089795,0.0036801
0.00089618,0.0049068
0.00089439,0.0061335
0.0008926,0.0073602
0.00089079,0.0085869
0.00088898,0.0098136
0.00088715,0.01104
0.00088532,0.012267
0.00088347,0.013494
0.00088162,0.01472
0.00087976,0.015947
0.00087789,0.017174
0.000876,0.018401
0.00087411,0.019627
0.00087221,0.020854
0.00087031,0.022081
0.00086839,0.023307
0.00086646,0.024534
0.00086453,0.025761
0.00086259,0.026988
0.00086063,0.028214
0.00085867,0.029441
0.00085671,0.030668
0.00085473,0.031894
0.00085275,0.033121
0.00085075,0.034348
0.00084875,0.035574
0.00084675,0.036801
0.00084473,0.038028
0.00084271,0.039255
0.00084068,0.040481
0.00083864,0.041708
0.0008366,0.042935
0.00083455,0.044161
0.00083249,0.045388
0.00083042,0.046615
0.00082835,0.047842
0.00082627,0.049068
0.00082418,0.050295
0.00082209,0.051522
0.00081999,0.052748
0.00081788,0.053975
0.00081577,0.055202
0.00081365,0.056428
0.00081152,0.057655
0.00080939,0.058882
0.00080725,0.060109
0.00080511,0.061335
0.00080296,0.062562
0.0008008,0.063789
0.00079864,0.065015
0.00079647,0.066242
0.0007943,0.067469
0.00079212,0.068696
0.00078994,0.069922
0.00078775,0.071149
0.00078555,0.072376
0.00078335,0.073602
0.00078115,0.074829
0.00077894,0.076056
0.00077672,0.077282
0.0007745,0.078509
0.00077227,0.079736
0.00077004,0.080963
0.00076781,0.082189
0.00076557,0.083416
0.00076332,0.084643
0.00076107,0.085869
0.00075882,0.087096
0.00075656,0.088323
0.0007543,0.089549
0.00075203,0.090776
0.00074976,0.092003
0.00074748,0.09323
0.0007452,0.094456
0.00074292,0.095683
0.00074063,0.09691
0.00073834,0.098136
0.00073604,0.099363
0.00073374,0.10059
0.00073144,0.10182
0.00072913,0.10304
0.00072682,0.10427
0.00072451,0.1055
0.00072219,0.10672
0.00071987,0.10795
0.00071755,0.10918
0.00071522,0.1104
0.00071289,0.11163
0.00071055,0.11286
0.00070821,0.11408
0.00070587,0.11531
0.00070353,0.11654
0.00070118,0.11776
0.00069883,0.11899
0.00069648,0.12022
0.00069412,0.12144
0.00069176,0.12267
0.0006894,0.1239
0.00068704,0.12512
0.00068467,0.12635
0.0006823,0.12758
0.00067993,0.1288
0.00067755,0.13003
0.00067517,0.13126
0.00067279,0.13248
0.00067041,0.13371
0.00066803,0.13494
0.00066564,0.13616
0.00066325,0.13739
0.00066086,0.13862
0.00065847,0.13984
0.00065607,0.14107
0.00065367,0.1423
0.00065127,0.14352
0.00064887,0.14475
0.00064647,0.14598
0.00064406,0.1472
0.00064166,0.14843
0.00063925,0.14966
0.00063684,0.15088
0.00063443,0.15211
0.00063201,0.15334
0.0006296,0.15456
0.00062718,0.15579
0.00062476,0.15702
0.00062234,0.15825
0.00061992,0.15947
0.00061749,0.1607
0.00061507,0.16193
0.00061264,0.16315
0.00061022,0.16438
0.00060779,0.16561
0.00060536,0.16683
0.00060293,0.16806
0.0006005,0.16929
0.00059806,0.17051
0.00059563,0.17174
0.00059319,0.17297
0.00059076,0.17419
0.00058832,0.17542
0.00058588,0.17665
0.00058344,0.17787
0.000581,0.1791
0.00057856,0.18033
0.00057612,0.18155
0.00057368,0.18278
0.00057124,0.18401
0.0005688,0.18523
0.00056635,0.18646
0.00056391,0.18769
0.00056146,0.18891
0.00055902,0.19014
0.00055657,0.19137
0.00055412,0.19259
0.00055168,0.19382
0.00054923,0.19505
0.00054678,0.19627
0.00054433,0.1975
0.00054188,0.19873
0.00053943,0.19995
0.00053698,0.20118
0.00053453,0.20241
0.00053209,0.20363
0.00052964,0.20486
0.00052719,0.20609
0.00052474,0.20731
0.00052229,0.20854
0.00051984,0.20977
0.00051738,0.21099
0.00051493,0.21222
0.00051248,0.21345
0.00051003,0.21467
0.00050758,0.2159
0.00050513,0.21713
0.00050268,0.21835
0.00050023,0.21958
0.00049779,0.22081
0.00049534,0.22203
0.00049289,0.22326
0.00049044,0.22449
0.00048799,0.22571
0.00048554,0.22694
0.00048309,0.22817
0.00048065,0.22939
0.0004782,0.23062
0.00047575,0.23185
0.00047331,0.23307
0.00047086,0.2343
0.00046842,0.23553
0.00046597,0.23675
0.00046353,0.23798
0.00046108,0.23921
0.00045864,0.24043
0.0004562,0.24166
0.00045376,0.24289
0.00045132,0.24411
0.00044888,0.24534
0.00044644,0.24657
0.000444,0.24779
0.00044156,0.24902
0.00043912,0.25025
0.00043668,0.25147
0.00043425,0.2527
0.00043181,0.25393
0.00042938,0.25515
0.00042695,0.25638
0.00042451,0.25761
0.00042208,0.25883
0.00041965,0.26006
0.00041722,0.26129
0.00041479,0.26251
0.00041236,0.26374
0.00040994,0.26497
0.00040751,0.2662
0.00040509,0.26742
0.00040266,0.26865
0.00040024,0.26988
0.00039782,0.2711
0.0003954,0.27233
0.00039298,0.27356
0.00039056,0.27478
0.00038814,0.27601
0.00038573,0.27724
0.00038331,0.27846
0.0003809,0.27969
0.00037849,0.28092
0.00037608,0.28214
0.00037367,0.28337
0.00037126,0.2846
0.00036885,0.28582
0.00036645,0.28705
0.00036404,0.28828
0.00036164,0.2895
0.00035924,0.29073
0.00035684,0.29196
0.00035444,0.29318
0.00035204,0.29441
0.00034964,0.29564
0.00034725,0.29686
0.00034486,0.29809
0.00034246,0.29932
0.00034007,0.30054
0.00033769,0.30177
0.0003353,0.303
0.00033291,0.30422
0.00033053,0.30545
0.00032815,0.30668
0.00032576,0.3079
0.00032339,0.30913
0.00032101,0.31036
0.00031863,0.31158
0.00031626,0.31281
0.00031388,0.31404
0.00031151,0.31526
0.00030914,0.31649
0.00030677,0.31772
0.00030441,0.31894
0.00030204,0.32017
0.00029968,0.3214
0.00029732,0.32262
0.00029496,0.32385
0.0002926,0.32508
0.00029024,0.3263
0.00028789,0.32753
0.00028554,0.32876
0.00028319,0.32998
0.00028084,0.33121
0.00027849,0.33244
0.00027615,0.33366
0.0002738,0.33489
0.00027146,0.33612
0.00026912,0.33734
0.00026678,0.33857
0.00026445,0.3398
0.00026211,0.34102
0.00025978,0.34225
0.00025745,0.34348
0.00025512,0.3447
0.00025279,0.34593
0.00025047,0.34716
0.00024815,0.34838
0.00024583,0.34961
0.00024351,0.35084
0.00024119,0.35206
0.00023888,0.35329
0.00023656,0.35452
0.00023425,0.35574
0.00023194,0.35697
0.00022964,0.3582
0.00022733,0.35942
0.00022503,0.36065
0.00022273,0.36188
0.00022043,0.3631
0.00021813,0.36433
0.00021584,0.36556
0.00021355,0.36678
0.00021126,0.36801
0.00020897,0.36924
0.00020668,0.37047
0.0002044,0.37169
0.00020212,0.37292
0.00019984,0.37415
0.00019756,0.37537
0.00019528,0.3766
0.00019301,0.37783
0.00019074,0.37905
0.00018847,0.38028
0.0001862,0.38151
0.00018394,0.38273
0.00018168,0.38396
0.00017942,0.38519
0.00017716,0.38641
0.0001749,0.38764
0.00017265,0.38887
0.0001704,0.39009
0.00016815,0.39132
0.0001659,0.39255
0.00016366,0.39377
0.00016141,0.395
0.00015917,0.39623
0.00015693,0.39745
0.0001547,0.39868
0.00015247,0.39991
0.00015023,0.40113
0.00014801,0.40236
0.00014578,0.40359
0.00014355,0.40481
0.00014133,0.40604
0.00013911,0.40727
0.0001369,0.40849
0.00013468,0.40972
0.00013247,0.41095
0.00013026,0.41217
0.00012805,0.4134
0.00012584,0.41463
0.00012364,0.41585
0.00012144,0.41708
0.00011924,0.41831
0.00011704,0.41953
0.00011485,0.42076
0.00011266,0.42199
0.00011047,0.42321
0.00010828,0.42444
