abs(H),w
0.00082829,0.0012267
0.00082759,0.0024534
0.00082689,0.0036801
0.00082619,0.0049068
0.00082548,0.0061335
0.00082478,0.0073602
0.00082407,0.0085869
0.00082336,0.0098136
0.00082264,0.01104
0.00082193,0.012267
0.00082122,0.013494
0.0008205,0.01472
0.00081978,0.015947
0.00081906,0.017174
0.00081834,0.018401
0.00081762,0.019627
0.00081689,0.020854
0.00081617,0.022081
0.00081544,0.023307
0.00081471,0.024534
0.00081398,0.025761
0.00081324,0.026988
0.00081251,0.028214
0.00081177,0.029441
0.00081104,0.030668
0.0008103,0.031894
0.00080955,0.033121
0.00080881,0.034348
0.00080807,0.035574
0.00080732,0.036801
0.00080657,0.038028
0.00080582,0.039255
0.00080507,0.040481
0.00080432,0.041708
0.00080357,0.042935
0.00080281,0.044161
0.00080205,0.045388
0.00080129,0.046615
0.00080053,0.047842
0.00079977,0.049068
0.00079901,0.050295
0.00079824,0.051522
0.00079747,0.052748
0.0007967,0.053975
0.00079593,0.055202
0.00079516,0.056428
0.00079439,0.057655
0.00079361,0.058882
0.00079283,0.060109
0.00079205,0.061335
0.00079127,0.062562
0.00079049,0.063789
0.00078971,0.065015
0.00078892,0.066242
0.00078813,0.067469
0.00078734,0.068696
0.00078655,0.069922
0.00078576,0.071149
0.00078496,0.072376
0.00078417,0.073602
0.00078337,0.074829
0.00078257,0.076056
0.00078177,0.077282
0.00078097,0.078509
0.00078016,0.079736
0.00077936,0.080963
0.00077855,0.082189
0.00077774,0.083416
0.00077693,0.084643
0.00077611,0.085869
0.0007753,0.087096
0.00077448,0.088323
0.00077366,0.089549
0.00077284,0.090776
0.00077202,0.092003
0.0007712,0.09323
0.00077037,0.094456
0.00076955,0.095683
0.00076872,0.09691
0.00076789,0.098136
0.00076706,0.099363
0.00076622,0.10059
0.00076539,0.10182
0.00076455,0.10304
0.00076371,0.10427
0.00076287,0.1055
0.00076203,0.10672
0.00076118,0.10795
0.00076034,0.10918
0.00075949,0.1104
0.00075864,0.11163
0.00075779,0.11286
0.00075694,0.11408
0.00075608,0.11531
0.00075522,0.11654
0.00075437,0.11776
0.00075351,0.11899
0.00075265,0.12022
0.00075178,0.12144
0.00075092,0.12267
0.00075005,0.1239
0.00074918,0.12512
0.00074831,0.12635
0.00074744,0.12758
0.00074656,0.1288
0.00074569,0.13003
0.00074481,0.13126
0.00074393,0.13248
0.00074305,0.13371
0.00074217,0.13494
0.00074128,0.13616
0.0007404,0.13739
0.00073951,0.13862
0.00073862,0.13984
0.00073773,0.14107
0.00073683,0.1423
0.00073594,0.14352
0.00073504,0.14475
0.00073414,0.14598
0.00073324,0.1472
0.00073234,0.14843
0.00073143,0.14966
0.00073053,0.15088
0.00072962,0.15211
0.00072871,0.15334
0.0007278,0.15456
0.00072688,0.15579
0.00072597,0.15702
0.00072505,0.15825
0.00072413,0.15947
0.00072321,0.1607
0.00072229,0.16193
0.00072137,0.16315
0.00072044,0.16438
0.00071951,0.16561
0.00071858,0.16683
0.00071765,0.16806
0.00071672,0.16929
0.00071578,0.17051
0.00071485,0.17174
0.00071391,0.17297
0.00071297,0.17419
0.00071202,0.17542
0.00071108,0.17665
0.00071013,0.17787
0.00070918,0.1791
0.00070823,0.18033
0.00070728,0.18155
0.00070633,0.18278
0.00070537,0.18401
0.00070442,0.18523
0.00070346,0.18646
0.0007025,0.18769
0.00070153,0.18891
0.00070057,0.19014
0.0006996,0.19137
0.00069863,0.19259
0.00069766,0.19382
0.00069669,0.19505
0.00069572,0.19627
0.00069474,0.1975
0.00069376,0.19873
0.00069278,0.19995
0.0006918,0.20118
0.00069082,0.20241
0.00068983,0.20363
0.00068885,0.20486
0.00068786,0.20609
0.00068687,0.20731
0.00068587,0.20854
0.00068488,0.20977
0.00068388,0.21099
0.00068288,0.21222
0.00068188,0.21345
0.00068088,0.21467
0.00067988,0.2159
0.00067887,0.21713
0.00067786,0.21835
0.00067685,0.21958
0.00067584,0.22081
0.00067483,0.22203
0.00067381,0.22326
0.00067279,0.22449
0.00067177,0.22571
0.00067075,0.22694
0.00066973,0.22817
0.0006687,0.22939
0.00066768,0.23062
0.00066665,0.23185
0.00066561,0.23307
0.00066458,0.2343
0.00066355,0.23553
0.00066251,0.23675
0.00066147,0.23798
0.00066043,0.23921
0.00065939,0.24043
0.00065834,0.24166
0.0006573,0.24289
0.00065625,0.24411
0.0006552,0.24534
0.00065415,0.24657
0.00065309,0.24779
0.00065203,0.24902
0.00065098,0.25025
0.00064992,0.25147
0.00064885,0.2527
0.00064779,0.25393
0.00064672,0.25515
0.00064566,0.25638
0.00064459,0.25761
0.00064351,0.25883
0.00064244,0.26006
0.00064136,0.26129
0.00064029,0.26251
0.00063921,0.26374
0.00063812,0.26497
0.00063704,0.2662
0.00063595,0.26742
0.00063487,0.26865
0.00063378,0.26988
0.00063268,0.2711
0.00063159,0.27233
0.00063049,0.27356
0.0006294,0.27478
0.0006283,0.27601
0.00062719,0.27724
0.00062609,0.27846
0.00062499,0.27969
