abs(H),w
0.89125,0
0.89126,0.0012267
0.8913,0.0024534
0.89135,0.0036801
0.89143,0.0049068
0.89153,0.0061335
0.89166,0.0073602
0.8918,0.0085869
0.89197,0.0098136
0.89217,0.01104
0.89238,0.012267
0.89262,0.013494
0.89287,0.01472
0.89316,0.015947
0.89346,0.017174
0.89378,0.018401
0.89413,0.019627
0.8945,0.020854
0.89489,0.022081
0.8953,0.023307
0.89574,0.024534
0.89619,0.025761
0.89667,0.026988
0.89717,0.028214
0.89769,0.029441
0.89823,0.030668
0.89879,0.031894
0.89937,0.033121
0.89998,0.034348
0.9006,0.035574
0.90124,0.036801
0.90191,0.038028
0.90259,0.039255
0.90329,0.040481
0.90402,0.041708
0.90476,0.042935
0.90552,0.044161
0.9063,0.045388
0.9071,0.046615
0.90792,0.047842
0.90875,0.049068
0.90961,0.050295
0.91048,0.051522
0.91137,0.052748
0.91227,0.053975
0.91319,0.055202
0.91413,0.056428
0.91509,0.057655
0.91606,0.058882
0.91705,0.060109
0.91805,0.061335
0.91907,0.062562
0.9201,0.063789
0.92114,0.065015
0.9222,0.066242
0.92327,0.067469
0.92436,0.068696
0.92546,0.069922
0.92657,0.071149
0.92769,0.072376
0.92882,0.073602
0.92997,0.074829
0.93112,0.076056
0.93229,0.077282
0.93346,0.078509
0.93464,0.079736
0.93584,0.080963
0.93703,0.082189
0.93824,0.083416
0.93945,0.084643
0.94067,0.085869
0.9419,0.087096
0.94313,0.088323
0.94436,0.089549
0.9456,0.090776
0.94684,0.092003
0.94809,0.09323
0.94934,0.094456
0.95058,0.095683
0.95183,0.09691
0.95308,0.098136
0.95433,0.099363
0.95557,0.10059
0.95682,0.10182
0.95806,0.10304
0.9593,0.10427
0.96053,0.1055
0.96176,0.10672
0.96298,0.10795
0.9642,0.10918
0.96541,0.1104
0.96661,0.11163
0.9678,0.11286
0.96899,0.11408
0.97016,0.11531
0.97132,0.11654
0.97247,0.11776
0.97361,0.11899
0.97473,0.12022
0.97584,0.12144
0.97694,0.12267
0.97802,0.1239
0.97908,0.12512
0.98012,0.12635
0.98115,0.12758
0.98215,0.1288
0.98314,0.13003
0.98411,0.13126
0.98505,0.13248
0.98597,0.13371
0.98687,0.13494
0.98775,0.13616
0.9886,0.13739
0.98943,0.13862
0.99023,0.13984
0.991,0.14107
0.99174,0.1423
0.99246,0.14352
0.99315,0.14475
0.99381,0.14598
0.99444,0.1472
0.99504,0.14843
0.9956,0.14966
0.99614,0.15088
0.99664,0.15211
0.99711,0.15334
0.99754,0.15456
0.99795,0.15579
0.99831,0.15702
0.99864,0.15825
0.99894,0.15947
0.9992,0.1607
0.99943,0.16193
0.99961,0.16315
0.99976,0.16438
0.99988,0.16561
0.99996,0.16683
0.99999,0.16806
1,0.16929
0.99996,0.17051
0.99989,0.17174
0.99977,0.17297
0.99962,0.17419
0.99943,0.17542
0.99921,0.17665
0.99894,0.17787
0.99864,0.1791
0.9983,0.18033
0.99792,0.18155
0.9975,0.18278
0.99705,0.18401
0.99656,0.18523
0.99603,0.18646
0.99547,0.18769
0.99487,0.18891
0.99424,0.19014
0.99357,0.19137
0.99286,0.19259
0.99212,0.19382
0.99135,0.19505
0.99054,0.19627
0.98971,0.1975
0.98883,0.19873
0.98793,0.19995
0.987,0.20118
0.98604,0.20241
0.98505,0.20363
0.98403,0.20486
0.98298,0.20609
0.9819,0.20731
0.9808,0.20854
0.97968,0.20977
0.97853,0.21099
0.97735,0.21222
0.97615,0.21345
0.97494,0.21467
0.9737,0.2159
0.97244,0.21713
0.97116,0.21835
0.96986,0.21958
0.96855,0.22081
0.96722,0.22203
0.96587,0.22326
0.96451,0.22449
0.96314,0.22571
0.96175,0.22694
0.96036,0.22817
0.95895,0.22939
0.95754,0.23062
0.95611,0.23185
0.95468,0.23307
0.95325,0.2343
0.95181,0.23553
0.95036,0.23675
0.94891,0.23798
0.94746,0.23921
0.94601,0.24043
0.94456,0.24166
0.94311,0.24289
0.94166,0.24411
0.94022,0.24534
0.93878,0.24657
0.93734,0.24779
0.93591,0.24902
0.93449,0.25025
0.93308,0.25147
0.93167,0.2527
0.93028,0.25393
0.9289,0.25515
0.92752,0.25638
0.92616,0.25761
0.92482,0.25883
0.92349,0.26006
0.92217,0.26129
0.92088,0.26251
0.91959,0.26374
0.91833,0.26497
0.91709,0.2662
0.91586,0.26742
0.91466,0.26865
0.91348,0.26988
0.91232,0.2711
0.91118,0.27233
0.91007,0.27356
0.90898,0.27478
0.90792,0.27601
0.90688,0.27724
0.90587,0.27846
0.90489,0.27969
0.90394,0.28092
0.90302,0.28214
0.90212,0.28337
0.90126,0.2846
0.90043,0.28582
0.89963,0.28705
0.89886,0.28828
0.89812,0.2895
0.89742,0.29073
0.89676,0.29196
0.89613,0.29318
0.89553,0.29441
0.89497,0.29564
0.89445,0.29686
0.89397,0.29809
0.89352,0.29932
0.89311,0.30054
0.89274,0.30177
0.89241,0.303
0.89212,0.30422
0.89187,0.30545
0.89167,0.30668
0.8915,0.3079
0.89138,0.30913
0.89129,0.31036
0.89125,0.31158
0.89126,0.31281
0.89131,0.31404
0.8914,0.31526
0.89153,0.31649
0.89172,0.31772
0.89194,0.31894
0.89221,0.32017
0.89253,0.3214
0.89289,0.32262
0.8933,0.32385
0.89376,0.32508
0.89426,0.3263
0.89481,0.32753
0.89541,0.32876
0.89605,0.32998
0.89674,0.33121
0.89748,0.33244
0.89826,0.33366
0.8991,0.33489
0.89998,0.33612
0.9009,0.33734
0.90188,0.33857
0.9029,0.3398
0.90397,0.34102
0.90508,0.34225
0.90624,0.34348
0.90745,0.3447
0.9087,0.34593
0.91,0.34716
0.91134,0.34838
0.91273,0.34961
0.91416,0.35084
0.91563,0.35206
0.91715,0.35329
0.9187,0.35452
