f,A
0,-101.08
1,-38.091
10,-40.311
100,-41.123
1000,-108.73
1001,-108.83
1002,-109.26
1003,-109.15
1004,-110.63
1005,-108.72
1006,-109.01
1007,-109.45
1008,-108.61
1009,-110.21
101,-38.294
1010,-109.37
1011,-110.71
1012,-110.12
1013,-109.45
1014,-109.61
1015,-109.01
1016,-110.46
1017,-108.64
1018,-109.06
1019,-108.85
102,-37.454
1020,-108.88
1021,-110.19
1022,-109.33
1023,-110.23
1024,-110.24
1025,-109.65
1026,-109.59
1027,-110.22
1028,-110.41
1029,-108.85
103,-38.364
1030,-110.43
1031,-109.65
1032,-110.07
1033,-108.75
1034,-109.4
1035,-108.7
1036,-109.19
1037,-110.63
1038,-110.56
1039,-108.79
104,-41.292
1040,-108.65
1041,-109.23
1042,-110.29
1043,-110.63
1044,-110.29
1045,-108.87
1046,-108.74
1047,-110.27
1048,-108.84
1049,-110.31
105,-38.431
1050,-109.29
1051,-110.13
1052,-108.77
1053,-110.57
1054,-109.28
1055,-110.24
1056,-108.68
1057,-108.63
1058,-109.57
1059,-109.3
106,-37.438
1060,-110.22
1061,-110.75
1062,-109.41
1063,-109.37
1064,-109.1
1065,-109.26
1066,-110.57
1067,-109.96
1068,-109.18
1069,-109.13
107,-38.204
1070,-108.57
1071,-109.04
1072,-110.51
1073,-110.45
1074,-109.31
1075,-108.34
1076,-108.68
1077,-108.72
1078,-108.73
1079,-108.58
108,-40.93
1080,-108.71
1081,-109.3
1082,-110.24
1083,-108.7
1084,-110.43
1085,-108.6
1086,-108.76
1087,-109.28
1088,-108.39
1089,-110.72
109,-38.547
1090,-108.79
1091,-109.3
1092,-108.53
1093,-108.82
1094,-110.12
1095,-108.65
1096,-109.39
1097,-108.74
1098,-108.7
1099,-108.63
11,-38.56
110,-37.41
1100,-110.16
1101,-110.5
1102,-108.62
1103,-109.43
1104,-109.41
1105,-109.16
1106,-109.38
1107,-110.52
1108,-109.52
1109,-108.86
111,-38.029
1110,-110.19
1111,-109.31
1112,-109.3
1113,-109.39
1114,-110.2
1115,-109.36
1116,-110.36
1117,-110.29
1118,-109.25
1119,-108.54
112,-40.583
1120,-109.06
1121,-108.66
1122,-108.5
1123,-110.15
1124,-110.54
1125,-108.36
1126,-108.64
1127,-108.65
1128,-109.51
1129,-108.91
113,-38.674
1130,-110.2
1131,-109.69
1132,-110.7
1133,-110.46
1134,-110.48
1135,-108.99
1136,-109.52
1137,-108.99
1138,-108.74
1139,-108.52
114,-37.39
1140,-110.58
1141,-109.11
1142,-108.83
1143,-108.66
1144,-109.69
1145,-110.83
1146,-108.68
1147,-109.18
1148,-109.54
1149,-110.33
115,-37.876
1150,-109.67
1151,-108.79
1152,-109.26
1153,-109.1
1154,-108.74
1155,-110.01
1156,-110.2
1157,-109.4
1158,-110.64
1159,-108.6
116,-40.256
1160,-110.2
1161,-108.44
1162,-109.3
1163,-108.6
1164,-108.59
1165,-110.51
1166,-109.28
1167,-109.06
1168,-109.22
1169,-108.98
117,-38.827
1170,-110.53
1171,-109.28
1172,-109.23
1173,-110.44
1174,-108.61
1175,-109.76
1176,-108.54
1177,-108.96
1178,-110.64
1179,-108.78
118,-37.402
1180,-108.74
1181,-108.97
1182,-110.34
1183,-109.42
1184,-108.72
1185,-108.68
1186,-110.69
1187,-108.5
1188,-110.24
1189,-110.41
119,-37.756
1190,-109.07
