f,s100,s410,s700
0,-62.653,-62.397,-62.382
1,-100.79,-108.97,-129.24
2,-100.61,-110.65,-140.79
3,-100.93,-110.04,-138.18
4,-101.15,-110.36,-138.39
5,-101.1,-110.6,-138.69
6,-101.16,-110.64,-137.04
7,-101.03,-109.87,-135.33
8,-101.04,-110.02,-133.41
9,-100.89,-109.85,-137.84
10,-101.17,-110.98,-145.41
11,-100.95,-110.36,-152.1
12,-100.99,-110.58,-130.17
13,-100.7,-110.12,-137.21
14,-101.04,-109.61,-135.49
15,-100.72,-110.17,-141.72
16,-101.1,-110.57,-135.12
17,-101.16,-109.67,-132.3
18,-101.05,-109.8,-132.48
19,-101.13,-110.94,-142.31
20,-100.86,-109.87,-134.15
21,-100.93,-110.36,-132.57
22,-100.85,-110.21,-137.8
23,-100.79,-110.61,-131.98
24,-100.93,-109.76,-131.28
25,-100.92,-110.22,-139.84
26,-101.03,-109.98,-131.52
27,-100.96,-110.29,-139.36
28,-100.84,-110.24,-142.03
29,-101.06,-109.81,-133.96
30,-100.93,-110.32,-138.59
31,-101.08,-110.35,-135.72
32,-100.72,-109.79,-128.83
33,-100.83,-110.28,-142.79
34,-100.5,-110.58,-132.1
35,-101.08,-109.99,-131.25
36,-101.42,-109.68,-135.03
37,-100.9,-109.97,-146.36
38,-101.05,-110.12,-131.19
39,-101.02,-110.64,-133.85
40,-100.85,-109.83,-134.75
41,-100.93,-109.92,-134.37
42,-100.83,-110.06,-133.82
43,-101.11,-109.92,-136.57
44,-100.84,-110.75,-145.47
45,-100.88,-109.95,-143.65
46,-101.07,-109.77,-131.7
47,-100.85,-109.42,-146.11
48,-100.73,-109.9,-136.57
49,-100.59,-110.71,-131.57
50,-101.18,-110.23,-138.24
51,-100.74,-110.56,-139.75
52,-100.96,-111.37,-134.47
53,-100.99,-109.95,-133.33
54,-101.16,-109.44,-139.61
55,-101.16,-110.05,-130.22
56,-100.8,-109.49,-139.91
57,-100.96,-109.7,-130.42
58,-101.1,-109.75,-133.61
59,-101.03,-109.92,-140.01
60,-101.36,-110.03,-133.04
61,-101.01,-110.19,-133.35
62,-101.15,-110.59,-133.5
63,-100.86,-110.32,-136.53
64,-101.18,-110.36,-134.54
65,-100.98,-109.92,-131.3
66,-100.84,-110.33,-138.18
67,-101.18,-110.66,-141.48
68,-100.66,-109.9,-133.84
69,-101.23,-110.57,-138.37
70,-100.65,-110.59,-131.14
71,-100.72,-110.22,-130.95
72,-101,-110.56,-143.27
73,-101.15,-109.98,-139.42
74,-100.97,-110.29,-137.57
75,-101.77,-110.53,-125.21
76,-100.62,-109.7,-127.36
77,-101.07,-110.52,-135.64
78,-101,-110.37,-130.89
79,-101.08,-110.29,-138.5
80,-100.51,-110.16,-138.8
81,-100.61,-109.79,-137.02
82,-100.8,-110.37,-149.91
83,-101.25,-109.97,-140.68
84,-100.45,-110.16,-148.76
85,-100.81,-110.4,-138.95
86,-100.91,-110.09,-137.7
87,-100.89,-110.36,-140.16
88,-100.89,-110.5,-160.71
89,-100.96,-110.13,-140.03
90,-100.97,-110.36,-137.47
91,-100.47,-110.26,-140.5
92,-101.07,-110.37,-146.24
93,-100.59,-110.13,-145.64
94,-101.18,-110.01,-137.56
95,-100.56,-110.73,-136.06
96,-100.73,-110.22,-139.29
97,-100.78,-110.13,-144.75
98,-101.07,-109.57,-141.03
99,-100.81,-110.04,-135.4
100,-100.9,-109.92,-160.53
101,-100.89,-110.11,-140.55
102,-101.02,-109.92,-143.32
103,-100.59,-110.42,-142.25
104,-100.7,-110.05,-136.01
105,-100.92,-110.22,-143.07
106,-100.7,-110.06,-148.43
107,-100.64,-110.41,-148.26
108,-100.85,-110.18,-151.83
109,-100.82,-110.05,-144.76
110,-100.85,-110.43,-141.27
111,-100.89,-110.17,-134.48
112,-100.72,-110.02,-146.75
113,-100.76,-109.89,-135.11
114,-100.76,-110.32,-148.27
115,-100.81,-110.54,-149.47
116,-100.83,-110.05,-144.54
117,-100.77,-110.22,-151.21
118,-100.83,-110.4,-140.72
119,-100.63,-110.32,-139.86
120,-100.81,-110.32,-158.04
121,-100.82,-109.99,-142.09
122,-100.95,-110.26,-143.7
123,-100.83,-110.3,-145.93
124,-100.79,-110,-144.11
125,-100.84,-109.82,-138.78
126,-100.68,-109.94,-141.53
127,-100.8,-110.25,-144.97
128,-100.84,-110.06,-137.41
129,-100.51,-110.31,-150.89
130,-100.61,-110.38,-139.88
131,-100.71,-110.25,-144.7
132,-100.71,-110.2,-149.25
133,-100.74,-110.24,-144.96
134,-100.66,-110.03,-142.89
135,-100.71,-110.18,-143.42
136,-100.8,-110.09,-143.15
137,-100.83,-110.32,-149.09
138,-100.87,-110.12,-141.17
139,-100.62,-110.21,-143.26
140,-100.68,-110.25,-142.99
141,-100.82,-110.32,-140.28
142,-100.54,-110.15,-145.02
143,-100.58,-110.41,-147.82
144,-100.75,-110.25,-149.29
145,-100.77,-110.16,-141.8
146,-100.71,-110.43,-171.74
147,-100.72,-110.11,-147.77
148,-100.59,-110.55,-144.49
149,-100.91,-110.14,-146.8
150,-100.71,-110.07,-141.14
151,-100.58,-109.97,-135.58
152,-100.64,-109.85,-155.13
153,-100.6,-110.13,-142.03
154,-100.72,-110.33,-148.4
155,-100.56,-110.28,-150.26
156,-100.61,-110.4,-143.54
157,-100.78,-110.43,-141.01
158,-100.69,-110.28,-144.03
159,-100.82,-110.42,-159.79
160,-100.68,-110.11,-144.14
161,-100.66,-110.36,-145.66
162,-100.73,-110.1,-140.6
163,-100.79,-110.03,-141.01
164,-100.65,-110.07,-137.3
165,-100.75,-110.31,-145.64
166,-100.78,-110.25,-158.78
167,-100.61,-110.24,-139.24
168,-100.77,-110.18,-147.04
169,-100.54,-110.2,-150.39
170,-100.67,-110.41,-153.05
171,-100.54,-110.35,-149.71
172,-100.59,-110.12,-142.18
173,-100.7,-110.44,-143.7
174,-100.64,-110.21,-143.7
175,-100.58,-110.24,-149.62
176,-100.61,-109.98,-137.62
177,-100.47,-110.03,-141.4
178,-100.85,-110.01,-144.01
179,-100.58,-110.05,-140.41
180,-100.51,-110.13,-154.35
181,-100.68,-110.19,-146.37
182,-100.56,-110.08,-142.81
183,-100.7,-110.18,-158.46
184,-100.53,-110.32,-145.31
185,-100.59,-110.39,-141.5
186,-100.55,-109.9,-140.03
187,-100.59,-110.19,-144.35
188,-100.48,-110.24,-151.71
189,-100.59,-110.21,-156.33
190,-100.57,-109.94,-143.96
191,-100.51,-109.94,-155.26
192,-100.57,-110.25,-146.31
193,-100.6,-110.22,-145.35
194,-100.62,-110.16,-139.4
195,-100.59,-110.24,-154.16
196,-100.47,-110.25,-143.41
197,-100.49,-110.05,-162.71
198,-100.55,-110.42,-148.14
199,-100.54,-110.08,-145.14
200,-100.48,-110.29,-147.36
201,-100.54,-110.04,-147.65
202,-100.46,-110.26,-138.32
203,-100.52,-110.08,-142.05
204,-100.47,-110.03,-145.59
205,-100.5,-110.09,-144.6
206,-100.47,-110.28,-149.24
207,-100.52,-109.94,-147.93
208,-100.52,-110.16,-159.88
209,-100.5,-110.36,-141.04
210,-100.46,-110.1,-151.61
211,-100.51,-110.09,-148.71
212,-100.46,-110.1,-145.04
213,-100.47,-110.35,-148.58
214,-100.35,-109.84,-144.18
215,-100.52,-110.2,-146.92
216,-100.48,-110.32,-149.75
217,-100.5,-110.09,-143.88
218,-100.42,-110.22,-151.52
219,-100.43,-110.01,-141.27
220,-100.34,-109.9,-145.52
221,-100.39,-110.16,-142.5
222,-100.45,-110.02,-152.86
223,-100.35,-110.04,-142.82
224,-100.35,-110.04,-152.88
225,-100.35,-110.28,-142.92
226,-100.33,-110.12,-144.42
227,-100.39,-110.16,-148.79
228,-100.35,-110.19,-144.88
229,-100.46,-110.05,-145.06
230,-100.33,-110.09,-148.73
231,-100.42,-110.11,-137.49
232,-100.48,-110.09,-143.49
233,-100.34,-110.1,-142.94
234,-100.38,-110.1,-144.96
235,-100.31,-110.04,-147.15
236,-100.32,-110.23,-136.81
237,-100.24,-110.14,-143.49
238,-100.31,-110.22,-145.3
239,-100.38,-110.03,-144.98
240,-100.31,-110.38,-139.51
241,-100.25,-110.15,-140.69
242,-100.3,-110.12,-154.81
243,-100.19,-110,-146.38
244,-100.26,-110.08,-142.08
245,-100.27,-109.95,-145.04
246,-100.29,-110.22,-138.74
247,-100.27,-110.18,-149.63
248,-100.38,-110.08,-141.03
249,-100.18,-110.06,-149.41
250,-100.16,-109.92,-141.6
251,-100.24,-110.25,-149.54
252,-100.25,-110.36,-143.55
253,-100.27,-110.15,-145.97
254,-100.22,-109.99,-145.08
255,-100.21,-110.14,-145.39
256,-100.32,-110.17,-144.32
257,-100.27,-110.24,-142.88
258,-100.19,-109.88,-140.87
259,-100.24,-110.1,-152.84
260,-100.16,-109.86,-137.96
261,-100.16,-110.22,-141.37
262,-100.15,-110.25,-155.32
263,-100.32,-110.02,-141
264,-100.18,-110.15,-145.84
265,-100.16,-110.13,-145.38
266,-100.19,-110.21,-147.77
267,-100.15,-110.09,-151.73
268,-100.09,-110.22,-144.7
269,-100.23,-110.21,-155.64
270,-100.13,-109.99,-147.07
271,-100.09,-110.16,-148.17
272,-100.04,-109.89,-141.36
273,-100.15,-109.82,-144.53
274,-100.2,-110.04,-148.76
275,-100.13,-110.08,-162.32
276,-100.09,-110.08,-142.85
277,-100.13,-110.34,-161.67
278,-100.12,-110.13,-147.84
279,-100.1,-110.18,-143.05
280,-100.1,-110.06,-153.63
281,-100.08,-110.29,-142.9
282,-99.954,-110.01,-157.64
283,-100.01,-110.06,-147.21
284,-100.01,-110.26,-150.95
285,-100.1,-110,-145.77
286,-99.997,-110.05,-141.42
287,-100.03,-110.12,-156.26
288,-100.04,-110.13,-162.99
289,-100.11,-110.05,-146.52
290,-100.03,-110.08,-139.87
