f,xrms,xmean,xsnr
1,0.6076,-0.018256,80.477
10,0.61152,-0.01537,79.081
100,0.61457,-0.018114,67.514
1000,0.018047,-0.018047,-7.1665
1001,0.018026,-0.018026,-3.6965
1002,0.018012,-0.018012,-2.8134
1003,0.018028,-0.018028,-2.271
1004,0.018052,-0.018052,-2.4849
1005,0.018029,-0.018029,-3.3034
1006,0.018063,-0.018063,-1.9216
1007,0.018085,-0.018085,-2.4461
1008,0.018063,-0.018063,-3.0049
1009,0.018043,-0.018043,-2.4789
101,0.61473,-0.018002,71.941
1010,0.018044,-0.018043,-4.529
1011,0.018061,-0.018061,-2.5711
1012,0.018078,-0.018078,-2.879
1013,0.018072,-0.018072,-3.0734
1014,0.018025,-0.018024,-2.5228
1015,0.01806,-0.01806,-3.6067
1016,0.01806,-0.01806,-2.047
1017,0.018019,-0.018019,-1.2573
1018,0.018006,-0.018006,-3.2281
1019,0.018019,-0.018019,-1.5875
102,0.6149,-0.017846,77.093
1020,0.018009,-0.018009,-4.2301
1021,0.018046,-0.018046,-2
1022,0.018053,-0.018053,-3.5102e-05
1023,0.018091,-0.018091,-5.6655
1024,0.018038,-0.018038,-4.8526
1025,0.018075,-0.018075,-2.6
1026,0.01803,-0.01803,-1.2628
1027,0.018048,-0.018048,-4.0142
1028,0.018044,-0.018043,-2.2669
1029,0.018077,-0.018077,-3.6666
103,0.61504,-0.018025,79.14
1030,0.018021,-0.018021,-5.2349
1031,0.018037,-0.018037,-4.9348
1032,0.017983,-0.017983,-3.6667
1033,0.018051,-0.018051,-2.1208
1034,0.018056,-0.018056,-3.3066
1035,0.018008,-0.018008,-3.6414
1036,0.01802,-0.01802,-2.7511
1037,0.018046,-0.018045,-4.2185
1038,0.017997,-0.017997,-1.6501
1039,0.018004,-0.018004,-3.4765
104,0.61511,-0.018162,80.111
1040,0.017994,-0.017993,-1.0379
1041,0.018004,-0.018004,-3.1135
1042,0.01803,-0.01803,-2.9521
1043,0.017981,-0.017981,-3.6745
1044,0.017962,-0.017962,-2.6854
1045,0.017928,-0.017928,-2.7499
1046,0.018013,-0.018013,-3.3003
1047,0.017997,-0.017997,-2.2785
1048,0.018017,-0.018017,-1.7196
1049,0.017983,-0.017983,-3.8348
105,0.61518,-0.018062,80.205
1050,0.018027,-0.018027,-5.2745
1051,0.018051,-0.018051,-3.8941
1052,0.018014,-0.018014,-2.4862
1053,0.017956,-0.017956,-3.7164
1054,0.017989,-0.017989,-2.8482
1055,0.017988,-0.017988,-4.4568
1056,0.018011,-0.018011,-2.8335
1057,0.017998,-0.017998,-2.647
1058,0.018034,-0.018034,-2.2116
1059,0.017993,-0.017993,-3.4452
106,0.61517,-0.017851,79.654
1060,0.018069,-0.018069,-3.5588
1061,0.018002,-0.018002,-6.7777
1062,0.018008,-0.018008,-3.0689
1063,0.01798,-0.017979,-5.2536
1064,0.018035,-0.018035,-2.2656
1065,0.018028,-0.018028,-4.5876
1066,0.018001,-0.018,-2.5138
1067,0.018057,-0.018056,-0.032741
1068,0.017999,-0.017999,-6.5061
1069,0.018025,-0.018024,-1.9686
107,0.61511,-0.017721,79.837
1070,0.018024,-0.018024,-2.1896
1071,0.01802,-0.01802,-3.1566
1072,0.018043,-0.018043,-2.4991
1073,0.01801,-0.01801,-4.3848
1074,0.018012,-0.018012,-2.1883
1075,0.017973,-0.017973,-1.242
1076,0.018016,-0.018016,-2.527
1077,0.018028,-0.018027,-1.9649
1078,0.018025,-0.018025,-3.9264
1079,0.018053,-0.018053,-3.7487
108,0.61493,-0.017799,79.864
1080,0.018002,-0.018002,-3.6644
1081,0.018069,-0.018069,-3.3724
1082,0.018039,-0.018039,-3.6185
1083,0.018013,-0.018013,-2.9096
1084,0.01803,-0.01803,-3.0844
1085,0.018013,-0.018012,-3.51
1086,0.018048,-0.018048,-5.4546
1087,0.018006,-0.018006,-1.3908
1088,0.018016,-0.018016,-2.3336
1089,0.018018,-0.018017,-2.5499
109,0.61474,-0.017852,79.727
1090,0.01801,-0.01801,-3.2506
1091,0.018059,-0.018059,-1.7523
1092,0.018046,-0.018046,-5.7541
1093,0.018093,-0.018092,-1.9375
1094,0.018078,-0.018078,-3.2826
1095,0.018083,-0.018083,-5.6912
1096,0.018073,-0.018073,-3.3398
1097,0.018039,-0.018039,-1.5371
1098,0.018055,-0.018054,-3.8509
1099,0.01803,-0.01803,-4.4565
11,0.61198,-0.018582,78.089
110,0.61456,-0.018029,79.333
1100,0.018013,-0.018013,-3.6433
1101,0.01805,-0.01805,-2.4661
1102,0.018032,-0.018032,-3.5059
1103,0.018001,-0.018001,-2.8944
1104,0.018075,-0.018075,-2.6208
1105,0.018024,-0.018024,-2.2788
1106,0.018029,-0.018029,-2.6773
1107,0.018011,-0.018011,-2.965
1108,0.018073,-0.018072,-6.6077
1109,0.018047,-0.018047,-2.0946
111,0.61445,-0.018186,79.909
1110,0.018035,-0.018035,-2.1093
1111,0.018044,-0.018044,-1.7024
1112,0.018071,-0.018071,-4.8015
1113,0.017997,-0.017996,-4.3046
1114,0.018083,-0.018083,-5.9137
1115,0.018052,-0.018052,-4.9621
1116,0.01805,-0.01805,-3.4347
1117,0.018066,-0.018066,-1.5765
1118,0.018048,-0.018048,-3.1207
1119,0.01806,-0.01806,-2.9576
112,0.61425,-0.018123,79.8
1120,0.018015,-0.018015,-6.3363
1121,0.018031,-0.018031,-0.44528
1122,0.018,-0.018,-4.0627
1123,0.018014,-0.018014,-3.8699
1124,0.018024,-0.018024,-4.8184
1125,0.018017,-0.018017,-3.2154
1126,0.018066,-0.018065,-2.9233
1127,0.018048,-0.018048,-4.8835
1128,0.018056,-0.018056,-2.9395
1129,0.018072,-0.018072,-1.9597
113,0.61413,-0.017914,79.975
1130,0.018094,-0.018094,-2.2984
1131,0.018017,-0.018017,-4.2011
1132,0.018061,-0.018061,-3.5799
1133,0.018007,-0.018007,-3.0683
1134,0.018042,-0.018042,-7.0675
1135,0.018006,-0.018006,-4.5363
1136,0.01805,-0.01805,-2.5501
1137,0.018046,-0.018046,-4.0039
1138,0.01801,-0.018009,-3.3464
1139,0.01804,-0.01804,-3.7253
114,0.61405,-0.017858,79.878
1140,0.01802,-0.01802,-3.9651
1141,0.018028,-0.018028,-3.8631
1142,0.018025,-0.018025,-2.2739
1143,0.018026,-0.018026,-3.7923
1144,0.018042,-0.018042,-5.2247
1145,0.017993,-0.017993,-3.4697
1146,0.017987,-0.017987,-4.3699
1147,0.018023,-0.018023,-4.3107
1148,0.018009,-0.018009,-0.9872
1149,0.018078,-0.018078,-7.3738
115,0.61405,-0.018138,79.043
1150,0.018081,-0.018081,-4.6962
1151,0.018075,-0.018075,-2.0566
1152,0.018068,-0.018068,-1.9589
1153,0.018052,-0.018052,-2.7042
1154,0.018055,-0.018055,-1.6072
1155,0.018076,-0.018076,-2.2585
1156,0.018061,-0.018061,-2.097
1157,0.018104,-0.018104,-1.9726
1158,0.0181,-0.0181,-4.1787
1159,0.018134,-0.018134,-5.5995
116,0.61414,-0.018137,80.067
1160,0.018104,-0.018104,-4.4713
1161,0.01805,-0.01805,-1.518
1162,0.018098,-0.018098,-5.638
1163,0.018091,-0.018091,-2.531
1164,0.018093,-0.018093,-3.027
1165,0.018086,-0.018085,-2.9259
1166,0.018101,-0.018101,-5.3038
1167,0.018109,-0.018109,-2.4566
1168,0.018112,-0.018112,-1.4676
1169,0.018061,-0.018061,-3.822
117,0.61424,-0.01809,79.741
1170,0.018089,-0.018089,-1.3658
1171,0.018094,-0.018094,-2.2549
1172,0.018099,-0.018099,-3.3036
1173,0.018072,-0.018072,-4.5765
1174,0.018075,-0.018074,-3.9102
1175,0.018054,-0.018054,-3.7038
1176,0.018077,-0.018077,-7.9213
1177,0.018073,-0.018073,-4.8578
1178,0.018096,-0.018095,-3.0756
1179,0.018085,-0.018085,-4.9399
118,0.61447,-0.017988,79.823
1180,0.018048,-0.018048,-2.4268
1181,0.0181,-0.0181,-2.1282
1182,0.018087,-0.018086,-1.9766
1183,0.018113,-0.018113,-1.6042
1184,0.018078,-0.018078,-2.9653
1185,0.018108,-0.018108,-2.5393
1186,0.018127,-0.018127,-6.2027
1187,0.018071,-0.01807,-2.8163
1188,0.018077,-0.018077,-4.2392
1189,0.018104,-0.018104,-5.0297
119,0.61472,-0.01808,79.108
1190,0.018097,-0.018097,-2.742
1191,0.018046,-0.018046,-2.9613
1192,0.0181,-0.0181,-0.010388
1193,0.018114,-0.018113,4.0487
1194,0.018129,-0.018129,5.3874
1195,0.018148,-0.018147,7.9906
1196,0.018127,-0.018126,9.9531
1197,0.018081,-0.01808,10.897
1198,0.018108,-0.018107,12.316
1199,0.018128,-0.018126,12.7
12,0.61214,-0.018602,78.531
120,0.61503,-0.018144,80.125
1200,0.018082,-0.01808,13.125
1201,0.018103,-0.018101,13.307
1202,0.01809,-0.018088,11.607
1203,0.018066,-0.018065,10.19
1204,0.018033,-0.018032,7.9299
1205,0.018057,-0.018057,1.2212
1206,0.018076,-0.018076,-2.978
1207,0.018057,-0.018057,3.4689
1208,0.018083,-0.018082,9.5167
1209,0.018075,-0.018073,13.245
121,0.6153,-0.018063,80.187
1210,0.018055,-0.018052,14.91
1211,0.018078,-0.018072,17.55
1212,0.018068,-0.018061,18.451
1213,0.018075,-0.018066,18.411
1214,0.018054,-0.018044,19.812
1215,0.018091,-0.01808,20.932
1216,0.018038,-0.018027,20.374
1217,0.018031,-0.01802,20.207
1218,0.018038,-0.018029,19.985
1219,0.018036,-0.018028,18.257
122,0.61562,-0.017953,80.016
1220,0.018041,-0.018035,17.999
1221,0.018084,-0.01808,16.542
1222,0.018058,-0.018055,14.765
1223,0.018063,-0.018061,11.937
1224,0.01805,-0.018049,7.9764
1225,0.018058,-0.018057,0.38913
1226,0.018079,-0.018079,-4.0048
1227,0.01807,-0.018069,5.5978
1228,0.018075,-0.018074,11.419
1229,0.018017,-0.018014,14.097
123,0.61584,-0.018044,80.049
1230,0.018087,-0.018084,15.293
1231,0.018082,-0.018076,16.703
1232,0.018103,-0.018096,18.259
1233,0.018136,-0.018128,18.772
1234,0.018097,-0.018089,19.579
1235,0.018123,-0.018115,18.635
1236,0.018118,-0.01811,19.345
1237,0.018093,-0.018086,18.343
1238,0.018071,-0.018065,17.966
1239,0.01805,-0.018045,16.535
124,0.61611,-0.018133,79.734
1240,0.018071,-0.018067,15.578
1241,0.018058,-0.018056,11.806
1242,0.017996,-0.017995,10.234
1243,0.018047,-0.018046,5.4757
1244,0.018064,-0.018064,-4.6369
1245,0.018053,-0.018052,1.4447
1246,0.018054,-0.018054,8.6065
1247,0.018046,-0.018045,11.721
1248,0.018065,-0.018062,15.238
1249,0.018059,-0.018054,16.393
125,0.6163,-0.01802,80.127
1250,0.018025,-0.018019,17.33
1251,0.017983,-0.017976,18.797
1252,0.01805,-0.018042,17.915
1253,0.018037,-0.018029,19.604
1254,0.018035,-0.018027,19.278
1255,0.018027,-0.018019,19.806
1256,0.01808,-0.018072,18.631
1257,0.018062,-0.018055,17.761
1258,0.01808,-0.018075,16.76
1259,0.018109,-0.018106,15.98
126,0.61638,-0.017913,79.496
1260,0.018084,-0.018082,14.024
1261,0.018069,-0.018067,9.8761
1262,0.01808,-0.01808,6.0695
1263,0.018079,-0.018079,-5.2337
1264,0.01806,-0.01806,1.2735
1265,0.01804,-0.018039,8.1175
1266,0.018037,-0.018035,11.577
1267,0.018074,-0.018071,14.512
1268,0.018082,-0.018078,15.585
1269,0.018028,-0.018023,18.142
127,0.61641,-0.017959,80.397
1270,0.018109,-0.018102,18.028
1271,0.018088,-0.01808,19.464
1272,0.01809,-0.018082,19.198
1273,0.018056,-0.018047,18.208
1274,0.018102,-0.018094,19.028
1275,0.018076,-0.018069,19.566
1276,0.01809,-0.018083,17.608
1277,0.018095,-0.01809,17.232
1278,0.018064,-0.01806,15.328
1279,0.018071,-0.018068,13.621
128,0.61648,-0.018069,79.508
1280,0.018095,-0.018093,11.311
1281,0.018043,-0.018042,6.3157
1282,0.018044,-0.018044,-4.4552
1283,0.018086,-0.018086,-0.71914
1284,0.018096,-0.018095,8.1112
1285,0.018092,-0.018091,12.025
1286,0.018087,-0.018084,14.778
1287,0.018092,-0.018088,15.977
1288,0.018064,-0.018059,17.303
1289,0.018081,-0.018074,18.195
129,0.6164,-0.018043,80.131
1290,0.018117,-0.01811,18.814
1291,0.018096,-0.018088,19.551
1292,0.018111,-0.018103,18.759
1293,0.018076,-0.018068,19.095
1294,0.0181,-0.018093,17.476
1295,0.018058,-0.018052,17.708
1296,0.018086,-0.018081,16.632
1297,0.018027,-0.018023,15.854
1298,0.018073,-0.018071,13.556
1299,0.018096,-0.018094,10.418
13,0.61211,-0.016075,78.193
130,0.61637,-0.017904,79.877
1300,0.018086,-0.018085,5.1669
1301,0.018068,-0.018068,-3.3376
