f,Y
1,0
2,0.01
3,0.02
4,0.03
5,0.04
6,0.05
7,0.06
8,0.07
9,0.08
10,0.09
11,0.1
12,0.11
13,0.12
14,0.13
15,0.14
16,0.15
17,0.16
18,0.17
19,0.18
20,0.19
21,0.2
22,0.21
23,0.22
24,0.23
25,0.24
26,0.25
27,0.26
28,0.27
29,0.28
30,0.29
31,0.3
32,0.31
33,0.32
34,0.33
35,0.34
36,0.35
37,0.36
38,0.37
39,0.38
40,0.39
41,0.4
42,0.41
43,0.42
44,0.43
45,0.44
46,0.45
47,0.46
48,0.47
49,0.48
50,0.49
51,0.5
52,0.51
53,0.52
54,0.53
55,0.54
56,0.55
57,0.56
58,0.57
59,0.58
60,0.59
61,0.6
62,0.61
63,0.62
64,0.63
65,0.64
66,0.65
67,0.66
68,0.67
69,0.68
70,0.69
71,0.7
72,0.71
73,0.72
74,0.73
75,0.74
76,0.75
77,0.76
78,0.77
79,0.78
80,0.79
81,0.8
82,0.81
83,0.82
84,0.83
85,0.84
86,0.85
87,0.86
88,0.87
89,0.88
90,0.89
91,0.9
92,0.91
93,0.92
94,0.93
95,0.94
96,0.95
97,0.96
98,0.97
99,0.98
100,0.99
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,1
403,0.99
404,0.98
405,0.97
406,0.96
407,0.95
408,0.94
409,0.93
410,0.92
411,0.91
412,0.9
413,0.89
414,0.88
415,0.87
416,0.86
417,0.85
418,0.84
419,0.83
420,0.82
421,0.81
422,0.8
423,0.79
424,0.78
425,0.77
426,0.76
427,0.75
428,0.74
429,0.73
430,0.72
431,0.71
432,0.7
433,0.69
434,0.68
435,0.67
436,0.66
437,0.65
438,0.64
439,0.63
440,0.62
441,0.61
442,0.6
443,0.59
444,0.58
445,0.57
446,0.56
447,0.55
448,0.54
449,0.53
450,0.52
451,0.51
452,0.5
453,0.49
454,0.48
455,0.47
456,0.46
457,0.45
458,0.44
459,0.43
460,0.42
461,0.41
462,0.4
463,0.39
464,0.38
465,0.37
466,0.36
467,0.35
468,0.34
469,0.33
470,0.32
471,0.31
472,0.3
473,0.29
474,0.28
475,0.27
476,0.26
477,0.25
478,0.24
479,0.23
480,0.22
481,0.21
482,0.2
483,0.19
484,0.18
485,0.17
486,0.16
487,0.15
488,0.14
489,0.13
490,0.12
491,0.11
492,0.1
493,0.09
494,0.08
495,0.07
496,0.06
497,0.05
498,0.04
499,0.03
500,0.02
501,0.01
502,0
