f,Y
-550,0
-549,0.01
-548,0.02
-547,0.03
-546,0.04
-545,0.05
-544,0.06
-543,0.07
-542,0.08
-541,0.09
-540,0.1
-539,0.11
-538,0.12
-537,0.13
-536,0.14
-535,0.15
-534,0.16
-533,0.17
-532,0.18
-531,0.19
-530,0.2
-529,0.21
-528,0.22
-527,0.23
-526,0.24
-525,0.25
-524,0.26
-523,0.27
-522,0.28
-521,0.29
-520,0.3
-519,0.31
-518,0.32
-517,0.33
-516,0.34
-515,0.35
-514,0.36
-513,0.37
-512,0.38
-511,0.39
-510,0.4
-509,0.41
-508,0.42
-507,0.43
-506,0.44
-505,0.45
-504,0.46
-503,0.47
-502,0.48
-501,0.49
-500,0.5
-499,0.51
-498,0.52
-497,0.53
-496,0.54
-495,0.55
-494,0.56
-493,0.57
-492,0.58
-491,0.59
-490,0.6
-489,0.61
-488,0.62
-487,0.63
-486,0.64
-485,0.65
-484,0.66
-483,0.67
-482,0.68
-481,0.69
-480,0.7
-479,0.71
-478,0.72
-477,0.73
-476,0.74
-475,0.75
-474,0.76
-473,0.77
-472,0.78
-471,0.79
-470,0.8
-469,0.81
-468,0.82
-467,0.83
-466,0.84
-465,0.85
-464,0.86
-463,0.87
-462,0.88
-461,0.89
-460,0.9
-459,0.91
-458,0.92
-457,0.93
-456,0.94
-455,0.95
-454,0.96
-453,0.97
-452,0.98
-451,0.99
-450,1
-449,1
-448,1
-447,1
-446,1
-445,1
-444,1
-443,1
-442,1
-441,1
-440,1
-439,1
-438,1
-437,1
-436,1
-435,1
-434,1
-433,1
-432,1
-431,1
-430,1
-429,1
-428,1
-427,1
-426,1
-425,1
-424,1
-423,1
-422,1
-421,1
-420,1
-419,1
-418,1
-417,1
-416,1
-415,1
-414,1
-413,1
-412,1
-411,1
-410,1
-409,1
-408,1
-407,1
-406,1
-405,1
-404,1
-403,1
-402,1
-401,1
-400,1
-399,1
-398,1
-397,1
-396,1
-395,1
-394,1
-393,1
-392,1
-391,1
-390,1
-389,1
-388,1
-387,1
-386,1
-385,1
-384,1
-383,1
-382,1
-381,1
-380,1
-379,1
-378,1
-377,1
-376,1
-375,1
-374,1
-373,1
-372,1
-371,1
-370,1
-369,1
-368,1
-367,1
-366,1
-365,1
-364,1
-363,1
-362,1
-361,1
-360,1
-359,1
-358,1
-357,1
-356,1
-355,1
-354,1
-353,1
-352,1
-351,1
-350,0.99
-349,0.98
-348,0.97
-347,0.96
-346,0.95
-345,0.94
-344,0.93
-343,0.92
-342,0.91
-341,0.9
-340,0.89
-339,0.88
-338,0.87
-337,0.86
-336,0.85
-335,0.84
-334,0.83
-333,0.82
-332,0.81
-331,0.8
-330,0.79
-329,0.78
-328,0.77
-327,0.76
-326,0.75
-325,0.74
-324,0.73
-323,0.72
-322,0.71
-321,0.7
-320,0.69
-319,0.68
-318,0.67
-317,0.66
-316,0.65
-315,0.64
-314,0.63
-313,0.62
-312,0.61
-311,0.6
-310,0.59
-309,0.58
-308,0.57
-307,0.56
-306,0.55
-305,0.54
-304,0.53
-303,0.52
-302,0.51
-301,0.5
-300,0.49
-299,0.48
-298,0.47
-297,0.46
-296,0.45
-295,0.44
-294,0.43
-293,0.42
-292,0.41
-291,0.4
-290,0.39
-289,0.38
-288,0.37
-287,0.36
-286,0.35
-285,0.34
-284,0.33
-283,0.32
-282,0.31
-281,0.3
-280,0.29
-279,0.28
-278,0.27
-277,0.26
-276,0.25
-275,0.24
-274,0.23
-273,0.22
-272,0.21
-271,0.2
-270,0.19
-269,0.18
-268,0.17
-267,0.16
-266,0.15
-265,0.14
-264,0.13
-263,0.12
-262,0.11
-261,0.1
-260,0.09
-259,0.08
-258,0.07
-257,0.06
-256,0.05
-255,0.04
-254,0.03
-253,0.02
-252,0.01
-251,0
-250,0
-249,0
-248,0
-247,0
-246,0
-245,0
-244,0
-243,0
-242,0
-241,0
-240,0
-239,0
-238,0
-237,0
-236,0
-235,0
-234,0
-233,0
-232,0
-231,0
-230,0
-229,0
-228,0
-227,0
-226,0
-225,0
-224,0
-223,0
-222,0
-221,0
-220,0
-219,0
-218,0
-217,0
-216,0
-215,0
-214,0
-213,0
-212,0
-211,0
-210,0
-209,0
-208,0
-207,0
-206,0
-205,0
-204,0
-203,0
-202,0
-201,0
-200,0
-199,0
-198,0
-197,0
-196,0
-195,0
-194,0
-193,0
-192,0
-191,0
-190,0
-189,0
-188,0
-187,0
-186,0
-185,0
-184,0
-183,0
-182,0
-181,0
-180,0
-179,0
-178,0
-177,0
-176,0
-175,0
-174,0
-173,0
-172,0
-171,0
-170,0
-169,0
-168,0
-167,0
-166,0
-165,0
-164,0
-163,0
-162,0
-161,0
-160,0
-159,0
-158,0
-157,0
-156,0
-155,0
-154,0
-153,0
-152,0
-151,0
-150,0
-149,0.01
-148,0.02
-147,0.03
-146,0.04
-145,0.05
-144,0.06
-143,0.07
-142,0.08
-141,0.09
-140,0.1
-139,0.11
-138,0.12
-137,0.13
-136,0.14
-135,0.15
-134,0.16
-133,0.17
-132,0.18
-131,0.19
-130,0.2
-129,0.21
-128,0.22
-127,0.23
-126,0.24
-125,0.25
-124,0.26
-123,0.27
-122,0.28
-121,0.29
-120,0.3
-119,0.31
-118,0.32
-117,0.33
-116,0.34
-115,0.35
-114,0.36
-113,0.37
-112,0.38
-111,0.39
-110,0.4
-109,0.41
-108,0.42
-107,0.43
-106,0.44
-105,0.45
-104,0.46
-103,0.47
-102,0.48
-101,0.49
-100,0.5
-99,0.51
-98,0.52
-97,0.53
-96,0.54
-95,0.55
-94,0.56
-93,0.57
-92,0.58
-91,0.59
-90,0.6
-89,0.61
-88,0.62
-87,0.63
-86,0.64
-85,0.65
-84,0.66
-83,0.67
-82,0.68
-81,0.69
-80,0.7
-79,0.71
-78,0.72
-77,0.73
-76,0.74
-75,0.75
-74,0.76
-73,0.77
-72,0.78
-71,0.79
-70,0.8
-69,0.81
-68,0.82
-67,0.83
-66,0.84
-65,0.85
-64,0.86
-63,0.87
-62,0.88
-61,0.89
-60,0.9
-59,0.91
-58,0.92
-57,0.93
-56,0.94
-55,0.95
-54,0.96
-53,0.97
-52,0.98
-51,0.99
-50,1
-49,1
-48,1
-47,1
-46,1
-45,1
-44,1
-43,1
-42,1
-41,1
-40,1
-39,1
-38,1
-37,1
-36,1
-35,1
-34,1
-33,1
-32,1
-31,1
-30,1
-29,1
-28,1
-27,1
-26,1
-25,1
-24,1
-23,1
-22,1
-21,1
-20,1
-19,1
-18,1
-17,1
-16,1
-15,1
-14,1
-13,1
-12,1
-11,1
-10,1
-9,1
-8,1
-7,1
-6,1
-5,1
-4,1
-3,1
-2,1
-1,1
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,0.99
51,0.98
52,0.97
53,0.96
54,0.95
55,0.94
56,0.93
57,0.92
58,0.91
59,0.9
60,0.89
61,0.88
62,0.87
63,0.86
64,0.85
65,0.84
66,0.83
67,0.82
68,0.81
69,0.8
70,0.79
71,0.78
72,0.77
73,0.76
74,0.75
75,0.74
76,0.73
77,0.72
78,0.71
79,0.7
80,0.69
81,0.68
82,0.67
83,0.66
84,0.65
85,0.64
86,0.63
87,0.62
88,0.61
89,0.6
90,0.59
91,0.58
92,0.57
93,0.56
94,0.55
95,0.54
96,0.53
97,0.52
98,0.51
99,0.5
100,0.49
101,0.48
102,0.47
103,0.46
104,0.45
105,0.44
106,0.43
107,0.42
108,0.41
109,0.4
110,0.39
111,0.38
112,0.37
113,0.36
114,0.35
115,0.34
116,0.33
117,0.32
118,0.31
119,0.3
120,0.29
121,0.28
122,0.27
123,0.26
124,0.25
125,0.24
126,0.23
127,0.22
128,0.21
129,0.2
130,0.19
131,0.18
132,0.17
133,0.16
134,0.15
135,0.14
136,0.13
137,0.12
138,0.11
139,0.1
140,0.09
141,0.08
142,0.07
143,0.06
144,0.05
145,0.04
146,0.03
147,0.02
148,0.01
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0.01
252,0.02
253,0.03
254,0.04
255,0.05
256,0.06
257,0.07
258,0.08
259,0.09
260,0.1
261,0.11
262,0.12
263,0.13
264,0.14
265,0.15
266,0.16
267,0.17
268,0.18
269,0.19
270,0.2
271,0.21
272,0.22
273,0.23
274,0.24
275,0.25
276,0.26
277,0.27
278,0.28
279,0.29
280,0.3
281,0.31
282,0.32
283,0.33
284,0.34
285,0.35
286,0.36
287,0.37
288,0.38
289,0.39
290,0.4
291,0.41
292,0.42
293,0.43
294,0.44
295,0.45
296,0.46
297,0.47
298,0.48
299,0.49
300,0.5
301,0.51
302,0.52
303,0.53
304,0.54
305,0.55
306,0.56
307,0.57
308,0.58
309,0.59
310,0.6
311,0.61
312,0.62
313,0.63
314,0.64
315,0.65
316,0.66
317,0.67
318,0.68
319,0.69
320,0.7
321,0.71
322,0.72
323,0.73
324,0.74
325,0.75
326,0.76
327,0.77
328,0.78
329,0.79
330,0.8
331,0.81
332,0.82
333,0.83
334,0.84
335,0.85
336,0.86
337,0.87
338,0.88
339,0.89
340,0.9
341,0.91
342,0.92
343,0.93
344,0.94
345,0.95
346,0.96
347,0.97
348,0.98
349,0.99
350,1
351,1
352,1
