f,Y
150,0
151,0.01
152,0.02
153,0.03
154,0.04
155,0.05
156,0.06
157,0.07
158,0.08
159,0.09
160,0.1
161,0.11
162,0.12
163,0.13
164,0.14
165,0.15
166,0.16
167,0.17
168,0.18
169,0.19
170,0.2
171,0.21
172,0.22
173,0.23
174,0.24
175,0.25
176,0.26
177,0.27
178,0.28
179,0.29
180,0.3
181,0.31
182,0.32
183,0.33
184,0.34
185,0.35
186,0.36
187,0.37
188,0.38
189,0.39
190,0.4
191,0.41
192,0.42
193,0.43
194,0.44
195,0.45
196,0.46
197,0.47
198,0.48
199,0.49
200,0.5
200,0.49
201,0.48
202,0.47
203,0.46
204,0.45
205,0.44
206,0.43
207,0.42
208,0.41
209,0.4
210,0.39
211,0.38
212,0.37
213,0.36
214,0.35
215,0.34
216,0.33
217,0.32
218,0.31
219,0.3
220,0.29
221,0.28
222,0.27
223,0.26
224,0.25
225,0.24
226,0.23
227,0.22
228,0.21
229,0.2
230,0.19
231,0.18
232,0.17
233,0.16
234,0.15
235,0.14
236,0.13
237,0.12
238,0.11
239,0.1
240,0.09
241,0.08
242,0.07
243,0.06
244,0.05
245,0.04
246,0.03
247,0.02
248,0.01
249,0
