abs(H),w
0.00099996,-5.6451
0.00099984,-5.6353
0.00099964,-5.6255
0.00099936,-5.6157
0.00099901,-5.6059
0.00099857,-5.5961
0.00099805,-5.5864
0.00099746,-5.5766
0.00099678,-5.5668
0.00099603,-5.557
0.00099519,-5.5472
0.00099428,-5.5374
0.00099328,-5.5276
0.00099221,-5.5179
0.00099105,-5.5081
0.00098981,-5.4983
0.00098849,-5.4885
0.0009871,-5.4787
0.00098562,-5.4689
0.00098406,-5.4591
0.00098241,-5.4493
0.00098069,-5.4396
0.00097888,-5.4298
0.000977,-5.42
0.00097503,-5.4102
0.00097297,-5.4004
0.00097084,-5.3906
0.00096862,-5.3808
0.00096631,-5.371
0.00096393,-5.3613
0.00096146,-5.3515
0.0009589,-5.3417
0.00095626,-5.3319
0.00095354,-5.3221
0.00095073,-5.3123
0.00094783,-5.3025
0.00094485,-5.2928
0.00094178,-5.283
0.00093862,-5.2732
0.00093538,-5.2634
0.00093204,-5.2536
0.00092862,-5.2438
0.00092511,-5.234
0.00092152,-5.2242
0.00091783,-5.2145
0.00091405,-5.2047
0.00091018,-5.1949
0.00090622,-5.1851
0.00090217,-5.1753
0.00089802,-5.1655
0.00089378,-5.1557
0.00088945,-5.1459
0.00088503,-5.1362
0.00088051,-5.1264
0.00087589,-5.1166
0.00087118,-5.1068
0.00086637,-5.097
0.00086147,-5.0872
0.00085647,-5.0774
0.00085137,-5.0677
0.00084617,-5.0579
0.00084087,-5.0481
0.00083547,-5.0383
0.00082997,-5.0285
0.00082436,-5.0187
0.00081866,-5.0089
0.00081285,-4.9991
0.00080694,-4.9894
0.00080092,-4.9796
0.00079479,-4.9698
0.00078856,-4.96
0.00078223,-4.9502
0.00077578,-4.9404
0.00076923,-4.9306
0.00076256,-4.9208
0.00075579,-4.9111
0.0007489,-4.9013
0.0007419,-4.8915
0.00073479,-4.8817
0.00072756,-4.8719
0.00072022,-4.8621
0.00071277,-4.8523
0.00070519,-4.8426
0.0006975,-4.8328
0.00068969,-4.823
0.00068176,-4.8132
0.00067371,-4.8034
0.00066553,-4.7936
0.00065723,-4.7838
0.00064881,-4.774
0.00064027,-4.7643
0.0006316,-4.7545
0.0006228,-4.7447
0.00061387,-4.7349
0.00060482,-4.7251
0.00059563,-4.7153
0.00058631,-4.7055
0.00057686,-4.6958
0.00056728,-4.686
0.00055757,-4.6762
0.00054771,-4.6664
0.00053772,-4.6566
0.0005276,-4.6468
0.00051733,-4.637
0.00050692,-4.6272
0.00049638,-4.6175
0.00048569,-4.6077
0.00047486,-4.5979
0.00046388,-4.5881
0.00045276,-4.5783
0.00044149,-4.5685
0.00043007,-4.5587
0.00041851,-4.5489
0.00040679,-4.5392
0.00039493,-4.5294
0.00038291,-4.5196
0.00037074,-4.5098
0.00035842,-4.5
0.00034594,-4.4902
0.00033331,-4.4804
0.00032052,-4.4707
0.00030757,-4.4609
0.00029446,-4.4511
0.0002812,-4.4413
0.00026777,-4.4315
0.00025418,-4.4217
0.00024044,-4.4119
0.00022653,-4.4021
0.00021245,-4.3924
0.00019822,-4.3826
0.00018382,-4.3728
0.00016926,-4.363
0.00015453,-4.3532
0.00013964,-4.3434
0.00012458,-4.3336
0.00010936,-4.3238
9.397e-05,-4.3141
7.8418e-05,-4.3043
6.2701e-05,-4.2945
4.6821e-05,-4.2847
3.0776e-05,-4.2749
1.4568e-05,-4.2651
1.8023e-06,-4.2553
1.8334e-05,-4.2456
3.5026e-05,-4.2358
5.1878e-05,-4.226
6.8887e-05,-4.2162
8.6052e-05,-4.2064
0.00010337,-4.1966
0.00012084,-4.1868
0.00013846,-4.177
0.00015623,-4.1673
0.00017414,-4.1575
0.0001922,-4.1477
0.00021039,-4.1379
0.00022871,-4.1281
0.00024716,-4.1183
0.00026574,-4.1085
0.00028444,-4.0988
0.00030325,-4.089
0.00032217,-4.0792
0.00034119,-4.0694
0.00036031,-4.0596
0.00037951,-4.0498
0.00039879,-4.04
0.00041814,-4.0302
0.00043756,-4.0205
0.00045702,-4.0107
0.00047652,-4.0009
0.00049605,-3.9911
0.0005156,-3.9813
0.00053515,-3.9715
0.00055468,-3.9617
0.00057418,-3.9519
0.00059364,-3.9422
0.00061304,-3.9324
0.00063235,-3.9226
0.00065156,-3.9128
0.00067064,-3.903
0.00068958,-3.8932
0.00070834,-3.8834
0.0007269,-3.8737
0.00074523,-3.8639
0.00076329,-3.8541
0.00078107,-3.8443
0.00079852,-3.8345
0.0008156,-3.8247
0.00083228,-3.8149
0.00084851,-3.8051
0.00086425,-3.7954
0.00087945,-3.7856
0.00089406,-3.7758
0.00090802,-3.766
0.00092128,-3.7562
0.00093377,-3.7464
0.00094543,-3.7366
0.00095619,-3.7268
0.00096598,-3.7171
0.00097472,-3.7073
0.00098231,-3.6975
0.00098868,-3.6877
0.00099374,-3.6779
0.00099737,-3.6681
0.00099948,-3.6583
0.00099996,-3.6486
0.00099868,-3.6388
0.00099553,-3.629
0.00099037,-3.6192
0.00098306,-3.6094
0.00097346,-3.5996
0.00096142,-3.5898
0.00094679,-3.58
0.00092939,-3.5703
0.00090905,-3.5605
0.00088559,-3.5507
0.00085884,-3.5409
0.00082861,-3.5311
0.0007947,-3.5213
0.00075692,-3.5115
0.00071508,-3.5018
0.000669,-3.492
0.00061848,-3.4822
0.00056337,-3.4724
0.0005035,-3.4626
0.00043875,-3.4528
0.00036901,-3.443
0.00029425,-3.4332
0.00021446,-3.4235
0.00012973,-3.4137
4.0233e-05,-3.4039
5.372e-05,-3.3941
0.00015166,-3.3843
0.00025293,-3.3745
0.0003566,-3.3647
0.0004614,-3.3549
0.00056569,-3.3452
0.00066725,-3.3354
0.00076324,-3.3256
0.00084995,-3.3158
0.0009226,-3.306
0.00097504,-3.2962
0.00099935,-3.2864
0.00098536,-3.2767
0.00091996,-3.2669
0.00078622,-3.2571
0.00056224,-3.2473
0.00021956,-3.2375
0.00027899,-3.2277
0.00098224,-3.2179
0.0019548,-3.2081
0.0032828,-3.1984
