t,y
-8.5,0.037448
-8.49,0.037474
-8.48,0.037462
-8.47,0.037414
-8.46,0.037329
-8.45,0.037206
-8.44,0.037046
-8.43,0.03685
-8.42,0.036616
-8.41,0.036346
-8.4,0.036039
-8.39,0.035696
-8.38,0.035317
-8.37,0.034902
-8.36,0.034452
-8.35,0.033966
-8.34,0.033446
-8.33,0.032891
-8.32,0.032303
-8.31,0.031681
-8.3,0.031026
-8.29,0.030339
-8.28,0.029621
-8.27,0.028872
-8.26,0.028092
-8.25,0.027282
-8.24,0.026444
-8.23,0.025577
-8.22,0.024683
-8.21,0.023763
-8.2,0.022817
-8.19,0.021846
-8.18,0.020851
-8.17,0.019833
-8.16,0.018793
-8.15,0.017731
-8.14,0.01665
-8.13,0.015549
-8.12,0.014431
-8.11,0.013295
-8.1,0.012144
-8.09,0.010977
-8.08,0.0097971
-8.07,0.0086044
-8.06,0.0074002
-8.05,0.0061857
-8.04,0.004962
-8.03,0.0037305
-8.02,0.0024921
-8.01,0.0012482
-8,-3.8982e-17
-7.99,-0.0012514
-7.98,-0.0025046
-7.97,-0.0037585
-7.96,-0.0050119
-7.95,-0.0062635
-7.94,-0.007512
-7.93,-0.0087563
-7.92,-0.009995
-7.91,-0.011227
-7.9,-0.012451
-7.89,-0.013666
-7.88,-0.01487
-7.87,-0.016063
-7.86,-0.017243
-7.85,-0.018409
-7.84,-0.01956
-7.83,-0.020694
-7.82,-0.021811
-7.81,-0.022909
-7.8,-0.023987
-7.79,-0.025044
-7.78,-0.026079
-7.77,-0.027092
-7.76,-0.02808
-7.75,-0.029042
-7.74,-0.029979
-7.73,-0.030888
-7.72,-0.03177
-7.71,-0.032622
-7.7,-0.033444
-7.69,-0.034235
-7.68,-0.034995
-7.67,-0.035721
-7.66,-0.036415
-7.65,-0.037074
-7.64,-0.037698
-7.63,-0.038287
-7.62,-0.03884
-7.61,-0.039355
-7.6,-0.039833
-7.59,-0.040273
-7.58,-0.040674
-7.57,-0.041036
-7.56,-0.041359
-7.55,-0.041641
-7.54,-0.041883
-7.53,-0.042085
-7.52,-0.042245
-7.51,-0.042364
-7.5,-0.042441
-7.49,-0.042477
-7.48,-0.042471
-7.47,-0.042423
-7.46,-0.042332
-7.45,-0.0422
-7.44,-0.042026
-7.43,-0.041809
-7.42,-0.041551
-7.41,-0.041251
-7.4,-0.04091
-7.39,-0.040527
-7.38,-0.040103
-7.37,-0.039638
-7.36,-0.039133
-7.35,-0.038587
-7.34,-0.038002
-7.33,-0.037378
-7.32,-0.036716
-7.31,-0.036015
-7.3,-0.035276
-7.29,-0.034501
-7.28,-0.03369
-7.27,-0.032843
-7.26,-0.031961
-7.25,-0.031045
-7.24,-0.030096
-7.23,-0.029115
-7.22,-0.028102
-7.21,-0.027059
-7.2,-0.025986
-7.19,-0.024884
-7.18,-0.023755
-7.17,-0.022599
-7.16,-0.021417
-7.15,-0.020211
-7.14,-0.018982
-7.13,-0.01773
-7.12,-0.016458
-7.11,-0.015165
-7.1,-0.013854
-7.09,-0.012525
-7.08,-0.011181
-7.07,-0.0098214
-7.06,-0.0084483
-7.05,-0.0070631
-7.04,-0.0056669
-7.03,-0.0042611
-7.02,-0.0028471
-7.01,-0.0014263
-7,3.8982e-17
-6.99,0.0014304
-6.98,0.0028634
-6.97,0.0042978
-6.96,0.005732
-6.95,0.0071647
-6.94,0.0085944
-6.93,0.01002
-6.92,0.011439
-6.91,0.012852
-6.9,0.014256
-6.89,0.015649
-6.88,0.017032
-6.87,0.018401
-6.86,0.019757
-6.85,0.021096
-6.84,0.022419
-6.83,0.023724
-6.82,0.025009
-6.81,0.026273
-6.8,0.027514
-6.79,0.028733
-6.78,0.029926
-6.77,0.031093
-6.76,0.032233
-6.75,0.033345
-6.74,0.034427
-6.73,0.035478
-6.72,0.036497
-6.71,0.037483
-6.7,0.038436
-6.69,0.039352
-6.68,0.040233
-6.67,0.041077
-6.66,0.041882
-6.65,0.042649
-6.64,0.043376
-6.63,0.044062
-6.62,0.044707
-6.61,0.045309
-6.6,0.045868
-6.59,0.046384
-6.58,0.046856
-6.57,0.047282
-6.56,0.047663
-6.55,0.047999
-6.54,0.048287
-6.53,0.048529
-6.52,0.048724
-6.51,0.048871
-6.5,0.048971
-6.49,0.049022
-6.48,0.049025
-6.47,0.048979
-6.46,0.048885
-6.45,0.048743
-6.44,0.048552
-6.43,0.048312
-6.42,0.048023
-6.41,0.047687
-6.4,0.047302
-6.39,0.046869
-6.38,0.046388
-6.37,0.04586
-6.36,0.045285
-6.35,0.044664
-6.34,0.043996
-6.33,0.043283
-6.32,0.042525
-6.31,0.041722
-6.3,0.040876
-6.29,0.039986
-6.28,0.039054
-6.27,0.038081
-6.26,0.037067
-6.25,0.036013
-6.24,0.03492
-6.23,0.033788
-6.22,0.03262
-6.21,0.031416
-6.2,0.030177
-6.19,0.028904
-6.18,0.027599
-6.17,0.026261
-6.16,0.024894
-6.15,0.023498
-6.14,0.022073
-6.13,0.020623
-6.12,0.019147
-6.11,0.017647
-6.1,0.016125
-6.09,0.014582
-6.08,0.01302
-6.07,0.011439
-6.06,0.0098425
-6.05,0.0082305
-6.04,0.0066051
-6.03,0.0049678
-6.02,0.0033201
-6.01,0.0016636
-6,-3.8982e-17
-5.99,-0.0016692
-5.98,-0.0033423
-5.97,-0.0050177
-5.96,-0.0066938
-5.95,-0.0083688
-5.94,-0.010041
-5.93,-0.011709
-5.92,-0.013372
-5.91,-0.015026
-5.9,-0.016672
-5.89,-0.018306
-5.88,-0.019928
-5.87,-0.021536
-5.86,-0.023128
-5.85,-0.024703
-5.84,-0.026258
-5.83,-0.027793
-5.82,-0.029306
-5.81,-0.030795
-5.8,-0.032258
-5.79,-0.033695
-5.78,-0.035104
-5.77,-0.036482
-5.76,-0.03783
-5.75,-0.039144
-5.74,-0.040425
-5.73,-0.04167
-5.72,-0.042878
-5.71,-0.044048
-5.7,-0.045179
-5.69,-0.046269
-5.68,-0.047317
-5.67,-0.048321
-5.66,-0.049282
-5.65,-0.050198
-5.64,-0.051067
-5.63,-0.051888
-5.62,-0.052661
-5.61,-0.053385
-5.6,-0.054059
-5.59,-0.054682
-5.58,-0.055253
-5.57,-0.055771
-5.56,-0.056236
-5.55,-0.056647
-5.54,-0.057004
-5.53,-0.057305
-5.52,-0.057551
-5.51,-0.057741
-5.5,-0.057875
-5.49,-0.057951
-5.48,-0.057971
-5.47,-0.057934
-5.46,-0.057839
-5.45,-0.057686
-5.44,-0.057476
-5.43,-0.057209
-5.42,-0.056884
-5.41,-0.056501
-5.4,-0.056061
-5.39,-0.055564
-5.38,-0.055011
-5.37,-0.0544
-5.36,-0.053734
-5.35,-0.053012
-5.34,-0.052235
-5.33,-0.051404
-5.32,-0.050518
-5.31,-0.04958
-5.3,-0.048588
-5.29,-0.047545
-5.28,-0.046451
-5.27,-0.045307
-5.26,-0.044114
-5.25,-0.042872
-5.24,-0.041584
-5.23,-0.040249
-5.22,-0.038869
-5.21,-0.037446
-5.2,-0.03598
-5.19,-0.034473
-5.18,-0.032926
-5.17,-0.031341
-5.16,-0.029718
-5.15,-0.02806
-5.14,-0.026368
-5.13,-0.024643
-5.12,-0.022886
-5.11,-0.021101
-5.1,-0.019287
-5.09,-0.017447
-5.08,-0.015583
-5.07,-0.013696
-5.06,-0.011788
-5.05,-0.0098603
-5.04,-0.0079156
-5.03,-0.0059554
-5.02,-0.0039814
-5.01,-0.0019957
-5,3.8982e-17
-4.99,0.0020037
-4.98,0.0040134
-4.97,0.0060273
-4.96,0.0080433
-4.95,0.01006
-4.94,0.012074
-4.93,0.014085
-4.92,0.01609
-4.91,0.018087
-4.9,0.020074
-4.89,0.02205
-4.88,0.024012
-4.87,0.025958
-4.86,0.027887
-4.85,0.029796
-4.84,0.031683
-4.83,0.033547
-4.82,0.035386
-4.81,0.037197
-4.8,0.038979
-4.79,0.04073
-4.78,0.042447
-4.77,0.04413
-4.76,0.045777
-4.75,0.047385
