abs(H),w
1.0001,0
1.0001,0.0007854
1.0001,0.0015708
1.0001,0.0023562
1.0002,0.0031416
1.0002,0.003927
1.0003,0.0047124
1.0004,0.0054978
1.0005,0.0062832
1.0006,0.0070686
1.0008,0.007854
1.001,0.0086394
1.0011,0.0094248
1.0014,0.01021
1.0016,0.010996
1.0019,0.011781
1.0021,0.012566
1.0025,0.013352
1.0028,0.014137
1.0032,0.014923
1.0036,0.015708
1.004,0.016493
1.0045,0.017279
1.005,0.018064
1.0055,0.01885
1.006,0.019635
1.0066,0.02042
1.0072,0.021206
1.0078,0.021991
1.0084,0.022777
1.009,0.023562
1.0097,0.024347
1.0104,0.025133
1.0111,0.025918
1.0118,0.026704
1.0125,0.027489
1.0133,0.028274
1.014,0.02906
1.0148,0.029845
1.0155,0.030631
1.0163,0.031416
1.0171,0.032201
1.0179,0.032987
1.0187,0.033772
1.0195,0.034558
1.0204,0.035343
1.0213,0.036128
1.0221,0.036914
1.023,0.037699
1.0239,0.038485
1.0249,0.03927
1.0259,0.040055
1.0268,0.040841
1.0279,0.041626
1.0289,0.042412
1.03,0.043197
1.0311,0.043982
1.0322,0.044768
1.0334,0.045553
1.0346,0.046338
1.0358,0.047124
1.0371,0.047909
1.0384,0.048695
1.0397,0.04948
1.0411,0.050265
1.0425,0.051051
1.0439,0.051836
1.0453,0.052622
1.0468,0.053407
1.0483,0.054192
1.0498,0.054978
1.0513,0.055763
1.0528,0.056549
1.0544,0.057334
1.056,0.058119
1.0576,0.058905
1.0592,0.05969
1.0608,0.060476
1.0624,0.061261
1.0641,0.062046
1.0657,0.062832
1.0674,0.063617
1.0691,0.064403
1.0708,0.065188
1.0725,0.065973
1.0742,0.066759
1.076,0.067544
1.0778,0.06833
1.0796,0.069115
1.0814,0.0699
1.0833,0.070686
1.0852,0.071471
1.0871,0.072257
1.0891,0.073042
1.0911,0.073827
1.0931,0.074613
1.0951,0.075398
1.0972,0.076184
1.0994,0.076969
1.1015,0.077754
1.1037,0.07854
1.106,0.079325
1.1083,0.080111
1.1106,0.080896
1.1129,0.081681
1.1153,0.082467
1.1177,0.083252
1.1201,0.084038
1.1226,0.084823
1.1251,0.085608
1.1276,0.086394
1.1301,0.087179
1.1327,0.087965
1.1353,0.08875
1.1379,0.089535
1.1405,0.090321
1.1431,0.091106
1.1458,0.091892
1.1484,0.092677
1.1511,0.093462
1.1538,0.094248
1.1566,0.095033
1.1593,0.095819
1.1621,0.096604
1.1649,0.097389
1.1677,0.098175
1.1706,0.09896
1.1735,0.099746
1.1764,0.10053
1.1794,0.10132
1.1824,0.1021
1.1854,0.10289
1.1885,0.10367
1.1916,0.10446
1.1948,0.10524
1.198,0.10603
1.2012,0.10681
1.2045,0.1076
1.2079,0.10838
1.2112,0.10917
1.2147,0.10996
1.2181,0.11074
1.2216,0.11153
1.2252,0.11231
1.2288,0.1131
1.2324,0.11388
1.2361,0.11467
1.2398,0.11545
1.2435,0.11624
1.2472,0.11702
1.251,0.11781
1.2548,0.1186
1.2587,0.11938
1.2626,0.12017
1.2665,0.12095
1.2704,0.12174
1.2744,0.12252
1.2783,0.12331
1.2823,0.12409
1.2864,0.12488
1.2905,0.12566
1.2946,0.12645
1.2987,0.12723
1.3029,0.12802
1.3071,0.12881
1.3114,0.12959
1.3157,0.13038
1.32,0.13116
1.3244,0.13195
1.3289,0.13273
1.3334,0.13352
1.338,0.1343
1.3426,0.13509
1.3472,0.13587
1.352,0.13666
1.3567,0.13744
1.3616,0.13823
1.3665,0.13902
1.3714,0.1398
1.3764,0.14059
1.3815,0.14137
1.3866,0.14216
1.3917,0.14294
1.397,0.14373
1.4022,0.14451
1.4075,0.1453
1.4128,0.14608
1.4182,0.14687
1.4236,0.14765
1.4291,0.14844
1.4346,0.14923
1.4402,0.15001
1.4457,0.1508
1.4514,0.15158
1.457,0.15237
1.4627,0.15315
1.4685,0.15394
1.4743,0.15472
1.4801,0.15551
1.486,0.15629
1.492,0.15708
1.498,0.15787
1.504,0.15865
1.5102,0.15944
1.5164,0.16022
1.5226,0.16101
1.529,0.16179
1.5354,0.16258
1.5419,0.16336
1.5484,0.16415
1.5551,0.16493
1.5618,0.16572
1.5685,0.1665
1.5754,0.16729
1.5823,0.16808
1.5893,0.16886
1.5964,0.16965
1.6035,0.17043
1.6107,0.17122
1.618,0.172
1.6253,0.17279
1.6327,0.17357
1.6401,0.17436
1.6476,0.17514
1.6552,0.17593
1.6628,0.17671
1.6704,0.1775
1.6781,0.17829
1.6859,0.17907
1.6937,0.17986
1.7016,0.18064
1.7095,0.18143
1.7175,0.18221
1.7257,0.183
