abs(H),w
0.9758,0
0.9758,0.00031416
0.9758,0.00062832
0.9758,0.00094248
0.9758,0.0012566
0.9758,0.0015708
0.9758,0.001885
0.9758,0.0021991
0.9758,0.0025133
0.9758,0.0028274
0.9758,0.0031416
0.9758,0.0034558
0.9758,0.0037699
0.9758,0.0040841
0.97581,0.0043982
0.97581,0.0047124
0.97581,0.0050265
0.97581,0.0053407
0.97581,0.0056549
0.97581,0.005969
0.97581,0.0062832
0.97581,0.0065973
0.97581,0.0069115
0.97581,0.0072257
0.97581,0.0075398
0.97581,0.007854
0.97581,0.0081681
0.97581,0.0084823
0.97581,0.0087965
0.97581,0.0091106
0.97582,0.0094248
0.97582,0.0097389
0.97582,0.010053
0.97582,0.010367
0.97582,0.010681
0.97582,0.010996
0.97582,0.01131
0.97582,0.011624
0.97582,0.011938
0.97583,0.012252
0.97583,0.012566
0.97583,0.012881
0.97583,0.013195
0.97583,0.013509
0.97583,0.013823
0.97583,0.014137
0.97583,0.014451
0.97584,0.014765
0.97584,0.01508
0.97584,0.015394
0.97584,0.015708
0.97584,0.016022
0.97584,0.016336
0.97585,0.01665
0.97585,0.016965
0.97585,0.017279
0.97585,0.017593
0.97585,0.017907
0.97585,0.018221
0.97586,0.018535
0.97586,0.01885
0.97586,0.019164
0.97586,0.019478
0.97586,0.019792
0.97586,0.020106
0.97587,0.02042
0.97587,0.020735
0.97587,0.021049
0.97587,0.021363
0.97588,0.021677
0.97588,0.021991
0.97588,0.022305
0.97588,0.022619
0.97588,0.022934
0.97589,0.023248
0.97589,0.023562
0.97589,0.023876
0.97589,0.02419
0.9759,0.024504
0.9759,0.024819
0.9759,0.025133
0.9759,0.025447
0.97591,0.025761
0.97591,0.026075
0.97591,0.026389
0.97591,0.026704
0.97592,0.027018
0.97592,0.027332
0.97592,0.027646
0.97593,0.02796
0.97593,0.028274
0.97593,0.028588
0.97593,0.028903
0.97594,0.029217
0.97594,0.029531
0.97594,0.029845
0.97595,0.030159
0.97595,0.030473
0.97595,0.030788
0.97596,0.031102
0.97596,0.031416
0.97596,0.03173
0.97597,0.032044
0.97597,0.032358
0.97597,0.032673
0.97598,0.032987
0.97598,0.033301
0.97598,0.033615
0.97599,0.033929
0.97599,0.034243
0.97599,0.034558
0.976,0.034872
0.976,0.035186
0.976,0.0355
0.97601,0.035814
0.97601,0.036128
0.97601,0.036442
0.97602,0.036757
0.97602,0.037071
0.97603,0.037385
0.97603,0.037699
0.97603,0.038013
0.97604,0.038327
0.97604,0.038642
0.97605,0.038956
0.97605,0.03927
0.97606,0.039584
0.97606,0.039898
0.97606,0.040212
0.97607,0.040527
0.97607,0.040841
0.97608,0.041155
0.97608,0.041469
0.97609,0.041783
0.97609,0.042097
0.97609,0.042412
0.9761,0.042726
0.9761,0.04304
0.97611,0.043354
0.97611,0.043668
0.97612,0.043982
0.97612,0.044296
0.97613,0.044611
0.97613,0.044925
0.97614,0.045239
0.97614,0.045553
0.97615,0.045867
0.97615,0.046181
0.97616,0.046496
0.97616,0.04681
0.97617,0.047124
0.97617,0.047438
0.97618,0.047752
0.97618,0.048066
0.97619,0.048381
0.9762,0.048695
0.9762,0.049009
0.97621,0.049323
0.97621,0.049637
0.97622,0.049951
0.97622,0.050265
0.97623,0.05058
0.97623,0.050894
0.97624,0.051208
0.97625,0.051522
0.97625,0.051836
0.97626,0.05215
0.97626,0.052465
0.97627,0.052779
0.97628,0.053093
0.97628,0.053407
0.97629,0.053721
0.97629,0.054035
0.9763,0.05435
0.97631,0.054664
0.97631,0.054978
0.97632,0.055292
0.97633,0.055606
0.97633,0.05592
0.97634,0.056235
0.97635,0.056549
0.97635,0.056863
0.97636,0.057177
0.97637,0.057491
0.97637,0.057805
0.97638,0.058119
0.97639,0.058434
0.97639,0.058748
0.9764,0.059062
0.97641,0.059376
0.97641,0.05969
0.97642,0.060004
0.97643,0.060319
0.97644,0.060633
0.97644,0.060947
0.97645,0.061261
0.97646,0.061575
0.97646,0.061889
