abs(H),w
2.6214e+05,0
2.6214e+05,0.0007854
2.6213e+05,0.0015708
2.6212e+05,0.0023562
2.621e+05,0.0031416
2.6208e+05,0.003927
2.6205e+05,0.0047124
2.6202e+05,0.0054978
2.6198e+05,0.0062832
2.6194e+05,0.0070686
2.6189e+05,0.007854
2.6184e+05,0.0086394
2.6178e+05,0.0094248
2.6171e+05,0.01021
2.6165e+05,0.010996
2.6157e+05,0.011781
2.6149e+05,0.012566
2.6141e+05,0.013352
2.6132e+05,0.014137
2.6123e+05,0.014923
2.6113e+05,0.015708
2.6102e+05,0.016493
2.6091e+05,0.017279
2.608e+05,0.018064
2.6068e+05,0.01885
2.6056e+05,0.019635
2.6043e+05,0.02042
2.6029e+05,0.021206
2.6015e+05,0.021991
2.6001e+05,0.022777
2.5986e+05,0.023562
2.5971e+05,0.024347
2.5955e+05,0.025133
2.5938e+05,0.025918
2.5922e+05,0.026704
2.5904e+05,0.027489
2.5886e+05,0.028274
2.5868e+05,0.02906
2.5849e+05,0.029845
2.583e+05,0.030631
2.581e+05,0.031416
2.579e+05,0.032201
2.5769e+05,0.032987
2.5747e+05,0.033772
2.5726e+05,0.034558
2.5703e+05,0.035343
2.5681e+05,0.036128
2.5657e+05,0.036914
2.5634e+05,0.037699
2.561e+05,0.038485
2.5585e+05,0.03927
2.556e+05,0.040055
2.5534e+05,0.040841
2.5508e+05,0.041626
2.5481e+05,0.042412
2.5454e+05,0.043197
2.5427e+05,0.043982
2.5399e+05,0.044768
2.5371e+05,0.045553
2.5342e+05,0.046338
2.5312e+05,0.047124
2.5283e+05,0.047909
2.5252e+05,0.048695
2.5222e+05,0.04948
2.519e+05,0.050265
2.5159e+05,0.051051
2.5127e+05,0.051836
2.5094e+05,0.052622
2.5061e+05,0.053407
2.5028e+05,0.054192
2.4994e+05,0.054978
2.4959e+05,0.055763
2.4925e+05,0.056549
2.4889e+05,0.057334
2.4854e+05,0.058119
2.4818e+05,0.058905
2.4781e+05,0.05969
2.4744e+05,0.060476
2.4707e+05,0.061261
2.4669e+05,0.062046
2.4631e+05,0.062832
2.4592e+05,0.063617
2.4553e+05,0.064403
2.4514e+05,0.065188
2.4474e+05,0.065973
2.4433e+05,0.066759
2.4392e+05,0.067544
2.4351e+05,0.06833
2.431e+05,0.069115
2.4268e+05,0.0699
2.4225e+05,0.070686
2.4183e+05,0.071471
2.4139e+05,0.072257
2.4096e+05,0.073042
2.4052e+05,0.073827
2.4007e+05,0.074613
2.3963e+05,0.075398
2.3917e+05,0.076184
2.3872e+05,0.076969
2.3826e+05,0.077754
2.378e+05,0.07854
2.3733e+05,0.079325
2.3686e+05,0.080111
2.3638e+05,0.080896
2.3591e+05,0.081681
2.3542e+05,0.082467
2.3494e+05,0.083252
2.3445e+05,0.084038
2.3395e+05,0.084823
2.3346e+05,0.085608
2.3296e+05,0.086394
2.3245e+05,0.087179
2.3195e+05,0.087965
2.3144e+05,0.08875
2.3092e+05,0.089535
2.304e+05,0.090321
2.2988e+05,0.091106
2.2936e+05,0.091892
2.2883e+05,0.092677
2.283e+05,0.093462
2.2776e+05,0.094248
2.2723e+05,0.095033
2.2669e+05,0.095819
2.2614e+05,0.096604
2.2559e+05,0.097389
2.2504e+05,0.098175
2.2449e+05,0.09896
2.2393e+05,0.099746
2.2337e+05,0.10053
2.2281e+05,0.10132
2.2224e+05,0.1021
2.2167e+05,0.10289
2.211e+05,0.10367
2.2053e+05,0.10446
2.1995e+05,0.10524
2.1937e+05,0.10603
2.1878e+05,0.10681
2.1819e+05,0.1076
2.1761e+05,0.10838
2.1701e+05,0.10917
2.1642e+05,0.10996
2.1582e+05,0.11074
2.1522e+05,0.11153
2.1462e+05,0.11231
2.1401e+05,0.1131
2.134e+05,0.11388
2.1279e+05,0.11467
2.1218e+05,0.11545
2.1156e+05,0.11624
2.1094e+05,0.11702
2.1032e+05,0.11781
2.097e+05,0.1186
2.0907e+05,0.11938
2.0844e+05,0.12017
2.0781e+05,0.12095
2.0718e+05,0.12174
2.0654e+05,0.12252
2.0591e+05,0.12331
2.0527e+05,0.12409
2.0462e+05,0.12488
2.0398e+05,0.12566
2.0333e+05,0.12645
2.0268e+05,0.12723
2.0203e+05,0.12802
2.0138e+05,0.12881
2.0073e+05,0.12959
2.0007e+05,0.13038
1.9941e+05,0.13116
1.9875e+05,0.13195
1.9809e+05,0.13273
1.9742e+05,0.13352
1.9676e+05,0.1343
1.9609e+05,0.13509
1.9542e+05,0.13587
1.9475e+05,0.13666
1.9408e+05,0.13744
1.934e+05,0.13823
1.9273e+05,0.13902
1.9205e+05,0.1398
1.9137e+05,0.14059
1.9069e+05,0.14137
1.9001e+05,0.14216
1.8932e+05,0.14294
1.8864e+05,0.14373
1.8795e+05,0.14451
1.8726e+05,0.1453
1.8657e+05,0.14608
1.8588e+05,0.14687
1.8519e+05,0.14765
1.8449e+05,0.14844
1.838e+05,0.14923
1.831e+05,0.15001
1.8241e+05,0.1508
1.8171e+05,0.15158
1.8101e+05,0.15237
1.8031e+05,0.15315
1.796e+05,0.15394
1.789e+05,0.15472
1.782e+05,0.15551
1.7749e+05,0.15629
1.7679e+05,0.15708
1.7608e+05,0.15787
1.7537e+05,0.15865
1.7467e+05,0.15944
1.7396e+05,0.16022
1.7325e+05,0.16101
1.7254e+05,0.16179
1.7182e+05,0.16258
1.7111e+05,0.16336
1.704e+05,0.16415
1.6969e+05,0.16493
1.6897e+05,0.16572
1.6826e+05,0.1665
1.6754e+05,0.16729
1.6683e+05,0.16808
1.6611e+05,0.16886
1.6539e+05,0.16965
1.6468e+05,0.17043
1.6396e+05,0.17122
1.6324e+05,0.172
1.6252e+05,0.17279
1.6181e+05,0.17357
1.6109e+05,0.17436
1.6037e+05,0.17514
1.5965e+05,0.17593
1.5893e+05,0.17671
1.5821e+05,0.1775
1.5749e+05,0.17829
1.5677e+05,0.17907
1.5605e+05,0.17986
1.5533e+05,0.18064
1.5461e+05,0.18143
1.5389e+05,0.18221
1.5317e+05,0.183
