abs(H),w
0.99049,0
0.99049,0.00031416
0.99049,0.00062832
0.99049,0.00094248
0.99048,0.0012566
0.99048,0.0015708
0.99047,0.001885
0.99046,0.0021991
0.99046,0.0025133
0.99045,0.0028274
0.99044,0.0031416
0.99043,0.0034558
0.99041,0.0037699
0.9904,0.0040841
0.99039,0.0043982
0.99038,0.0047124
0.99036,0.0050265
0.99035,0.0053407
0.99033,0.0056549
0.99032,0.005969
0.9903,0.0062832
0.99029,0.0065973
0.99027,0.0069115
0.99025,0.0072257
0.99024,0.0075398
0.99022,0.007854
0.99021,0.0081681
0.99019,0.0084823
0.99018,0.0087965
0.99016,0.0091106
0.99015,0.0094248
0.99014,0.0097389
0.99013,0.010053
0.99011,0.010367
0.9901,0.010681
0.9901,0.010996
0.99009,0.01131
0.99008,0.011624
0.99007,0.011938
0.99007,0.012252
0.99006,0.012566
0.99006,0.012881
0.99006,0.013195
0.99006,0.013509
0.99006,0.013823
0.99006,0.014137
0.99007,0.014451
0.99007,0.014765
0.99008,0.01508
0.99009,0.015394
0.9901,0.015708
0.99011,0.016022
0.99012,0.016336
0.99014,0.01665
0.99015,0.016965
0.99017,0.017279
0.99018,0.017593
0.9902,0.017907
0.99022,0.018221
0.99024,0.018535
0.99026,0.01885
0.99029,0.019164
0.99031,0.019478
0.99034,0.019792
0.99036,0.020106
0.99039,0.02042
0.99041,0.020735
0.99044,0.021049
0.99047,0.021363
0.99049,0.021677
0.99052,0.021991
0.99055,0.022305
0.99057,0.022619
0.9906,0.022934
0.99063,0.023248
0.99066,0.023562
0.99068,0.023876
0.99071,0.02419
0.99073,0.024504
0.99076,0.024819
0.99078,0.025133
0.99081,0.025447
0.99083,0.025761
0.99085,0.026075
0.99087,0.026389
0.99089,0.026704
0.99091,0.027018
0.99093,0.027332
0.99094,0.027646
0.99096,0.02796
0.99097,0.028274
0.99098,0.028588
0.99099,0.028903
0.991,0.029217
0.99101,0.029531
0.99101,0.029845
0.99102,0.030159
0.99102,0.030473
0.99102,0.030788
0.99102,0.031102
0.99102,0.031416
0.99102,0.03173
0.99101,0.032044
0.99101,0.032358
0.991,0.032673
0.99099,0.032987
0.99098,0.033301
0.99097,0.033615
0.99096,0.033929
0.99095,0.034243
0.99094,0.034558
0.99092,0.034872
0.99091,0.035186
0.99089,0.0355
0.99087,0.035814
0.99086,0.036128
0.99084,0.036442
0.99082,0.036757
0.9908,0.037071
0.99078,0.037385
0.99077,0.037699
0.99075,0.038013
0.99073,0.038327
0.99071,0.038642
0.99069,0.038956
0.99068,0.03927
0.99066,0.039584
0.99064,0.039898
0.99063,0.040212
0.99061,0.040527
0.9906,0.040841
0.99058,0.041155
0.99057,0.041469
0.99056,0.041783
0.99055,0.042097
0.99054,0.042412
0.99054,0.042726
0.99053,0.04304
0.99053,0.043354
0.99052,0.043668
0.99052,0.043982
0.99052,0.044296
0.99052,0.044611
0.99053,0.044925
0.99053,0.045239
0.99054,0.045553
0.99055,0.045867
0.99056,0.046181
0.99057,0.046496
0.99058,0.04681
0.99059,0.047124
0.99061,0.047438
0.99063,0.047752
0.99065,0.048066
0.99067,0.048381
0.99069,0.048695
0.99071,0.049009
0.99074,0.049323
0.99076,0.049637
0.99079,0.049951
0.99081,0.050265
0.99084,0.05058
0.99087,0.050894
0.9909,0.051208
0.99093,0.051522
0.99096,0.051836
0.99099,0.05215
0.99103,0.052465
0.99106,0.052779
0.99109,0.053093
0.99112,0.053407
0.99115,0.053721
0.99119,0.054035
0.99122,0.05435
0.99125,0.054664
0.99128,0.054978
0.99131,0.055292
0.99134,0.055606
0.99137,0.05592
0.9914,0.056235
0.99143,0.056549
0.99146,0.056863
0.99148,0.057177
0.99151,0.057491
0.99153,0.057805
0.99155,0.058119
0.99157,0.058434
0.99159,0.058748
0.99161,0.059062
0.99163,0.059376
0.99165,0.05969
0.99166,0.060004
0.99167,0.060319
0.99169,0.060633
0.9917,0.060947
0.9917,0.061261
0.99171,0.061575
0.99172,0.061889
0.99172,0.062204
0.99172,0.062518
0.99173,0.062832
0.99173,0.063146
0.99172,0.06346
0.99172,0.063774
0.99172,0.064088
0.99171,0.064403
0.99171,0.064717
0.9917,0.065031
0.99169,0.065345
0.99168,0.065659
0.99167,0.065973
0.99166,0.066288
0.99165,0.066602
0.99164,0.066916
0.99163,0.06723
0.99162,0.067544
0.9916,0.067858
0.99159,0.068173
0.99158,0.068487
0.99156,0.068801
0.99155,0.069115
0.99154,0.069429
0.99153,0.069743
0.99152,0.070058
0.9915,0.070372
0.99149,0.070686
0.99148,0.071
0.99147,0.071314
0.99147,0.071628
0.99146,0.071942
0.99145,0.072257
0.99145,0.072571
0.99144,0.072885
0.99144,0.073199
0.99144,0.073513
0.99144,0.073827
0.99144,0.074142
0.99144,0.074456
0.99145,0.07477
0.99145,0.075084
0.99146,0.075398
0.99147,0.075712
0.99148,0.076027
0.99149,0.076341
0.99151,0.076655
0.99152,0.076969
0.99154,0.077283
0.99155,0.077597
0.99157,0.077911
0.9916,0.078226
0.99162,0.07854
0.99164,0.078854
0.99167,0.079168
0.99169,0.079482
0.99172,0.079796
0.99175,0.080111
0.99178,0.080425
0.99181,0.080739
0.99184,0.081053
0.99187,0.081367
0.99191,0.081681
0.99194,0.081996
0.99198,0.08231
0.99201,0.082624
0.99205,0.082938
0.99208,0.083252
0.99212,0.083566
0.99215,0.083881
0.99219,0.084195
0.99222,0.084509
0.99226,0.084823
0.9923,0.085137
0.99233,0.085451
0.99236,0.085765
0.9924,0.08608
0.99243,0.086394
0.99246,0.086708
0.9925,0.087022
0.99253,0.087336
0.99256,0.08765
0.99259,0.087965
0.99261,0.088279
0.99264,0.088593
0.99267,0.088907
0.99269,0.089221
0.99271,0.089535
0.99273,0.08985
0.99275,0.090164
0.99277,0.090478
0.99279,0.090792
0.99281,0.091106
0.99282,0.09142
0.99284,0.091735
0.99285,0.092049
0.99286,0.092363
0.99287,0.092677
0.99287,0.092991
0.99288,0.093305
0.99288,0.093619
0.99289,0.093934
0.99289,0.094248
0.99289,0.094562
0.99289,0.094876
0.99289,0.09519
0.99289,0.095504
0.99289,0.095819
0.99288,0.096133
0.99288,0.096447
0.99288,0.096761
0.99287,0.097075
0.99286,0.097389
0.99286,0.097704
0.99285,0.098018
0.99285,0.098332
0.99284,0.098646
0.99283,0.09896
0.99283,0.099274
0.99282,0.099588
0.99281,0.099903
0.99281,0.10022
0.9928,0.10053
0.9928,0.10085
0.99279,0.10116
0.99279,0.10147
0.99279,0.10179
0.99279,0.1021
0.99279,0.10242
0.99279,0.10273
0.99279,0.10304
0.99279,0.10336
0.99279,0.10367
0.9928,0.10399
0.99281,0.1043
0.99281,0.10462
0.99282,0.10493
0.99283,0.10524
0.99285,0.10556
0.99286,0.10587
0.99287,0.10619
0.99289,0.1065
0.99291,0.10681
0.99293,0.10713
0.99295,0.10744
0.99297,0.10776
0.99299,0.10807
0.99302,0.10838
0.99305,0.1087
0.99307,0.10901
0.9931,0.10933
