abs(H),w
NaN,0
3,0.0061359
2.9998,0.012272
2.9997,0.018408
2.9994,0.024544
2.9991,0.03068
2.9986,0.036816
2.9982,0.042951
2.9976,0.049087
2.997,0.055223
2.9962,0.061359
2.9954,0.067495
2.9946,0.073631
2.9936,0.079767
2.9926,0.085903
2.9915,0.092039
2.9904,0.098175
2.9891,0.10431
2.9878,0.11045
2.9864,0.11658
2.985,0.12272
2.9834,0.12885
2.9818,0.13499
2.9801,0.14113
2.9784,0.14726
2.9765,0.1534
2.9746,0.15953
2.9726,0.16567
2.9706,0.17181
2.9684,0.17794
2.9662,0.18408
2.9639,0.19021
2.9616,0.19635
2.9591,0.20249
2.9566,0.20862
2.9541,0.21476
2.9514,0.22089
2.9487,0.22703
2.9459,0.23317
2.943,0.2393
2.9401,0.24544
2.937,0.25157
2.934,0.25771
2.9308,0.26384
2.9276,0.26998
2.9242,0.27612
2.9209,0.28225
2.9174,0.28839
2.9139,0.29452
2.9103,0.30066
2.9066,0.3068
2.9029,0.31293
2.8991,0.31907
2.8952,0.3252
2.8912,0.33134
2.8872,0.33748
2.8831,0.34361
2.8789,0.34975
2.8747,0.35588
2.8704,0.36202
2.866,0.36816
2.8615,0.37429
2.857,0.38043
2.8524,0.38656
2.8478,0.3927
2.843,0.39884
2.8382,0.40497
2.8334,0.41111
2.8284,0.41724
2.8234,0.42338
2.8183,0.42951
2.8132,0.43565
2.808,0.44179
2.8027,0.44792
2.7973,0.45406
2.7919,0.46019
2.7864,0.46633
2.7809,0.47247
2.7753,0.4786
2.7696,0.48474
2.7638,0.49087
2.758,0.49701
2.7521,0.50315
2.7462,0.50928
2.7402,0.51542
2.7341,0.52155
2.7279,0.52769
2.7217,0.53383
2.7155,0.53996
2.7091,0.5461
2.7027,0.55223
2.6962,0.55837
2.6897,0.5645
2.6831,0.57064
2.6764,0.57678
2.6697,0.58291
2.6629,0.58905
2.6561,0.59518
2.6492,0.60132
2.6422,0.60746
2.6352,0.61359
2.6281,0.61973
2.6209,0.62586
2.6137,0.632
2.6064,0.63814
2.5991,0.64427
2.5917,0.65041
2.5842,0.65654
2.5767,0.66268
2.5691,0.66882
2.5615,0.67495
2.5538,0.68109
2.546,0.68722
2.5382,0.69336
2.5303,0.6995
2.5224,0.70563
2.5144,0.71177
2.5064,0.7179
2.4983,0.72404
2.4901,0.73017
2.4819,0.73631
2.4736,0.74245
2.4653,0.74858
2.4569,0.75472
2.4485,0.76085
2.44,0.76699
2.4315,0.77313
2.4229,0.77926
2.4142,0.7854
2.4055,0.79153
2.3968,0.79767
2.3879,0.80381
2.3791,0.80994
2.3702,0.81608
2.3612,0.82221
2.3522,0.82835
2.3431,0.83449
2.334,0.84062
2.3248,0.84676
2.3156,0.85289
2.3063,0.85903
2.297,0.86517
2.2877,0.8713
2.2782,0.87744
2.2688,0.88357
2.2593,0.88971
2.2497,0.89584
2.2401,0.90198
2.2305,0.90812
2.2208,0.91425
2.211,0.92039
2.2012,0.92652
2.1914,0.93266
2.1815,0.9388
2.1716,0.94493
2.1616,0.95107
2.1516,0.9572
2.1416,0.96334
2.1315,0.96948
2.1213,0.97561
2.1111,0.98175
2.1009,0.98788
2.0906,0.99402
2.0803,1.0002
2.07,1.0063
2.0596,1.0124
2.0492,1.0186
2.0387,1.0247
2.0282,1.0308
2.0177,1.037
2.0071,1.0431
1.9965,1.0492
1.9858,1.0554
1.9751,1.0615
1.9644,1.0677
1.9536,1.0738
1.9428,1.0799
1.932,1.0861
1.9211,1.0922
1.9102,1.0983
1.8992,1.1045
1.8882,1.1106
1.8772,1.1167
1.8662,1.1229
1.8551,1.129
1.844,1.1351
1.8329,1.1413
1.8217,1.1474
1.8105,1.1536
1.7992,1.1597
1.788,1.1658
1.7767,1.172
1.7654,1.1781
1.754,1.1842
1.7426,1.1904
1.7312,1.1965
1.7198,1.2026
1.7083,1.2088
1.6968,1.2149
1.6853,1.221
1.6738,1.2272
1.6622,1.2333
1.6506,1.2395
1.639,1.2456
1.6274,1.2517
1.6157,1.2579
1.604,1.264
1.5923,1.2701
1.5806,1.2763
1.5688,1.2824
1.557,1.2885
1.5452,1.2947
1.5334,1.3008
1.5216,1.307
1.5097,1.3131
1.4979,1.3192
1.486,1.3254
1.474,1.3315
1.4621,1.3376
1.4502,1.3438
1.4382,1.3499
1.4262,1.356
1.4142,1.3622
1.4022,1.3683
1.3902,1.3744
1.3781,1.3806
1.3661,1.3867
1.354,1.3929
1.3419,1.399
1.3298,1.4051
1.3177,1.4113
1.3056,1.4174
1.2935,1.4235
1.2813,1.4297
1.2692,1.4358
1.257,1.4419
1.2448,1.4481
1.2326,1.4542
1.2204,1.4603
1.2082,1.4665
1.196,1.4726
1.1838,1.4788
1.1716,1.4849
1.1594,1.491
1.1471,1.4972
1.1349,1.5033
1.1226,1.5094
1.1104,1.5156
1.0981,1.5217
1.0859,1.5278
1.0736,1.534
1.0613,1.5401
1.0491,1.5463
1.0368,1.5524
1.0245,1.5585
1.0123,1.5647
1,1.5708
0.98773,1.5769
0.97546,1.5831
0.96319,1.5892
0.95092,1.5953
0.93865,1.6015
0.92639,1.6076
0.91412,1.6137
0.90186,1.6199
0.88961,1.626
0.87736,1.6322
0.86511,1.6383
0.85287,1.6444
0.84064,1.6506
0.82841,1.6567
0.81618,1.6628
0.80397,1.669
0.79176,1.6751
0.77956,1.6812
0.76736,1.6874
0.75518,1.6935
0.743,1.6997
0.73084,1.7058
0.71868,1.7119
0.70654,1.7181
0.69441,1.7242
0.68228,1.7303
0.67017,1.7365
0.65808,1.7426
0.64599,1.7487
0.63392,1.7549
0.62186,1.761
0.60982,1.7671
0.59779,1.7733
0.58578,1.7794
0.57378,1.7856
0.5618,1.7917
0.54983,1.7978
0.53788,1.804
0.52595,1.8101
0.51404,1.8162
0.50214,1.8224
0.49027,1.8285
0.47841,1.8346
0.46657,1.8408
0.45476,1.8469
0.44296,1.853
0.43118,1.8592
0.41943,1.8653
0.4077,1.8715
0.39599,1.8776
0.3843,1.8837
0.37264,1.8899
0.361,1.896
0.34938,1.9021
