abs(H),w
0,0
0.055216,0.0061359
0.11039,0.012272
0.16548,0.018408
0.22044,0.024544
0.27524,0.03068
0.32983,0.036816
0.38416,0.042951
0.4382,0.049087
0.49191,0.055223
0.54524,0.061359
0.59816,0.067495
0.65062,0.073631
0.70259,0.079767
0.75401,0.085903
0.80487,0.092039
0.85511,0.098175
0.9047,0.10431
0.9536,0.11045
1.0018,0.11658
1.0492,0.12272
1.0958,0.12885
1.1416,0.13499
1.1865,0.14113
1.2305,0.14726
1.2735,0.1534
1.3156,0.15953
1.3567,0.16567
1.3968,0.17181
1.4357,0.17794
1.4736,0.18408
1.5104,0.19021
1.546,0.19635
1.5805,0.20249
1.6137,0.20862
1.6457,0.21476
1.6764,0.22089
1.7059,0.22703
1.7341,0.23317
1.7609,0.2393
1.7864,0.24544
1.8106,0.25157
1.8334,0.25771
1.8547,0.26384
1.8747,0.26998
1.8932,0.27612
1.9103,0.28225
1.9259,0.28839
1.9401,0.29452
1.9527,0.30066
1.9639,0.3068
1.9736,0.31293
1.9818,0.31907
1.9885,0.3252
1.9936,0.33134
1.9973,0.33748
1.9994,0.34361
2,0.34975
1.9991,0.35588
1.9966,0.36202
1.9926,0.36816
1.9871,0.37429
1.9801,0.38043
1.9716,0.38656
1.9616,0.3927
1.9501,0.39884
1.937,0.40497
1.9226,0.41111
1.9066,0.41724
1.8892,0.42338
1.8704,0.42951
1.8501,0.43565
1.8284,0.44179
1.8053,0.44792
1.7809,0.45406
1.7551,0.46019
1.7279,0.46633
1.6995,0.47247
1.6697,0.4786
1.6387,0.48474
1.6064,0.49087
1.5729,0.49701
1.5382,0.50315
1.5023,0.50928
1.4653,0.51542
1.4272,0.52155
1.3879,0.52769
1.3477,0.53383
1.3063,0.53996
1.264,0.5461
1.2208,0.55223
1.1766,0.55837
1.1315,0.5645
1.0855,0.57064
1.0387,0.57678
0.99113,0.58291
0.94279,0.58905
0.89374,0.59518
0.844,0.60132
0.79362,0.60746
0.74263,0.61359
