abs(H),w
Inf,0
162.97,0.0061359
81.488,0.012272
54.326,0.018408
40.745,0.024544
32.596,0.03068
27.164,0.036816
23.284,0.042951
20.374,0.049087
18.111,0.055223
16.3,0.061359
14.819,0.067495
13.584,0.073631
12.54,0.079767
11.645,0.085903
10.869,0.092039
10.19,0.098175
9.5911,0.10431
9.0588,0.11045
8.5825,0.11658
8.1538,0.12272
7.7661,0.12885
7.4136,0.13499
7.0917,0.14113
6.7968,0.14726
6.5254,0.1534
6.2749,0.15953
6.043,0.16567
5.8277,0.17181
5.6272,0.17794
5.4402,0.18408
5.2652,0.19021
5.1011,0.19635
4.9471,0.20249
4.8021,0.20862
4.6654,0.21476
4.5363,0.22089
4.4142,0.22703
4.2985,0.23317
4.1888,0.2393
4.0846,0.24544
3.9855,0.25157
3.8911,0.25771
3.8011,0.26384
3.7152,0.26998
3.6332,0.27612
3.5547,0.28225
3.4796,0.28839
3.4076,0.29452
3.3386,0.30066
3.2723,0.3068
3.2087,0.31293
3.1475,0.31907
3.0886,0.3252
3.0319,0.33134
2.9773,0.33748
2.9246,0.34361
2.8738,0.34975
2.8248,0.35588
2.7774,0.36202
2.7316,0.36816
2.6874,0.37429
2.6445,0.38043
2.6031,0.38656
2.5629,0.3927
2.524,0.39884
2.4863,0.40497
2.4497,0.41111
2.4142,0.41724
2.3797,0.42338
2.3462,0.42951
2.3137,0.43565
2.2821,0.44179
2.2513,0.44792
2.2214,0.45406
2.1923,0.46019
2.164,0.46633
2.1364,0.47247
2.1095,0.4786
2.0833,0.48474
2.0578,0.49087
2.0329,0.49701
2.0086,0.50315
1.9849,0.50928
1.9618,0.51542
1.9393,0.52155
1.9172,0.52769
1.8957,0.53383
1.8747,0.53996
1.8541,0.5461
1.834,0.55223
1.8144,0.55837
1.7952,0.5645
1.7764,0.57064
1.758,0.57678
1.7401,0.58291
1.7224,0.58905
1.7052,0.59518
1.6883,0.60132
1.6718,0.60746
1.6556,0.61359
1.6397,0.61973
1.6242,0.62586
1.6089,0.632
1.594,0.63814
1.5793,0.64427
1.5649,0.65041
1.5508,0.65654
1.537,0.66268
1.5234,0.66882
1.5101,0.67495
1.497,0.68109
1.4842,0.68722
1.4716,0.69336
1.4592,0.6995
1.447,0.70563
1.4351,0.71177
1.4233,0.7179
1.4118,0.72404
1.4004,0.73017
1.3893,0.73631
1.3783,0.74245
1.3676,0.74858
1.357,0.75472
1.3466,0.76085
1.3363,0.76699
1.3262,0.77313
