abs(H),w
0.045455,0
6562.7,0.0013629
6560.9,0.0027259
6559.6,0.0040888
6558.4,0.0054518
6556.9,0.0068147
6555.2,0.0081777
6553,0.0095406
6550.6,0.010904
6547.8,0.012267
6544.8,0.013629
6541.4,0.014992
6537.6,0.016355
6533.6,0.017718
6529.2,0.019081
6524.5,0.020444
6519.5,0.021807
6514.2,0.02317
6508.5,0.024533
6502.6,0.025896
6496.3,0.027259
6489.7,0.028622
6482.8,0.029985
6475.5,0.031348
6468,0.032711
6460.1,0.034074
6452,0.035437
6443.5,0.0368
6434.7,0.038163
6425.6,0.039525
6416.2,0.040888
6406.5,0.042251
6396.5,0.043614
6386.2,0.044977
6375.5,0.04634
6364.6,0.047703
6353.4,0.049066
6341.9,0.050429
6330.1,0.051792
6318,0.053155
6305.6,0.054518
6292.9,0.055881
6279.9,0.057244
6266.6,0.058607
6253.1,0.05997
6239.2,0.061333
6225.1,0.062696
6210.7,0.064059
6196,0.065421
6181.1,0.066784
6165.8,0.068147
6150.3,0.06951
6134.6,0.070873
6118.5,0.072236
6102.2,0.073599
6085.6,0.074962
6068.8,0.076325
6051.7,0.077688
6034.3,0.079051
6016.7,0.080414
5998.8,0.081777
5980.7,0.08314
5962.4,0.084503
5943.7,0.085866
5924.9,0.087229
5905.8,0.088592
5886.4,0.089954
5866.8,0.091317
5847,0.09268
5827,0.094043
5806.7,0.095406
5786.2,0.096769
5765.5,0.098132
5744.5,0.099495
5723.4,0.10086
5702,0.10222
5680.4,0.10358
5658.6,0.10495
5636.5,0.10631
5614.3,0.10767
5591.9,0.10904
5569.3,0.1104
5546.4,0.11176
5523.4,0.11312
5500.2,0.11449
5476.8,0.11585
5453.2,0.11721
5429.4,0.11858
5405.5,0.11994
5381.4,0.1213
5357.1,0.12267
5332.6,0.12403
5307.9,0.12539
5283.1,0.12675
5258.2,0.12812
5233,0.12948
5207.7,0.13084
5182.3,0.13221
5156.7,0.13357
5131,0.13493
5105.1,0.13629
5079.1,0.13766
5052.9,0.13902
5026.6,0.14038
5000.2,0.14175
4973.6,0.14311
4946.9,0.14447
4920.1,0.14584
4893.2,0.1472
4866.1,0.14856
4839,0.14992
4811.7,0.15129
4784.3,0.15265
4756.9,0.15401
4729.3,0.15538
4701.6,0.15674
4673.8,0.1581
4646,0.15946
4618,0.16083
4590,0.16219
4561.8,0.16355
4533.6,0.16492
4505.4,0.16628
4477,0.16764
4448.6,0.16901
4420.1,0.17037
4391.5,0.17173
4362.9,0.17309
4334.3,0.17446
4305.5,0.17582
4276.8,0.17718
4247.9,0.17855
4219.1,0.17991
4190.2,0.18127
4161.2,0.18263
4132.2,0.184
4103.2,0.18536
4074.2,0.18672
4045.1,0.18809
4016,0.18945
3986.9,0.19081
3957.7,0.19218
3928.6,0.19354
3899.4,0.1949
3870.2,0.19626
3841.1,0.19763
3811.9,0.19899
3782.7,0.20035
3753.5,0.20172
3724.3,0.20308
3695.2,0.20444
3666,0.2058
3636.9,0.20717
3607.7,0.20853
3578.6,0.20989
3549.5,0.21126
3520.5,0.21262
3491.4,0.21398
3462.4,0.21535
3433.5,0.21671
3404.5,0.21807
3375.6,0.21943
3346.8,0.2208
3318,0.22216
3289.2,0.22352
3260.5,0.22489
3231.8,0.22625
3203.2,0.22761
3174.7,0.22898
3146.2,0.23034
3117.7,0.2317
3089.4,0.23306
3061,0.23443
3032.8,0.23579
3004.6,0.23715
2976.5,0.23852
2948.5,0.23988
2920.6,0.24124
2892.7,0.2426
2864.9,0.24397
2837.2,0.24533
2809.6,0.24669
2782.1,0.24806
2754.7,0.24942
2727.3,0.25078
2700.1,0.25215
2672.9,0.25351
2645.9,0.25487
2618.9,0.25623
2592.1,0.2576
2565.4,0.25896
2538.7,0.26032
2512.2,0.26169
2485.8,0.26305
2459.5,0.26441
2433.3,0.26577
2407.2,0.26714
