abs(H),w
3.2388e-10,0.0013629
3.6251e-08,0.0027259
2.9827e-07,0.0040888
1.1795e-06,0.0054518
3.2797e-06,0.0068147
7.4079e-06,0.0081777
1.4585e-05,0.0095406
2.6048e-05,0.010904
4.325e-05,0.012267
6.7864e-05,0.013629
0.00010179,0.014992
0.00014714,0.016355
0.00020626,0.017718
0.00028174,0.019081
0.00037637,0.020444
0.00049319,0.021807
0.00063547,0.02317
0.00080672,0.024533
0.0010107,0.025896
0.0012513,0.027259
0.0015328,0.028622
0.0018597,0.029985
0.0022367,0.031348
0.0026686,0.032711
0.0031607,0.034074
0.0037183,0.035437
0.0043472,0.0368
0.0050532,0.038163
0.0058425,0.039525
0.0067214,0.040888
0.0076965,0.042251
0.0087748,0.043614
0.0099632,0.044977
0.011269,0.04634
0.0127,0.047703
0.014264,0.049066
0.015969,0.050429
0.017823,0.051792
0.019834,0.053155
0.022012,0.054518
0.024365,0.055881
0.026903,0.057244
0.029634,0.058607
0.032569,0.05997
0.035717,0.061333
0.039089,0.062696
0.042693,0.064059
0.046542,0.065421
0.050645,0.066784
0.055013,0.068147
0.059658,0.06951
0.06459,0.070873
0.069822,0.072236
0.075363,0.073599
0.081227,0.074962
0.087425,0.076325
0.093969,0.077688
0.10087,0.079051
0.10815,0.080414
0.1158,0.081777
0.12385,0.08314
0.13232,0.084503
0.1412,0.085866
0.15052,0.087229
0.16028,0.088592
0.17051,0.089954
0.18122,0.091317
0.19241,0.09268
0.2041,0.094043
0.21631,0.095406
0.22905,0.096769
0.24233,0.098132
0.25617,0.099495
0.27057,0.10086
0.28557,0.10222
0.30116,0.10358
0.31737,0.10495
0.33421,0.10631
0.35168,0.10767
0.36982,0.10904
0.38862,0.1104
0.40811,0.11176
0.42829,0.11312
0.44919,0.11449
0.47081,0.11585
0.49318,0.11721
0.5163,0.11858
0.54019,0.11994
0.56486,0.1213
0.59033,0.12267
0.61661,0.12403
0.64371,0.12539
0.67165,0.12675
0.70044,0.12812
0.73009,0.12948
0.76063,0.13084
0.79205,0.13221
0.82438,0.13357
0.85762,0.13493
0.89179,0.13629
0.9269,0.13766
0.96297,0.13902
1,0.14038
1.038,0.14175
1.077,0.14311
1.117,0.14447
1.158,0.14584
1.2001,0.1472
1.2431,0.14856
1.2872,0.14992
1.3324,0.15129
1.3786,0.15265
1.4259,0.15401
1.4743,0.15538
1.5238,0.15674
1.5744,0.1581
1.6261,0.15946
1.6789,0.16083
1.7328,0.16219
1.7879,0.16355
1.8441,0.16492
1.9014,0.16628
1.9599,0.16764
2.0196,0.16901
2.0804,0.17037
2.1424,0.17173
2.2056,0.17309
2.2699,0.17446
