abs(H),w
2.2913e-13,0.0013629
2.2916e-09,0.0027259
2.9848e-08,0.0040888
1.4069e-07,0.0054518
4.2871e-07,0.0068147
1.0235e-06,0.0081777
2.0901e-06,0.0095406
3.8291e-06,0.010904
6.4759e-06,0.012267
1.0301e-05,0.013629
1.5609e-05,0.014992
2.2739e-05,0.016355
3.2065e-05,0.017718
4.3993e-05,0.019081
5.8962e-05,0.020444
7.7446e-05,0.021807
9.9949e-05,0.02317
0.00012701,0.024533
0.00015919,0.025896
0.0001971,0.027259
0.00024136,0.028622
0.00029263,0.029985
0.00035161,0.031348
0.00041901,0.032711
0.00049557,0.034074
0.00058206,0.035437
0.0006793,0.0368
0.0007881,0.038163
0.00090932,0.039525
0.0010438,0.040888
0.0011925,0.042251
0.0013564,0.043614
0.0015362,0.044977
0.0017332,0.04634
0.0019481,0.047703
0.0021821,0.049066
0.0024361,0.050429
0.0027113,0.051792
0.0030086,0.053155
0.0033292,0.054518
0.0036741,0.055881
0.0040445,0.057244
0.0044416,0.058607
0.0048663,0.05997
0.0053199,0.061333
0.0058036,0.062696
0.0063186,0.064059
0.0068659,0.065421
0.0074469,0.066784
0.0080627,0.068147
0.0087145,0.06951
0.0094035,0.070873
0.010131,0.072236
0.010898,0.073599
0.011706,0.074962
0.012556,0.076325
0.01345,0.077688
0.014388,0.079051
0.015372,0.080414
0.016403,0.081777
0.017482,0.08314
0.018611,0.084503
0.01979,0.085866
0.021021,0.087229
0.022306,0.088592
0.023644,0.089954
0.025038,0.091317
0.026489,0.09268
0.027997,0.094043
0.029564,0.095406
0.031191,0.096769
0.03288,0.098132
0.034631,0.099495
0.036444,0.10086
0.038323,0.10222
0.040267,0.10358
0.042277,0.10495
0.044355,0.10631
0.046501,0.10767
0.048717,0.10904
0.051003,0.1104
0.05336,0.11176
0.05579,0.11312
0.058292,0.11449
0.060869,0.11585
0.06352,0.11721
0.066246,0.11858
0.069049,0.11994
0.071929,0.1213
0.074887,0.12267
0.077923,0.12403
0.081037,0.12539
0.084232,0.12675
0.087506,0.12812
0.090862,0.12948
0.094298,0.13084
0.097816,0.13221
0.10142,0.13357
0.1051,0.13493
0.10886,0.13629
0.11271,0.13766
0.11664,0.13902
0.12066,0.14038
0.12476,0.14175
0.12894,0.14311
0.13321,0.14447
0.13756,0.14584
0.142,0.1472
0.14651,0.14856
0.15112,0.14992
0.15581,0.15129
0.16058,0.15265
0.16543,0.15401
0.17037,0.15538
0.17539,0.15674
0.1805,0.1581
0.18569,0.15946
0.19096,0.16083
0.19631,0.16219
0.20174,0.16355
0.20725,0.16492
0.21285,0.16628
0.21852,0.16764
0.22427,0.16901
0.2301,0.17037
0.23601,0.17173
0.24199,0.17309
0.24805,0.17446
