abs(H),w
NaN,0
1,0.00034907
0.97942,0.00069813
0.98018,0.0010472
0.97954,0.0013963
0.97944,0.0017453
0.97938,0.0020944
0.97929,0.0024435
0.9792,0.0027925
0.97909,0.0031416
0.97897,0.0034907
0.97884,0.0038397
0.97869,0.0041888
0.97853,0.0045379
0.97836,0.0048869
0.97817,0.005236
0.97797,0.0055851
0.97776,0.0059341
0.97754,0.0062832
0.9773,0.0066323
0.97705,0.0069813
0.97679,0.0073304
0.97651,0.0076794
0.97622,0.0080285
0.97592,0.0083776
0.97561,0.0087266
0.97528,0.0090757
0.97494,0.0094248
0.97459,0.0097738
0.97422,0.010123
0.97385,0.010472
0.97346,0.010821
0.97306,0.01117
0.97264,0.011519
0.97221,0.011868
0.97177,0.012217
0.97132,0.012566
0.97085,0.012915
0.97038,0.013265
0.96989,0.013614
0.96938,0.013963
0.96887,0.014312
0.96834,0.014661
0.9678,0.01501
0.96725,0.015359
0.96668,0.015708
0.9661,0.016057
0.96551,0.016406
0.96491,0.016755
0.9643,0.017104
0.96367,0.017453
0.96303,0.017802
0.96238,0.018151
0.96171,0.0185
0.96104,0.01885
0.96035,0.019199
0.95965,0.019548
0.95894,0.019897
0.95821,0.020246
0.95748,0.020595
0.95673,0.020944
0.95597,0.021293
0.95519,0.021642
0.95441,0.021991
0.95361,0.02234
0.9528,0.022689
0.95198,0.023038
0.95115,0.023387
0.9503,0.023736
0.94945,0.024086
0.94858,0.024435
0.9477,0.024784
0.94681,0.025133
0.94591,0.025482
0.94499,0.025831
0.94406,0.02618
0.94313,0.026529
0.94218,0.026878
0.94122,0.027227
0.94024,0.027576
0.93926,0.027925
0.93826,0.028274
0.93726,0.028623
0.93624,0.028972
0.93521,0.029322
0.93417,0.029671
0.93311,0.03002
0.93205,0.030369
0.93098,0.030718
0.92989,0.031067
0.92879,0.031416
0.92768,0.031765
0.92657,0.032114
0.92544,0.032463
0.92429,0.032812
0.92314,0.033161
0.92198,0.03351
0.92081,0.033859
0.91962,0.034208
0.91843,0.034558
0.91722,0.034907
0.916,0.035256
0.91478,0.035605
0.91354,0.035954
0.91229,0.036303
0.91103,0.036652
0.90976,0.037001
0.90848,0.03735
0.90719,0.037699
0.90589,0.038048
0.90458,0.038397
0.90326,0.038746
0.90193,0.039095
0.90059,0.039444
0.89924,0.039794
0.89787,0.040143
0.8965,0.040492
0.89512,0.040841
0.89373,0.04119
0.89233,0.041539
0.89092,0.041888
0.8895,0.042237
0.88807,0.042586
0.88662,0.042935
0.88517,0.043284
0.88372,0.043633
0.88225,0.043982
0.88077,0.044331
0.87928,0.04468
0.87778,0.045029
0.87628,0.045379
0.87476,0.045728
0.87323,0.046077
0.8717,0.046426
0.87016,0.046775
0.8686,0.047124
0.86704,0.047473
0.86547,0.047822
0.86389,0.048171
0.8623,0.04852
0.86071,0.048869
0.8591,0.049218
0.85749,0.049567
0.85586,0.049916
0.85423,0.050265
0.85259,0.050615
0.85094,0.050964
0.84928,0.051313
0.84762,0.051662
0.84594,0.052011
0.84426,0.05236
0.84257,0.052709
0.84087,0.053058
0.83916,0.053407
0.83745,0.053756
0.83573,0.054105
0.834,0.054454
0.83226,0.054803
0.83051,0.055152
0.82876,0.055501
0.82699,0.055851
0.82522,0.0562
0.82345,0.056549
0.82166,0.056898
0.81987,0.057247
0.81807,0.057596
0.81626,0.057945
0.81445,0.058294
0.81263,0.058643
0.8108,0.058992
0.80896,0.059341
0.80712,0.05969
0.80527,0.060039
0.80341,0.060388
0.80155,0.060737
0.79968,0.061087
0.7978,0.061436
0.79591,0.061785
0.79402,0.062134
0.79213,0.062483
0.79022,0.062832
0.78831,0.063181
0.7864,0.06353
0.78447,0.063879
0.78254,0.064228
0.78061,0.064577
0.77867,0.064926
0.77672,0.065275
0.77476,0.065624
0.7728,0.065973
0.77084,0.066323
0.76887,0.066672
0.76689,0.067021
0.76491,0.06737
0.76292,0.067719
0.76092,0.068068
0.75892,0.068417
0.75692,0.068766
0.75491,0.069115
0.75289,0.069464
0.75087,0.069813
0.74884,0.070162
0.74681,0.070511
0.74477,0.07086
0.74273,0.071209
0.74068,0.071558
0.73863,0.071908
0.73657,0.072257
0.73451,0.072606
0.73245,0.072955
0.73038,0.073304
0.7283,0.073653
0.72622,0.074002
0.72414,0.074351
0.72205,0.0747
0.71995,0.075049
0.71786,0.075398
0.71575,0.075747
0.71365,0.076096
0.71154,0.076445
0.70942,0.076794
0.70731,0.077144
0.70518,0.077493
0.70306,0.077842
0.70093,0.078191
0.6988,0.07854
0.69666,0.078889
0.69452,0.079238
0.69237,0.079587
0.69023,0.079936
0.68808,0.080285
0.68592,0.080634
0.68376,0.080983
0.6816,0.081332
0.67944,0.081681
0.67727,0.08203
0.6751,0.08238
0.67293,0.082729
0.67076,0.083078
0.66858,0.083427
0.6664,0.083776
0.66421,0.084125
0.66203,0.084474
0.65984,0.084823
0.65765,0.085172
0.65545,0.085521
0.65325,0.08587
0.65106,0.086219
0.64886,0.086568
0.64665,0.086917
0.64445,0.087266
0.64224,0.087616
0.64003,0.087965
0.63782,0.088314
0.63561,0.088663
0.63339,0.089012
0.63117,0.089361
0.62896,0.08971
0.62674,0.090059
0.62451,0.090408
0.62229,0.090757
0.62007,0.091106
0.61784,0.091455
0.61561,0.091804
0.61339,0.092153
0.61116,0.092502
0.60893,0.092852
0.60669,0.093201
0.60446,0.09355
0.60223,0.093899
0.59999,0.094248
0.59776,0.094597
0.59552,0.094946
0.59328,0.095295
0.59105,0.095644
0.58881,0.095993
0.58657,0.096342
0.58433,0.096691
0.58209,0.09704
0.57985,0.097389
0.57761,0.097738
0.57537,0.098088
0.57313,0.098437
0.57089,0.098786
0.56865,0.099135
0.56641,0.099484
0.56417,0.099833
0.56193,0.10018
0.55969,0.10053
0.55745,0.10088
0.55521,0.10123
0.55297,0.10158
0.55073,0.10193
0.54849,0.10228
0.54625,0.10263
0.54401,0.10297
0.54178,0.10332
0.53954,0.10367
0.53731,0.10402
0.53507,0.10437
0.53284,0.10472
0.53061,0.10507
0.52837,0.10542
0.52614,0.10577
0.52391,0.10612
0.52168,0.10647
0.51946,0.10681
0.51723,0.10716
0.51501,0.10751
0.51278,0.10786
0.51056,0.10821
0.50834,0.10856
0.50612,0.10891
0.5039,0.10926
0.50169,0.10961
0.49948,0.10996
0.49726,0.1103
0.49505,0.11065
0.49284,0.111
0.49064,0.11135
0.48843,0.1117
0.48623,0.11205
0.48403,0.1124
0.48183,0.11275
0.47963,0.1131
0.47744,0.11345
0.47525,0.1138
0.47306,0.11414
0.47087,0.11449
0.46868,0.11484
0.4665,0.11519
0.46432,0.11554
0.46214,0.11589
0.45997,0.11624
0.4578,0.11659
0.45563,0.11694
0.45346,0.11729
0.4513,0.11764
0.44913,0.11798
0.44698,0.11833
0.44482,0.11868
0.44267,0.11903
0.44052,0.11938
0.43837,0.11973
0.43623,0.12008
0.43409,0.12043
0.43195,0.12078
0.42982,0.12113
0.42769,0.12147
0.42556,0.12182
0.42344,0.12217
0.42132,0.12252
0.4192,0.12287
0.41709,0.12322
