abs(H),w
NaN,0
2,0.0061359
2,0.012272
1.9999,0.018408
1.9998,0.024544
1.9998,0.03068
1.9997,0.036816
1.9995,0.042951
1.9994,0.049087
1.9992,0.055223
1.9991,0.061359
1.9989,0.067495
1.9986,0.073631
1.9984,0.079767
1.9982,0.085903
1.9979,0.092039
1.9976,0.098175
1.9973,0.10431
1.997,0.11045
1.9966,0.11658
1.9962,0.12272
1.9959,0.12885
1.9954,0.13499
1.995,0.14113
1.9946,0.14726
1.9941,0.1534
1.9936,0.15953
1.9931,0.16567
1.9926,0.17181
1.9921,0.17794
1.9915,0.18408
1.991,0.19021
1.9904,0.19635
1.9898,0.20249
1.9891,0.20862
1.9885,0.21476
1.9878,0.22089
1.9871,0.22703
1.9864,0.23317
1.9857,0.2393
1.985,0.24544
1.9842,0.25157
1.9834,0.25771
1.9826,0.26384
1.9818,0.26998
1.981,0.27612
1.9801,0.28225
1.9792,0.28839
1.9784,0.29452
1.9774,0.30066
1.9765,0.3068
1.9756,0.31293
1.9746,0.31907
1.9736,0.3252
1.9726,0.33134
1.9716,0.33748
1.9706,0.34361
1.9695,0.34975
1.9684,0.35588
1.9673,0.36202
1.9662,0.36816
1.9651,0.37429
1.9639,0.38043
1.9628,0.38656
1.9616,0.3927
1.9604,0.39884
1.9591,0.40497
1.9579,0.41111
1.9566,0.41724
1.9554,0.42338
1.9541,0.42951
1.9527,0.43565
1.9514,0.44179
1.9501,0.44792
1.9487,0.45406
1.9473,0.46019
1.9459,0.46633
1.9445,0.47247
1.943,0.4786
1.9415,0.48474
1.9401,0.49087
1.9386,0.49701
1.937,0.50315
1.9355,0.50928
1.934,0.51542
1.9324,0.52155
1.9308,0.52769
1.9292,0.53383
1.9276,0.53996
1.9259,0.5461
1.9242,0.55223
1.9226,0.55837
1.9209,0.5645
1.9191,0.57064
1.9174,0.57678
1.9157,0.58291
1.9139,0.58905
1.9121,0.59518
1.9103,0.60132
1.9085,0.60746
1.9066,0.61359
