t,y
0,-1.4438
0.0001,0.64094
0.0002,0.99424
0.0003,-0.089926
0.0004,-1.6263
0.0005,-1.9269
0.0006,0.45765
0.0007,-1.1911
0.0008,-1.2712
0.0009,0.62703
0.001,-0.65035
0.0011,-1.1546
0.0012,-0.33903
0.0013,0.45038
0.0014,-3.3579
0.0015,-3.0746
0.0016,-1.8249
0.0017,0.26457
0.0018,-0.10839
0.0019,-0.048132
0.002,-0.29301
0.0021,1.9396
0.0022,0.38147
0.0023,1.1869
0.0024,-1.5565
0.0025,1.2792
0.0026,0.9399
0.0027,0.027171
0.0028,-0.026694
0.0029,-1.0203
0.003,-0.60291
0.0031,0.82313
0.0032,0.45872
0.0033,0.87248
0.0034,2.6125
0.0035,-2.2645
0.0036,0.18257
0.0037,1.6144
0.0038,1.5626
0.0039,0.077793
0.004,0.94683
0.0041,1.3549
0.0042,-1.5225
0.0043,3.6902
0.0044,1.2819
0.0045,2.3037
0.0046,2.7459
0.0047,0.37444
0.0048,0.97046
0.0049,1.4205
0.005,1.5849
0.0051,-0.080051
0.0052,1.8004
0.0053,2.4967
0.0054,3.117
0.0055,-0.36287
0.0056,3.3887
0.0057,-0.52265
0.0058,2.3922
0.0059,1.0771
0.006,-2.6289
0.0061,-1.5793
0.0062,-0.37495
0.0063,2.1388
0.0064,0.70182
0.0065,-1.6292
0.0066,1.2177
0.0067,1.9073
0.0068,-0.53859
0.0069,1.4024
0.007,0.24155
0.0071,1.2262
0.0072,0.19696
0.0073,-1.2491
0.0074,1.2055
0.0075,1.4016
0.0076,0.18883
0.0077,-0.24487
0.0078,0.25859
0.0079,1.5359
0.008,0.81632
0.0081,-2.7203
0.0082,-0.52122
0.0083,2.0876
0.0084,0.22159
0.0085,1.2923
0.0086,0.56095
0.0087,1.6864
0.0088,1.1155
0.0089,-0.74308
0.009,-0.6268
0.0091,1.8221
0.0092,1.6748
0.0093,0.88527
0.0094,1.0781
0.0095,0.46155
0.0096,2.1019
0.0097,2.1891
0.0098,3.1145
0.0099,1.5664
0.01,-1.1086
0.0101,1.3859
0.0102,-0.98996
0.0103,-1.2683
0.0104,-1.75
0.0105,0.98248
0.0106,1.3742
0.0107,3.2021
0.0108,-3.0967
0.0109,0.67688
0.011,-1.5358
0.0111,-0.31297
0.0112,1.3634
0.0113,1.2646
0.0114,-0.20226
0.0115,1.4957
0.0116,-1.6747
0.0117,2.5614
0.0118,-0.9009
0.0119,-1.5591
0.012,0.67356
0.0121,1.2099
0.0122,2.1535
0.0123,-0.39975
0.0124,-1.0513
0.0125,-1.0007
0.0126,0.65144
0.0127,0.42371
0.0128,-1.6093
0.0129,0.68916
0.013,0.1152
0.0131,-0.31805
0.0132,-0.17406
0.0133,-0.66098
0.0134,-0.12533
0.0135,0.38798
0.0136,-1.3042
0.0137,0.58138
0.0138,2.234
0.0139,1.1711
0.014,-2.7182
0.0141,-0.56875
0.0142,-1.4218
0.0143,-1.0046
0.0144,0.10734
0.0145,1.3274
0.0146,1.5217
0.0147,-1.1001
0.0148,-0.35552
0.0149,2.2623
0.015,0.41455
0.0151,0.47322
0.0152,2.4771
0.0153,3.6935
0.0154,-0.29224
0.0155,2.3003
0.0156,3.1151
0.0157,1.8405
0.0158,0.55175
0.0159,1.0347
0.016,2.3314
0.0161,-2.0934
0.0162,0.86147
0.0163,1.5212
0.0164,-1.1712
0.0165,-0.74427
0.0166,1.3608
0.0167,1.6026
0.0168,2.0602
0.0169,-0.31351
0.017,0.54123
0.0171,2.0558
0.0172,-1.7491
0.0173,2.0376
0.0174,-2.3462
0.0175,-3.086
0.0176,4.1342
0.0177,4.8538
0.0178,0.059234
0.0179,1.8846
0.018,0.00067057
0.0181,-2.1434
0.0182,1.2105
0.0183,-1.2515
0.0184,3.3425
0.0185,1.7652
0.0186,0.53529
0.0187,0.66621
0.0188,0.86381
0.0189,1.1426
0.019,-0.025927
0.0191,1.5295
0.0192,1.6148
0.0193,-0.6497
0.0194,-0.9978
0.0195,0.58162
0.0196,3.1032
0.0197,0.44283
0.0198,-0.9205
0.0199,0.24806
0.02,1.2908
0.0201,-0.70763
0.0202,2.0836
0.0203,2.0837
0.0204,0.86612
0.0205,0.49002
0.0206,0.85034
0.0207,2.7037
0.0208,2.111
0.0209,-1.1367
0.021,0.42158
0.0211,0.61202
0.0212,0.5065
0.0213,-0.14089
0.0214,-1.4666
