t,y
0,0
0.01,0.47369
0.02,0.83435
0.03,0.99592
0.04,0.91984
0.05,0.62427
0.06,0.17973
0.07,-0.30769
0.08,-0.7217
0.09,-0.96349
0.1,-0.97537
0.11,-0.75451
0.12,-0.35361
0.13,0.13167
0.14,0.58553
0.15,0.89967
0.16,0.99913
0.17,0.86018
0.18,0.51597
0.19,0.048635
0.2,-0.4303
0.21,-0.80656
0.22,-0.99035
0.23,-0.93783
0.24,-0.66152
0.25,-0.22736
0.26,0.26106
0.27,0.68718
0.28,0.94932
0.29,0.98494
0.3,0.78553
0.31,0.39868
0.32,-0.083307
0.33,-0.54541
0.34,-0.87738
0.35,-0.99998
0.36,-0.88396
0.37,-0.55702
0.38,-0.097154
0.39,0.38589
0.4,0.77685
