t,y
0,0
0.0001,0.0049348
0.0002,0.0098694
0.0003,0.014804
0.0004,0.019738
0.0005,0.024672
0.0006,0.029604
0.0007,0.034537
0.0008,0.039468
0.0009,0.044399
0.001,0.049328
0.0011,0.054256
0.0012,0.059183
0.0013,0.064108
0.0014,0.069032
0.0015,0.073954
0.0016,0.078875
0.0017,0.083793
0.0018,0.08871
0.0019,0.093624
0.002,0.098536
0.0021,0.10345
0.0022,0.10835
0.0023,0.11326
0.0024,0.11816
0.0025,0.12306
0.0026,0.12795
0.0027,0.13285
0.0028,0.13774
0.0029,0.14262
0.003,0.1475
0.0031,0.15238
0.0032,0.15726
0.0033,0.16213
0.0034,0.167
0.0035,0.17186
0.0036,0.17672
0.0037,0.18157
0.0038,0.18643
0.0039,0.19127
0.004,0.19611
0.0041,0.20095
0.0042,0.20578
0.0043,0.21061
0.0044,0.21543
0.0045,0.22025
0.0046,0.22506
0.0047,0.22986
0.0048,0.23466
0.0049,0.23946
0.005,0.24424
0.0051,0.24903
0.0052,0.2538
0.0053,0.25857
0.0054,0.26334
0.0055,0.26809
0.0056,0.27284
0.0057,0.27759
0.0058,0.28233
0.0059,0.28706
0.006,0.29178
0.0061,0.2965
0.0062,0.30121
0.0063,0.30591
0.0064,0.3106
0.0065,0.31529
0.0066,0.31997
0.0067,0.32464
0.0068,0.3293
0.0069,0.33396
0.007,0.33861
0.0071,0.34325
0.0072,0.34788
0.0073,0.3525
0.0074,0.35711
0.0075,0.36172
0.0076,0.36631
0.0077,0.3709
0.0078,0.37548
0.0079,0.38005
0.008,0.38461
0.0081,0.38916
0.0082,0.3937
0.0083,0.39823
0.0084,0.40275
0.0085,0.40727
0.0086,0.41177
0.0087,0.41626
0.0088,0.42074
0.0089,0.42521
0.009,0.42967
0.0091,0.43413
0.0092,0.43857
0.0093,0.44299
0.0094,0.44741
0.0095,0.45182
0.0096,0.45622
0.0097,0.4606
0.0098,0.46498
0.0099,0.46934
0.01,0.47369
0.0101,0.47803
0.0102,0.48236
0.0103,0.48668
0.0104,0.49098
0.0105,0.49528
0.0106,0.49956
0.0107,0.50383
0.0108,0.50808
0.0109,0.51233
0.011,0.51656
0.0111,0.52078
0.0112,0.52499
0.0113,0.52918
0.0114,0.53336
0.0115,0.53753
0.0116,0.54168
0.0117,0.54582
0.0118,0.54995
0.0119,0.55407
0.012,0.55817
0.0121,0.56226
0.0122,0.56633
0.0123,0.57039
0.0124,0.57444
0.0125,0.57847
0.0126,0.58249
0.0127,0.58649
0.0128,0.59048
0.0129,0.59446
0.013,0.59842
0.0131,0.60236
0.0132,0.6063
0.0133,0.61021
0.0134,0.61411
0.0135,0.618
0.0136,0.62187
0.0137,0.62573
0.0138,0.62957
0.0139,0.6334
0.014,0.63721
0.0141,0.64101
0.0142,0.64478
0.0143,0.64855
0.0144,0.6523
0.0145,0.65603
0.0146,0.65975
0.0147,0.66345
0.0148,0.66713
0.0149,0.6708
0.015,0.67445
0.0151,0.67809
0.0152,0.6817
0.0153,0.68531
0.0154,0.68889
0.0155,0.69246
0.0156,0.69601
0.0157,0.69955
0.0158,0.70307
0.0159,0.70657
0.016,0.71005
0.0161,0.71352
0.0162,0.71696
0.0163,0.7204
0.0164,0.72381
0.0165,0.72721
0.0166,0.73058
0.0167,0.73394
0.0168,0.73729
0.0169,0.74061
0.017,0.74392
0.0171,0.74721
0.0172,0.75048
0.0173,0.75373
0.0174,0.75696
0.0175,0.76018
0.0176,0.76338
0.0177,0.76656
0.0178,0.76972
0.0179,0.77286
0.018,0.77598
0.0181,0.77908
0.0182,0.78217
0.0183,0.78523
0.0184,0.78828
0.0185,0.7913
0.0186,0.79431
0.0187,0.7973
0.0188,0.80027
0.0189,0.80322
0.019,0.80615
0.0191,0.80906
0.0192,0.81195
0.0193,0.81482
0.0194,0.81767
0.0195,0.8205
0.0196,0.82331
0.0197,0.8261
0.0198,0.82887
0.0199,0.83162
0.02,0.83435
0.0201,0.83706
0.0202,0.83975
0.0203,0.84242
0.0204,0.84507
0.0205,0.8477
0.0206,0.85031
0.0207,0.85289
0.0208,0.85546
0.0209,0.85801
0.021,0.86053
0.0211,0.86303
0.0212,0.86552
0.0213,0.86798
0.0214,0.87042
0.0215,0.87284
0.0216,0.87523
0.0217,0.87761
0.0218,0.87996
0.0219,0.8823
0.022,0.88461
0.0221,0.8869
0.0222,0.88917
0.0223,0.89142
0.0224,0.89364
0.0225,0.89585
0.0226,0.89803
0.0227,0.90019
0.0228,0.90233
0.0229,0.90444
0.023,0.90654
0.0231,0.90861
0.0232,0.91066
0.0233,0.91269
0.0234,0.91469
0.0235,0.91667
0.0236,0.91864
0.0237,0.92057
0.0238,0.92249
0.0239,0.92438
0.024,0.92626
0.0241,0.9281
0.0242,0.92993
0.0243,0.93173
0.0244,0.93351
0.0245,0.93527
0.0246,0.93701
0.0247,0.93872
0.0248,0.94041
0.0249,0.94208
0.025,0.94372
0.0251,0.94534
0.0252,0.94694
0.0253,0.94851
0.0254,0.95006
0.0255,0.95159
0.0256,0.9531
0.0257,0.95458
0.0258,0.95604
0.0259,0.95747
0.026,0.95889
0.0261,0.96027
0.0262,0.96164
0.0263,0.96298
0.0264,0.9643
0.0265,0.9656
0.0266,0.96687
0.0267,0.96811
0.0268,0.96934
0.0269,0.97054
0.027,0.97172
0.0271,0.97287
0.0272,0.974
0.0273,0.97511
0.0274,0.97619
0.0275,0.97725
0.0276,0.97828
0.0277,0.97929
0.0278,0.98028
0.0279,0.98124
0.028,0.98218
0.0281,0.9831
0.0282,0.98399
0.0283,0.98486
0.0284,0.9857
0.0285,0.98652
0.0286,0.98732
0.0287,0.98809
0.0288,0.98883
0.0289,0.98956
0.029,0.99026
0.0291,0.99093
0.0292,0.99158
0.0293,0.99221
0.0294,0.99281
0.0295,0.99339
0.0296,0.99395
0.0297,0.99448
0.0298,0.99498
0.0299,0.99546
0.03,0.99592
0.0301,0.99635
0.0302,0.99676
0.0303,0.99715
0.0304,0.99751
0.0305,0.99784
0.0306,0.99816
0.0307,0.99844
0.0308,0.99871
0.0309,0.99894
0.031,0.99916
0.0311,0.99935
0.0312,0.99952
0.0313,0.99966
0.0314,0.99977
0.0315,0.99987
0.0316,0.99994
0.0317,0.99998
0.0318,1
0.0319,0.99999
0.032,0.99997
0.0321,0.99991
0.0322,0.99983
0.0323,0.99973
0.0324,0.99961
0.0325,0.99946
0.0326,0.99928
0.0327,0.99908
0.0328,0.99886
0.0329,0.99861
0.033,0.99834
0.0331,0.99804
0.0332,0.99772
0.0333,0.99737
0.0334,0.997
0.0335,0.99661
0.0336,0.99619
0.0337,0.99575
0.0338,0.99528
0.0339,0.99479
0.034,0.99428
0.0341,0.99374
0.0342,0.99317
0.0343,0.99259
0.0344,0.99197
0.0345,0.99134
0.0346,0.99068
0.0347,0.98999
0.0348,0.98929
0.0349,0.98855
0.035,0.9878
0.0351,0.98702
0.0352,0.98621
0.0353,0.98538
0.0354,0.98453
0.0355,0.98365
0.0356,0.98275
0.0357,0.98183
0.0358,0.98088
0.0359,0.97991
0.036,0.97891
0.0361,0.97789
0.0362,0.97685
0.0363,0.97578
0.0364,0.97469
0.0365,0.97357
0.0366,0.97243
0.0367,0.97127
0.0368,0.97009
0.0369,0.96888
0.037,0.96764
0.0371,0.96639
0.0372,0.96511
0.0373,0.9638
0.0374,0.96247
0.0375,0.96112
0.0376,0.95975
0.0377,0.95835
0.0378,0.95693
0.0379,0.95549
0.038,0.95402
0.0381,0.95253
0.0382,0.95101
0.0383,0.94948
0.0384,0.94792
0.0385,0.94633
0.0386,0.94473
0.0387,0.9431
0.0388,0.94144
0.0389,0.93977
0.039,0.93807
0.0391,0.93635
0.0392,0.93461
0.0393,0.93284
0.0394,0.93105
0.0395,0.92924
0.0396,0.9274
0.0397,0.92555
0.0398,0.92367
0.0399,0.92176
0.04,0.91984
0.0401,0.91789
0.0402,0.91592
0.0403,0.91393
0.0404,0.91192
0.0405,0.90988
0.0406,0.90782
0.0407,0.90574
0.0408,0.90364
0.0409,0.90152
0.041,0.89937
0.0411,0.8972
0.0412,0.89501
0.0413,0.8928
0.0414,0.89056
0.0415,0.88831
0.0416,0.88603
0.0417,0.88373
0.0418,0.88141
0.0419,0.87907
0.042,0.87671
0.0421,0.87432
0.0422,0.87192
0.0423,0.86949
0.0424,0.86704
0.0425,0.86457
0.0426,0.86208
0.0427,0.85957
0.0428,0.85704
0.0429,0.85449
0.043,0.85191
0.0431,0.84932
0.0432,0.8467
0.0433,0.84407
0.0434,0.84141
0.0435,0.83873
0.0436,0.83604
0.0437,0.83332
0.0438,0.83058
0.0439,0.82782
0.044,0.82504
0.0441,0.82225
0.0442,0.81943
0.0443,0.81659
0.0444,0.81373
0.0445,0.81085
0.0446,0.80795
0.0447,0.80504
0.0448,0.8021
0.0449,0.79914
0.045,0.79617
0.0451,0.79317
0.0452,0.79016
0.0453,0.78712
0.0454,0.78407
0.0455,0.781
0.0456,0.7779
0.0457,0.77479
0.0458,0.77166
0.0459,0.76852
0.046,0.76535
0.0461,0.76216
0.0462,0.75896
0.0463,0.75574
0.0464,0.7525
0.0465,0.74924
0.0466,0.74596
0.0467,0.74266
0.0468,0.73935
0.0469,0.73602
0.047,0.73267
0.0471,0.7293
0.0472,0.72592
0.0473,0.72251
0.0474,0.71909
0.0475,0.71566
0.0476,0.7122
0.0477,0.70873
0.0478,0.70524
0.0479,0.70173
0.048,0.69821
0.0481,0.69466
0.0482,0.69111
0.0483,0.68753
0.0484,0.68394
0.0485,0.68033
0.0486,0.67671
0.0487,0.67306
0.0488,0.66941
0.0489,0.66573
0.049,0.66204
0.0491,0.65834
0.0492,0.65461
0.0493,0.65087
0.0494,0.64712
0.0495,0.64335
0.0496,0.63956
0.0497,0.63576
0.0498,0.63195
0.0499,0.62811
0.05,0.62427
0.0501,0.6204
0.0502,0.61653
0.0503,0.61263
0.0504,0.60872
0.0505,0.6048
0.0506,0.60086
0.0507,0.59691
0.0508,0.59295
0.0509,0.58897
0.051,0.58497
0.0511,0.58096
0.0512,0.57694
0.0513,0.5729
0.0514,0.56885
0.0515,0.56478
0.0516,0.5607
0.0517,0.55661
0.0518,0.5525
0.0519,0.54838
0.052,0.54425
0.0521,0.5401
0.0522,0.53594
0.0523,0.53177
0.0524,0.52759
0.0525,0.52339
0.0526,0.51918
0.0527,0.51495
0.0528,0.51072
0.0529,0.50647
0.053,0.50221
0.0531,0.49793
0.0532,0.49365
0.0533,0.48935
0.0534,0.48504
0.0535,0.48072
0.0536,0.47639
0.0537,0.47204
0.0538,0.46768
0.0539,0.46332
0.054,0.45894
0.0541,0.45455
0.0542,0.45015
0.0543,0.44573
0.0544,0.44131
0.0545,0.43688
0.0546,0.43243
0.0547,0.42798
0.0548,0.42351
0.0549,0.41904
0.055,0.41455
0.0551,0.41006
0.0552,0.40555
0.0553,0.40104
0.0554,0.39651
0.0555,0.39198
0.0556,0.38743
0.0557,0.38288
0.0558,0.37831
0.0559,0.37374
0.056,0.36916
0.0561,0.36457
0.0562,0.35997
0.0563,0.35536
0.0564,0.35074
0.0565,0.34612
0.0566,0.34148
0.0567,0.33684
0.0568,0.33219
0.0569,0.32753
0.057,0.32287
0.0571,0.31819
0.0572,0.31351
0.0573,0.30882
0.0574,0.30412
0.0575,0.29942
0.0576,0.2947
0.0577,0.28999
0.0578,0.28526
0.0579,0.28053
0.058,0.27579
0.0581,0.27104
0.0582,0.26629
0.0583,0.26153
0.0584,0.25676
0.0585,0.25199
0.0586,0.24721
0.0587,0.24242
0.0588,0.23763
0.0589,0.23284
0.059,0.22804
0.0591,0.22323
0.0592,0.21841
0.0593,0.2136
0.0594,0.20877
0.0595,0.20394
0.0596,0.19911
0.0597,0.19427
0.0598,0.18943
0.0599,0.18458
0.06,0.17973
0.0601,0.17487
0.0602,0.17001
0.0603,0.16515
0.0604,0.16028
0.0605,0.1554
0.0606,0.15053
0.0607,0.14565
0.0608,0.14076
0.0609,0.13588
0.061,0.13099
0.0611,0.12609
0.0612,0.1212
0.0613,0.1163
0.0614,0.11139
0.0615,0.10649
0.0616,0.10158
0.0617,0.096669
0.0618,0.091756
0.0619,0.086841
0.062,0.081923
0.0621,0.077004
0.0622,0.072083
0.0623,0.06716
0.0624,0.062236
0.0625,0.05731
0.0626,0.052382
0.0627,0.047454
0.0628,0.042524
0.0629,0.037593
0.063,0.032661
0.0631,0.027729
0.0632,0.022796
0.0633,0.017862
0.0634,0.012928
0.0635,0.0079932
0.0636,0.0030584
0.0637,-0.0018763
0.0638,-0.0068111
0.0639,-0.011746
0.064,-0.01668
0.0641,-0.021614
0.0642,-0.026547
0.0643,-0.03148
0.0644,-0.036412
0.0645,-0.041343
0.0646,-0.046273
0.0647,-0.051202
0.0648,-0.05613
0.0649,-0.061056
0.065,-0.065981
0.0651,-0.070904
0.0652,-0.075826
0.0653,-0.080745
0.0654,-0.085663
0.0655,-0.090578
0.0656,-0.095492
0.0657,-0.1004
0.0658,-0.10531
0.0659,-0.11022
0.066,-0.11512
0.0661,-0.12002
0.0662,-0.12492
0.0663,-0.12981
0.0664,-0.13471
0.0665,-0.13959
0.0666,-0.14448
0.0667,-0.14936
0.0668,-0.15424
0.0669,-0.15911
0.067,-0.16398
0.0671,-0.16885
0.0672,-0.17371
0.0673,-0.17857
