abs(H),W
0.96774,0
0.96778,0.0015708
0.96792,0.0031416
0.96816,0.0047124
0.96849,0.0062832
0.96891,0.007854
0.96942,0.0094248
0.97003,0.010996
0.97072,0.012566
0.9715,0.014137
0.97237,0.015708
0.97332,0.017279
0.97436,0.01885
0.97547,0.02042
0.97667,0.021991
0.97793,0.023562
0.97927,0.025133
0.98068,0.026704
0.98215,0.028274
0.98369,0.029845
0.98529,0.031416
0.98694,0.032987
0.98865,0.034558
0.9904,0.036128
0.9922,0.037699
0.99404,0.03927
0.99591,0.040841
0.99782,0.042412
0.99976,0.043982
1.0017,0.045553
1.0037,0.047124
1.0057,0.048695
1.0077,0.050265
1.0097,0.051836
1.0117,0.053407
1.0138,0.054978
1.0158,0.056549
1.0178,0.058119
1.0197,0.05969
1.0217,0.061261
1.0236,0.062832
1.0255,0.064403
1.0274,0.065973
1.0293,0.067544
1.0311,0.069115
1.0328,0.070686
1.0345,0.072257
1.0361,0.073827
1.0377,0.075398
1.0393,0.076969
1.0407,0.07854
1.0421,0.080111
1.0434,0.081681
1.0447,0.083252
1.0459,0.084823
1.047,0.086394
1.048,0.087965
1.0489,0.089535
1.0497,0.091106
1.0505,0.092677
1.0511,0.094248
1.0517,0.095819
1.0522,0.097389
1.0525,0.09896
1.0528,0.10053
1.053,0.1021
1.0531,0.10367
1.053,0.10524
1.0529,0.10681
1.0527,0.10838
1.0524,0.10996
1.0519,0.11153
1.0514,0.1131
1.0508,0.11467
1.0501,0.11624
1.0493,0.11781
1.0483,0.11938
1.0473,0.12095
1.0462,0.12252
1.045,0.12409
1.0438,0.12566
1.0424,0.12723
1.041,0.12881
1.0394,0.13038
1.0378,0.13195
1.0362,0.13352
1.0344,0.13509
1.0326,0.13666
1.0307,0.13823
1.0288,0.1398
1.0268,0.14137
1.0247,0.14294
1.0226,0.14451
1.0205,0.14608
1.0183,0.14765
1.0161,0.14923
1.0138,0.1508
1.0115,0.15237
1.0092,0.15394
1.0069,0.15551
1.0045,0.15708
1.0022,0.15865
0.9998,0.16022
0.99744,0.16179
0.99509,0.16336
0.99274,0.16493
0.9904,0.1665
0.98809,0.16808
0.9858,0.16965
0.98353,0.17122
0.9813,0.17279
0.9791,0.17436
0.97694,0.17593
0.97483,0.1775
0.97277,0.17907
0.97076,0.18064
0.96882,0.18221
0.96693,0.18378
0.96511,0.18535
0.96335,0.18692
0.96167,0.1885
0.96007,0.19007
0.95855,0.19164
0.95711,0.19321
0.95575,0.19478
0.95448,0.19635
0.95331,0.19792
0.95222,0.19949
0.95124,0.20106
0.95035,0.20263
0.94956,0.2042
0.94887,0.20577
0.94829,0.20735
0.94781,0.20892
0.94743,0.21049
0.94716,0.21206
0.947,0.21363
0.94694,0.2152
0.94699,0.21677
0.94715,0.21834
0.94741,0.21991
0.94778,0.22148
0.94826,0.22305
0.94884,0.22462
0.94952,0.22619
0.95031,0.22777
0.95119,0.22934
0.95218,0.23091
0.95326,0.23248
0.95444,0.23405
0.95571,0.23562
0.95706,0.23719
0.95851,0.23876
0.96004,0.24033
0.96165,0.2419
0.96334,0.24347
0.96511,0.24504
0.96694,0.24662
0.96885,0.24819
0.97081,0.24976
0.97284,0.25133
0.97492,0.2529
0.97705,0.25447
0.97923,0.25604
0.98146,0.25761
0.98372,0.25918
0.98601,0.26075
0.98833,0.26232
0.99068,0.26389
0.99305,0.26546
0.99543,0.26704
0.99782,0.26861
1.0002,0.27018
1.0026,0.27175
1.005,0.27332
1.0074,0.27489
1.0097,0.27646
1.0121,0.27803
1.0144,0.2796
1.0167,0.28117
1.019,0.28274
1.0212,0.28431
1.0234,0.28588
1.0255,0.28746
1.0276,0.28903
1.0296,0.2906
1.0316,0.29217
1.0335,0.29374
1.0353,0.29531
1.0371,0.29688
1.0387,0.29845
1.0403,0.30002
1.0419,0.30159
1.0433,0.30316
1.0447,0.30473
1.0459,0.30631
1.0471,0.30788
1.0482,0.30945
1.0491,0.31102
1.05,0.31259
1.0508,0.31416
1.0514,0.31573
1.052,0.3173
1.0524,0.31887
1.0528,0.32044
1.053,0.32201
1.0532,0.32358
1.0532,0.32515
1.0531,0.32673
1.0529,0.3283
1.0526,0.32987
1.0522,0.33144
1.0517,0.33301
1.0511,0.33458
1.0503,0.33615
1.0495,0.33772
1.0486,0.33929
1.0475,0.34086
1.0464,0.34243
1.0452,0.344
1.0439,0.34558
1.0424,0.34715
1.041,0.34872
1.0394,0.35029
1.0377,0.35186
1.036,0.35343
1.0342,0.355
1.0323,0.35657
1.0303,0.35814
1.0283,0.35971
1.0263,0.36128
1.0241,0.36285
1.022,0.36442
1.0197,0.366
1.0175,0.36757
1.0152,0.36914
1.0129,0.37071
1.0105,0.37228
1.0081,0.37385
1.0057,0.37542
1.0033,0.37699
1.0009,0.37856
0.99852,0.38013
0.99611,0.3817
0.99371,0.38327
0.99132,0.38485
0.98895,0.38642
0.9866,0.38799
0.98428,0.38956
0.98199,0.39113
0.97974,0.3927
0.97753,0.39427
0.97537,0.39584
0.97325,0.39741
0.9712,0.39898
0.9692,0.40055
0.96726,0.40212
0.9654,0.40369
0.9636,0.40527
0.96188,0.40684
0.96024,0.40841
0.95868,0.40998
0.9572,0.41155
0.95582,0.41312
0.95452,0.41469
0.95332,0.41626
0.95222,0.41783
0.95122,0.4194
0.95031,0.42097
0.94951,0.42254
0.94882,0.42412
0.94823,0.42569
0.94774,0.42726
0.94737,0.42883
0.94711,0.4304
0.94695,0.43197
0.94691,0.43354
0.94697,0.43511
0.94715,0.43668
0.94744,0.43825
0.94783,0.43982
0.94834,0.44139
0.94895,0.44296
0.94967,0.44454
0.95049,0.44611
0.95142,0.44768
0.95244,0.44925
0.95357,0.45082
0.9548,0.45239
0.95612,0.45396
0.95753,0.45553
0.95903,0.4571
0.96061,0.45867
0.96228,0.46024
0.96403,0.46181
0.96585,0.46338
0.96774,0.46496
0.96971,0.46653
0.97173,0.4681
0.97382,0.46967
0.97596,0.47124
0.97815,0.47281
0.98039,0.47438
0.98267,0.47595
0.98499,0.47752
0.98734,0.47909
0.98971,0.48066
0.99211,0.48223
0.99452,0.48381
0.99695,0.48538
0.99939,0.48695
1.0018,0.48852
1.0043,0.49009
1.0067,0.49166
1.0091,0.49323
1.0115,0.4948
1.0139,0.49637
1.0162,0.49794
1.0185,0.49951
1.0208,0.50108
1.023,0.50265
1.0252,0.50423
1.0273,0.5058
1.0294,0.50737
1.0314,0.50894
1.0333,0.51051
1.0352,0.51208
1.037,0.51365
1.0387,0.51522
1.0403,0.51679
1.0419,0.51836
1.0433,0.51993
1.0447,0.5215
1.046,0.52308
1.0472,0.52465
1.0483,0.52622
1.0492,0.52779
1.0501,0.52936
1.0509,0.53093
1.0515,0.5325
1.0521,0.53407
1.0525,0.53564
1.0528,0.53721
1.0531,0.53878
1.0532,0.54035
1.0531,0.54192
1.053,0.5435
1.0528,0.54507
1.0524,0.54664
1.052,0.54821
1.0514,0.54978
1.0507,0.55135
1.0499,0.55292
1.049,0.55449
1.048,0.55606
1.0468,0.55763
1.0456,0.5592
1.0443,0.56077
1.0429,0.56235
1.0414,0.56392
