abs(H),W
0.91285,0
0.91366,0.0015708
0.91605,0.0031416
0.91995,0.0047124
0.92525,0.0062832
0.93178,0.007854
0.93936,0.0094248
0.94775,0.010996
0.95671,0.012566
0.96596,0.014137
0.97524,0.015708
0.98428,0.017279
0.99281,0.01885
1.0006,0.02042
1.0074,0.021991
1.013,0.023562
1.0174,0.025133
1.0204,0.026704
1.0219,0.028274
1.022,0.029845
1.0207,0.031416
1.0181,0.032987
1.0144,0.034558
1.0097,0.036128
1.0043,0.037699
0.99839,0.03927
0.99231,0.040841
0.98632,0.042412
0.9807,0.043982
0.97574,0.045553
0.9717,0.047124
0.96882,0.048695
0.96728,0.050265
0.96726,0.051836
0.96885,0.053407
0.97211,0.054978
0.97702,0.056549
0.98354,0.058119
0.99154,0.05969
1.0009,0.061261
1.0113,0.062832
1.0225,0.064403
1.0342,0.065973
1.0462,0.067544
1.0581,0.069115
1.0695,0.070686
1.0801,0.072257
1.0896,0.073827
1.0977,0.075398
1.1043,0.076969
1.109,0.07854
1.1118,0.080111
1.1125,0.081681
1.1113,0.083252
1.108,0.084823
1.1029,0.086394
1.096,0.087965
1.0877,0.089535
1.0781,0.091106
1.0675,0.092677
1.0564,0.094248
1.045,0.095819
1.0336,0.097389
1.0227,0.09896
1.0124,0.10053
1.0032,0.1021
0.99519,0.10367
0.98865,0.10524
0.9837,0.10681
0.98043,0.10838
0.97888,0.10996
0.97899,0.11153
0.98069,0.1131
0.98382,0.11467
0.98818,0.11624
0.99353,0.11781
0.99959,0.11938
1.0061,0.12095
1.0126,0.12252
1.019,0.12409
1.0248,0.12566
1.0297,0.12723
1.0336,0.12881
1.0361,0.13038
1.0372,0.13195
1.0366,0.13352
1.0343,0.13509
1.0303,0.13666
1.0246,0.13823
1.0174,0.1398
1.0087,0.14137
0.99883,0.14294
0.988,0.14451
0.97651,0.14608
0.96467,0.14765
0.95281,0.14923
0.94129,0.1508
0.93042,0.15237
0.92054,0.15394
0.91194,0.15551
0.90489,0.15708
0.8996,0.15865
0.89623,0.16022
0.8949,0.16179
0.89565,0.16336
0.89846,0.16493
0.90324,0.1665
0.90983,0.16808
0.91802,0.16965
0.92751,0.17122
0.93797,0.17279
0.94901,0.17436
0.96021,0.17593
0.9711,0.1775
0.98121,0.17907
0.99006,0.18064
0.99717,0.18221
1.0021,0.18378
1.0043,0.18535
1.0035,0.18692
0.99929,0.1885
0.99139,0.19007
0.97957,0.19164
0.96367,0.19321
0.94362,0.19478
0.91942,0.19635
0.89116,0.19792
0.859,0.19949
0.82319,0.20106
0.78404,0.20263
0.74194,0.2042
0.69732,0.20577
0.65068,0.20735
0.60253,0.20892
0.55344,0.21049
0.50395,0.21206
0.45465,0.21363
0.40607,0.2152
0.35875,0.21677
0.31318,0.21834
0.26981,0.21991
0.22902,0.22148
0.19115,0.22305
0.15645,0.22462
0.12513,0.22619
0.097295,0.22777
0.072993,0.22934
0.052199,0.23091
0.03482,0.23248
0.020704,0.23405
0.0096436,0.23562
0.0013865,0.23719
0.0043569,0.23876
0.0079029,0.24033
0.0095845,0.2419
0.0097415,0.24347
0.0087109,0.24504
0.0068178,0.24662
0.0043673,0.24819
0.001637,0.24976
0.0011279,0.25133
0.00372,0.2529
0.0059718,0.25447
0.0077576,0.25604
0.0089934,0.25761
0.0096351,0.25918
0.0096764,0.26075
0.0091442,0.26232
0.0080949,0.26389
0.0066082,0.26546
0.0047816,0.26704
0.0027243,0.26861
0.00055127,0.27018
0.0016226,0.27175
0.0036878,0.27332
0.0055451,0.27489
0.0071095,0.27646
