abs(H),W
0.94329,0
0.94483,0.0015708
0.94939,0.0031416
0.95671,0.0047124
0.96639,0.0062832
0.9779,0.007854
0.99062,0.0094248
1.0038,0.010996
1.0169,0.012566
1.029,0.014137
1.0395,0.015708
1.0479,0.017279
1.0536,0.01885
1.0564,0.02042
1.0562,0.021991
1.0529,0.023562
1.0467,0.025133
1.0379,0.026704
1.0271,0.028274
1.0148,0.029845
1.0017,0.031416
0.98853,0.032987
0.97595,0.034558
0.96469,0.036128
0.95536,0.037699
0.94846,0.03927
0.94437,0.040841
0.94332,0.042412
0.94536,0.043982
0.95038,0.045553
0.95811,0.047124
0.96813,0.048695
0.97988,0.050265
0.99273,0.051836
1.006,0.053407
1.0189,0.054978
1.0308,0.056549
1.041,0.058119
1.049,0.05969
1.0543,0.061261
1.0566,0.062832
1.0559,0.064403
1.0521,0.065973
1.0454,0.067544
1.0363,0.069115
1.0252,0.070686
1.0127,0.072257
0.99957,0.073827
0.98642,0.075398
0.97401,0.076969
0.96302,0.07854
0.95405,0.080111
0.94758,0.081681
0.94398,0.083252
0.94343,0.084823
0.94597,0.086394
0.95146,0.087965
0.95959,0.089535
0.96993,0.091106
0.98191,0.092677
0.99488,0.094248
1.0081,0.095819
1.0209,0.097389
1.0326,0.09896
1.0425,0.10053
1.0501,0.1021
1.0549,0.10367
1.0567,0.10524
1.0555,0.10681
1.0512,0.10838
1.0441,0.10996
1.0346,0.11153
1.0232,0.1131
1.0106,0.11467
0.99735,0.11624
0.98426,0.11781
0.97203,0.11938
0.96133,0.12095
0.95274,0.12252
0.94673,0.12409
0.94365,0.12566
0.94364,0.12723
0.94673,0.12881
0.95273,0.13038
0.96133,0.13195
0.97206,0.13352
0.98433,0.13509
0.99746,0.13666
1.0107,0.13823
1.0234,0.1398
1.0348,0.14137
1.0443,0.14294
1.0514,0.14451
1.0556,0.14608
1.0567,0.14765
1.0547,0.14923
1.0496,0.1508
1.0417,0.15237
1.0314,0.15394
1.0194,0.15551
1.0063,0.15708
0.99272,0.15865
0.97956,0.16022
0.96754,0.16179
0.95735,0.16336
0.94961,0.16493
0.94479,0.1665
0.94323,0.16808
0.94507,0.16965
0.95026,0.17122
0.95855,0.17279
0.96952,0.17436
0.98254,0.17593
0.99687,0.1775
1.0116,0.17907
1.0258,0.18064
1.0384,0.18221
1.0484,0.18378
1.0548,0.18535
1.0567,0.18692
1.0535,0.1885
1.0443,0.19007
1.0289,0.19164
1.0069,0.19321
0.97828,0.19478
0.94329,0.19635
0.90226,0.19792
0.85575,0.19949
0.80449,0.20106
0.74931,0.20263
0.69118,0.2042
0.6311,0.20577
0.57013,0.20735
0.50929,0.20892
0.44956,0.21049
0.39187,0.21206
0.33701,0.21363
0.28566,0.2152
0.23837,0.21677
0.19553,0.21834
0.15739,0.21991
0.12403,0.22148
0.095416,0.22305
0.071387,0.22462
0.05167,0.22619
0.035913,0.22777
0.023698,0.22934
0.01457,0.23091
0.0080535,0.23248
0.0036764,0.23405
0.00098631,0.23562
0.00043462,0.23719
0.00095813,0.23876
0.00090213,0.24033
0.00052648,0.2419
3.219e-05,0.24347
0.00043639,0.24504
0.00078677,0.24662
0.00097162,0.24819
0.00098065,0.24976
0.00083182,0.25133
0.00056237,0.2529
0.00022039,0.25447
0.00014288,0.25604
0.00047933,0.25761
0.00074896,0.25918
0.00092315,0.26075
0.00098637,0.26232
0.00093643,0.26389
0.00078339,0.26546
0.00054749,0.26704
0.0002563,0.26861
5.851e-05,0.27018
0.00036449,0.27175
0.00063152,0.27332
0.00083452,0.27489
0.00095547,0.27646
0.00098467,0.27803
0.00092125,0.2796
0.00077283,0.28117
0.00055445,0.28274
0.00028702,0.28431
4.7996e-06,0.28588
0.00029482,0.28746
0.00055763,0.28903
0.00077075,0.2906
0.00091643,0.29217
0.00098301,0.29374
0.00096574,0.29531
0.00086695,0.29688
0.00069577,0.29845
0.00046713,0.30002
0.00020047,0.30159
8.1957e-05,0.30316
0.00035692,0.30473
0.00060214,0.30631
0.00079799,0.30788
0.00092908,0.30945
0.00098536,0.31102
0.00096285,0.31259
0.00086386,0.31416
0.00069669,0.31573
0.00047492,0.3173
0.00021628,0.31887
5.8813e-05,0.32044
0.00032882,0.32201
0.00057281,0.32358
0.00077203,0.32515
0.0009113,0.32673
0.00098021,0.3283
0.00097376,0.32987
0.0008928,0.33144
0.00074378,0.33301
0.00053834,0.33458
0.00029227,0.33615
2.4362e-05,0.33772
0.00024508,0.33929
0.00049575,0.34086
0.00070885,0.34243
0.00086854,0.344
0.000963,0.34558
0.0009854,0.34715
0.00093425,0.34872
0.00081358,0.35029
0.00063252,0.35186
0.00040467,0.35343
0.00014699,0.355
0.00012141,0.35657
0.00038071,0.35814
0.00061185,0.35971
0.00079791,0.36128
0.00092533,0.36285
0.0009849,0.36442
0.00097241,0.366
0.00088892,0.36757
0.00074067,0.36914
0.00053857,0.37071
0.00029745,0.37228
3.49e-05,0.37385
0.00022999,0.37542
0.00047801,0.37699
0.00069123,0.37856
0.0008543,0.38013
0.00095551,0.3817
0.00098767,0.38327
0.00094858,0.38485
0.00084118,0.38642
0.0006733,0.38799
0.00045711,0.38956
0.00020822,0.39113
5.5446e-05,0.3927
0.00031497,0.39427
0.00055175,0.39584
0.00074886,0.39741
0.00089226,0.39898
0.00097176,0.40055
0.00098177,0.40212
0.00092164,0.40369
0.00079576,0.40527
0.00061316,0.40684
0.00038692,0.40841
0.00013317,0.40998
0.00013,0.41155
0.00038388,0.41312
0.00061045,0.41469
0.00079365,0.41626
0.00092053,0.41783
0.00098213,0.4194
0.00097415,0.42097
0.00089719,0.42254
0.00075676,0.42412
0.00056282,0.42569
0.00032912,0.42726
7.2169e-05,0.42883
0.00018988,0.4304
0.00043853,0.43197
0.00065628,0.43354
0.00082781,0.43511
0.00094105,0.43668
0.00098808,0.43825
0.00096562,0.43982
0.00087529,0.44139
0.00072346,0.44296
0.00052083,0.44454
0.00028164,0.44611
2.2682e-05,0.44768
0.00023787,0.44925
0.00048177,0.45082
0.00069194,0.45239
0.00085367,0.45396
0.00095568,0.45553
0.00099085,0.4571
0.00095677,0.45867
0.00085584,0.46024
0.00069517,0.46181
0.00048598,0.46338
0.00024293,0.46496
1.7022e-05,0.46653
0.00027572,0.4681
0.00051512,0.46967
0.00071854,0.47124
0.00087183,0.47281
0.00096432,0.47438
0.00098961,0.47595
0.00094597,0.47752
0.00083648,0.47909
0.00066878,0.48066
0.00045458,0.48223
0.00020881,0.48381
5.1432e-05,0.48538
0.00030804,0.48695
0.00054317,0.48852
0.0007405,0.49009
0.00088633,0.49166
0.00097055,0.49323
0.00098735,0.4948
0.00093558,0.49637
0.00081888,0.49794
0.00064535,0.49951
0.00042707,0.50108
0.0001792,0.50265
8.106e-05,0.50423
0.00033566,0.5058
0.00056696,0.50737
0.00075893,0.50894
0.00089828,0.51051
0.00097538,0.51208
0.0009849,0.51365
0.00092621,0.51522
0.0008034,0.51679
0.00062498,0.51836
0.00040332,0.51993
0.00015377,0.5215
0.0001064,0.52308
0.00035918,0.52465
0.00058711,0.52622
0.00077443,0.52779
0.00090819,0.52936
0.00097917,0.53093
0.00098248,0.5325
0.0009179,0.53407
0.00078991,0.53564
0.00060737,0.53721
0.00038288,0.53878
0.00013197,0.54035
0.00012805,0.54192
0.00037923,0.5435
0.00060423,0.54507
0.00078754,0.54664
0.00091652,0.54821
0.00098227,0.54978
0.00098028,0.55135
0.00091069,0.55292
0.00077831,0.55449
0.00059228,0.55606
0.00036543,0.55763
0.00011338,0.5592
0.00014649,0.56077
0.00039627,0.56235
0.00061877,0.56392
0.00079867,0.56549
0.00092358,0.56706
0.00098492,0.56863
0.00097848,0.5702
0.0009047,0.57177
0.00076868,0.57334
0.00057978,0.57491
0.00035101,0.57648
9.8109e-05,0.57805
0.00016152,0.57962
0.00041003,0.58119
0.00063033,0.58277
0.00080728,0.58434
0.00092873,0.58591
0.00098633,0.58748
0.00097615,0.58905
0.0008989,0.59062
0.0007599,0.59219
0.00056871,0.59376
0.0003385,0.59533
8.5078e-05,0.5969
0.00017414,0.59847
0.00042134,0.60004
0.00063954,0.60161
0.00081378,0.60319
0.00093209,0.60476
0.00098637,0.60633
0.0009729,0.6079
0.00089262,0.60947
0.00075107,0.61104
0.00055798,0.61261
0.00032662,0.61418
7.2886e-05,0.61575
0.00018581,0.61732
0.0004317,0.61889
0.00064791,0.62046
0.0008196,0.62204
0.00093502,0.62361
0.00098625,0.62518
0.00096978,0.62675
0.00088677,0.62832
0.00074293,0.62989
0.00054814,0.63146
0.00031577,0.63303
6.178e-05,0.6346
0.00019641,0.63617
0.00044108,0.63774
0.00065545,0.63931
0.00082483,0.64088
0.00093761,0.64246
0.00098606,0.64403
0.00096687,0.6456
0.00088138,0.64717
0.00073546,0.64874
0.00053913,0.65031
0.00030585,0.65188
5.1636e-05,0.65345
0.00020609,0.65502
0.00044964,0.65659
0.00066234,0.65816
0.0008296,0.65973
0.00093997,0.66131
0.00098589,0.66288
0.00096421,0.66445
0.00087645,0.66602
0.00072862,0.66759
0.00053087,0.66916
0.00029675,0.67073
4.2317e-05,0.6723
0.00021499,0.67387
0.00045754,0.67544
0.00066872,0.67701
0.00083405,0.67858
0.00094221,0.68015
0.00098581,0.68173
0.00096185,0.6833
0.00087198,0.68487
0.00072238,0.68644
0.0005233,0.68801
0.00028837,0.68958
3.3704e-05,0.69115
0.00022326,0.69272
0.00046492,0.69429
0.00067472,0.69586
0.00083829,0.69743
0.00094443,0.699
0.00098588,0.70058
0.0009598,0.70215
0.00086797,0.70372
0.00071671,0.70529
0.00051635,0.70686
0.00028064,0.70843
2.5703e-05,0.71
0.00023099,0.71157
0.00047187,0.71314
0.00068043,0.71471
0.0008424,0.71628
0.00094669,0.71785
0.00098615,0.71942
0.00095809,0.721
