abs(H),W
1.0861,0
1.0862,0.0031416
1.0864,0.0062832
1.0867,0.0094248
1.0872,0.012566
1.0879,0.015708
1.0886,0.01885
1.0894,0.021991
1.0904,0.025133
1.0914,0.028274
1.0925,0.031416
1.0937,0.034558
1.0948,0.037699
1.096,0.040841
1.0972,0.043982
1.0984,0.047124
1.0995,0.050265
1.1006,0.053407
1.1016,0.056549
1.1025,0.05969
1.1032,0.062832
1.1038,0.065973
1.1043,0.069115
1.1045,0.072257
1.1046,0.075398
1.1045,0.07854
1.1041,0.081681
1.1035,0.084823
1.1027,0.087965
1.1016,0.091106
1.1002,0.094248
1.0986,0.097389
1.0967,0.10053
1.0946,0.10367
1.0921,0.10681
1.0895,0.10996
1.0866,0.1131
1.0834,0.11624
1.0801,0.11938
1.0765,0.12252
1.0727,0.12566
1.0687,0.12881
1.0646,0.13195
1.0604,0.13509
1.0561,0.13823
1.0516,0.14137
1.0471,0.14451
1.0426,0.14765
1.0381,0.1508
1.0336,0.15394
1.0292,0.15708
1.0248,0.16022
1.0206,0.16336
1.0164,0.1665
1.0125,0.16965
1.0087,0.17279
1.0051,0.17593
1.0018,0.17907
0.99874,0.18221
0.99593,0.18535
0.99342,0.1885
0.9912,0.19164
0.9893,0.19478
0.98772,0.19792
0.98647,0.20106
0.98556,0.2042
0.98497,0.20735
0.98472,0.21049
0.9848,0.21363
0.98519,0.21677
0.9859,0.21991
0.9869,0.22305
0.98817,0.22619
0.98971,0.22934
0.99149,0.23248
0.99349,0.23562
0.99568,0.23876
0.99803,0.2419
1.0005,0.24504
1.0031,0.24819
1.0058,0.25133
1.0085,0.25447
1.0113,0.25761
1.014,0.26075
1.0167,0.26389
1.0193,0.26704
1.0217,0.27018
1.0241,0.27332
1.0262,0.27646
1.0282,0.2796
1.0299,0.28274
1.0314,0.28588
1.0326,0.28903
1.0335,0.29217
1.0341,0.29531
1.0343,0.29845
1.0342,0.30159
1.0338,0.30473
1.0329,0.30788
1.0318,0.31102
1.0302,0.31416
1.0283,0.3173
1.026,0.32044
1.0233,0.32358
1.0203,0.32673
1.017,0.32987
1.0134,0.33301
1.0094,0.33615
1.0052,0.33929
1.0007,0.34243
0.99598,0.34558
0.99106,0.34872
0.98596,0.35186
0.98073,0.355
0.97538,0.35814
0.96995,0.36128
0.96448,0.36442
0.959,0.36757
0.95356,0.37071
0.94817,0.37385
0.94289,0.37699
0.93775,0.38013
0.93277,0.38327
0.928,0.38642
0.92347,0.38956
0.91922,0.3927
0.91526,0.39584
0.91164,0.39898
0.90838,0.40212
0.9055,0.40527
0.90303,0.40841
0.90098,0.41155
0.89939,0.41469
0.89825,0.41783
0.89758,0.42097
0.8974,0.42412
0.89771,0.42726
0.8985,0.4304
0.89979,0.43354
0.90157,0.43668
0.90384,0.43982
0.90657,0.44296
0.90977,0.44611
0.91341,0.44925
0.91748,0.45239
0.92195,0.45553
0.9268,0.45867
0.93201,0.46181
0.93754,0.46496
0.94336,0.4681
0.94944,0.47124
0.95574,0.47438
0.96223,0.47752
0.96886,0.48066
0.9756,0.48381
0.98241,0.48695
0.98923,0.49009
0.99604,0.49323
1.0028,0.49637
1.0094,0.49951
1.0159,0.50265
1.0222,0.5058
1.0283,0.50894
1.0342,0.51208
1.0397,0.51522
1.0449,0.51836
1.0498,0.5215
1.0543,0.52465
1.0583,0.52779
1.062,0.53093
1.0651,0.53407
1.0679,0.53721
1.0701,0.54035
1.0718,0.5435
1.0731,0.54664
1.0739,0.54978
1.0741,0.55292
1.074,0.55606
