abs(H),W
0.99164,0
0.99164,0.0031416
0.99165,0.0062832
0.99168,0.0094248
0.99171,0.012566
0.99175,0.015708
0.9918,0.01885
0.99185,0.021991
0.99192,0.025133
0.99199,0.028274
0.99208,0.031416
0.99217,0.034558
0.99227,0.037699
0.99238,0.040841
0.99249,0.043982
0.99262,0.047124
0.99275,0.050265
0.99289,0.053407
0.99304,0.056549
0.99319,0.05969
0.99335,0.062832
0.99352,0.065973
0.9937,0.069115
0.99388,0.072257
0.99407,0.075398
0.99426,0.07854
0.99446,0.081681
0.99467,0.084823
0.99488,0.087965
0.99509,0.091106
0.99531,0.094248
0.99554,0.097389
0.99576,0.10053
0.996,0.10367
0.99623,0.10681
0.99647,0.10996
0.99671,0.1131
0.99696,0.11624
0.99721,0.11938
0.99745,0.12252
0.9977,0.12566
0.99796,0.12881
0.99821,0.13195
0.99846,0.13509
0.99871,0.13823
0.99896,0.14137
0.99921,0.14451
0.99946,0.14765
0.99971,0.1508
0.99996,0.15394
1.0002,0.15708
1.0004,0.16022
1.0007,0.16336
1.0009,0.1665
1.0011,0.16965
1.0014,0.17279
1.0016,0.17593
1.0018,0.17907
1.002,0.18221
1.0022,0.18535
1.0024,0.1885
1.0026,0.19164
1.0027,0.19478
1.0029,0.19792
1.0031,0.20106
1.0032,0.2042
1.0034,0.20735
1.0035,0.21049
1.0036,0.21363
1.0037,0.21677
1.0038,0.21991
1.0039,0.22305
1.0039,0.22619
1.004,0.22934
1.004,0.23248
1.004,0.23562
1.0041,0.23876
1.004,0.2419
1.004,0.24504
1.004,0.24819
1.0039,0.25133
1.0038,0.25447
1.0037,0.25761
1.0036,0.26075
1.0035,0.26389
1.0033,0.26704
1.0031,0.27018
1.0029,0.27332
1.0027,0.27646
1.0025,0.2796
1.0022,0.28274
1.0019,0.28588
1.0016,0.28903
1.0012,0.29217
1.0009,0.29531
1.0005,0.29845
1.0001,0.30159
0.99962,0.30473
0.99914,0.30788
0.99864,0.31102
0.99811,0.31416
0.99755,0.3173
0.99696,0.32044
0.99634,0.32358
0.99569,0.32673
0.99501,0.32987
0.9943,0.33301
0.99355,0.33615
0.99278,0.33929
0.99197,0.34243
0.99112,0.34558
0.99025,0.34872
0.98933,0.35186
0.98839,0.355
0.9874,0.35814
0.98639,0.36128
0.98533,0.36442
0.98424,0.36757
0.98312,0.37071
0.98195,0.37385
0.98075,0.37699
0.97951,0.38013
0.97823,0.38327
0.97691,0.38642
0.97555,0.38956
0.97415,0.3927
0.97272,0.39584
0.97124,0.39898
0.96972,0.40212
0.96816,0.40527
0.96656,0.40841
0.96492,0.41155
0.96323,0.41469
0.9615,0.41783
0.95973,0.42097
0.95792,0.42412
0.95606,0.42726
0.95416,0.4304
0.95222,0.43354
0.95023,0.43668
0.9482,0.43982
0.94613,0.44296
0.94401,0.44611
0.94184,0.44925
0.93964,0.45239
0.93738,0.45553
0.93508,0.45867
0.93274,0.46181
0.93035,0.46496
0.92791,0.4681
0.92543,0.47124
0.92291,0.47438
0.92033,0.47752
0.91772,0.48066
0.91505,0.48381
0.91234,0.48695
0.90959,0.49009
0.90678,0.49323
0.90394,0.49637
0.90104,0.49951
0.8981,0.50265
0.89512,0.5058
0.89209,0.50894
0.88901,0.51208
0.88589,0.51522
0.88272,0.51836
0.8795,0.5215
0.87624,0.52465
0.87294,0.52779
0.86959,0.53093
0.8662,0.53407
0.86276,0.53721
0.85927,0.54035
0.85574,0.5435
0.85217,0.54664
0.84855,0.54978
0.84489,0.55292
0.84119,0.55606
0.83744,0.5592
0.83365,0.56235
0.82982,0.56549
0.82595,0.56863
0.82203,0.57177
0.81807,0.57491
0.81407,0.57805
0.81003,0.58119
0.80595,0.58434
0.80183,0.58748
0.79767,0.59062
0.79346,0.59376
0.78922,0.5969
0.78494,0.60004
0.78063,0.60319
0.77627,0.60633
0.77188,0.60947
0.76745,0.61261
0.76299,0.61575
0.75848,0.61889
0.75395,0.62204
0.74938,0.62518
0.74477,0.62832
0.74013,0.63146
0.73546,0.6346
0.73075,0.63774
0.72602,0.64088
0.72125,0.64403
0.71645,0.64717
0.71162,0.65031
0.70676,0.65345
0.70187,0.65659
0.69695,0.65973
0.69201,0.66288
0.68703,0.66602
0.68204,0.66916
0.67701,0.6723
0.67196,0.67544
0.66689,0.67858
0.66179,0.68173
0.65667,0.68487
0.65153,0.68801
0.64636,0.69115
0.64118,0.69429
0.63597,0.69743
0.63075,0.70058
0.62551,0.70372
0.62024,0.70686
0.61497,0.71
0.60967,0.71314
0.60436,0.71628
0.59904,0.71942
0.5937,0.72257
0.58834,0.72571
0.58298,0.72885
0.5776,0.73199
0.57221,0.73513
0.56682,0.73827
0.56141,0.74142
0.55599,0.74456
0.55057,0.7477
