abs(H),W
0.99581,0
0.99581,0.0031416
0.99581,0.0062832
0.99582,0.0094248
0.99582,0.012566
0.99583,0.015708
0.99584,0.01885
0.99585,0.021991
0.99587,0.025133
0.99588,0.028274
0.9959,0.031416
0.99592,0.034558
0.99594,0.037699
0.99596,0.040841
0.99598,0.043982
0.99601,0.047124
0.99604,0.050265
0.99607,0.053407
0.9961,0.056549
0.99613,0.05969
0.99616,0.062832
0.9962,0.065973
0.99624,0.069115
0.99628,0.072257
0.99632,0.075398
0.99636,0.07854
0.9964,0.081681
0.99645,0.084823
0.9965,0.087965
0.99655,0.091106
0.9966,0.094248
0.99665,0.097389
0.9967,0.10053
0.99676,0.10367
0.99681,0.10681
0.99687,0.10996
0.99693,0.1131
0.99699,0.11624
0.99705,0.11938
0.99711,0.12252
0.99718,0.12566
0.99725,0.12881
0.99731,0.13195
0.99738,0.13509
0.99745,0.13823
0.99752,0.14137
0.99759,0.14451
0.99767,0.14765
0.99774,0.1508
0.99782,0.15394
0.99789,0.15708
0.99797,0.16022
0.99805,0.16336
0.99813,0.1665
0.99821,0.16965
0.99829,0.17279
0.99837,0.17593
0.99846,0.17907
0.99854,0.18221
0.99863,0.18535
0.99871,0.1885
0.9988,0.19164
0.99888,0.19478
0.99897,0.19792
0.99906,0.20106
0.99915,0.2042
0.99924,0.20735
0.99933,0.21049
0.99942,0.21363
0.99951,0.21677
0.9996,0.21991
0.99969,0.22305
0.99978,0.22619
0.99988,0.22934
0.99997,0.23248
1.0001,0.23562
1.0002,0.23876
1.0002,0.2419
1.0003,0.24504
1.0004,0.24819
1.0005,0.25133
1.0006,0.25447
1.0007,0.25761
1.0008,0.26075
1.0009,0.26389
1.001,0.26704
1.0011,0.27018
1.0012,0.27332
1.0013,0.27646
1.0014,0.2796
1.0014,0.28274
1.0015,0.28588
1.0016,0.28903
1.0017,0.29217
1.0018,0.29531
1.0019,0.29845
1.002,0.30159
1.0021,0.30473
1.0021,0.30788
1.0022,0.31102
1.0023,0.31416
1.0024,0.3173
1.0025,0.32044
