abs(H),W
0.98858,0
0.98859,0.0031416
0.98862,0.0062832
0.98867,0.0094248
0.98874,0.012566
0.98883,0.015708
0.98894,0.01885
0.98907,0.021991
0.98922,0.025133
0.98938,0.028274
0.98957,0.031416
0.98977,0.034558
0.98999,0.037699
0.99023,0.040841
0.99048,0.043982
0.99075,0.047124
0.99104,0.050265
0.99133,0.053407
0.99165,0.056549
0.99197,0.05969
0.99231,0.062832
0.99266,0.065973
0.99302,0.069115
0.99339,0.072257
0.99377,0.075398
0.99415,0.07854
0.99455,0.081681
0.99495,0.084823
0.99535,0.087965
0.99576,0.091106
0.99618,0.094248
0.99659,0.097389
0.99701,0.10053
0.99743,0.10367
0.99785,0.10681
0.99826,0.10996
0.99868,0.1131
0.99909,0.11624
0.9995,0.11938
0.9999,0.12252
1.0003,0.12566
1.0007,0.12881
1.0011,0.13195
1.0014,0.13509
1.0018,0.13823
1.0022,0.14137
1.0025,0.14451
1.0028,0.14765
1.0032,0.1508
1.0035,0.15394
1.0038,0.15708
1.0041,0.16022
1.0043,0.16336
1.0046,0.1665
1.0048,0.16965
1.005,0.17279
1.0052,0.17593
1.0054,0.17907
1.0056,0.18221
1.0058,0.18535
1.0059,0.1885
1.006,0.19164
1.0061,0.19478
1.0062,0.19792
1.0063,0.20106
1.0063,0.2042
1.0063,0.20735
1.0064,0.21049
1.0064,0.21363
1.0063,0.21677
1.0063,0.21991
1.0063,0.22305
1.0062,0.22619
1.0061,0.22934
1.006,0.23248
1.0059,0.23562
1.0058,0.23876
1.0057,0.2419
1.0055,0.24504
1.0054,0.24819
1.0052,0.25133
1.005,0.25447
1.0048,0.25761
1.0047,0.26075
1.0045,0.26389
1.0042,0.26704
1.004,0.27018
1.0038,0.27332
1.0036,0.27646
1.0034,0.2796
1.0032,0.28274
1.0029,0.28588
1.0027,0.28903
1.0025,0.29217
1.0023,0.29531
1.0021,0.29845
1.0019,0.30159
1.0017,0.30473
1.0015,0.30788
1.0013,0.31102
1.0011,0.31416
1.0009,0.3173
1.0008,0.32044
1.0006,0.32358
1.0005,0.32673
1.0004,0.32987
1.0003,0.33301
1.0002,0.33615
1.0001,0.33929
1,0.34243
0.99997,0.34558
0.99994,0.34872
0.99993,0.35186
0.99993,0.355
0.99995,0.35814
0.99999,0.36128
1,0.36442
1.0001,0.36757
1.0002,0.37071
1.0003,0.37385
1.0005,0.37699
1.0006,0.38013
1.0008,0.38327
1.0009,0.38642
1.0011,0.38956
1.0014,0.3927
1.0016,0.39584
1.0018,0.39898
1.0021,0.40212
1.0024,0.40527
1.0026,0.40841
1.0029,0.41155
1.0032,0.41469
1.0035,0.41783
1.0039,0.42097
1.0042,0.42412
1.0045,0.42726
1.0048,0.4304
1.0052,0.43354
1.0055,0.43668
1.0058,0.43982
1.0061,0.44296
1.0064,0.44611
1.0067,0.44925
1.007,0.45239
1.0073,0.45553
1.0075,0.45867
1.0077,0.46181
1.0079,0.46496
1.0081,0.4681
1.0083,0.47124
1.0084,0.47438
1.0085,0.47752
1.0085,0.48066
1.0086,0.48381
1.0085,0.48695
1.0085,0.49009
1.0083,0.49323
1.0081,0.49637
1.0079,0.49951
1.0076,0.50265
1.0073,0.5058
1.0069,0.50894
1.0064,0.51208
1.0058,0.51522
1.0052,0.51836
1.0045,0.5215
1.0037,0.52465
1.0028,0.52779
1.0018,0.53093
1.0008,0.53407
0.99961,0.53721
0.99837,0.54035
0.99702,0.5435
0.99556,0.54664
0.994,0.54978
0.99233,0.55292
0.99055,0.55606
0.98865,0.5592
0.98663,0.56235
0.98449,0.56549
0.98223,0.56863
0.97984,0.57177
0.97732,0.57491
0.97467,0.57805
0.97188,0.58119
0.96896,0.58434
0.9659,0.58748
0.9627,0.59062
0.95936,0.59376
0.95587,0.5969
0.95224,0.60004
0.94846,0.60319
0.94454,0.60633
0.94046,0.60947
0.93623,0.61261
0.93185,0.61575
0.92732,0.61889
0.92263,0.62204
0.91778,0.62518
0.91279,0.62832
0.90763,0.63146
0.90233,0.6346
0.89686,0.63774
0.89124,0.64088
0.88547,0.64403
0.87954,0.64717
0.87345,0.65031
0.86722,0.65345
0.86083,0.65659
0.85429,0.65973
0.84759,0.66288
0.84075,0.66602
0.83376,0.66916
0.82663,0.6723
0.81935,0.67544
0.81193,0.67858
0.80437,0.68173
0.79667,0.68487
0.78884,0.68801
0.78087,0.69115
0.77278,0.69429
0.76455,0.69743
0.7562,0.70058
0.74773,0.70372
0.73915,0.70686
0.73044,0.71
0.72163,0.71314
0.71271,0.71628
0.70369,0.71942
0.69456,0.72257
0.68534,0.72571
0.67603,0.72885
0.66663,0.73199
0.65715,0.73513
0.64759,0.73827
0.63795,0.74142
0.62825,0.74456
0.61847,0.7477
0.60864,0.75084
0.59875,0.75398
0.58881,0.75712
0.57883,0.76027
0.5688,0.76341
0.55874,0.76655
0.54865,0.76969
0.53853,0.77283
0.52839,0.77597
0.51823,0.77911
0.50806,0.78226
0.49789,0.7854
0.48772,0.78854
0.47755,0.79168
0.4674,0.79482
0.45725,0.79796
0.44713,0.80111
0.43704,0.80425
0.42697,0.80739
0.41694,0.81053
0.40696,0.81367
0.39702,0.81681
0.38712,0.81996
0.37729,0.8231
0.36752,0.82624
0.35781,0.82938
0.34817,0.83252
0.33861,0.83566
0.32912,0.83881
0.31972,0.84195
0.31041,0.84509
0.30119,0.84823
0.29207,0.85137
0.28305,0.85451
0.27413,0.85765
0.26532,0.8608
0.25663,0.86394
0.24805,0.86708
0.23959,0.87022
0.23125,0.87336
0.22304,0.8765
0.21496,0.87965
0.20701,0.88279
0.1992,0.88593
0.19152,0.88907
0.18398,0.89221
0.17659,0.89535
0.16934,0.8985
0.16224,0.90164
0.15529,0.90478
0.14848,0.90792
0.14183,0.91106
0.13534,0.9142
0.129,0.91735
0.12281,0.92049
0.11678,0.92363
0.11091,0.92677
0.1052,0.92991
0.099642,0.93305
0.094247,0.93619
0.089011,0.93934
0.083935,0.94248
0.079017,0.94562
0.074259,0.94876
0.069659,0.9519
0.065216,0.95504
0.060931,0.95819
0.056801,0.96133
0.052826,0.96447
0.049005,0.96761
0.045336,0.97075
0.041818,0.97389
0.03845,0.97704
0.035228,0.98018
0.032152,0.98332
0.02922,0.98646
0.026429,0.9896
0.023778,0.99274
0.021263,0.99588
0.018882,0.99903
0.016634,1.0022
0.014514,1.0053
0.012521,1.0085
0.010651,1.0116
0.0089021,1.0147
0.0072706,1.0179
0.0057538,1.021
0.0043483,1.0242
0.0030511,1.0273
0.0018588,1.0304
0.00076827,1.0336
0.00022398,1.0367
0.0011213,1.0399
0.001927,1.043
0.0026447,1.0462
0.0032778,1.0493
0.0038297,1.0524
0.004304,1.0556
0.0047041,1.0587
0.0050336,1.0619
