abs(H),W
0.99427,0
0.99428,0.0031416
0.99428,0.0062832
0.99429,0.0094248
0.99431,0.012566
0.99432,0.015708
0.99435,0.01885
0.99437,0.021991
0.9944,0.025133
0.99444,0.028274
0.99448,0.031416
0.99452,0.034558
0.99456,0.037699
0.99461,0.040841
0.99467,0.043982
0.99472,0.047124
0.99479,0.050265
0.99485,0.053407
0.99492,0.056549
0.99499,0.05969
0.99507,0.062832
0.99515,0.065973
0.99523,0.069115
0.99531,0.072257
0.9954,0.075398
0.9955,0.07854
0.99559,0.081681
0.99569,0.084823
0.99579,0.087965
0.9959,0.091106
0.99601,0.094248
0.99612,0.097389
0.99623,0.10053
0.99635,0.10367
0.99647,0.10681
0.99659,0.10996
0.99671,0.1131
0.99684,0.11624
0.99697,0.11938
0.9971,0.12252
0.99723,0.12566
0.99736,0.12881
0.9975,0.13195
0.99764,0.13509
0.99778,0.13823
0.99792,0.14137
0.99806,0.14451
0.99821,0.14765
0.99835,0.1508
0.9985,0.15394
0.99865,0.15708
0.9988,0.16022
0.99895,0.16336
0.9991,0.1665
0.99925,0.16965
0.9994,0.17279
0.99956,0.17593
0.99971,0.17907
0.99986,0.18221
1,0.18535
1.0002,0.1885
1.0003,0.19164
1.0005,0.19478
1.0006,0.19792
1.0008,0.20106
1.0009,0.2042
1.0011,0.20735
1.0012,0.21049
1.0014,0.21363
1.0015,0.21677
1.0017,0.21991
1.0018,0.22305
1.002,0.22619
1.0021,0.22934
1.0023,0.23248
1.0024,0.23562
1.0025,0.23876
1.0027,0.2419
1.0028,0.24504
1.0029,0.24819
1.0031,0.25133
1.0032,0.25447
1.0033,0.25761
1.0035,0.26075
1.0036,0.26389
1.0037,0.26704
1.0038,0.27018
1.0039,0.27332
1.004,0.27646
1.0042,0.2796
1.0043,0.28274
1.0044,0.28588
1.0045,0.28903
1.0046,0.29217
1.0046,0.29531
1.0047,0.29845
1.0048,0.30159
1.0049,0.30473
1.005,0.30788
1.0051,0.31102
1.0051,0.31416
1.0052,0.3173
1.0053,0.32044
1.0053,0.32358
1.0054,0.32673
1.0054,0.32987
1.0055,0.33301
1.0055,0.33615
1.0056,0.33929
1.0056,0.34243
1.0056,0.34558
1.0057,0.34872
1.0057,0.35186
1.0057,0.355
1.0057,0.35814
1.0057,0.36128
1.0057,0.36442
1.0057,0.36757
1.0057,0.37071
1.0057,0.37385
1.0057,0.37699
1.0057,0.38013
1.0057,0.38327
1.0057,0.38642
1.0056,0.38956
1.0056,0.3927
1.0056,0.39584
1.0055,0.39898
1.0055,0.40212
1.0054,0.40527
1.0054,0.40841
1.0053,0.41155
1.0053,0.41469
1.0052,0.41783
1.0051,0.42097
1.005,0.42412
1.005,0.42726
1.0049,0.4304
1.0048,0.43354
1.0047,0.43668
1.0046,0.43982
1.0045,0.44296
1.0044,0.44611
1.0043,0.44925
1.0042,0.45239
1.0041,0.45553
1.004,0.45867
1.0039,0.46181
1.0038,0.46496
1.0036,0.4681
1.0035,0.47124
1.0034,0.47438
1.0033,0.47752
1.0031,0.48066
1.003,0.48381
1.0028,0.48695
1.0027,0.49009
1.0026,0.49323
1.0024,0.49637
1.0023,0.49951
1.0021,0.50265
1.002,0.5058
1.0018,0.50894
1.0017,0.51208
1.0015,0.51522
1.0013,0.51836
1.0012,0.5215
1.001,0.52465
1.0009,0.52779
1.0007,0.53093
1.0005,0.53407
1.0004,0.53721
1.0002,0.54035
1.0001,0.5435
0.99989,0.54664
0.99973,0.54978
0.99956,0.55292
0.9994,0.55606
0.99923,0.5592
0.99907,0.56235
0.99891,0.56549
0.99875,0.56863
0.99859,0.57177
0.99843,0.57491
0.99827,0.57805
0.99811,0.58119
0.99795,0.58434
0.9978,0.58748
0.99765,0.59062
0.9975,0.59376
0.99735,0.5969
0.9972,0.60004
0.99705,0.60319
0.99691,0.60633
0.99677,0.60947
0.99663,0.61261
0.9965,0.61575
0.99637,0.61889
0.99624,0.62204
0.99611,0.62518
0.99599,0.62832
0.99587,0.63146
0.99575,0.6346
0.99564,0.63774
0.99553,0.64088
0.99543,0.64403
0.99533,0.64717
0.99523,0.65031
0.99514,0.65345
0.99505,0.65659
0.99496,0.65973
0.99488,0.66288
0.99481,0.66602
0.99474,0.66916
0.99467,0.6723
0.99461,0.67544
0.99455,0.67858
0.9945,0.68173
0.99445,0.68487
0.99441,0.68801
0.99437,0.69115
0.99434,0.69429
0.99431,0.69743
0.99429,0.70058
0.99428,0.70372
0.99427,0.70686
0.99426,0.71
0.99426,0.71314
0.99427,0.71628
0.99428,0.71942
0.9943,0.72257
0.99432,0.72571
0.99435,0.72885
0.99438,0.73199
0.99442,0.73513
0.99446,0.73827
0.99451,0.74142
0.99457,0.74456
0.99463,0.7477
0.9947,0.75084
0.99477,0.75398
0.99485,0.75712
0.99493,0.76027
0.99502,0.76341
0.99511,0.76655
0.99521,0.76969
0.99532,0.77283
0.99543,0.77597
0.99554,0.77911
0.99566,0.78226
0.99578,0.7854
0.99591,0.78854
0.99605,0.79168
0.99619,0.79482
0.99633,0.79796
0.99648,0.80111
0.99663,0.80425
0.99679,0.80739
0.99695,0.81053
0.99711,0.81367
0.99728,0.81681
0.99745,0.81996
0.99763,0.8231
0.99781,0.82624
0.99799,0.82938
0.99817,0.83252
0.99836,0.83566
0.99855,0.83881
0.99874,0.84195
0.99894,0.84509
0.99914,0.84823
0.99933,0.85137
0.99953,0.85451
0.99974,0.85765
0.99994,0.8608
1.0001,0.86394
1.0003,0.86708
1.0006,0.87022
1.0008,0.87336
1.001,0.8765
1.0012,0.87965
1.0014,0.88279
1.0016,0.88593
1.0018,0.88907
1.002,0.89221
1.0022,0.89535
1.0024,0.8985
1.0026,0.90164
1.0028,0.90478
1.003,0.90792
1.0031,0.91106
1.0033,0.9142
1.0035,0.91735
1.0037,0.92049
1.0038,0.92363
1.004,0.92677
1.0042,0.92991
1.0043,0.93305
1.0045,0.93619
1.0046,0.93934
1.0048,0.94248
1.0049,0.94562
1.005,0.94876
1.0051,0.9519
1.0052,0.95504
1.0053,0.95819
1.0054,0.96133
1.0055,0.96447
1.0056,0.96761
1.0056,0.97075
1.0057,0.97389
1.0057,0.97704
1.0057,0.98018
1.0057,0.98332
1.0058,0.98646
1.0057,0.9896
1.0057,0.99274
1.0057,0.99588
1.0056,0.99903
1.0056,1.0022
1.0055,1.0053
1.0054,1.0085
1.0053,1.0116
1.0052,1.0147
1.005,1.0179
1.0049,1.021
1.0047,1.0242
1.0045,1.0273
1.0043,1.0304
1.0041,1.0336
1.0038,1.0367
1.0036,1.0399
1.0033,1.043
1.003,1.0462
1.0026,1.0493
1.0023,1.0524
1.0019,1.0556
1.0015,1.0587
1.0011,1.0619
1.0007,1.065
1.0002,1.0681
0.99974,1.0713
0.99923,1.0744
0.9987,1.0776
0.99815,1.0807
0.99757,1.0838
0.99696,1.087
0.99633,1.0901
0.99567,1.0933
0.99499,1.0964
0.99427,1.0996
0.99353,1.1027
0.99277,1.1058
0.99197,1.109
0.99114,1.1121
0.99029,1.1153
0.9894,1.1184
0.98849,1.1215
0.98755,1.1247
0.98657,1.1278
0.98557,1.131
0.98453,1.1341
0.98346,1.1373
0.98236,1.1404
0.98122,1.1435
0.98006,1.1467
0.97886,1.1498
0.97762,1.153
0.97636,1.1561
0.97506,1.1592
0.97372,1.1624
0.97235,1.1655
0.97095,1.1687
0.96951,1.1718
0.96803,1.175
0.96652,1.1781
0.96497,1.1812
0.96339,1.1844
0.96177,1.1875
0.96011,1.1907
0.95842,1.1938
0.95669,1.1969
0.95492,1.2001
0.95311,1.2032
0.95127,1.2064
0.94938,1.2095
0.94746,1.2127
0.9455,1.2158
0.9435,1.2189
0.94147,1.2221
0.93939,1.2252
0.93728,1.2284
0.93512,1.2315
0.93293,1.2346
0.9307,1.2378
0.92842,1.2409
0.92611,1.2441
0.92376,1.2472
0.92137,1.2504
0.91893,1.2535
0.91646,1.2566
0.91395,1.2598
0.9114,1.2629
0.90881,1.2661
0.90617,1.2692
0.9035,1.2723
0.90079,1.2755
0.89803,1.2786
0.89524,1.2818
0.89241,1.2849
0.88953,1.2881
0.88662,1.2912
0.88367,1.2943
0.88067,1.2975
0.87764,1.3006
0.87457,1.3038
0.87146,1.3069
0.8683,1.31
0.86511,1.3132
0.86188,1.3163
0.85861,1.3195
0.8553,1.3226
0.85195,1.3258
0.84857,1.3289
0.84514,1.332
0.84168,1.3352
0.83818,1.3383
0.83464,1.3415
0.83106,1.3446
0.82745,1.3477
0.82379,1.3509
0.8201,1.354
0.81638,1.3572
0.81262,1.3603
0.80882,1.3635
0.80499,1.3666
0.80112,1.3697
0.79721,1.3729
0.79327,1.376
0.7893,1.3792
0.78529,1.3823
0.78125,1.3854
0.77717,1.3886
0.77306,1.3917
0.76892,1.3949
0.76475,1.398
0.76054,1.4012
0.75631,1.4043
0.75204,1.4074
0.74774,1.4106
0.74341,1.4137
0.73905,1.4169
0.73466,1.42
0.73024,1.4231
0.7258,1.4263
0.72132,1.4294
0.71682,1.4326
0.71229,1.4357
0.70774,1.4388
0.70316,1.442
0.69855,1.4451
0.69392,1.4483
0.68926,1.4514
0.68458,1.4546
0.67988,1.4577
0.67515,1.4608
0.6704,1.464
0.66563,1.4671
0.66084,1.4703
0.65603,1.4734
0.65119,1.4765
0.64634,1.4797
0.64147,1.4828
0.63658,1.486
0.63168,1.4891
0.62675,1.4923
0.62181,1.4954
0.61686,1.4985
0.61189,1.5017
0.6069,1.5048
0.6019,1.508
0.59689,1.5111
0.59186,1.5142
0.58683,1.5174
0.58178,1.5205
0.57672,1.5237
0.57165,1.5268
0.56657,1.53
0.56148,1.5331
0.55639,1.5362
0.55129,1.5394
0.54618,1.5425
0.54106,1.5457
0.53594,1.5488
0.53082,1.5519
0.52569,1.5551
0.52055,1.5582
0.51542,1.5614
0.51028,1.5645
0.50514,1.5677
0.5,1.5708
0.49486,1.5739
0.48972,1.5771
0.48458,1.5802
0.47945,1.5834
0.47431,1.5865
0.46918,1.5896
0.46406,1.5928
0.45894,1.5959
0.45382,1.5991
0.44871,1.6022
0.44361,1.6054
0.43852,1.6085
0.43343,1.6116
0.42835,1.6148
0.42328,1.6179
0.41822,1.6211
0.41317,1.6242
0.40814,1.6273
0.40311,1.6305
0.3981,1.6336
0.3931,1.6368
0.38811,1.6399
0.38314,1.6431
0.37819,1.6462
0.37325,1.6493
0.36832,1.6525
0.36342,1.6556
0.35853,1.6588
0.35366,1.6619
0.34881,1.665
0.34397,1.6682
0.33916,1.6713
0.33437,1.6745
0.3296,1.6776
0.32485,1.6808
0.32012,1.6839
0.31542,1.687
0.31074,1.6902
0.30608,1.6933
0.30145,1.6965
0.29684,1.6996
0.29226,1.7027
0.28771,1.7059
0.28318,1.709
0.27868,1.7122
0.2742,1.7153
0.26976,1.7185
0.26534,1.7216
0.26095,1.7247
0.25659,1.7279
0.25226,1.731
0.24796,1.7342
0.24369,1.7373
0.23946,1.7404
0.23525,1.7436
0.23108,1.7467
0.22694,1.7499
0.22283,1.753
0.21875,1.7562
0.21471,1.7593
0.2107,1.7624
0.20673,1.7656
0.20279,1.7687
0.19888,1.7719
0.19501,1.775
0.19118,1.7781
0.18738,1.7813
0.18362,1.7844
0.1799,1.7876
0.17621,1.7907
0.17255,1.7938
0.16894,1.797
0.16536,1.8001
0.16182,1.8033
0.15832,1.8064
0.15486,1.8096
0.15143,1.8127
0.14805,1.8158
0.1447,1.819
0.14139,1.8221
0.13812,1.8253
0.13489,1.8284
0.1317,1.8315
0.12854,1.8347
0.12543,1.8378
0.12236,1.841
0.11933,1.8441
0.11633,1.8473
0.11338,1.8504
0.11047,1.8535
0.10759,1.8567
0.10476,1.8598
0.10197,1.863
0.099212,1.8661
0.096499,1.8692
0.093827,1.8724
0.091194,1.8755
0.088602,1.8787
0.08605,1.8818
0.083537,1.885
0.081065,1.8881
0.078633,1.8912
0.076241,1.8944
0.073889,1.8975
0.071577,1.9007
0.069304,1.9038
0.067071,1.9069
0.064877,1.9101
0.062723,1.9132
0.060608,1.9164
0.058532,1.9195
0.056495,1.9227
0.054497,1.9258
0.052538,1.9289
0.050617,1.9321
0.048734,1.9352
0.04689,1.9384
0.045083,1.9415
0.043314,1.9446
0.041583,1.9478
0.039888,1.9509
0.038231,1.9541
0.036611,1.9572
0.035027,1.9604
0.03348,1.9635
0.031969,1.9666
0.030493,1.9698
0.029053,1.9729
0.027648,1.9761
0.026278,1.9792
0.024943,1.9823
0.023642,1.9855
0.022376,1.9886
0.021143,1.9918
0.019943,1.9949
0.018777,1.9981
0.017643,2.0012
0.016541,2.0043
0.015472,2.0075
0.014435,2.0106
0.013429,2.0138
0.012454,2.0169
0.011509,2.02
0.010595,2.0232
0.0097109,2.0263
0.0088563,2.0295
0.0080309,2.0326
0.0072343,2.0358
0.0064661,2.0389
0.0057259,2.042
0.0050133,2.0452
0.004328,2.0483
0.0036695,2.0515
0.0030374,2.0546
0.0024313,2.0577
0.0018509,2.0609
0.0012956,2.064
0.00076515,2.0672
0.00025904,2.0703
0.00022313,2.0735
0.00068177,2.0766
0.0011173,2.0797
0.0015302,2.0829
0.0019208,2.086
0.0022895,2.0892
0.0026369,2.0923
0.0029633,2.0954
0.0032692,2.0986
0.0035549,2.1017
0.003821,2.1049
0.0040678,2.108
0.0042958,2.1112
0.0045053,2.1143
0.004697,2.1174
0.004871,2.1206
0.005028,2.1237
0.0051683,2.1269
0.0052924,2.13
0.0054006,2.1331
0.0054934,2.1363
0.0055713,2.1394
0.0056346,2.1426
0.0056838,2.1457
0.0057192,2.1488
0.0057414,2.152
0.0057507,2.1551
0.0057475,2.1583
0.0057323,2.1614
0.0057054,2.1646
0.0056673,2.1677
0.0056183,2.1708
0.0055589,2.174
0.0054895,2.1771
0.0054104,2.1803
0.005322,2.1834
0.0052248,2.1865
0.0051191,2.1897
0.0050053,2.1928
0.0048838,2.196
0.0047549,2.1991
0.004619,2.2023
0.0044765,2.2054
0.0043277,2.2085
0.0041731,2.2117
0.0040129,2.2148
0.0038475,2.218
0.0036772,2.2211
0.0035024,2.2242
0.0033234,2.2274
0.0031406,2.2305
0.0029542,2.2337
0.0027646,2.2368
0.0025722,2.24
0.0023771,2.2431
0.0021797,2.2462
0.0019804,2.2494
0.0017794,2.2525
0.0015769,2.2557
0.0013734,2.2588
0.001169,2.2619
0.00096404,2.2651
0.00075877,2.2682
0.00055346,2.2714
0.00034836,2.2745
0.00014372,2.2777
6.0218e-05,2.2808
0.00026321,2.2839
0.00046504,2.2871
0.00066546,2.2902
0.00086426,2.2934
0.0010612,2.2965
0.0012562,2.2996
0.0014489,2.3028
0.0016391,2.3059
0.0018267,2.3091
