abs(H),angle(H),W
2.4434e+08,0,0
2.4435e+08,-0.4015,2.5133e-06
2.4438e+08,-0.803,5.0265e-06
2.4442e+08,-1.2045,7.5398e-06
2.4448e+08,-1.606,1.0053e-05
2.4454e+08,-2.0075,1.2566e-05
2.4462e+08,-2.409,1.508e-05
2.4469e+08,-2.8105,1.7593e-05
2.4477e+08,-3.212,2.0106e-05
2.4484e+08,-3.6135,2.2619e-05
2.449e+08,-4.015,2.5133e-05
2.4495e+08,-4.4165,2.7646e-05
2.4498e+08,-4.818,3.0159e-05
2.4501e+08,-5.2195,3.2673e-05
2.4501e+08,-5.621,3.5186e-05
2.45e+08,-6.0225,3.7699e-05
2.4498e+08,-6.424,4.0212e-05
2.4495e+08,-6.8255,4.2726e-05
2.4492e+08,-7.227,4.5239e-05
2.4488e+08,-7.6285,4.7752e-05
2.4485e+08,-8.03,5.0265e-05
2.4481e+08,-8.4315,5.2779e-05
2.4479e+08,-8.833,5.5292e-05
2.4477e+08,-9.2345,5.7805e-05
2.4476e+08,-9.636,6.0319e-05
2.4477e+08,-10.038,6.2832e-05
2.4478e+08,-10.439,6.5345e-05
2.4481e+08,-10.841,6.7858e-05
2.4484e+08,-11.242,7.0372e-05
2.4487e+08,-11.644,7.2885e-05
2.4491e+08,-12.045,7.5398e-05
2.4495e+08,-12.447,7.7911e-05
2.4497e+08,-12.848,8.0425e-05
2.4499e+08,-13.25,8.2938e-05
2.45e+08,-13.651,8.5451e-05
2.4499e+08,-14.053,8.7965e-05
2.4497e+08,-14.454,9.0478e-05
2.4494e+08,-14.856,9.2991e-05
2.4489e+08,-15.257,9.5504e-05
2.4482e+08,-15.659,9.8018e-05
2.4475e+08,-16.06,0.00010053
2.4468e+08,-16.462,0.00010304
2.446e+08,-16.863,0.00010556
2.4452e+08,-17.265,0.00010807
2.4445e+08,-17.666,0.00011058
2.444e+08,-18.068,0.0001131
2.4435e+08,-18.469,0.00011561
2.4432e+08,-18.871,0.00011812
2.4431e+08,-19.272,0.00012064
2.4432e+08,-19.674,0.00012315
2.4434e+08,-20.075,0.00012566
2.4438e+08,-20.477,0.00012818
2.4444e+08,-20.878,0.00013069
2.445e+08,-21.28,0.0001332
2.4458e+08,-21.681,0.00013572
2.4465e+08,-22.083,0.00013823
2.4473e+08,-22.484,0.00014074
2.448e+08,-22.886,0.00014326
2.4486e+08,-23.287,0.00014577
2.449e+08,-23.689,0.00014828
2.4494e+08,-24.09,0.0001508
2.4496e+08,-24.492,0.00015331
2.4497e+08,-24.893,0.00015582
2.4496e+08,-25.295,0.00015834
