abs(H),angle(H),W
1,0,0
0.99991,-0.16904,1.0053e-05
0.99965,-0.33808,2.0106e-05
0.99921,-0.50711,3.0159e-05
0.99861,-0.67615,4.0212e-05
0.99785,-0.84519,5.0265e-05
0.99695,-1.0142,6.0319e-05
0.99592,-1.1833,7.0372e-05
0.99478,-1.3523,8.0425e-05
0.99354,-1.5213,9.0478e-05
0.99222,-1.6904,0.00010053
0.99085,-1.8594,0.00011058
0.98944,-2.0285,0.00012064
0.98801,-2.1975,0.00013069
0.9866,-2.3665,0.00014074
0.98521,-2.5356,0.0001508
0.98388,-2.7046,0.00016085
0.98262,-2.8736,0.0001709
0.98144,-3.0427,0.00018096
0.98038,-3.2117,0.00019101
0.97944,-3.3808,0.00020106
0.97864,-3.5498,0.00021112
0.978,-3.7188,0.00022117
0.97751,-3.8879,0.00023122
0.97719,-4.0569,0.00024127
0.97704,-4.2259,0.00025133
0.97707,-4.395,0.00026138
0.97727,-4.564,0.00027143
0.97764,-4.7331,0.00028149
0.97817,-4.9021,0.00029154
0.97886,-5.0711,0.00030159
0.97969,-5.2402,0.00031165
0.98064,-5.4092,0.0003217
0.98171,-5.5782,0.00033175
0.98288,-5.7473,0.00034181
0.98412,-5.9163,0.00035186
0.98542,-6.0854,0.00036191
0.98675,-6.2544,0.00037196
0.9881,-6.4234,0.00038202
0.98943,-6.5925,0.00039207
0.99074,-6.7615,0.00040212
0.992,-6.9305,0.00041218
0.99318,-7.0996,0.00042223
0.99428,-7.2686,0.00043228
0.99526,-7.4377,0.00044234
0.99612,-7.6067,0.00045239
0.99684,-7.7757,0.00046244
0.99741,-7.9448,0.0004725
0.99781,-8.1138,0.00048255
0.99805,-8.2829,0.0004926
0.99811,-8.4519,0.00050265
0.998,-8.6209,0.00051271
0.99771,-8.79,0.00052276
0.99725,-8.959,0.00053281
0.99662,-9.128,0.00054287
0.99584,-9.2971,0.00055292
0.99492,-9.4661,0.00056297
0.99386,-9.6352,0.00057303
0.99268,-9.8042,0.00058308
0.99141,-9.9732,0.00059313
0.99006,-10.142,0.00060319
0.98864,-10.311,0.00061324
0.98719,-10.48,0.00062329
0.98572,-10.649,0.00063335
0.98426,-10.818,0.0006434
0.98282,-10.987,0.00065345
0.98143,-11.156,0.0006635
0.98011,-11.326,0.00067356
0.97887,-11.495,0.00068361
0.97775,-11.664,0.00069366
0.97674,-11.833,0.00070372
0.97587,-12.002,0.00071377
0.97516,-12.171,0.00072382
0.9746,-12.34,0.00073388
0.97421,-12.509,0.00074393
0.974,-12.678,0.00075398
0.97396,-12.847,0.00076404
0.97409,-13.016,0.00077409
0.9744,-13.185,0.00078414
0.97487,-13.354,0.00079419
0.9755,-13.523,0.00080425
0.97628,-13.692,0.0008143
0.97719,-13.861,0.00082435
0.97822,-14.03,0.00083441
0.97935,-14.199,0.00084446
0.98056,-14.368,0.00085451
0.98184,-14.537,0.00086457
0.98316,-14.706,0.00087462
0.98451,-14.875,0.00088467
0.98585,-15.044,0.00089473
0.98717,-15.213,0.00090478
0.98845,-15.382,0.00091483
0.98966,-15.551,0.00092488
0.99079,-15.721,0.00093494
0.99182,-15.89,0.00094499
0.99272,-16.059,0.00095504
0.9935,-16.228,0.0009651
0.99413,-16.397,0.00097515
0.9946,-16.566,0.0009852
0.99491,-16.735,0.00099526
0.99505,-16.904,0.0010053
0.99502,-17.073,0.0010154
0.99482,-17.242,0.0010254
0.99445,-17.411,0.0010355
0.99391,-17.58,0.0010455
0.99322,-17.749,0.0010556
0.99238,-17.918,0.0010656
0.99141,-18.087,0.0010757
0.99033,-18.256,0.0010857
0.98914,-18.425,0.0010958
0.98787,-18.594,0.0011058
0.98654,-18.763,0.0011159
0.98517,-18.932,0.0011259
0.98378,-19.101,0.001136
0.98239,-19.27,0.0011461
0.98102,-19.439,0.0011561
0.9797,-19.608,0.0011662
0.97844,-19.777,0.0011762
0.97727,-19.946,0.0011863
0.9762,-20.115,0.0011963
0.97526,-20.285,0.0012064
0.97445,-20.454,0.0012164
0.97378,-20.623,0.0012265
0.97328,-20.792,0.0012365
0.97295,-20.961,0.0012466
0.97279,-21.13,0.0012566
0.9728,-21.299,0.0012667
0.97299,-21.468,0.0012767
0.97336,-21.637,0.0012868
0.97389,-21.806,0.0012968
0.97459,-21.975,0.0013069
0.97544,-22.144,0.001317
0.97643,-22.313,0.001327
0.97754,-22.482,0.0013371
0.97876,-22.651,0.0013471
0.98006,-22.82,0.0013572
0.98144,-22.989,0.0013672
0.98287,-23.158,0.0013773
0.98432,-23.327,0.0013873
0.98578,-23.496,0.0013974
0.98723,-23.665,0.0014074
0.98863,-23.834,0.0014175
0.98998,-24.003,0.0014275
0.99125,-24.172,0.0014376
0.99242,-24.341,0.0014476
0.99348,-24.51,0.0014577
0.99441,-24.68,0.0014678
0.9952,-24.849,0.0014778
0.99583,-25.018,0.0014879
0.99629,-25.187,0.0014979
0.99659,-25.356,0.001508
0.99672,-25.525,0.001518
0.99667,-25.694,0.0015281
0.99645,-25.863,0.0015381
0.99606,-26.032,0.0015482
0.99551,-26.201,0.0015582
0.99481,-26.37,0.0015683
0.99398,-26.539,0.0015783
0.99302,-26.708,0.0015884
0.99195,-26.877,0.0015984
0.9908,-27.046,0.0016085
0.98957,-27.215,0.0016185
0.98829,-27.384,0.0016286
0.98699,-27.553,0.0016387
0.98568,-27.722,0.0016487
0.98438,-27.891,0.0016588
0.98312,-28.06,0.0016688
0.98191,-28.229,0.0016789
0.98079,-28.398,0.0016889
0.97975,-28.567,0.001699
0.97884,-28.736,0.001709
0.97805,-28.905,0.0017191
0.9774,-29.075,0.0017291
0.9769,-29.244,0.0017392
0.97657,-29.413,0.0017492
0.97641,-29.582,0.0017593
0.97642,-29.751,0.0017693
0.9766,-29.92,0.0017794
0.97696,-30.089,0.0017895
0.97748,-30.258,0.0017995
0.97816,-30.427,0.0018096
0.97899,-30.596,0.0018196
0.97996,-30.765,0.0018297
0.98106,-30.934,0.0018397
0.98226,-31.103,0.0018498
0.98355,-31.272,0.0018598
0.98491,-31.441,0.0018699
0.98632,-31.61,0.0018799
0.98776,-31.779,0.00189
0.98921,-31.948,0.0019
0.99065,-32.117,0.0019101
0.99204,-32.286,0.0019201
0.99338,-32.455,0.0019302
0.99464,-32.624,0.0019402
0.9958,-32.793,0.0019503
0.99685,-32.962,0.0019604
0.99777,-33.131,0.0019704
0.99854,-33.3,0.0019805
0.99915,-33.469,0.0019905
0.9996,-33.639,0.0020006
0.99988,-33.808,0.0020106
0.99997,-33.977,0.0020207
0.99989,-34.146,0.0020307
0.99964,-34.315,0.0020408
0.9992,-34.484,0.0020508
0.99861,-34.653,0.0020609
0.99785,-34.822,0.0020709
0.99695,-34.991,0.002081
0.99592,-35.16,0.002091
0.99477,-35.329,0.0021011
0.99353,-35.498,0.0021112
0.9922,-35.667,0.0021212
0.99082,-35.836,0.0021313
0.9894,-36.005,0.0021413
0.98796,-36.174,0.0021514
0.98653,-36.343,0.0021614
0.98513,-36.512,0.0021715
0.98378,-36.681,0.0021815
0.98249,-36.85,0.0021916
0.9813,-37.019,0.0022016
0.98021,-37.188,0.0022117
0.97925,-37.357,0.0022217
0.97842,-37.526,0.0022318
0.97775,-37.695,0.0022418
0.97723,-37.864,0.0022519
0.97688,-38.034,0.0022619
0.97669,-38.203,0.002272
0.97669,-38.372,0.0022821
0.97685,-38.541,0.0022921
0.97718,-38.71,0.0023022
0.97767,-38.879,0.0023122
0.97832,-39.048,0.0023223
0.9791,-39.217,0.0023323
0.98002,-39.386,0.0023424
0.98105,-39.555,0.0023524
0.98217,-39.724,0.0023625
0.98337,-39.893,0.0023725
0.98463,-40.062,0.0023826
0.98592,-40.231,0.0023926
0.98723,-40.4,0.0024027
0.98853,-40.569,0.0024127
0.9898,-40.738,0.0024228
0.99102,-40.907,0.0024328
0.99217,-41.076,0.0024429
0.99323,-41.245,0.002453
0.99418,-41.414,0.002463
0.99501,-41.583,0.0024731
0.9957,-41.752,0.0024831
0.99624,-41.921,0.0024932
0.99662,-42.09,0.0025032
0.99683,-42.259,0.0025133
0.99687,-42.428,0.0025233
0.99674,-42.598,0.0025334
0.99644,-42.767,0.0025434
0.99596,-42.936,0.0025535
0.99532,-43.105,0.0025635
0.99453,-43.274,0.0025736
0.99359,-43.443,0.0025836
0.99253,-43.612,0.0025937
0.99135,-43.781,0.0026038
0.99007,-43.95,0.0026138
0.98871,-44.119,0.0026239
0.9873,-44.288,0.0026339
0.98584,-44.457,0.002644
0.98437,-44.626,0.002654
0.98291,-44.795,0.0026641
0.98147,-44.964,0.0026741
0.98008,-45.133,0.0026842
0.97877,-45.302,0.0026942
0.97754,-45.471,0.0027043
0.97642,-45.64,0.0027143
0.97542,-45.809,0.0027244
0.97456,-45.978,0.0027344
0.97386,-46.147,0.0027445
0.97331,-46.316,0.0027545
0.97294,-46.485,0.0027646
0.97274,-46.654,0.0027747
0.97272,-46.823,0.0027847
0.97287,-46.993,0.0027948
0.9732,-47.162,0.0028048
0.9737,-47.331,0.0028149
0.97437,-47.5,0.0028249
0.97518,-47.669,0.002835
0.97612,-47.838,0.002845
0.9772,-48.007,0.0028551
0.97837,-48.176,0.0028651
0.97964,-48.345,0.0028752
0.98097,-48.514,0.0028852
0.98235,-48.683,0.0028953
0.98375,-48.852,0.0029053
0.98516,-49.021,0.0029154
0.98656,-49.19,0.0029255
0.98791,-49.359,0.0029355
0.9892,-49.528,0.0029456
0.99041,-49.697,0.0029556
0.99153,-49.866,0.0029657
0.99253,-50.035,0.0029757
0.9934,-50.204,0.0029858
0.99412,-50.373,0.0029958
0.9947,-50.542,0.0030059
0.99511,-50.711,0.0030159
0.99535,-50.88,0.003026
0.99543,-51.049,0.003036
0.99533,-51.218,0.0030461
0.99506,-51.387,0.0030561
0.99463,-51.557,0.0030662
0.99405,-51.726,0.0030762
0.99331,-51.895,0.0030863
0.99245,-52.064,0.0030964
0.99147,-52.233,0.0031064
0.99038,-52.402,0.0031165
0.98921,-52.571,0.0031265
0.98798,-52.74,0.0031366
0.9867,-52.909,0.0031466
0.9854,-53.078,0.0031567
0.98409,-53.247,0.0031667
0.98281,-53.416,0.0031768
0.98157,-53.585,0.0031868
0.98039,-53.754,0.0031969
0.9793,-53.923,0.0032069
0.9783,-54.092,0.003217
0.97742,-54.261,0.003227
0.97668,-54.43,0.0032371
0.97608,-54.599,0.0032472
0.97564,-54.768,0.0032572
0.97536,-54.937,0.0032673
0.97526,-55.106,0.0032773
0.97532,-55.275,0.0032874
0.97557,-55.444,0.0032974
0.97598,-55.613,0.0033075
0.97657,-55.782,0.0033175
0.97731,-55.952,0.0033276
0.9782,-56.121,0.0033376
0.97923,-56.29,0.0033477
0.98038,-56.459,0.0033577
0.98164,-56.628,0.0033678
0.98298,-56.797,0.0033778
0.98439,-56.966,0.0033879
0.98585,-57.135,0.0033979
0.98733,-57.304,0.003408
0.98882,-57.473,0.0034181
0.99029,-57.642,0.0034281
0.99171,-57.811,0.0034382
0.99308,-57.98,0.0034482
0.99436,-58.149,0.0034583
0.99554,-58.318,0.0034683
0.9966,-58.487,0.0034784
0.99753,-58.656,0.0034884
0.99831,-58.825,0.0034985
0.99893,-58.994,0.0035085
0.99937,-59.163,0.0035186
0.99965,-59.332,0.0035286
0.99974,-59.501,0.0035387
0.99965,-59.67,0.0035487
0.99939,-59.839,0.0035588
0.99895,-60.008,0.0035688
0.99834,-60.177,0.0035789
0.99758,-60.346,0.003589
0.99668,-60.516,0.003599
0.99564,-60.685,0.0036091
0.99449,-60.854,0.0036191
0.99324,-61.023,0.0036292
0.99192,-61.192,0.0036392
