abs(H),angle(H),W
0.99828,0,0
0.99819,-0.16213,1.0053e-05
0.99792,-0.32425,2.0106e-05
0.99749,-0.48638,3.0159e-05
0.99688,-0.64851,4.0212e-05
0.99612,-0.81063,5.0265e-05
0.99522,-0.97276,6.0319e-05
0.99419,-1.1349,7.0372e-05
0.99304,-1.297,8.0425e-05
0.9918,-1.4591,9.0478e-05
0.99048,-1.6213,0.00010053
0.9891,-1.7834,0.00011058
0.98768,-1.9455,0.00012064
0.98625,-2.1076,0.00013069
0.98483,-2.2698,0.00014074
0.98344,-2.4319,0.0001508
0.9821,-2.594,0.00016085
0.98083,-2.7561,0.0001709
0.97965,-2.9183,0.00018096
0.97858,-3.0804,0.00019101
0.97763,-3.2425,0.00020106
0.97682,-3.4047,0.00021112
0.97616,-3.5668,0.00022117
0.97566,-3.7289,0.00023122
0.97533,-3.891,0.00024127
0.97517,-4.0532,0.00025133
0.97519,-4.2153,0.00026138
0.97537,-4.3774,0.00027143
0.97573,-4.5395,0.00028149
0.97624,-4.7017,0.00029154
0.97691,-4.8638,0.00030159
0.97772,-5.0259,0.00031165
0.97866,-5.188,0.0003217
0.97972,-5.3502,0.00033175
0.98086,-5.5123,0.00034181
0.98209,-5.6744,0.00035186
0.98337,-5.8365,0.00036191
0.98468,-5.9987,0.00037196
0.98601,-6.1608,0.00038202
0.98733,-6.3229,0.00039207
0.98862,-6.4851,0.00040212
0.98986,-6.6472,0.00041218
0.99103,-6.8093,0.00042223
0.99211,-6.9714,0.00043228
0.99308,-7.1336,0.00044234
0.99392,-7.2957,0.00045239
0.99462,-7.4578,0.00046244
0.99518,-7.6199,0.0004725
0.99557,-7.7821,0.00048255
0.99579,-7.9442,0.0004926
0.99584,-8.1063,0.00050265
0.99572,-8.2684,0.00051271
0.99542,-8.4306,0.00052276
0.99495,-8.5927,0.00053281
0.99431,-8.7548,0.00054287
0.99353,-8.9169,0.00055292
0.99259,-9.0791,0.00056297
0.99153,-9.2412,0.00057303
0.99035,-9.4033,0.00058308
0.98907,-9.5655,0.00059313
0.98772,-9.7276,0.00060319
0.9863,-9.8897,0.00061324
0.98485,-10.052,0.00062329
0.98338,-10.214,0.00063335
0.98191,-10.376,0.0006434
0.98047,-10.538,0.00065345
0.97908,-10.7,0.0006635
0.97776,-10.862,0.00067356
0.97653,-11.025,0.00068361
0.9754,-11.187,0.00069366
0.9744,-11.349,0.00070372
0.97354,-11.511,0.00071377
0.97282,-11.673,0.00072382
0.97227,-11.835,0.00073388
0.97188,-11.997,0.00074393
0.97167,-12.159,0.00075398
0.97164,-12.322,0.00076404
0.97177,-12.484,0.00077409
0.97208,-12.646,0.00078414
0.97256,-12.808,0.00079419
0.9732,-12.97,0.00080425
0.97398,-13.132,0.0008143
0.9749,-13.294,0.00082435
0.97593,-13.456,0.00083441
0.97707,-13.619,0.00084446
0.97829,-13.781,0.00085451
0.97957,-13.943,0.00086457
0.9809,-14.105,0.00087462
0.98225,-14.267,0.00088467
0.9836,-14.429,0.00089473
0.98493,-14.591,0.00090478
0.98622,-14.753,0.00091483
0.98744,-14.916,0.00092488
0.98858,-15.078,0.00093494
0.98962,-15.24,0.00094499
0.99054,-15.402,0.00095504
0.99133,-15.564,0.0009651
0.99197,-15.726,0.00097515
0.99246,-15.888,0.0009852
0.99278,-16.051,0.00099526
0.99293,-16.213,0.0010053
0.99292,-16.375,0.0010154
0.99273,-16.537,0.0010254
0.99237,-16.699,0.0010355
0.99185,-16.861,0.0010455
0.99118,-17.023,0.0010556
0.99036,-17.185,0.0010656
0.9894,-17.348,0.0010757
0.98834,-17.51,0.0010857
0.98717,-17.672,0.0010958
0.98592,-17.834,0.0011058
0.9846,-17.996,0.0011159
0.98325,-18.158,0.0011259
0.98187,-18.32,0.001136
0.9805,-18.482,0.0011461
0.97915,-18.645,0.0011561
0.97784,-18.807,0.0011662
0.9766,-18.969,0.0011762
0.97544,-19.131,0.0011863
0.97439,-19.293,0.0011963
0.97345,-19.455,0.0012064
0.97265,-19.617,0.0012164
0.972,-19.779,0.0012265
0.97151,-19.942,0.0012365
0.97119,-20.104,0.0012466
0.97104,-20.266,0.0012566
0.97106,-20.428,0.0012667
0.97126,-20.59,0.0012767
0.97163,-20.752,0.0012868
0.97218,-20.914,0.0012968
0.97288,-21.076,0.0013069
0.97373,-21.239,0.001317
0.97472,-21.401,0.001327
0.97584,-21.563,0.0013371
0.97706,-21.725,0.0013471
0.97837,-21.887,0.0013572
0.97975,-22.049,0.0013672
0.98117,-22.211,0.0013773
