abs(H),angle(H),W
0.99912,0,0
0.99912,-0.026075,0.00031416
0.99912,-0.05215,0.00062832
0.99912,-0.078226,0.00094248
0.99912,-0.1043,0.0012566
0.99913,-0.13038,0.0015708
0.99913,-0.15645,0.001885
0.99913,-0.18253,0.0021991
0.99914,-0.2086,0.0025133
0.99914,-0.23468,0.0028274
0.99915,-0.26075,0.0031416
0.99915,-0.28683,0.0034558
0.99916,-0.3129,0.0037699
0.99917,-0.33898,0.0040841
0.99918,-0.36505,0.0043982
0.99918,-0.39113,0.0047124
0.99919,-0.4172,0.0050265
0.9992,-0.44328,0.0053407
0.99921,-0.46935,0.0056549
0.99922,-0.49543,0.005969
0.99924,-0.5215,0.0062832
0.99925,-0.54758,0.0065973
0.99926,-0.57365,0.0069115
0.99927,-0.59973,0.0072257
0.99929,-0.62581,0.0075398
0.9993,-0.65188,0.007854
0.99931,-0.67796,0.0081681
0.99933,-0.70403,0.0084823
0.99934,-0.73011,0.0087965
0.99936,-0.75618,0.0091106
0.99938,-0.78226,0.0094248
0.99939,-0.80833,0.0097389
0.99941,-0.83441,0.010053
0.99943,-0.86048,0.010367
0.99944,-0.88656,0.010681
0.99946,-0.91263,0.010996
0.99948,-0.93871,0.01131
0.9995,-0.96478,0.011624
0.99952,-0.99086,0.011938
0.99954,-1.0169,0.012252
0.99956,-1.043,0.012566
0.99958,-1.0691,0.012881
0.9996,-1.0952,0.013195
0.99962,-1.1212,0.013509
0.99964,-1.1473,0.013823
0.99966,-1.1734,0.014137
0.99968,-1.1995,0.014451
0.9997,-1.2255,0.014765
0.99973,-1.2516,0.01508
0.99975,-1.2777,0.015394
0.99977,-1.3038,0.015708
0.99979,-1.3298,0.016022
0.99982,-1.3559,0.016336
0.99984,-1.382,0.01665
0.99986,-1.4081,0.016965
0.99988,-1.4341,0.017279
0.99991,-1.4602,0.017593
0.99993,-1.4863,0.017907
0.99995,-1.5124,0.018221
0.99998,-1.5384,0.018535
1,-1.5645,0.01885
1,-1.5906,0.019164
1,-1.6167,0.019478
1.0001,-1.6427,0.019792
1.0001,-1.6688,0.020106
1.0001,-1.6949,0.02042
1.0001,-1.721,0.020735
1.0002,-1.747,0.021049
1.0002,-1.7731,0.021363
1.0002,-1.7992,0.021677
1.0002,-1.8253,0.021991
1.0002,-1.8513,0.022305
1.0003,-1.8774,0.022619
1.0003,-1.9035,0.022934
1.0003,-1.9296,0.023248
1.0003,-1.9556,0.023562
1.0004,-1.9817,0.023876
1.0004,-2.0078,0.02419
1.0004,-2.0339,0.024504
1.0004,-2.0599,0.024819
1.0004,-2.086,0.025133
1.0005,-2.1121,0.025447
1.0005,-2.1382,0.025761
1.0005,-2.1642,0.026075
1.0005,-2.1903,0.026389
1.0005,-2.2164,0.026704
1.0006,-2.2425,0.027018
1.0006,-2.2685,0.027332
1.0006,-2.2946,0.027646
1.0006,-2.3207,0.02796
1.0006,-2.3468,0.028274
1.0006,-2.3728,0.028588
1.0007,-2.3989,0.028903
1.0007,-2.425,0.029217
1.0007,-2.4511,0.029531
1.0007,-2.4771,0.029845
1.0007,-2.5032,0.030159
1.0007,-2.5293,0.030473
1.0007,-2.5554,0.030788
1.0008,-2.5814,0.031102
1.0008,-2.6075,0.031416
1.0008,-2.6336,0.03173
1.0008,-2.6597,0.032044
1.0008,-2.6857,0.032358
1.0008,-2.7118,0.032673
1.0008,-2.7379,0.032987
1.0008,-2.764,0.033301
1.0008,-2.79,0.033615
1.0008,-2.8161,0.033929
1.0008,-2.8422,0.034243
1.0009,-2.8683,0.034558
1.0009,-2.8943,0.034872
1.0009,-2.9204,0.035186
1.0009,-2.9465,0.0355
1.0009,-2.9726,0.035814
1.0009,-2.9987,0.036128
1.0009,-3.0247,0.036442
1.0009,-3.0508,0.036757
1.0009,-3.0769,0.037071
1.0009,-3.103,0.037385
1.0009,-3.129,0.037699
1.0009,-3.1551,0.038013
