abs(H),angle(H),W
1.0027,0,0
1.0027,-0.0095819,0.00031416
1.0027,-0.019164,0.00062832
1.0027,-0.028746,0.00094248
1.0027,-0.038327,0.0012566
1.0027,-0.047909,0.0015708
1.0027,-0.057491,0.001885
1.0027,-0.067073,0.0021991
1.0027,-0.076655,0.0025133
1.0027,-0.086237,0.0028274
1.0027,-0.095819,0.0031416
1.0027,-0.1054,0.0034558
1.0027,-0.11498,0.0037699
1.0027,-0.12456,0.0040841
1.0027,-0.13415,0.0043982
1.0027,-0.14373,0.0047124
1.0027,-0.15331,0.0050265
1.0027,-0.16289,0.0053407
1.0027,-0.17247,0.0056549
1.0027,-0.18206,0.005969
1.0027,-0.19164,0.0062832
1.0027,-0.20122,0.0065973
1.0027,-0.2108,0.0069115
1.0027,-0.22038,0.0072257
1.0027,-0.22996,0.0075398
1.0027,-0.23955,0.007854
1.0027,-0.24913,0.0081681
1.0027,-0.25871,0.0084823
1.0027,-0.26829,0.0087965
1.0027,-0.27787,0.0091106
1.0027,-0.28746,0.0094248
1.0027,-0.29704,0.0097389
1.0027,-0.30662,0.010053
1.0026,-0.3162,0.010367
1.0026,-0.32578,0.010681
1.0026,-0.33537,0.010996
1.0026,-0.34495,0.01131
1.0026,-0.35453,0.011624
1.0026,-0.36411,0.011938
1.0026,-0.37369,0.012252
1.0026,-0.38327,0.012566
1.0026,-0.39286,0.012881
1.0026,-0.40244,0.013195
1.0026,-0.41202,0.013509
1.0026,-0.4216,0.013823
1.0026,-0.43118,0.014137
1.0026,-0.44077,0.014451
1.0025,-0.45035,0.014765
1.0025,-0.45993,0.01508
1.0025,-0.46951,0.015394
1.0025,-0.47909,0.015708
1.0025,-0.48867,0.016022
1.0025,-0.49826,0.016336
1.0025,-0.50784,0.01665
1.0025,-0.51742,0.016965
1.0025,-0.527,0.017279
1.0025,-0.53658,0.017593
1.0025,-0.54617,0.017907
1.0024,-0.55575,0.018221
1.0024,-0.56533,0.018535
1.0024,-0.57491,0.01885
1.0024,-0.58449,0.019164
1.0024,-0.59408,0.019478
1.0024,-0.60366,0.019792
1.0024,-0.61324,0.020106
1.0024,-0.62282,0.02042
1.0024,-0.6324,0.020735
1.0024,-0.64198,0.021049
1.0023,-0.65157,0.021363
1.0023,-0.66115,0.021677
1.0023,-0.67073,0.021991
1.0023,-0.68031,0.022305
1.0023,-0.68989,0.022619
1.0023,-0.69948,0.022934
1.0023,-0.70906,0.023248
1.0023,-0.71864,0.023562
1.0022,-0.72822,0.023876
1.0022,-0.7378,0.02419
1.0022,-0.74738,0.024504
1.0022,-0.75697,0.024819
1.0022,-0.76655,0.025133
1.0022,-0.77613,0.025447
1.0022,-0.78571,0.025761
1.0021,-0.79529,0.026075
1.0021,-0.80488,0.026389
1.0021,-0.81446,0.026704
1.0021,-0.82404,0.027018
1.0021,-0.83362,0.027332
1.0021,-0.8432,0.027646
1.0021,-0.85279,0.02796
1.002,-0.86237,0.028274
1.002,-0.87195,0.028588
1.002,-0.88153,0.028903
1.002,-0.89111,0.029217
1.002,-0.90069,0.029531
1.002,-0.91028,0.029845
1.002,-0.91986,0.030159
1.0019,-0.92944,0.030473
1.0019,-0.93902,0.030788
1.0019,-0.9486,0.031102
1.0019,-0.95819,0.031416
1.0019,-0.96777,0.03173
1.0019,-0.97735,0.032044
1.0018,-0.98693,0.032358
1.0018,-0.99651,0.032673
1.0018,-1.0061,0.032987
1.0018,-1.0157,0.033301
1.0018,-1.0253,0.033615
1.0018,-1.0348,0.033929
1.0017,-1.0444,0.034243
1.0017,-1.054,0.034558
1.0017,-1.0636,0.034872
1.0017,-1.0732,0.035186
1.0017,-1.0827,0.0355
1.0017,-1.0923,0.035814
1.0016,-1.1019,0.036128
1.0016,-1.1115,0.036442
1.0016,-1.1211,0.036757
1.0016,-1.1307,0.037071
1.0016,-1.1402,0.037385
1.0015,-1.1498,0.037699
1.0015,-1.1594,0.038013
1.0015,-1.169,0.038327
1.0015,-1.1786,0.038642
1.0015,-1.1882,0.038956
1.0015,-1.1977,0.03927
1.0014,-1.2073,0.039584
1.0014,-1.2169,0.039898
1.0014,-1.2265,0.040212
1.0014,-1.2361,0.040527
1.0014,-1.2456,0.040841
1.0013,-1.2552,0.041155
1.0013,-1.2648,0.041469
1.0013,-1.2744,0.041783
1.0013,-1.284,0.042097
1.0013,-1.2936,0.042412
1.0012,-1.3031,0.042726
1.0012,-1.3127,0.04304
1.0012,-1.3223,0.043354
1.0012,-1.3319,0.043668
1.0012,-1.3415,0.043982
1.0011,-1.351,0.044296
1.0011,-1.3606,0.044611
1.0011,-1.3702,0.044925
1.0011,-1.3798,0.045239
1.0011,-1.3894,0.045553
1.001,-1.399,0.045867
1.001,-1.4085,0.046181
1.001,-1.4181,0.046496
