abs(H),angle(H),W
3.9062e+05,0,0
3.9062e+05,-0.016336,0.00031416
3.9061e+05,-0.032673,0.00062832
3.9059e+05,-0.049009,0.00094248
3.9056e+05,-0.065345,0.0012566
3.9052e+05,-0.081681,0.0015708
3.9048e+05,-0.098018,0.001885
3.9043e+05,-0.11435,0.0021991
3.9037e+05,-0.13069,0.0025133
3.903e+05,-0.14703,0.0028274
3.9022e+05,-0.16336,0.0031416
3.9014e+05,-0.1797,0.0034558
3.9005e+05,-0.19604,0.0037699
3.8995e+05,-0.21237,0.0040841
3.8984e+05,-0.22871,0.0043982
3.8972e+05,-0.24504,0.0047124
3.896e+05,-0.26138,0.0050265
3.8947e+05,-0.27772,0.0053407
3.8933e+05,-0.29405,0.0056549
3.8918e+05,-0.31039,0.005969
3.8902e+05,-0.32673,0.0062832
3.8886e+05,-0.34306,0.0065973
3.8869e+05,-0.3594,0.0069115
3.8851e+05,-0.37573,0.0072257
3.8832e+05,-0.39207,0.0075398
3.8813e+05,-0.40841,0.007854
3.8792e+05,-0.42474,0.0081681
3.8771e+05,-0.44108,0.0084823
3.8749e+05,-0.45742,0.0087965
3.8727e+05,-0.47375,0.0091106
3.8703e+05,-0.49009,0.0094248
3.8679e+05,-0.50642,0.0097389
3.8654e+05,-0.52276,0.010053
3.8628e+05,-0.5391,0.010367
3.8601e+05,-0.55543,0.010681
3.8574e+05,-0.57177,0.010996
3.8546e+05,-0.58811,0.01131
3.8517e+05,-0.60444,0.011624
3.8487e+05,-0.62078,0.011938
3.8457e+05,-0.63711,0.012252
3.8426e+05,-0.65345,0.012566
3.8394e+05,-0.66979,0.012881
3.8361e+05,-0.68612,0.013195
3.8327e+05,-0.70246,0.013509
3.8293e+05,-0.7188,0.013823
3.8258e+05,-0.73513,0.014137
3.8222e+05,-0.75147,0.014451
3.8186e+05,-0.76781,0.014765
3.8148e+05,-0.78414,0.01508
3.811e+05,-0.80048,0.015394
3.8072e+05,-0.81681,0.015708
3.8032e+05,-0.83315,0.016022
3.7992e+05,-0.84949,0.016336
3.7951e+05,-0.86582,0.01665
3.7909e+05,-0.88216,0.016965
3.7866e+05,-0.8985,0.017279
3.7823e+05,-0.91483,0.017593
3.7779e+05,-0.93117,0.017907
3.7734e+05,-0.9475,0.018221
3.7689e+05,-0.96384,0.018535
3.7643e+05,-0.98018,0.01885
3.7596e+05,-0.99651,0.019164
3.7548e+05,-1.0128,0.019478
3.75e+05,-1.0292,0.019792
3.7451e+05,-1.0455,0.020106
3.7401e+05,-1.0619,0.02042
3.7351e+05,-1.0782,0.020735
3.7299e+05,-1.0945,0.021049
3.7248e+05,-1.1109,0.021363
3.7195e+05,-1.1272,0.021677
3.7142e+05,-1.1435,0.021991
3.7088e+05,-1.1599,0.022305
3.7033e+05,-1.1762,0.022619
3.6978e+05,-1.1925,0.022934
3.6922e+05,-1.2089,0.023248
3.6865e+05,-1.2252,0.023562
3.6807e+05,-1.2416,0.023876
3.6749e+05,-1.2579,0.02419
3.669e+05,-1.2742,0.024504
3.6631e+05,-1.2906,0.024819
3.6571e+05,-1.3069,0.025133
3.651e+05,-1.3232,0.025447
3.6449e+05,-1.3396,0.025761
3.6387e+05,-1.3559,0.026075
3.6324e+05,-1.3722,0.026389
3.626e+05,-1.3886,0.026704
3.6196e+05,-1.4049,0.027018
3.6132e+05,-1.4213,0.027332
3.6066e+05,-1.4376,0.027646
3.6e+05,-1.4539,0.02796
3.5934e+05,-1.4703,0.028274
3.5866e+05,-1.4866,0.028588
3.5798e+05,-1.5029,0.028903
3.573e+05,-1.5193,0.029217
3.5661e+05,-1.5356,0.029531
3.5591e+05,-1.5519,0.029845
3.5521e+05,-1.5683,0.030159
3.545e+05,-1.5846,0.030473
3.5378e+05,-1.601,0.030788
3.5306e+05,-1.6173,0.031102
3.5233e+05,-1.6336,0.031416
3.516e+05,-1.65,0.03173
3.5086e+05,-1.6663,0.032044
3.5011e+05,-1.6826,0.032358
3.4936e+05,-1.699,0.032673
3.486e+05,-1.7153,0.032987
3.4784e+05,-1.7316,0.033301
3.4707e+05,-1.748,0.033615
3.463e+05,-1.7643,0.033929
3.4552e+05,-1.7807,0.034243
3.4473e+05,-1.797,0.034558
3.4394e+05,-1.8133,0.034872
3.4314e+05,-1.8297,0.035186
3.4234e+05,-1.846,0.0355
3.4153e+05,-1.8623,0.035814
3.4072e+05,-1.8787,0.036128
3.399e+05,-1.895,0.036442
3.3908e+05,-1.9113,0.036757
3.3825e+05,-1.9277,0.037071
3.3742e+05,-1.944,0.037385
3.3658e+05,-1.9604,0.037699
3.3573e+05,-1.9767,0.038013
3.3488e+05,-1.993,0.038327
3.3403e+05,-2.0094,0.038642
3.3317e+05,-2.0257,0.038956
3.3231e+05,-2.042,0.03927
3.3144e+05,-2.0584,0.039584
3.3056e+05,-2.0747,0.039898
3.2968e+05,-2.091,0.040212
3.288e+05,-2.1074,0.040527
3.2791e+05,-2.1237,0.040841
3.2702e+05,-2.1401,0.041155
3.2612e+05,-2.1564,0.041469
3.2522e+05,-2.1727,0.041783
3.2431e+05,-2.1891,0.042097
3.234e+05,-2.2054,0.042412
3.2248e+05,-2.2217,0.042726
3.2156e+05,-2.2381,0.04304
3.2064e+05,-2.2544,0.043354
3.1971e+05,-2.2707,0.043668
3.1878e+05,-2.2871,0.043982
3.1784e+05,-2.3034,0.044296
3.169e+05,-2.3198,0.044611
3.1595e+05,-2.3361,0.044925
3.15e+05,-2.3524,0.045239
3.1405e+05,-2.3688,0.045553
3.1309e+05,-2.3851,0.045867
3.1213e+05,-2.4014,0.046181
3.1117e+05,-2.4178,0.046496
3.102e+05,-2.4341,0.04681
3.0922e+05,-2.4504,0.047124
3.0825e+05,-2.4668,0.047438
3.0727e+05,-2.4831,0.047752
3.0628e+05,-2.4995,0.048066
3.0529e+05,-2.5158,0.048381
3.043e+05,-2.5321,0.048695
3.0331e+05,-2.5485,0.049009
3.0231e+05,-2.5648,0.049323
3.0131e+05,-2.5811,0.049637
3.003e+05,-2.5975,0.049951
2.9929e+05,-2.6138,0.050265
2.9828e+05,-2.6301,0.05058
2.9727e+05,-2.6465,0.050894
2.9625e+05,-2.6628,0.051208
2.9523e+05,-2.6792,0.051522
2.942e+05,-2.6955,0.051836
2.9318e+05,-2.7118,0.05215
2.9215e+05,-2.7282,0.052465
2.9111e+05,-2.7445,0.052779
2.9008e+05,-2.7608,0.053093
2.8904e+05,-2.7772,0.053407
2.88e+05,-2.7935,0.053721
2.8695e+05,-2.8098,0.054035
2.8591e+05,-2.8262,0.05435
2.8486e+05,-2.8425,0.054664
2.8381e+05,-2.8588,0.054978
2.8275e+05,-2.8752,0.055292
2.8169e+05,-2.8915,0.055606
2.8064e+05,-2.9079,0.05592
2.7957e+05,-2.9242,0.056235
2.7851e+05,-2.9405,0.056549
2.7744e+05,-2.9569,0.056863
2.7637e+05,-2.9732,0.057177
2.753e+05,-2.9895,0.057491
2.7423e+05,-3.0059,0.057805
2.7316e+05,-3.0222,0.058119
2.7208e+05,-3.0385,0.058434
2.71e+05,-3.0549,0.058748
2.6992e+05,-3.0712,0.059062
2.6884e+05,-3.0876,0.059376
2.6775e+05,-3.1039,0.05969
2.6667e+05,-3.1202,0.060004
2.6558e+05,-3.1366,0.060319
2.6449e+05,-3.1529,0.060633
2.634e+05,-3.1692,0.060947
2.623e+05,-3.1856,0.061261
2.6121e+05,-3.2019,0.061575
2.6011e+05,-3.2182,0.061889
2.5902e+05,-3.2346,0.062204
2.5792e+05,-3.2509,0.062518
2.5682e+05,-3.2673,0.062832
2.5572e+05,-3.2836,0.063146
2.5461e+05,-3.2999,0.06346
2.5351e+05,-3.3163,0.063774
2.5241e+05,-3.3326,0.064088
2.513e+05,-3.3489,0.064403
2.5019e+05,-3.3653,0.064717
2.4909e+05,-3.3816,0.065031
2.4798e+05,-3.3979,0.065345
2.4687e+05,-3.4143,0.065659
2.4576e+05,-3.4306,0.065973
2.4465e+05,-3.447,0.066288
2.4353e+05,-3.4633,0.066602
2.4242e+05,-3.4796,0.066916
2.4131e+05,-3.496,0.06723
2.4019e+05,-3.5123,0.067544
2.3908e+05,-3.5286,0.067858
2.3796e+05,-3.545,0.068173
2.3685e+05,-3.5613,0.068487
2.3573e+05,-3.5776,0.068801
2.3462e+05,-3.594,0.069115
2.335e+05,-3.6103,0.069429
2.3238e+05,-3.6267,0.069743
2.3127e+05,-3.643,0.070058
2.3015e+05,-3.6593,0.070372
2.2903e+05,-3.6757,0.070686
2.2791e+05,-3.692,0.071
2.268e+05,-3.7083,0.071314
2.2568e+05,-3.7247,0.071628
2.2456e+05,-3.741,0.071942
2.2344e+05,-3.7573,0.072257
2.2233e+05,-3.7737,0.072571
2.2121e+05,-3.79,0.072885
2.2009e+05,-3.8064,0.073199
2.1898e+05,-3.8227,0.073513
2.1786e+05,-3.839,0.073827
2.1674e+05,-3.8554,0.074142
2.1563e+05,-3.8717,0.074456
2.1451e+05,-3.888,0.07477
2.134e+05,-3.9044,0.075084
2.1228e+05,-3.9207,0.075398
2.1117e+05,-3.937,0.075712
2.1006e+05,-3.9534,0.076027
2.0895e+05,-3.9697,0.076341
2.0783e+05,-3.9861,0.076655
2.0672e+05,-4.0024,0.076969
2.0561e+05,-4.0187,0.077283
2.0451e+05,-4.0351,0.077597
2.034e+05,-4.0514,0.077911
2.0229e+05,-4.0677,0.078226
2.0118e+05,-4.0841,0.07854
2.0008e+05,-4.1004,0.078854
1.9897e+05,-4.1167,0.079168
1.9787e+05,-4.1331,0.079482
1.9677e+05,-4.1494,0.079796
1.9567e+05,-4.1658,0.080111
1.9457e+05,-4.1821,0.080425
1.9347e+05,-4.1984,0.080739
1.9237e+05,-4.2148,0.081053
1.9128e+05,-4.2311,0.081367
1.9018e+05,-4.2474,0.081681
1.8909e+05,-4.2638,0.081996
1.88e+05,-4.2801,0.08231
1.8691e+05,-4.2964,0.082624
1.8582e+05,-4.3128,0.082938
1.8473e+05,-4.3291,0.083252
1.8365e+05,-4.3455,0.083566
1.8257e+05,-4.3618,0.083881
1.8148e+05,-4.3781,0.084195
1.804e+05,-4.3945,0.084509
1.7932e+05,-4.4108,0.084823
1.7825e+05,-4.4271,0.085137
1.7717e+05,-4.4435,0.085451
1.761e+05,-4.4598,0.085765
1.7503e+05,-4.4761,0.08608
1.7396e+05,-4.4925,0.086394
1.7289e+05,-4.5088,0.086708
1.7183e+05,-4.5252,0.087022
