abs(H),angle(H),W
0.99717,0,0
0.99717,-0.0048695,0.00031416
0.99717,-0.0097389,0.00062832
0.99717,-0.014608,0.00094248
0.99717,-0.019478,0.0012566
0.99717,-0.024347,0.0015708
0.99717,-0.029217,0.001885
0.99718,-0.034086,0.0021991
0.99718,-0.038956,0.0025133
0.99718,-0.043825,0.0028274
0.99718,-0.048695,0.0031416
0.99718,-0.053564,0.0034558
0.99718,-0.058434,0.0037699
0.99718,-0.063303,0.0040841
0.99718,-0.068173,0.0043982
0.99718,-0.073042,0.0047124
0.99718,-0.077911,0.0050265
0.99718,-0.082781,0.0053407
0.99718,-0.08765,0.0056549
0.99719,-0.09252,0.005969
0.99719,-0.097389,0.0062832
0.99719,-0.10226,0.0065973
0.99719,-0.10713,0.0069115
0.99719,-0.112,0.0072257
0.99719,-0.11687,0.0075398
0.9972,-0.12174,0.007854
0.9972,-0.12661,0.0081681
0.9972,-0.13148,0.0084823
0.9972,-0.13635,0.0087965
0.9972,-0.14121,0.0091106
0.99721,-0.14608,0.0094248
0.99721,-0.15095,0.0097389
0.99721,-0.15582,0.010053
0.99721,-0.16069,0.010367
0.99721,-0.16556,0.010681
0.99722,-0.17043,0.010996
0.99722,-0.1753,0.01131
0.99722,-0.18017,0.011624
0.99722,-0.18504,0.011938
0.99723,-0.18991,0.012252
0.99723,-0.19478,0.012566
0.99723,-0.19965,0.012881
0.99724,-0.20452,0.013195
0.99724,-0.20939,0.013509
0.99724,-0.21426,0.013823
0.99725,-0.21913,0.014137
0.99725,-0.224,0.014451
0.99725,-0.22887,0.014765
0.99725,-0.23373,0.01508
0.99726,-0.2386,0.015394
0.99726,-0.24347,0.015708
0.99727,-0.24834,0.016022
0.99727,-0.25321,0.016336
0.99727,-0.25808,0.01665
0.99728,-0.26295,0.016965
0.99728,-0.26782,0.017279
0.99728,-0.27269,0.017593
0.99729,-0.27756,0.017907
0.99729,-0.28243,0.018221
0.9973,-0.2873,0.018535
0.9973,-0.29217,0.01885
0.9973,-0.29704,0.019164
0.99731,-0.30191,0.019478
0.99731,-0.30678,0.019792
0.99732,-0.31165,0.020106
0.99732,-0.31652,0.02042
0.99733,-0.32138,0.020735
0.99733,-0.32625,0.021049
0.99734,-0.33112,0.021363
0.99734,-0.33599,0.021677
0.99735,-0.34086,0.021991
0.99735,-0.34573,0.022305
0.99736,-0.3506,0.022619
0.99736,-0.35547,0.022934
0.99737,-0.36034,0.023248
0.99737,-0.36521,0.023562
0.99738,-0.37008,0.023876
0.99738,-0.37495,0.02419
0.99739,-0.37982,0.024504
0.99739,-0.38469,0.024819
0.9974,-0.38956,0.025133
0.99741,-0.39443,0.025447
0.99741,-0.3993,0.025761
0.99742,-0.40417,0.026075
0.99742,-0.40904,0.026389
0.99743,-0.4139,0.026704
0.99743,-0.41877,0.027018
0.99744,-0.42364,0.027332
0.99745,-0.42851,0.027646
0.99745,-0.43338,0.02796
0.99746,-0.43825,0.028274
0.99747,-0.44312,0.028588
0.99747,-0.44799,0.028903
0.99748,-0.45286,0.029217
0.99749,-0.45773,0.029531
0.99749,-0.4626,0.029845
0.9975,-0.46747,0.030159
0.99751,-0.47234,0.030473
0.99751,-0.47721,0.030788
0.99752,-0.48208,0.031102
0.99753,-0.48695,0.031416
0.99753,-0.49182,0.03173
0.99754,-0.49669,0.032044
0.99755,-0.50156,0.032358
0.99755,-0.50642,0.032673
0.99756,-0.51129,0.032987
0.99757,-0.51616,0.033301
0.99758,-0.52103,0.033615
0.99758,-0.5259,0.033929
0.99759,-0.53077,0.034243
0.9976,-0.53564,0.034558
0.99761,-0.54051,0.034872
0.99762,-0.54538,0.035186
0.99762,-0.55025,0.0355
0.99763,-0.55512,0.035814
0.99764,-0.55999,0.036128
0.99765,-0.56486,0.036442
0.99766,-0.56973,0.036757
0.99766,-0.5746,0.037071
0.99767,-0.57947,0.037385
0.99768,-0.58434,0.037699
0.99769,-0.58921,0.038013
0.9977,-0.59408,0.038327
0.99771,-0.59894,0.038642
0.99771,-0.60381,0.038956
0.99772,-0.60868,0.03927
0.99773,-0.61355,0.039584
0.99774,-0.61842,0.039898
0.99775,-0.62329,0.040212
0.99776,-0.62816,0.040527
0.99777,-0.63303,0.040841
0.99778,-0.6379,0.041155
0.99779,-0.64277,0.041469
0.9978,-0.64764,0.041783
0.9978,-0.65251,0.042097
0.99781,-0.65738,0.042412
0.99782,-0.66225,0.042726
0.99783,-0.66712,0.04304
0.99784,-0.67199,0.043354
0.99785,-0.67686,0.043668
0.99786,-0.68173,0.043982
0.99787,-0.6866,0.044296
0.99788,-0.69146,0.044611
0.99789,-0.69633,0.044925
0.9979,-0.7012,0.045239
0.99791,-0.70607,0.045553
