abs(H),angle(H),W
2.4455e+08,0,0
1.2109e+05,3.1353,0.0031416
81017,3.129,0.0062832
1.7299e+05,6.2643,0.0094248
57891,6.2581,0.012566
23.531,6.2518,0.015708
74465,6.2455,0.01885
55214,6.2392,0.021991
31.726,6.2329,0.025133
20207,6.2266,0.028274
9651.7,6.2204,0.031416
1.0047,6.2141,0.034558
714.86,6.2078,0.037699
490.73,6.2015,0.040841
33.754,9.3368,0.043982
2.3929,9.3305,0.047124
3.658e-09,12.446,0.050265
1.4505,9.318,0.053407
12.355,9.3117,0.056549
107.58,12.447,0.05969
92.685,12.441,0.062832
0.075674,12.434,0.065973
412.27,12.428,0.069115
474.1,12.422,0.072257
0.39201,12.416,0.075398
339.7,12.409,0.07854
211.41,12.403,0.081681
0.027706,12.397,0.084823
24.142,12.39,0.087965
19.838,12.384,0.091106
1.6027,15.519,0.094248
0.13133,15.513,0.097389
1.5946e-09,18.455,0.10053
0.10229,15.501,0.10367
0.97186,15.494,0.10681
9.3561,18.63,0.10996
8.8422,18.623,0.1131
0.0078647,18.617,0.11624
46.39,18.611,0.11938
57.443,18.605,0.12252
0.05089,18.598,0.12566
47.041,18.592,0.12881
31.102,18.586,0.13195
0.0043148,18.579,0.13509
3.9666,18.573,0.13823
3.4284,18.567,0.14137
0.29052,21.702,0.14451
0.024906,21.696,0.14765
1.4446e-09,22.504,0.1508
0.021089,21.683,0.15394
0.20826,21.677,0.15708
2.08,24.812,0.16022
2.0359,24.806,0.16336
0.0018725,24.8,0.1665
11.404,24.793,0.16965
14.559,24.787,0.17279
0.013281,24.781,0.17593
12.625,24.775,0.17907
8.5748,24.768,0.18221
0.0012206,24.762,0.18535
1.1503,24.756,0.1885
1.0182,24.749,0.19164
0.088282,27.885,0.19478
0.0077374,27.878,0.19792
1.159e-09,30.165,0.20106
0.006831,27.866,0.2042
0.068807,27.86,0.20735
0.70049,30.995,0.21049
0.69841,30.989,0.21363
0.00065391,30.982,0.21677
4.0517,30.976,0.21991
5.2599,30.97,0.22305
0.0048765,30.964,0.22619
4.7089,30.957,0.22934
3.2473,30.951,0.23248
0.00046912,30.945,0.23562
0.44845,30.938,0.23876
0.4025,30.932,0.2419
0.035372,34.067,0.24504
0.003141,34.061,0.24819
8.188e-13,32.599,0.25133
0.0028436,34.049,0.25447
0.02899,34.042,0.25761
0.29861,37.178,0.26075
0.30114,37.171,0.26389
0.0002851,37.165,0.26704
1.7858,37.159,0.27018
2.3428,37.152,0.27332
0.0021945,37.146,0.27646
2.1405,37.14,0.2796
1.4906,37.134,0.28274
0.0002174,37.127,0.28588
0.20977,37.121,0.28903
0.19,37.115,0.29217
0.016846,40.25,0.29531
0.001509,40.244,0.29845
1.6113e-09,40.352,0.30159
0.0013892,40.231,0.30473
0.014278,40.225,0.30788
0.14824,43.36,0.31102
0.15066,43.354,0.31416
0.00014372,43.348,0.3173
0.90692,43.341,0.32044
1.1985,43.335,0.32358
0.0011307,43.329,0.32673
1.1105,43.323,0.32987
0.77865,43.316,0.33301
0.00011433,43.31,0.33615
0.11104,43.304,0.33929
0.10122,43.297,0.34243
0.0090318,46.433,0.34558
0.00081403,46.426,0.34872
1.0716e-09,48.026,0.35186
0.00075847,46.414,0.355
0.0078409,46.408,0.35814
0.081876,49.543,0.36128
0.083682,49.537,0.36442
8.0271e-05,49.53,0.36757
0.50929,49.524,0.37071
0.67662,49.518,0.37385
0.00064166,49.512,0.37699
0.63349,49.505,0.38013
0.44641,49.499,0.38327
6.5874e-05,49.493,0.38642
0.064292,49.486,0.38956
0.058888,49.48,0.3927
0.0052792,52.615,0.39584
0.00047802,52.609,0.39898
3.8878e-10,49.97,0.40212
0.00044943,52.597,0.40527
0.0046667,52.59,0.40841
0.048942,55.726,0.41155
0.050236,55.719,0.41469
4.839e-05,55.713,0.41783
0.30829,55.707,0.42097
0.41125,55.7,0.42412
0.00039157,55.694,0.42726
0.38811,55.688,0.4304
0.27456,55.682,0.43354
4.067e-05,55.675,0.43668
0.039843,55.669,0.43982
0.03663,55.663,0.44296
0.0032959,58.798,0.44611
0.00029951,58.792,0.44925
1.3335e-09,61.853,0.45239
0.00028359,58.779,0.45553
0.0029549,58.773,0.45867
0.031095,61.908,0.46181
0.032024,61.902,0.46496
3.095e-05,61.896,0.4681
0.19782,61.889,0.47124
0.26474,61.883,0.47438
0.00025287,61.877,0.47752
0.25142,61.871,0.48066
0.17841,61.864,0.48381
2.6508e-05,61.858,0.48695
0.026047,61.852,0.49009
0.024018,61.845,0.49323
0.0021674,64.981,0.49637
0.00019753,64.974,0.49951
1.9129e-12,64.971,0.50265
0.00018809,64.962,0.5058
0.0019653,64.956,0.50894
0.020738,68.091,0.51208
0.021415,68.085,0.51522
2.0752e-05,68.078,0.51836
0.13299,68.072,0.5215
0.17845,68.066,0.52465
0.00017089,68.059,0.52779
0.17034,68.053,0.53093
0.12118,68.047,0.53407
1.805e-05,68.041,0.53721
0.017779,68.034,0.54035
0.016434,68.028,0.5435
0.0014865,71.163,0.54664
0.0001358,71.157,0.54978
1.3902e-09,69.161,0.55292
0.00012992,71.145,0.55606
0.0013605,71.138,0.5592
0.014389,74.274,0.56235
0.014892,74.267,0.56549
1.4463e-05,74.261,0.56863
0.092891,74.255,0.57177
0.12491,74.248,0.57491
0.00011987,74.242,0.57805
0.11974,74.236,0.58119
0.085362,74.23,0.58434
1.2741e-05,74.223,0.58748
0.012576,74.217,0.59062
0.011648,74.211,0.59376
0.0010557,77.346,0.5969
9.6634e-05,77.34,0.60004
7.9131e-10,74.9,0.60319
9.2808e-05,77.327,0.60633
0.00097377,77.321,0.60947
0.010318,80.456,0.61261
0.010699,80.45,0.61575
1.041e-05,80.444,0.61889
0.066983,80.437,0.62204
0.090235,80.431,0.62518
8.6753e-05,80.425,0.62832
0.086812,80.418,0.63146
0.061997,80.412,0.6346
9.2697e-06,80.406,0.63774
0.0091655,80.4,0.64088
0.0085036,80.393,0.64403
0.00077205,83.529,0.64717
7.0788e-05,83.522,0.65031
1.159e-09,83.451,0.65345
6.8211e-05,83.51,0.65659
0.00071686,83.504,0.65973
0.0076083,86.639,0.66288
0.0079018,86.633,0.66602
7.7006e-06,86.626,0.66916
0.049627,86.62,0.6723
0.066958,86.614,0.67544
6.4473e-05,86.607,0.67858
0.064616,86.601,0.68173
0.046216,86.595,0.68487
6.9204e-06,86.589,0.68801
0.0068528,86.582,0.69115
0.0063673,86.576,0.69429
0.00057894,89.711,0.69743
5.3159e-05,89.705,0.70058
2.2845e-09,90.798,0.70372
5.137e-05,89.692,0.70686
0.00054063,89.686,0.71
0.0057459,92.821,0.71314
0.0059759,92.815,0.71628
5.8317e-06,92.809,0.71942
0.037634,92.803,0.72257
0.050845,92.796,0.72571
4.9023e-05,92.79,0.72885
0.049197,92.784,0.73199
0.035234,92.778,0.73513
5.2829e-06,92.771,0.73827
0.005238,92.765,0.74142
0.0048732,92.759,0.74456
0.00044365,95.894,0.7477
4.0788e-05,95.888,0.75084
3.7001e-12,96.478,0.75398
3.9513e-05,95.875,0.75712
0.00041636,95.869,0.76027
0.0044306,99.004,0.76341
0.0046134,98.998,0.76655
4.5076e-06,98.992,0.76969
0.029123,98.985,0.77283
0.039393,98.979,0.77597
3.8027e-05,98.973,0.77911
0.038206,98.966,0.78226
0.027394,98.96,0.7854
4.1121e-06,98.954,0.78854
0.0040818,98.948,0.79168
0.0038017,98.941,0.79482
0.00034649,102.08,0.79796
3.1891e-05,102.07,0.80111
3.9106e-10,102.81,0.80425
3.0962e-05,102.06,0.80739
0.00032661,102.05,0.81053
0.0034792,105.19,0.81367
0.0036267,105.18,0.81681
3.5472e-06,105.17,0.81996
0.022943,105.17,0.8231
0.031066,105.16,0.82624
3.0019e-05,105.16,0.82938
0.030191,105.15,0.83252
0.021669,105.14,0.83566
3.2561e-06,105.14,0.83881
0.0032353,105.13,0.84195
0.0030164,105.12,0.84509
0.00027519,108.26,0.84823
2.5353e-05,108.25,0.85137
1.0478e-09,108.79,0.85451
2.4663e-05,108.24,0.85765
0.00026041,108.23,0.8608
0.0027767,111.37,0.86394
0.0028971,111.36,0.86708
2.8363e-06,111.36,0.87022
0.018362,111.35,0.87336
0.024886,111.34,0.8765
2.407e-05,111.34,0.87965
0.02423,111.33,0.88279
0.017407,111.33,0.88593
2.618e-06,111.32,0.88907
0.0026036,111.31,0.89221
0.0024296,111.31,0.89535
0.00022185,114.44,0.8985
2.0457e-05,114.44,0.90164
3.9204e-10,113.09,0.90478
1.9935e-05,114.42,0.90792
0.00021067,114.42,0.91106
0.0022482,117.55,0.9142
0.0023478,117.55,0.91735
2.3004e-06,117.54,0.92049
0.014905,117.53,0.92363
0.020218,117.53,0.92677
1.9571e-05,117.52,0.92991
0.019718,117.51,0.93305
0.014177,117.51,0.93619
2.1339e-06,117.5,0.93934
0.0021239,117.5,0.94248
0.0019835,117.49,0.94562
0.00018127,120.62,0.94876
1.6728e-05,120.62,0.9519
1.9563e-09,119.74,0.95504
1.6327e-05,120.61,0.95819
0.00017267,120.6,0.96133
0.0018442,123.73,0.96447
0.0019273,123.73,0.96761
1.8899e-06,123.72,0.97075
0.012254,123.72,0.97389
0.016635,123.71,0.97704
1.6115e-05,123.7,0.98018
0.016248,123.7,0.98332
0.01169,123.69,0.98646
1.7609e-06,123.68,0.9896
0.001754,123.68,0.99274
0.0016393,123.67,0.99588
0.00014991,126.81,0.99903
1.3844e-05,126.8,1.0022
4.3557e-13,127.31,1.0053
1.3532e-05,126.79,1.0085
0.00014321,126.78,1.0116
0.0015306,129.92,1.0147
0.0016007,129.91,1.0179
1.5707e-06,129.9,1.021
0.010192,129.9,1.0242
0.013845,129.89,1.0273
1.3421e-05,129.89,1.0304
0.013541,129.88,1.0336
0.0097495,129.87,1.0367
1.4696e-06,129.87,1.0399
0.0014647,129.86,1.043
0.0013698,129.85,1.0462
0.00012536,132.99,1.0493
1.1584e-05,132.98,1.0524
1.5397e-09,135.34,1.0556
