abs(H),F
1.1031,0
1.103,1000
1.1028,2000
1.1023,3000
1.1017,4000
1.1009,5000
1.0999,6000
1.0987,7000
1.0974,8000
1.0958,9000
1.0941,10000
1.0923,11000
1.0903,12000
1.0881,13000
1.0858,14000
1.0833,15000
1.0806,16000
1.0778,17000
1.0749,18000
1.0719,19000
1.0687,20000
1.0654,21000
1.0619,22000
1.0584,23000
1.0548,24000
1.051,25000
1.0472,26000
1.0432,27000
1.0392,28000
1.0352,29000
1.031,30000
1.0268,31000
1.0226,32000
1.0183,33000
1.0139,34000
1.0096,35000
1.0052,36000
1.0008,37000
0.99641,38000
0.99201,39000
0.98763,40000
0.98327,41000
0.97893,42000
0.97463,43000
0.97037,44000
0.96616,45000
0.96202,46000
0.95793,47000
0.95392,48000
0.95,49000
0.94616,50000
0.94242,51000
0.93878,52000
0.93525,53000
0.93184,54000
0.92855,55000
0.92539,56000
0.92237,57000
0.91949,58000
0.91676,59000
0.91419,60000
0.91177,61000
0.90952,62000
0.90743,63000
0.90552,64000
0.90379,65000
0.90223,66000
0.90087,67000
0.89969,68000
0.89869,69000
0.8979,70000
0.89729,71000
0.89689,72000
0.89668,73000
0.89667,74000
0.89686,75000
0.89725,76000
0.89784,77000
0.89863,78000
0.89962,79000
0.90081,80000
0.90219,81000
0.90376,82000
0.90552,83000
0.90748,84000
0.90961,85000
0.91193,86000
0.91442,87000
0.91709,88000
0.91992,89000
0.92292,90000
0.92607,91000
0.92937,92000
0.93282,93000
0.93641,94000
0.94013,95000
0.94397,96000
0.94793,97000
0.952,98000
0.95617,99000
0.96044,1e+05
0.96479,1.01e+05
0.96921,1.02e+05
0.97371,1.03e+05
0.97826,1.04e+05
0.98286,1.05e+05
0.9875,1.06e+05
0.99217,1.07e+05
0.99686,1.08e+05
1.0016,1.09e+05
1.0063,1.1e+05
1.011,1.11e+05
1.0156,1.12e+05
1.0203,1.13e+05
1.0249,1.14e+05
1.0295,1.15e+05
1.034,1.16e+05
1.0384,1.17e+05
1.0428,1.18e+05
1.047,1.19e+05
1.0512,1.2e+05
1.0553,1.21e+05
1.0593,1.22e+05
1.0631,1.23e+05
1.0668,1.24e+05
1.0704,1.25e+05
1.0738,1.26e+05
1.0771,1.27e+05
1.0802,1.28e+05
1.0831,1.29e+05
1.0859,1.3e+05
1.0884,1.31e+05
1.0908,1.32e+05
1.093,1.33e+05
1.095,1.34e+05
1.0968,1.35e+05
1.0984,1.36e+05
1.0997,1.37e+05
1.1009,1.38e+05
1.1018,1.39e+05
1.1025,1.4e+05
1.103,1.41e+05
1.1032,1.42e+05
1.1033,1.43e+05
1.1031,1.44e+05
1.1026,1.45e+05
1.102,1.46e+05
1.1011,1.47e+05
1.1,1.48e+05
1.0986,1.49e+05
1.0971,1.5e+05
1.0953,1.51e+05
1.0933,1.52e+05
1.0911,1.53e+05
1.0887,1.54e+05
1.0861,1.55e+05
1.0832,1.56e+05
1.0802,1.57e+05
1.0771,1.58e+05
1.0737,1.59e+05
1.0702,1.6e+05
1.0665,1.61e+05
1.0626,1.62e+05
1.0586,1.63e+05
1.0545,1.64e+05
1.0502,1.65e+05
1.0458,1.66e+05
1.0413,1.67e+05
1.0367,1.68e+05
1.0321,1.69e+05
1.0273,1.7e+05
1.0225,1.71e+05
1.0176,1.72e+05
1.0127,1.73e+05
1.0077,1.74e+05
1.0027,1.75e+05
0.99772,1.76e+05
0.99272,1.77e+05
0.98774,1.78e+05
0.98279,1.79e+05
0.97786,1.8e+05
0.97299,1.81e+05
0.96818,1.82e+05
0.96344,1.83e+05
0.95878,1.84e+05
0.95421,1.85e+05
0.94975,1.86e+05
0.9454,1.87e+05
0.94118,1.88e+05
0.9371,1.89e+05
0.93316,1.9e+05
0.92938,1.91e+05
0.92577,1.92e+05
0.92233,1.93e+05
0.91908,1.94e+05
0.91602,1.95e+05
0.91315,1.96e+05
0.9105,1.97e+05
0.90806,1.98e+05
0.90584,1.99e+05
0.90385,2e+05
0.90209,2.01e+05
0.90058,2.02e+05
0.8993,2.03e+05
0.89827,2.04e+05
0.89748,2.05e+05
0.89695,2.06e+05
0.89668,2.07e+05
0.89666,2.08e+05
0.8969,2.09e+05
0.89739,2.1e+05
0.89814,2.11e+05
0.89915,2.12e+05
0.90041,2.13e+05
0.90192,2.14e+05
0.90368,2.15e+05
0.90569,2.16e+05
0.90794,2.17e+05
0.91043,2.18e+05
0.91314,2.19e+05
0.91608,2.2e+05
0.91925,2.21e+05
0.92262,2.22e+05
0.9262,2.23e+05
0.92997,2.24e+05
0.93393,2.25e+05
0.93807,2.26e+05
0.94237,2.27e+05
0.94684,2.28e+05
0.95145,2.29e+05
0.95619,2.3e+05
0.96107,2.31e+05
0.96605,2.32e+05
0.97113,2.33e+05
0.9763,2.34e+05
0.98154,2.35e+05
0.98685,2.36e+05
0.9922,2.37e+05
0.99758,2.38e+05
1.003,2.39e+05
1.0084,2.4e+05
1.0138,2.41e+05
1.0192,2.42e+05
1.0245,2.43e+05
1.0298,2.44e+05
1.035,2.45e+05
1.0401,2.46e+05
1.0451,2.47e+05
1.0501,2.48e+05
1.0548,2.49e+05
1.0595,2.5e+05
1.064,2.51e+05
1.0683,2.52e+05
1.0724,2.53e+05
1.0763,2.54e+05
1.0801,2.55e+05
1.0835,2.56e+05
1.0868,2.57e+05
1.0898,2.58e+05
1.0925,2.59e+05
1.095,2.6e+05
1.0972,2.61e+05
1.099,2.62e+05
1.1006,2.63e+05
1.1018,2.64e+05
1.1027,2.65e+05
1.1033,2.66e+05
1.1035,2.67e+05
1.1034,2.68e+05
1.1029,2.69e+05
1.1021,2.7e+05
1.1008,2.71e+05
1.0992,2.72e+05
1.0972,2.73e+05
1.0948,2.74e+05
1.0921,2.75e+05
1.0889,2.76e+05
1.0853,2.77e+05
1.0813,2.78e+05
1.0769,2.79e+05
1.0722,2.8e+05
1.067,2.81e+05
1.0614,2.82e+05
1.0554,2.83e+05
1.049,2.84e+05
1.0422,2.85e+05
1.0351,2.86e+05
1.0275,2.87e+05
1.0196,2.88e+05
1.0112,2.89e+05
1.0025,2.9e+05
0.99349,2.91e+05
0.98407,2.92e+05
0.97431,2.93e+05
0.9642,2.94e+05
0.95375,2.95e+05
0.94299,2.96e+05
0.9319,2.97e+05
0.92051,2.98e+05
0.90883,2.99e+05
0.89686,3e+05
0.88462,3.01e+05
0.87212,3.02e+05
0.85937,3.03e+05
0.84638,3.04e+05
0.83317,3.05e+05
0.81975,3.06e+05
0.80612,3.07e+05
0.79232,3.08e+05
