abs(H),F
1.1031,0
1.1028,1000
1.1017,2000
1.0999,3000
1.0974,4000
1.0941,5000
1.0903,6000
1.0858,7000
1.0806,8000
1.0749,9000
1.0687,10000
1.0619,11000
1.0548,12000
1.0472,13000
1.0392,14000
1.031,15000
1.0226,16000
1.0139,17000
1.0052,18000
0.99641,19000
0.98763,20000
0.97893,21000
0.97037,22000
0.96202,23000
0.95392,24000
0.94616,25000
0.93878,26000
0.93184,27000
0.92539,28000
0.91949,29000
0.91419,30000
0.90952,31000
0.90552,32000
0.90223,33000
0.89969,34000
0.8979,35000
0.89689,36000
0.89667,37000
0.89725,38000
0.89863,39000
0.90081,40000
0.90376,41000
0.90748,42000
0.91193,43000
0.91709,44000
0.92292,45000
0.92937,46000
0.93641,47000
0.94397,48000
0.952,49000
0.96044,50000
0.96921,51000
0.97826,52000
0.9875,53000
0.99686,54000
1.0063,55000
1.0156,56000
1.0249,57000
1.034,58000
1.0428,59000
1.0512,60000
1.0593,61000
1.0668,62000
1.0738,63000
1.0802,64000
1.0859,65000
1.0908,66000
1.095,67000
1.0984,68000
1.1009,69000
1.1025,70000
1.1032,71000
1.1031,72000
1.102,73000
1.1,74000
1.0971,75000
1.0933,76000
1.0887,77000
1.0832,78000
1.0771,79000
1.0702,80000
1.0626,81000
1.0545,82000
1.0458,83000
1.0367,84000
1.0273,85000
1.0176,86000
1.0077,87000
0.99772,88000
0.98774,89000
0.97786,90000
0.96818,91000
0.95878,92000
0.94975,93000
0.94118,94000
0.93316,95000
0.92577,96000
0.91908,97000
0.91315,98000
0.90806,99000
0.90385,1e+05
0.90058,1.01e+05
0.89827,1.02e+05
0.89695,1.03e+05
0.89666,1.04e+05
0.89739,1.05e+05
0.89915,1.06e+05
0.90192,1.07e+05
0.90569,1.08e+05
0.91043,1.09e+05
0.91608,1.1e+05
0.92262,1.11e+05
0.92997,1.12e+05
0.93807,1.13e+05
0.94684,1.14e+05
0.95619,1.15e+05
0.96605,1.16e+05
0.9763,1.17e+05
0.98685,1.18e+05
0.99758,1.19e+05
1.0084,1.2e+05
1.0192,1.21e+05
1.0298,1.22e+05
1.0401,1.23e+05
1.0501,1.24e+05
1.0595,1.25e+05
1.0683,1.26e+05
1.0763,1.27e+05
1.0835,1.28e+05
1.0898,1.29e+05
1.095,1.3e+05
1.099,1.31e+05
1.1018,1.32e+05
1.1033,1.33e+05
1.1034,1.34e+05
1.1021,1.35e+05
1.0992,1.36e+05
1.0948,1.37e+05
1.0889,1.38e+05
1.0813,1.39e+05
1.0722,1.4e+05
1.0614,1.41e+05
1.049,1.42e+05
1.0351,1.43e+05
1.0196,1.44e+05
1.0025,1.45e+05
0.98407,1.46e+05
0.9642,1.47e+05
0.94299,1.48e+05
0.92051,1.49e+05
0.89686,1.5e+05
0.87212,1.51e+05
0.84638,1.52e+05
0.81975,1.53e+05
0.79232,1.54e+05
0.7642,1.55e+05
0.73551,1.56e+05
0.70636,1.57e+05
0.67685,1.58e+05
0.6471,1.59e+05
0.61723,1.6e+05
0.58733,1.61e+05
0.55753,1.62e+05
0.52792,1.63e+05
0.49861,1.64e+05
0.4697,1.65e+05
0.44127,1.66e+05
0.41341,1.67e+05
0.3862,1.68e+05
0.35973,1.69e+05
0.33405,1.7e+05
0.30922,1.71e+05
0.28531,1.72e+05
0.26236,1.73e+05
0.2404,1.74e+05
0.21946,1.75e+05
0.19959,1.76e+05
0.18078,1.77e+05
0.16305,1.78e+05
0.1464,1.79e+05
0.13083,1.8e+05
0.11633,1.81e+05
0.10289,1.82e+05
0.090486,1.83e+05
0.079088,1.84e+05
0.06867,1.85e+05
0.059195,1.86e+05
0.050627,1.87e+05
0.042924,1.88e+05
0.036043,1.89e+05
0.029937,1.9e+05
0.02456,1.91e+05
0.019862,1.92e+05
0.015795,1.93e+05
0.012309,1.94e+05
0.0093546,1.95e+05
0.0068833,1.96e+05
0.0048477,1.97e+05
0.0032013,1.98e+05
0.0018996,1.99e+05
0.0008998,2e+05
0.00016144,2.01e+05
0.00035372,2.02e+05
0.00068136,2.03e+05
0.00085451,2.04e+05
0.00090348,2.05e+05
0.00085577,2.06e+05
0.0007361,2.07e+05
0.00056636,2.08e+05
0.00036571,2.09e+05
0.0001506,2.1e+05
6.5092e-05,2.11e+05
0.00026997,2.12e+05
0.00045498,2.13e+05
0.00061323,2.14e+05
0.00073986,2.15e+05
0.00083184,2.16e+05
0.00088777,2.17e+05
0.00090771,2.18e+05
0.00089298,2.19e+05
0.00084594,2.2e+05
0.00076983,2.21e+05
0.00066858,2.22e+05
0.00054659,2.23e+05
