abs(H),W
0.96774,0
0.96792,0.0031416
0.96849,0.0062832
0.96942,0.0094248
0.97072,0.012566
0.97237,0.015708
0.97436,0.01885
0.97667,0.021991
0.97927,0.025133
0.98215,0.028274
0.98529,0.031416
0.98865,0.034558
0.9922,0.037699
0.99591,0.040841
0.99976,0.043982
1.0037,0.047124
1.0077,0.050265
1.0117,0.053407
1.0158,0.056549
1.0197,0.05969
1.0236,0.062832
1.0274,0.065973
1.0311,0.069115
1.0345,0.072257
1.0377,0.075398
1.0407,0.07854
1.0434,0.081681
1.0459,0.084823
1.048,0.087965
1.0497,0.091106
1.0511,0.094248
1.0522,0.097389
1.0528,0.10053
1.0531,0.10367
1.0529,0.10681
1.0524,0.10996
1.0514,0.1131
1.0501,0.11624
1.0483,0.11938
1.0462,0.12252
1.0438,0.12566
1.041,0.12881
1.0378,0.13195
1.0344,0.13509
1.0307,0.13823
1.0268,0.14137
1.0226,0.14451
1.0183,0.14765
1.0138,0.1508
1.0092,0.15394
1.0045,0.15708
0.9998,0.16022
0.99509,0.16336
0.9904,0.1665
0.9858,0.16965
0.9813,0.17279
0.97694,0.17593
0.97277,0.17907
0.96882,0.18221
0.96511,0.18535
0.96167,0.1885
0.95855,0.19164
0.95575,0.19478
0.95331,0.19792
0.95124,0.20106
0.94956,0.2042
0.94829,0.20735
0.94743,0.21049
0.947,0.21363
0.94699,0.21677
0.94741,0.21991
0.94826,0.22305
0.94952,0.22619
0.95119,0.22934
0.95326,0.23248
0.95571,0.23562
0.95851,0.23876
0.96165,0.2419
0.96511,0.24504
0.96885,0.24819
0.97284,0.25133
0.97705,0.25447
0.98146,0.25761
0.98601,0.26075
0.99068,0.26389
0.99543,0.26704
1.0002,0.27018
1.005,0.27332
1.0097,0.27646
1.0144,0.2796
1.019,0.28274
1.0234,0.28588
1.0276,0.28903
1.0316,0.29217
1.0353,0.29531
1.0387,0.29845
1.0419,0.30159
1.0447,0.30473
1.0471,0.30788
1.0491,0.31102
1.0508,0.31416
1.052,0.3173
1.0528,0.32044
1.0532,0.32358
1.0531,0.32673
1.0526,0.32987
1.0517,0.33301
1.0503,0.33615
1.0486,0.33929
1.0464,0.34243
1.0439,0.34558
1.041,0.34872
1.0377,0.35186
1.0342,0.355
1.0303,0.35814
1.0263,0.36128
1.022,0.36442
1.0175,0.36757
1.0129,0.37071
1.0081,0.37385
1.0033,0.37699
0.99852,0.38013
0.99371,0.38327
0.98895,0.38642
0.98428,0.38956
0.97974,0.3927
0.97537,0.39584
0.9712,0.39898
0.96726,0.40212
0.9636,0.40527
0.96024,0.40841
0.9572,0.41155
0.95452,0.41469
0.95222,0.41783
0.95031,0.42097
0.94882,0.42412
0.94774,0.42726
0.94711,0.4304
0.94691,0.43354
0.94715,0.43668
0.94783,0.43982
0.94895,0.44296
0.95049,0.44611
0.95244,0.44925
0.9548,0.45239
0.95753,0.45553
0.96061,0.45867
0.96403,0.46181
0.96774,0.46496
0.97173,0.4681
0.97596,0.47124
0.98039,0.47438
0.98499,0.47752
0.98971,0.48066
0.99452,0.48381
0.99939,0.48695
1.0043,0.49009
1.0091,0.49323
1.0139,0.49637
1.0185,0.49951
1.023,0.50265
1.0273,0.5058
1.0314,0.50894
1.0352,0.51208
1.0387,0.51522
1.0419,0.51836
1.0447,0.5215
1.0472,0.52465
1.0492,0.52779
1.0509,0.53093
1.0521,0.53407
1.0528,0.53721
1.0532,0.54035
1.053,0.5435
1.0524,0.54664
1.0514,0.54978
1.0499,0.55292
1.048,0.55606
1.0456,0.5592
1.0429,0.56235
1.0398,0.56549
1.0363,0.56863
1.0325,0.57177
1.0285,0.57491
1.0242,0.57805
1.0196,0.58119
1.0149,0.58434
1.0101,0.58748
1.0051,0.59062
1.0001,0.59376
0.99512,0.5969
0.99016,0.60004
0.98527,0.60319
0.98051,0.60633
0.97591,0.60947
0.97152,0.61261
0.96738,0.61575
0.96353,0.61889
0.96001,0.62204
0.95684,0.62518
0.95406,0.62832
0.9517,0.63146
0.94978,0.6346
0.94832,0.63774
0.94734,0.64088
0.94686,0.64403
0.94687,0.64717
0.94739,0.65031
0.94841,0.65345
0.94993,0.65659
0.95194,0.65973
0.95443,0.66288
0.95737,0.66602
0.96075,0.66916
0.96453,0.6723
0.96868,0.67544
0.97317,0.67858
0.97796,0.68173
0.983,0.68487
0.98825,0.68801
0.99365,0.69115
0.99916,0.69429
1.0047,0.69743
1.0102,0.70058
1.0157,0.70372
1.021,0.70686
1.0262,0.71
1.031,0.71314
1.0356,0.71628
1.0397,0.71942
1.0434,0.72257
1.0466,0.72571
1.0492,0.72885
1.0512,0.73199
1.0525,0.73513
1.0531,0.73827
1.0528,0.74142
1.0517,0.74456
1.0497,0.7477
1.0468,0.75084
1.043,0.75398
1.0381,0.75712
1.0322,0.76027
1.0253,0.76341
1.0173,0.76655
1.0083,0.76969
0.99817,0.77283
0.98696,0.77597
0.97468,0.77911
0.96134,0.78226
0.94695,0.7854
0.93153,0.78854
0.91511,0.79168
0.89772,0.79482
0.87939,0.79796
0.86017,0.80111
0.84009,0.80425
0.81921,0.80739
0.79759,0.81053
0.77526,0.81367
0.75231,0.81681
0.72878,0.81996
0.70475,0.8231
0.68028,0.82624
0.65544,0.82938
0.6303,0.83252
0.60493,0.83566
0.5794,0.83881
0.55379,0.84195
0.52817,0.84509
0.50261,0.84823
0.47718,0.85137
0.45195,0.85451
0.42698,0.85765
0.40234,0.8608
0.3781,0.86394
0.35432,0.86708
0.33104,0.87022
0.30833,0.87336
0.28623,0.8765
0.2648,0.87965
0.24407,0.88279
0.22409,0.88593
0.20488,0.88907
0.18648,0.89221
0.16891,0.89535
0.1522,0.8985
0.13636,0.90164
0.12139,0.90478
0.10732,0.90792
0.094139,0.91106
0.08185,0.9142
0.070447,0.91735
0.05992,0.92049
0.050257,0.92363
0.041439,0.92677
0.033448,0.92991
0.026259,0.93305
0.019846,0.93619
0.014179,0.93934
0.0092257,0.94248
0.0049528,0.94562
0.001324,0.94876
0.0016984,0.9519
0.0041535,0.95504
0.0060812,0.95819
0.0075225,0.96133
0.0085186,0.96447
0.0091108,0.96761
0.0093407,0.97075
0.0092492,0.97389
0.0088766,0.97704
0.0082624,0.98018
0.007445,0.98332
0.0064615,0.98646
0.0053473,0.9896
0.0041363,0.99274
0.0028605,0.99588
0.0015498,0.99903
0.00023192,1.0022
0.0010675,1.0053
0.0023251,1.0085
0.0035203,1.0116
0.0046344,1.0147
0.0056517,1.0179
0.0065585,1.021
0.0073438,1.0242
0.0079989,1.0273
0.0085175,1.0304
0.0088955,1.0336
0.0091311,1.0367
0.0092244,1.0399
0.0091776,1.043
0.0089948,1.0462
0.0086815,1.0493
0.0082452,1.0524
0.0076943,1.0556
0.0070388,1.0587
0.0062895,1.0619
0.0054584,1.065
0.0045578,1.0681
0.0036009,1.0713
0.0026011,1.0744
0.001572,1.0776
0.00052731,1.0807
0.00051949,1.0838
0.0015551,1.087
0.0025667,1.0901
0.003542,1.0933
0.0044694,1.0964
0.005338,1.0996
0.006138,1.1027
0.0068604,1.1058
0.0074973,1.109
0.008042,1.1121
0.0084889,1.1153
0.0088337,1.1184
0.0090732,1.1215
0.0092055,1.1247
0.0092301,1.1278
0.0091476,1.131
0.0089596,1.1341
0.0086693,1.1373
0.0082806,1.1404
0.0077986,1.1435
0.0072294,1.1467
0.0065801,1.1498
0.0058583,1.153
0.0050726,1.1561
0.004232,1.1592
0.0033461,1.1624
0.002425,1.1655
0.0014789,1.1687
0.00051821,1.1718
0.0004465,1.175
0.0014048,1.1781
0.0023464,1.1812
0.0032612,1.1844
0.0041396,1.1875
0.0049723,1.1907
0.0057508,1.1938
0.006467,1.1969
0.0071136,1.2001
0.007684,1.2032
0.0081727,1.2064
0.0085748,1.2095
0.0088864,1.2127
0.0091047,1.2158
0.0092277,1.2189
0.0092545,1.2221
0.0091852,1.2252
0.0090209,1.2284
0.0087636,1.2315
0.0084162,1.2346
0.0079827,1.2378
0.0074677,1.2409
0.0068768,1.2441
0.0062162,1.2472
0.005493,1.2504
0.0047146,1.2535
0.003889,1.2566
0.0030249,1.2598
0.002131,1.2629
0.0012165,1.2661
0.00029048,1.2692
0.00063757,1.2723
0.0015584,1.2755
0.0024627,1.2786
0.0033417,1.2818
0.0041864,1.2849
0.0049887,1.2881
0.0057406,1.2912
0.0064349,1.2943
0.0070646,1.2975
0.0076238,1.3006
0.0081071,1.3038
