abs(H),W
1.0422,0
1.0422,0.0031416
1.0422,0.0062832
1.0423,0.0094248
1.0424,0.012566
1.0425,0.015708
1.0427,0.01885
1.0428,0.021991
1.043,0.025133
1.0433,0.028274
1.0435,0.031416
1.0438,0.034558
1.0441,0.037699
1.0444,0.040841
1.0447,0.043982
1.045,0.047124
1.0454,0.050265
1.0458,0.053407
1.0462,0.056549
1.0466,0.05969
1.047,0.062832
1.0474,0.065973
1.0478,0.069115
1.0482,0.072257
1.0486,0.075398
1.0491,0.07854
1.0495,0.081681
1.0499,0.084823
1.0503,0.087965
1.0507,0.091106
1.0511,0.094248
1.0514,0.097389
1.0518,0.10053
1.0521,0.10367
1.0524,0.10681
1.0527,0.10996
1.053,0.1131
1.0532,0.11624
1.0534,0.11938
1.0536,0.12252
1.0537,0.12566
1.0538,0.12881
1.0539,0.13195
1.0539,0.13509
1.0539,0.13823
1.0538,0.14137
1.0537,0.14451
1.0536,0.14765
1.0534,0.1508
1.0531,0.15394
1.0528,0.15708
1.0525,0.16022
1.0521,0.16336
1.0516,0.1665
1.0511,0.16965
1.0505,0.17279
1.0499,0.17593
1.0492,0.17907
1.0484,0.18221
1.0476,0.18535
1.0468,0.1885
1.0458,0.19164
1.0448,0.19478
1.0438,0.19792
1.0427,0.20106
1.0415,0.2042
1.0403,0.20735
1.0391,0.21049
1.0377,0.21363
1.0364,0.21677
1.0349,0.21991
1.0334,0.22305
1.0319,0.22619
1.0303,0.22934
1.0287,0.23248
1.027,0.23562
1.0253,0.23876
1.0235,0.2419
1.0217,0.24504
1.0199,0.24819
1.018,0.25133
1.0161,0.25447
1.0142,0.25761
1.0122,0.26075
1.0102,0.26389
1.0082,0.26704
1.0062,0.27018
1.0041,0.27332
1.0021,0.27646
0.99998,0.2796
0.99791,0.28274
0.99583,0.28588
0.99375,0.28903
0.99168,0.29217
0.98961,0.29531
0.98755,0.29845
0.98551,0.30159
0.98348,0.30473
0.98147,0.30788
0.97949,0.31102
0.97754,0.31416
0.97561,0.3173
0.97372,0.32044
0.97187,0.32358
0.97006,0.32673
0.96829,0.32987
0.96657,0.33301
0.96489,0.33615
0.96328,0.33929
0.96172,0.34243
0.96021,0.34558
0.95877,0.34872
0.9574,0.35186
0.95609,0.355
0.95486,0.35814
0.95369,0.36128
0.9526,0.36442
0.95159,0.36757
0.95066,0.37071
0.94981,0.37385
0.94904,0.37699
0.94836,0.38013
0.94776,0.38327
0.94726,0.38642
0.94684,0.38956
0.94651,0.3927
0.94627,0.39584
0.94612,0.39898
0.94607,0.40212
0.94611,0.40527
0.94624,0.40841
0.94647,0.41155
0.94679,0.41469
0.9472,0.41783
0.9477,0.42097
0.9483,0.42412
0.94899,0.42726
0.94976,0.4304
0.95063,0.43354
0.95158,0.43668
0.95263,0.43982
0.95375,0.44296
0.95496,0.44611
0.95625,0.44925
0.95762,0.45239
0.95907,0.45553
0.96059,0.45867
0.96218,0.46181
0.96384,0.46496
0.96557,0.4681
0.96736,0.47124
0.96921,0.47438
0.97112,0.47752
0.97308,0.48066
0.9751,0.48381
0.97715,0.48695
0.97926,0.49009
0.9814,0.49323
0.98358,0.49637
0.98578,0.49951
0.98802,0.50265
0.99028,0.5058
0.99256,0.50894
0.99485,0.51208
0.99716,0.51522
0.99947,0.51836
1.0018,0.5215
1.0041,0.52465
1.0064,0.52779
1.0087,0.53093
1.011,0.53407
1.0132,0.53721
1.0155,0.54035
1.0177,0.5435
1.0199,0.54664
1.022,0.54978
1.0241,0.55292
1.0262,0.55606
1.0282,0.5592
1.0302,0.56235
1.0321,0.56549
1.0339,0.56863
1.0357,0.57177
1.0374,0.57491
1.0391,0.57805
1.0406,0.58119
1.0421,0.58434
1.0436,0.58748
1.0449,0.59062
1.0462,0.59376
1.0473,0.5969
1.0484,0.60004
1.0494,0.60319
1.0503,0.60633
1.0511,0.60947
1.0518,0.61261
1.0524,0.61575
1.0529,0.61889
1.0534,0.62204
1.0537,0.62518
1.0539,0.62832
1.054,0.63146
1.054,0.6346
1.0539,0.63774
1.0537,0.64088
