filterSize,DSPCount
62,8
67,8
69,8
75,9
77,9
85,10
86,10
87,10
94,11
95,11
96,11
97,11
98,11
101,12
102,12
104,12
105,12
106,12
107,12
108,12
112,13
113,13
114,13
115,13
117,13
118,13
119,13
120,13
122,14
124,14
126,14
127,14
128,14
130,14
131,15
132,15
133,15
138,15
139,15
140,15
141,16
142,16
143,16
145,16
146,16
148,16
149,16
151,17
152,17
153,17
154,17
155,17
157,17
159,17
160,17
162,18
163,18
164,18
167,18
168,18
170,18
171,19
172,19
173,19
174,19
175,19
179,19
181,20
183,20
185,20
186,20
187,20
191,21
192,21
194,21
195,21
197,21
201,22
202,22
203,22
204,22
208,22
209,22
211,23
212,23
213,23
215,23
218,23
221,24
223,24
224,24
227,24
229,24
230,24
231,25
232,25
239,25
242,26
246,26
247,26
249,26
250,26
252,27
253,27
254,27
256,27
259,27
269,28
271,29
272,29
274,29
275,29
276,29
278,29
282,30
285,30
292,31
295,31
299,31
303,32
310,32
314,33
318,33
319,33
321,34
331,35
341,36
342,36
343,36
345,36
367,38
369,38
371,39
376,39
377,39
383,40
384,40
401,42
403,42
412,43
413,43
415,43
421,44
423,44
449,46
452,47
454,47
461,48
478,49
488,50
494,51
498,51
506,52
513,53
533,55
550,56
551,57
556,57
564,58
576,59
613,63
619,63
624,64
637,65
675,69
676,69
686,70
727,74
742,76
762,78
796,81
798,81
823,83
846,85
892,90
951,96
979,98
1110,111
