abs(H),angle(H),W
1.1031,0,0
1.103,-0.05969,0.0031416
1.1028,-0.11938,0.0062832
1.1023,-0.17907,0.0094248
1.1017,-0.23876,0.012566
1.1009,-0.29845,0.015708
1.0999,-0.35814,0.01885
1.0987,-0.41783,0.021991
1.0974,-0.47752,0.025133
1.0958,-0.53721,0.028274
1.0941,-0.5969,0.031416
1.0923,-0.65659,0.034558
1.0903,-0.71628,0.037699
1.0881,-0.77597,0.040841
1.0858,-0.83566,0.043982
1.0833,-0.89535,0.047124
1.0806,-0.95504,0.050265
1.0778,-1.0147,0.053407
1.0749,-1.0744,0.056549
1.0719,-1.1341,0.05969
1.0687,-1.1938,0.062832
1.0654,-1.2535,0.065973
1.0619,-1.3132,0.069115
1.0584,-1.3729,0.072257
1.0548,-1.4326,0.075398
1.051,-1.4923,0.07854
1.0472,-1.5519,0.081681
1.0432,-1.6116,0.084823
1.0392,-1.6713,0.087965
1.0352,-1.731,0.091106
1.031,-1.7907,0.094248
1.0268,-1.8504,0.097389
1.0226,-1.9101,0.10053
1.0183,-1.9698,0.10367
1.0139,-2.0295,0.10681
1.0096,-2.0892,0.10996
1.0052,-2.1488,0.1131
1.0008,-2.2085,0.11624
0.99641,-2.2682,0.11938
0.99201,-2.3279,0.12252
0.98763,-2.3876,0.12566
0.98327,-2.4473,0.12881
0.97893,-2.507,0.13195
0.97463,-2.5667,0.13509
0.97037,-2.6264,0.13823
0.96616,-2.6861,0.14137
0.96202,-2.7458,0.14451
0.95793,-2.8054,0.14765
0.95392,-2.8651,0.1508
0.95,-2.9248,0.15394
0.94616,-2.9845,0.15708
0.94242,-3.0442,0.16022
0.93878,-3.1039,0.16336
0.93525,-3.1636,0.1665
0.93184,-3.2233,0.16965
0.92855,-3.283,0.17279
0.92539,-3.3427,0.17593
0.92237,-3.4023,0.17907
0.91949,-3.462,0.18221
0.91676,-3.5217,0.18535
0.91419,-3.5814,0.1885
0.91177,-3.6411,0.19164
0.90952,-3.7008,0.19478
0.90743,-3.7605,0.19792
0.90552,-3.8202,0.20106
0.90379,-3.8799,0.2042
0.90223,-3.9396,0.20735
0.90087,-3.9992,0.21049
0.89969,-4.0589,0.21363
0.89869,-4.1186,0.21677
0.8979,-4.1783,0.21991
0.89729,-4.238,0.22305
0.89689,-4.2977,0.22619
0.89668,-4.3574,0.22934
0.89667,-4.4171,0.23248
0.89686,-4.4768,0.23562
0.89725,-4.5365,0.23876
0.89784,-4.5962,0.2419
0.89863,-4.6558,0.24504
0.89962,-4.7155,0.24819
0.90081,-4.7752,0.25133
0.90219,-4.8349,0.25447
0.90376,-4.8946,0.25761
0.90552,-4.9543,0.26075
0.90748,-5.014,0.26389
0.90961,-5.0737,0.26704
0.91193,-5.1334,0.27018
0.91442,-5.1931,0.27332
0.91709,-5.2527,0.27646
0.91992,-5.3124,0.2796
0.92292,-5.3721,0.28274
0.92607,-5.4318,0.28588
0.92937,-5.4915,0.28903
0.93282,-5.5512,0.29217
0.93641,-5.6109,0.29531
0.94013,-5.6706,0.29845
0.94397,-5.7303,0.30159
0.94793,-5.79,0.30473
0.952,-5.8496,0.30788
0.95617,-5.9093,0.31102
0.96044,-5.969,0.31416
0.96479,-6.0287,0.3173
0.96921,-6.0884,0.32044
0.97371,-6.1481,0.32358
0.97826,-6.2078,0.32673
0.98286,-6.2675,0.32987
0.9875,-6.3272,0.33301
0.99217,-6.3869,0.33615
0.99686,-6.4465,0.33929
1.0016,-6.5062,0.34243
1.0063,-6.5659,0.34558
1.011,-6.6256,0.34872
1.0156,-6.6853,0.35186
1.0203,-6.745,0.355
1.0249,-6.8047,0.35814
1.0295,-6.8644,0.36128
1.034,-6.9241,0.36442
1.0384,-6.9838,0.36757
1.0428,-7.0435,0.37071
1.047,-7.1031,0.37385
1.0512,-7.1628,0.37699
1.0553,-7.2225,0.38013
1.0593,-7.2822,0.38327
1.0631,-7.3419,0.38642
1.0668,-7.4016,0.38956
1.0704,-7.4613,0.3927
