abs(js),abs(ml),w
63.154,63.308,0
41.871,41.915,0.003068
42.758,42.762,0.0061359
43.891,43.998,0.0092039
45.478,45.597,0.012272
47.927,47.938,0.01534
50.788,50.849,0.018408
54.583,54.783,0.021476
59.761,59.766,0.024544
66.296,66.344,0.027612
74.936,74.987,0.03068
86.546,86.547,0.033748
102.39,102.44,0.036816
124.96,125.08,0.039884
158.62,158.62,0.042951
211.42,211.65,0.046019
302.91,302.67,0.049087
481.04,480.7,0.052155
908.81,908.56,0.055223
2454.8,2453.8,0.058291
22491,22478,0.061359
18504,18492,0.064427
2094.6,2092,0.067495
738.01,736.93,0.070563
366.74,366.23,0.073631
216.1,215.64,0.076699
140.78,140.67,0.079767
98.262,98.14,0.082835
71.985,71.919,0.085903
54.731,54.657,0.088971
42.943,42.782,0.092039
34.366,34.282,0.095107
28.055,28.009,0.098175
23.279,23.243,0.10124
19.622,19.507,0.10431
16.686,16.627,0.10738
14.324,14.298,0.11045
12.453,12.416,0.11351
10.873,10.861,0.11658
9.6151,9.5786,0.11965
8.5093,8.4973,0.12272
7.3405,7.3234,0.12579
6.8307,6.7917,0.12885
6.1467,6.1246,0.13192
5.5639,5.5488,0.13499
5.0754,5.0458,0.13806
4.6356,4.616,0.14113
4.2441,4.2217,0.14419
3.9178,3.8802,0.14726
3.6006,3.5901,0.15033
3.3317,3.3217,0.1534
3.0889,3.0776,0.15647
2.8701,2.8583,0.15953
2.6869,2.665,0.1626
2.501,2.5025,0.16567
2.3424,2.3301,0.16874
2.191,2.188,0.17181
2.0764,2.0619,0.17487
1.9464,1.9467,0.17794
1.8551,1.8347,0.18101
1.7651,1.7442,0.18408
1.7314,1.7033,0.18715
1.4806,1.474,0.19021
1.4524,1.4396,0.19328
1.3853,1.3772,0.19635
1.3272,1.3065,0.19942
1.2611,1.2517,0.20249
1.1972,1.1966,0.20555
1.149,1.1423,0.20862
1.1006,1.0918,0.21169
1.05,1.0437,0.21476
1.0034,0.99597,0.21783
0.96284,0.95969,0.22089
0.92438,0.92081,0.22396
0.89046,0.88517,0.22703
0.85824,0.85225,0.2301
0.82392,0.8177,0.23317
0.78949,0.78788,0.23623
0.75922,0.75459,0.2393
0.7273,0.72372,0.24237
0.70604,0.70211,0.24544
0.67328,0.67327,0.2485
0.75552,0.74785,0.25157
0.64489,0.63842,0.25464
0.62199,0.61451,0.25771
0.5951,0.59461,0.26078
0.58035,0.57642,0.26384
0.5622,0.55534,0.26691
0.54498,0.53659,0.26998
0.52535,0.52325,0.27305
0.50954,0.50548,0.27612
0.49541,0.4935,0.27918
0.48197,0.477,0.28225
0.46675,0.46079,0.28532
0.45308,0.44927,0.28839
0.44239,0.43712,0.29146
0.42811,0.4253,0.29452
0.41748,0.41396,0.29759
0.40557,0.39955,0.30066
0.39074,0.38954,0.30373
0.3817,0.3787,0.3068
0.36611,0.36516,0.30986
0.3301,0.32517,0.31293
0.38804,0.38389,0.316
0.36182,0.35567,0.31907
0.35023,0.34531,0.32214
0.34023,0.33602,0.3252
0.33216,0.32736,0.32827
0.32095,0.31955,0.33134
0.31538,0.31055,0.33441
0.30658,0.30436,0.33748
0.30054,0.29833,0.34054
0.29205,0.29002,0.34361
0.28626,0.2848,0.34668
0.281,0.27656,0.34975
0.27372,0.27148,0.35282
0.2703,0.26736,0.35588
0.26318,0.25918,0.35895
0.25761,0.25574,0.36202
0.25498,0.25119,0.36509
0.24669,0.24611,0.36816
0.24379,0.24008,0.37122
0.23944,0.23808,0.37429
0.20336,0.20647,0.37736
0.22558,0.22204,0.38043
0.22063,0.21954,0.3835
0.21815,0.21603,0.38656
0.21439,0.21314,0.38963
0.21043,0.20821,0.3927
0.20658,0.20428,0.39577
0.20554,0.20176,0.39884
0.2004,0.19778,0.4019
0.1956,0.19273,0.40497
0.19229,0.19099,0.40804
0.18996,0.18805,0.41111
0.1882,0.18481,0.41417
0.18296,0.18243,0.41724
0.17979,0.17688,0.42031
0.17732,0.17506,0.42338
0.1741,0.17176,0.42645
0.17133,0.16981,0.42951
0.17017,0.1676,0.43258
0.16832,0.16535,0.43565
0.17258,0.16988,0.43872
0.15664,0.15485,0.44179
0.15416,0.15362,0.44485
0.15596,0.15169,0.44792
0.15101,0.14876,0.45099
0.14797,0.14661,0.45406
0.14625,0.14468,0.45713
0.14493,0.14273,0.46019
0.14122,0.14314,0.46326
0.14055,0.13871,0.46633
0.14035,0.13746,0.4694
0.13715,0.13698,0.47247
0.13406,0.13279,0.47553
0.13323,0.13226,0.4786
0.13171,0.12969,0.48167
0.12819,0.1282,0.48474
0.12874,0.12689,0.48781
0.12531,0.12431,0.49087
0.1225,0.12166,0.49394
0.12375,0.12139,0.49701
0.11895,0.11892,0.50008
0.12183,0.11988,0.50315
0.11655,0.11718,0.50621
0.11462,0.11431,0.50928
0.11538,0.11308,0.51235
0.11335,0.11172,0.51542
0.112,0.11081,0.51849
0.11112,0.10804,0.52155
0.1092,0.10656,0.52462
0.10732,0.10558,0.52769
0.10491,0.10402,0.53076
0.10559,0.10352,0.53383
0.10404,0.10143,0.53689
0.1023,0.10194,0.53996
0.10027,0.099745,0.54303
0.098991,0.096587,0.5461
0.097369,0.097394,0.54917
0.096818,0.095599,0.55223
0.095023,0.094779,0.5553
0.095829,0.093933,0.55837
0.092808,0.092308,0.56144
0.09252,0.09077,0.5645
0.091225,0.090888,0.56757
0.090639,0.090316,0.57064
0.089987,0.088913,0.57371
0.088571,0.086444,0.57678
0.088496,0.087476,0.57984
0.085542,0.085954,0.58291
0.086336,0.084406,0.58598
0.084395,0.083242,0.58905
0.083761,0.081916,0.59212
0.082707,0.081428,0.59518
0.081249,0.080428,0.59825
0.081128,0.079166,0.60132
0.080022,0.080032,0.60439
0.079144,0.077359,0.60746
0.078448,0.07694,0.61052
0.076158,0.076062,0.61359
0.075832,0.075237,0.61666
0.0744,0.075176,0.61973
0.075475,0.074548,0.6228
0.073323,0.073579,0.62586
0.072087,0.071605,0.62893
0.071995,0.070562,0.632
0.071646,0.071059,0.63507
0.070568,0.069719,0.63814
0.070298,0.069981,0.6412
0.07055,0.068437,0.64427
0.068999,0.067924,0.64734
0.067972,0.068466,0.65041
0.06746,0.066289,0.65348
0.066499,0.066882,0.65654
0.066381,0.065117,0.65961
0.064723,0.064018,0.66268
0.065643,0.06481,0.66575
0.062499,0.064445,0.66882
0.064233,0.063043,0.67188
0.063691,0.062012,0.67495
0.062572,0.061998,0.67802
0.062002,0.06053,0.68109
0.061701,0.060777,0.68416
0.061122,0.060161,0.68722
0.059992,0.059869,0.69029
0.058895,0.058409,0.69336
0.058922,0.058423,0.69643
0.058713,0.05823,0.6995
0.058157,0.057661,0.70256
0.057148,0.056568,0.70563
0.057189,0.055957,0.7087
0.056043,0.056326,0.71177
0.056186,0.055731,0.71484
0.055146,0.054794,0.7179
0.055494,0.05472,0.72097
0.055205,0.053952,0.72404
0.054726,0.053072,0.72711
0.053314,0.052759,0.73017
0.052759,0.052445,0.73324
0.052545,0.052132,0.73631
0.051702,0.051955,0.73938
0.051279,0.050965,0.74245
0.050141,0.050285,0.74551
0.051628,0.051128,0.74858
0.05042,0.049638,0.75165
0.05017,0.049815,0.75472
0.049416,0.049447,0.75779
0.049308,0.04833,0.76085
0.048333,0.048496,0.76392
0.047991,0.047926,0.76699
0.047975,0.048094,0.77006
0.047189,0.046763,0.77313
0.046813,0.046293,0.77619
0.046019,0.046366,0.77926
0.046435,0.04632,0.78233
0.045613,0.044667,0.7854
0.045625,0.045424,0.78847
0.045507,0.044811,0.79153
0.045573,0.044379,0.7946
0.043624,0.043909,0.79767
0.044261,0.043156,0.80074
0.043943,0.043353,0.80381
0.043222,0.042821,0.80687
0.043377,0.04246,0.80994
0.042805,0.042973,0.81301
0.042049,0.040875,0.81608
0.042716,0.041548,0.81915
0.041844,0.04168,0.82221
0.041515,0.041624,0.82528
0.041224,0.040548,0.82835
0.04068,0.040825,0.83142
0.040343,0.040144,0.83449
0.040082,0.03982,0.83755
0.039787,0.039372,0.84062
0.039866,0.039433,0.84369
0.03872,0.038745,0.84676
0.039247,0.038746,0.84983
0.038751,0.03857,0.85289
0.03816,0.03803,0.85596
0.038084,0.037402,0.85903
0.037988,0.037761,0.8621
0.037929,0.036706,0.86517
0.037092,0.036818,0.86823
0.037099,0.036213,0.8713
0.037672,0.03641,0.87437
0.036238,0.036313,0.87744
0.036253,0.035726,0.8805
0.035171,0.036006,0.88357
0.035629,0.035833,0.88664
0.035219,0.035175,0.88971
0.035742,0.034784,0.89278
0.034738,0.03459,0.89584
0.034885,0.034994,0.89891
0.034517,0.034338,0.90198
0.034661,0.033585,0.90505
0.034044,0.033855,0.90812
0.034407,0.034392,0.91118
0.034005,0.032892,0.91425
0.033066,0.03227,0.91732
0.033395,0.032303,0.92039
0.032501,0.032545,0.92346
0.032629,0.032142,0.92652
0.031857,0.03197,0.92959
0.032667,0.031834,0.93266
0.03182,0.031927,0.93573
0.032138,0.031757,0.9388
0.032244,0.031168,0.94186
0.031616,0.031043,0.94493
0.031357,0.030744,0.948
0.03027,0.030683,0.95107
0.030707,0.03026,0.95414
0.030331,0.030701,0.9572
0.030168,0.029919,0.96027
0.029994,0.029244,0.96334
0.029718,0.029869,0.96641
0.029607,0.030368,0.96948
0.029908,0.029306,0.97254
0.029699,0.028728,0.97561
0.029492,0.028955,0.97868
0.02847,0.02844,0.98175
0.029145,0.028275,0.98482
0.028911,0.028136,0.98788
0.028764,0.029012,0.99095
0.0277,0.02773,0.99402
0.027737,0.027892,0.99709
0.027666,0.028021,1.0002
0.027545,0.02772,1.0032
0.027248,0.027677,1.0063
0.027454,0.026941,1.0094
0.027765,0.026889,1.0124
0.027292,0.026944,1.0155
0.026546,0.026422,1.0186
0.027451,0.026682,1.0216
0.026678,0.026228,1.0247
0.026256,0.025789,1.0278
0.026546,0.025679,1.0308
0.025769,0.024948,1.0339
0.026212,0.025818,1.037
0.025792,0.025813,1.04
0.02573,0.025577,1.0431
0.025421,0.024847,1.0462
0.025025,0.025405,1.0492
0.02569,0.02548,1.0523
0.025145,0.02503,1.0554
0.024885,0.02491,1.0584
0.024812,0.024386,1.0615
0.024535,0.024271,1.0646
0.024701,0.024393,1.0677
0.024497,0.023779,1.0707
0.024371,0.023655,1.0738
0.024579,0.02306,1.0769
0.024189,0.023591,1.0799
0.023338,0.023602,1.083
0.023753,0.023399,1.0861
0.023269,0.022935,1.0891
0.0232,0.023072,1.0922
0.022573,0.023314,1.0953
0.023322,0.022206,1.0983
0.022853,0.022863,1.1014
0.023395,0.023096,1.1045
0.023211,0.02227,1.1075
0.022593,0.021627,1.1106
0.022391,0.022636,1.1137
0.022378,0.022352,1.1167
0.022639,0.021232,1.1198
0.022223,0.022043,1.1229
0.022647,0.021835,1.1259
0.021842,0.021689,1.129
0.02107,0.021095,1.1321
0.021896,0.021646,1.1351
0.021295,0.020926,1.1382
0.020976,0.021108,1.1413
0.020507,0.020977,1.1443
0.020826,0.020307,1.1474
0.021148,0.02058,1.1505
0.020594,0.020371,1.1536
0.021087,0.020391,1.1566
0.021096,0.020568,1.1597
0.021114,0.020292,1.1628
0.020043,0.020188,1.1658
0.020972,0.0202,1.1689
0.020073,0.019533,1.172
0.019847,0.019623,1.175
0.020539,0.020238,1.1781
0.019992,0.02017,1.1812
0.019434,0.01996,1.1842
0.019766,0.019572,1.1873
0.019728,0.018995,1.1904
0.019968,0.019602,1.1934
0.019551,0.019599,1.1965
0.019585,0.019005,1.1996
0.019237,0.019099,1.2026
0.019029,0.019491,1.2057
0.019149,0.019367,1.2088
0.019491,0.018646,1.2118
0.018611,0.01844,1.2149
0.018497,0.018706,1.218
0.018447,0.018839,1.221
0.018826,0.017987,1.2241
0.018984,0.018681,1.2272
0.018561,0.018289,1.2303
0.018649,0.018275,1.2333
0.017742,0.018157,1.2364
0.01762,0.017873,1.2395
0.01834,0.017788,1.2425
0.017988,0.017953,1.2456
0.018113,0.017981,1.2487
0.017701,0.01759,1.2517
0.018037,0.017528,1.2548
0.01734,0.017714,1.2579
0.017412,0.01824,1.2609
0.017727,0.01714,1.264
0.017007,0.017264,1.2671
0.017279,0.017278,1.2701
0.017564,0.017256,1.2732
0.017006,0.017057,1.2763
0.01706,0.016866,1.2793
0.016919,0.0164,1.2824
0.016631,0.01614,1.2855
0.016768,0.016564,1.2885
0.016622,0.016803,1.2916
0.016963,0.016587,1.2947
0.016522,0.016108,1.2977
0.016976,0.016583,1.3008
0.016389,0.01643,1.3039
0.016092,0.016083,1.307
0.016495,0.016168,1.31
0.015827,0.016253,1.3131
0.016175,0.015866,1.3162
0.015938,0.015319,1.3192
0.016067,0.016203,1.3223
