P,f
30.787,0
30.791,0.00048804
-48.268,0.00097609
-25.624,0.0014641
-19.575,0.0019522
-23.353,0.0024402
-41.674,0.0029283
-45.656,0.0034163
-61.94,0.0039043
-46.853,0.0043924
-41.384,0.0048804
-46.034,0.0053685
-48.88,0.0058565
-46.512,0.0063446
-38.862,0.0068326
-41.458,0.0073206
-43.509,0.0078087
-40.52,0.0082967
-37.194,0.0087848
-43.857,0.0092728
-37.682,0.0097609
-35.49,0.010249
-41.138,0.010737
-46.214,0.011225
-45.907,0.011713
-41.445,0.012201
-37.381,0.012689
-42.194,0.013177
-41.01,0.013665
-36.881,0.014153
-42.249,0.014641
-45.315,0.015129
-49.644,0.015617
-45.075,0.016105
-55.466,0.016593
-54.099,0.017082
-40.021,0.01757
-37.86,0.018058
-39.751,0.018546
-45.831,0.019034
-43.396,0.019522
-50.056,0.02001
-43.593,0.020498
-46.426,0.020986
-42.912,0.021474
-37.503,0.021962
-40.325,0.02245
-45.67,0.022938
-50.359,0.023426
-44.139,0.023914
-40.978,0.024402
-39.851,0.02489
-44.397,0.025378
-41.167,0.025866
-40.944,0.026354
-47.621,0.026842
-38.92,0.02733
-36.269,0.027818
-43.156,0.028306
-39.264,0.028795
-34.987,0.029283
-44.968,0.029771
-31.656,0.030259
-32.709,0.030747
-33.561,0.031235
-30.8,0.031723
-29.458,0.032211
-26.555,0.032699
-26.108,0.033187
-23.115,0.033675
-22.489,0.034163
-18.717,0.034651
-17.469,0.035139
-14.204,0.035627
-10.679,0.036115
-7.8728,0.036603
-3.3609,0.037091
1.5722,0.037579
7.5474,0.038067
15.749,0.038555
28.315,0.039043
59.525,0.039531
64.522,0.04002
57.444,0.040508
25.659,0.040996
14.096,0.041484
6.3115,0.041972
0.34807,0.04246
-4.4741,0.042948
-8.3524,0.043436
-12.111,0.043924
-15.105,0.044412
-17.75,0.0449
-20.542,0.045388
-22.563,0.045876
-25.331,0.046364
-25.794,0.046852
-28.766,0.04734
-30.16,0.047828
-33.186,0.048316
-31.121,0.048804
-38.879,0.049292
-31.677,0.04978
-39.846,0.050268
-40.089,0.050756
-35.999,0.051245
-46.11,0.051733
-39.428,0.052221
-43.781,0.052709
-47.964,0.053197
-35.286,0.053685
-44.177,0.054173
-57.363,0.054661
-43.884,0.055149
-39.617,0.055637
-56.289,0.056125
-42.101,0.056613
-52.922,0.057101
-43.745,0.057589
-45.524,0.058077
-39.532,0.058565
-44.688,0.059053
-44.187,0.059541
-63.81,0.060029
-48.679,0.060517
-51.215,0.061005
-42.907,0.061493
-41.912,0.061981
-45.81,0.062469
-42.279,0.062958
-51.456,0.063446
-49.591,0.063934
-46.058,0.064422
-46.207,0.06491
-46.851,0.065398
-42.163,0.065886
-47.154,0.066374
-50.956,0.066862
-58.557,0.06735
-50.547,0.067838
-48.21,0.068326
-57.531,0.068814
-52.576,0.069302
-46.832,0.06979
-51.554,0.070278
-46.65,0.070766
-46.52,0.071254
-52.074,0.071742
-49.906,0.07223
-42.673,0.072718
-42.816,0.073206
-47.493,0.073694
-42.827,0.074183
-36.344,0.074671
-41.067,0.075159
-49.503,0.075647
