P,f
30.782,0
30.787,0.00048804
-33.76,0.00097609
-30.407,0.0014641
-21.824,0.0019522
-26.016,0.0024402
-34.255,0.0029283
-35.948,0.0034163
-36.525,0.0039043
-38.257,0.0043924
-36.57,0.0048804
-35.859,0.0053685
-55.449,0.0058565
-36.797,0.0063446
-38.883,0.0068326
-45.337,0.0073206
-39.765,0.0078087
-40.381,0.0082967
-53.111,0.0087848
-37.22,0.0092728
-43.487,0.0097609
-35.613,0.010249
-45.118,0.010737
-67.253,0.011225
-43.25,0.011713
-42.632,0.012201
-40.51,0.012689
-47.205,0.013177
-36.428,0.013665
-34.36,0.014153
-42.414,0.014641
-51.462,0.015129
-45.996,0.015617
-43.502,0.016105
-44.883,0.016593
-42.705,0.017082
-36.352,0.01757
-35.677,0.018058
-50.762,0.018546
-50.099,0.019034
-50.858,0.019522
-41.144,0.02001
-42.029,0.020498
-40.744,0.020986
-40.637,0.021474
-43.241,0.021962
-54.591,0.02245
-41.127,0.022938
-47.363,0.023426
-45.283,0.023914
-45.928,0.024402
-39.007,0.02489
-43.894,0.025378
-48.501,0.025866
-35.689,0.026354
-40.242,0.026842
-40.692,0.02733
-42.29,0.027818
-38.258,0.028306
-37.968,0.028795
-39.338,0.029283
-33.089,0.029771
-36.593,0.030259
-34.877,0.030747
-31.76,0.031235
-29.807,0.031723
-29.966,0.032211
-25.907,0.032699
-26.849,0.033187
-22.981,0.033675
-21.632,0.034163
-19.755,0.034651
-17.159,0.035139
-14.073,0.035627
-11.115,0.036115
-7.3294,0.036603
-3.4123,0.037091
1.4448,0.037579
7.5984,0.038067
15.747,0.038555
28.31,0.039043
59.524,0.039531
64.522,0.04002
57.442,0.040508
25.665,0.040996
14.087,0.041484
6.2831,0.041972
0.44192,0.04246
-4.515,0.042948
-8.4063,0.043436
-12.143,0.043924
-15.207,0.044412
-18.006,0.0449
-19.582,0.045388
-23.795,0.045876
-23.974,0.046364
-26.574,0.046852
-29.02,0.04734
-30.092,0.047828
-30.833,0.048316
-37.098,0.048804
-31.459,0.049292
-37.646,0.04978
-36.797,0.050268
-37.184,0.050756
-40.549,0.051245
-39.297,0.051733
-41.445,0.052221
-40.971,0.052709
-42.476,0.053197
-46.887,0.053685
-36.86,0.054173
-43.579,0.054661
-50.159,0.055149
-41.268,0.055637
-45.915,0.056125
-51.455,0.056613
-50.383,0.057101
-39.703,0.057589
-39.752,0.058077
-45.359,0.058565
-47.648,0.059053
-50.235,0.059541
-43.841,0.060029
-47.497,0.060517
-55.714,0.061005
-44.69,0.061493
-42.212,0.061981
-41.697,0.062469
-48.784,0.062958
-47.296,0.063446
-43.479,0.063934
-48.939,0.064422
-52.195,0.06491
-55.997,0.065398
-45.156,0.065886
-49.255,0.066374
-65.099,0.066862
-52.835,0.06735
-48.66,0.067838
-47.663,0.068326
-44.982,0.068814
-53.858,0.069302
-51.162,0.06979
-46.968,0.070278
-41.234,0.070766
-41.838,0.071254
-58.552,0.071742
-48.983,0.07223
-49.218,0.072718
-51.328,0.073206
-51.677,0.073694
-43.842,0.074183
-38.257,0.074671
-45.911,0.075159
-50.268,0.075647
-44.433,0.076135
-50.187,0.076623
-59.158,0.077111
-66.78,0.077599
-49.312,0.078087
-49.25,0.078575
-39.73,0.079063
-12.816,0.079551
-8.7723,0.080039
-17.083,0.080527
-41.383,0.081015
-46.243,0.081503
-45.421,0.081991
-54.617,0.082479
-45.092,0.082967
-43.889,0.083455
-46.884,0.083943
-40.712,0.084431
-37.346,0.084919
-40.306,0.085408
-43.859,0.085896
-45.433,0.086384
-44.523,0.086872
-42.468,0.08736
-44.794,0.087848
-48.142,0.088336
-51.65,0.088824
-47.864,0.089312
-45.352,0.0898
-52.249,0.090288
-62.755,0.090776
-51.951,0.091264
-47.895,0.091752
-53.727,0.09224
-45.784,0.092728
-41.025,0.093216
-41.549,0.093704
-41.505,0.094192
-45.681,0.09468
-55.466,0.095168
-55.172,0.095656
-48.029,0.096144
-49.019,0.096633
-51.549,0.097121
-43.148,0.097609
-42.441,0.098097
-59.059,0.098585
-47.138,0.099073
-44.984,0.099561
-44.868,0.10005
-47.361,0.10054
-54.018,0.10102
-62.623,0.10151
-47.754,0.102
-48.974,0.10249
-53.307,0.10298
-62.209,0.10347
-53.859,0.10395
-50.453,0.10444
-46.453,0.10493
-47.72,0.10542
-48.084,0.10591
-53.63,0.10639
-47.718,0.10688
-44.252,0.10737
-45.764,0.10786
-48.407,0.10835
-60.125,0.10883
-66.446,0.10932
-46.253,0.10981
-47.323,0.1103
-54.432,0.11079
-53.066,0.11127
-49.359,0.11176
-43.42,0.11225
-45.031,0.11274
-44.941,0.11323
-42.91,0.11371
-42.438,0.1142
-41.991,0.11469
-48.29,0.11518
-54.492,0.11567
-53.981,0.11615
-52.31,0.11664
-42.856,0.11713
-48.089,0.11762
-45.583,0.11811
-42.406,0.11859
-33.673,0.11908
-11.576,0.11957
-8.4928,0.12006
-17.867,0.12055
-40.359,0.12103
-51.518,0.12152
-44.665,0.12201
-45.91,0.1225
-65.88,0.12299
-51.255,0.12347
-51.41,0.12396
-55.676,0.12445
-52.927,0.12494
-60.591,0.12543
-51.548,0.12592
-47.203,0.1264
-48.967,0.12689
-46.366,0.12738
-51.586,0.12787
-56.375,0.12836
-59.574,0.12884
-58.497,0.12933
-47.771,0.12982
-50.813,0.13031
-55.499,0.1308
-56.58,0.13128
-54.227,0.13177
-60.907,0.13226
-48.391,0.13275
-46.515,0.13324
-50.201,0.13372
-54.059,0.13421
-50.573,0.1347
-49.812,0.13519
-47.313,0.13568
-47.437,0.13616
-51.558,0.13665
-45.817,0.13714
-50.214,0.13763
-48.175,0.13812
-49.858,0.1386
-59.537,0.13909
-55.075,0.13958
-48.107,0.14007
-55.386,0.14056
-48.305,0.14104
-46.273,0.14153
-45.964,0.14202
-42.905,0.14251
-45.023,0.143
-49.041,0.14348
-52.333,0.14397
-53.94,0.14446
-51.373,0.14495
-54.673,0.14544
-54.485,0.14592
-55.015,0.14641
-58.366,0.1469
-51.707,0.14739
-56.337,0.14788
-52.553,0.14837
-59.391,0.14885
-47.175,0.14934
-45.824,0.14983
-46.336,0.15032
-45.772,0.15081
-43.688,0.15129
-48.942,0.15178
-52.449,0.15227
-62.499,0.15276
-56.463,0.15325
-50.2,0.15373
-48.096,0.15422
-56.367,0.15471
-49.497,0.1552
-46.763,0.15569
-47.047,0.15617
-49.971,0.15666
-49.15,0.15715
-55.859,0.15764
-74.668,0.15813
-39.641,0.15861
-28.298,0.1591
-9.6515,0.15959
-7.5804,0.16008
-18.337,0.16057
-37.949,0.16105
-46.382,0.16154
-53.48,0.16203
-50.46,0.16252
-47.315,0.16301
-49.057,0.16349
-57.465,0.16398
-56.128,0.16447
-57.194,0.16496
-65.666,0.16545
-57.655,0.16593
-54.951,0.16642
-47.595,0.16691
-45.602,0.1674
-49.842,0.16789
-60.031,0.16837
-53.836,0.16886
-52.518,0.16935
-46.169,0.16984
-48.733,0.17033
-51.627,0.17082
-55.393,0.1713
-58.317,0.17179
-53.791,0.17228
-58.552,0.17277
-46.54,0.17326
-47.162,0.17374
-62.808,0.17423
-54.227,0.17472
-60.575,0.17521
-76.436,0.1757
-51.291,0.17618
-46.246,0.17667
-48.082,0.17716
-49.602,0.17765
-53.763,0.17814
-49.225,0.17862
-54.171,0.17911
-66.235,0.1796
-61.963,0.18009
-60.178,0.18058
-50.286,0.18106
-48.656,0.18155
-56.671,0.18204
-51.44,0.18253
-66.195,0.18302
-47.584,0.1835
-48.941,0.18399
-52.635,0.18448
-71.942,0.18497
-53.137,0.18546
-50.501,0.18594
-57.934,0.18643
-54.063,0.18692
-51.071,0.18741
