abs(H),w
1.0308,0
1.0308,0.0003835
1.0308,0.00076699
1.0308,0.0011505
1.0308,0.001534
1.0308,0.0019175
1.0308,0.002301
1.0308,0.0026845
1.0308,0.003068
1.0308,0.0034515
1.0308,0.003835
1.0308,0.0042184
1.0308,0.0046019
1.0307,0.0049854
1.0307,0.0053689
1.0307,0.0057524
1.0307,0.0061359
1.0307,0.0065194
1.0307,0.0069029
1.0307,0.0072864
1.0307,0.0076699
1.0306,0.0080534
1.0306,0.0084369
1.0306,0.0088204
1.0306,0.0092039
1.0306,0.0095874
1.0305,0.0099709
1.0305,0.010354
1.0305,0.010738
1.0305,0.011121
1.0304,0.011505
1.0304,0.011888
1.0304,0.012272
1.0304,0.012655
1.0303,0.013039
1.0303,0.013422
1.0303,0.013806
1.0303,0.014189
1.0302,0.014573
1.0302,0.014956
1.0302,0.01534
1.0301,0.015723
1.0301,0.016107
1.0301,0.01649
1.03,0.016874
1.03,0.017257
1.03,0.017641
1.0299,0.018024
1.0299,0.018408
1.0298,0.018791
1.0298,0.019175
1.0298,0.019558
1.0297,0.019942
1.0297,0.020325
1.0296,0.020709
1.0296,0.021092
1.0295,0.021476
1.0295,0.021859
1.0295,0.022243
1.0294,0.022626
1.0294,0.02301
1.0293,0.023393
1.0293,0.023777
1.0292,0.02416
1.0292,0.024544
1.0291,0.024927
1.0291,0.025311
1.029,0.025694
1.029,0.026078
1.0289,0.026461
1.0288,0.026845
1.0288,0.027228
1.0287,0.027612
1.0287,0.027995
1.0286,0.028379
1.0286,0.028762
1.0285,0.029146
1.0284,0.029529
1.0284,0.029913
1.0283,0.030296
1.0282,0.03068
1.0282,0.031063
1.0281,0.031447
1.0281,0.03183
1.028,0.032214
1.0279,0.032597
1.0279,0.032981
1.0278,0.033364
1.0277,0.033748
1.0276,0.034131
1.0276,0.034515
1.0275,0.034898
1.0274,0.035282
1.0274,0.035665
1.0273,0.036049
1.0272,0.036432
1.0271,0.036816
1.0271,0.037199
1.027,0.037583
1.0269,0.037966
1.0268,0.03835
1.0268,0.038733
1.0267,0.039117
1.0266,0.0395
1.0265,0.039884
1.0264,0.040267
1.0264,0.04065
1.0263,0.041034
1.0262,0.041417
1.0261,0.041801
1.026,0.042184
1.0259,0.042568
1.0259,0.042951
1.0258,0.043335
1.0257,0.043718
1.0256,0.044102
1.0255,0.044485
1.0254,0.044869
1.0253,0.045252
1.0252,0.045636
1.0251,0.046019
1.025,0.046403
1.025,0.046786
1.0249,0.04717
1.0248,0.047553
1.0247,0.047937
1.0246,0.04832
1.0245,0.048704
1.0244,0.049087
1.0243,0.049471
1.0242,0.049854
1.0241,0.050238
1.024,0.050621
1.0239,0.051005
1.0238,0.051388
1.0237,0.051772
1.0236,0.052155
1.0235,0.052539
1.0234,0.052922
1.0233,0.053306
1.0232,0.053689
1.0231,0.054073
1.023,0.054456
1.0229,0.05484
1.0228,0.055223
1.0227,0.055607
1.0225,0.05599
1.0224,0.056374
1.0223,0.056757
1.0222,0.057141
1.0221,0.057524
1.022,0.057908
1.0219,0.058291
1.0218,0.058675
1.0217,0.059058
1.0215,0.059442
1.0214,0.059825
1.0213,0.060209
1.0212,0.060592
1.0211,0.060976
1.021,0.061359
1.0209,0.061743
1.0207,0.062126
1.0206,0.06251
1.0205,0.062893
1.0204,0.063277
1.0203,0.06366
1.0201,0.064044
1.02,0.064427
1.0199,0.064811
1.0198,0.065194
1.0197,0.065578
1.0195,0.065961
1.0194,0.066345
1.0193,0.066728
1.0192,0.067112
1.0191,0.067495
1.0189,0.067879
1.0188,0.068262
1.0187,0.068646
1.0185,0.069029
1.0184,0.069413
1.0183,0.069796
1.0182,0.07018
1.018,0.070563
1.0179,0.070947
1.0178,0.07133
1.0177,0.071714
1.0175,0.072097
1.0174,0.072481
1.0173,0.072864
1.0171,0.073248
1.017,0.073631
1.0169,0.074015
1.0167,0.074398
1.0166,0.074782
1.0165,0.075165
1.0163,0.075549
1.0162,0.075932
1.0161,0.076316
1.0159,0.076699
1.0158,0.077083
1.0157,0.077466
1.0155,0.07785
1.0154,0.078233
1.0152,0.078617
1.0151,0.079
1.015,0.079384
1.0148,0.079767
1.0147,0.08015
1.0145,0.080534
1.0144,0.080917
1.0143,0.081301
1.0141,0.081684
1.014,0.082068
1.0138,0.082451
1.0137,0.082835
1.0136,0.083218
1.0134,0.083602
1.0133,0.083985
1.0131,0.084369
1.013,0.084752
1.0128,0.085136
1.0127,0.085519
1.0126,0.085903
1.0124,0.086286
1.0123,0.08667
1.0121,0.087053
1.012,0.087437
1.0118,0.08782
1.0117,0.088204
1.0115,0.088587
1.0114,0.088971
1.0112,0.089354
1.0111,0.089738
1.0109,0.090121
1.0108,0.090505
1.0107,0.090888
1.0105,0.091272
1.0104,0.091655
1.0102,0.092039
1.0101,0.092422
1.0099,0.092806
1.0098,0.093189
1.0096,0.093573
1.0095,0.093956
1.0093,0.09434
1.0092,0.094723
1.009,0.095107
1.0088,0.09549
1.0087,0.095874
1.0085,0.096257
1.0084,0.096641
1.0082,0.097024
1.0081,0.097408
1.0079,0.097791
1.0078,0.098175
1.0076,0.098558
1.0075,0.098942
1.0073,0.099325
1.0072,0.099709
1.007,0.10009
1.0069,0.10048
1.0067,0.10086
1.0065,0.10124
1.0064,0.10163
1.0062,0.10201
1.0061,0.10239
1.0059,0.10278
1.0058,0.10316
1.0056,0.10354
1.0055,0.10393
1.0053,0.10431
1.0051,0.10469
1.005,0.10508
1.0048,0.10546
1.0047,0.10584
1.0045,0.10623
1.0044,0.10661
1.0042,0.107
1.0041,0.10738
1.0039,0.10776
1.0037,0.10815
1.0036,0.10853
1.0034,0.10891
1.0033,0.1093
1.0031,0.10968
1.003,0.11006
1.0028,0.11045
1.0026,0.11083
1.0025,0.11121
1.0023,0.1116
1.0022,0.11198
1.002,0.11236
1.0018,0.11275
1.0017,0.11313
1.0015,0.11351
1.0014,0.1139
1.0012,0.11428
1.0011,0.11467
1.0009,0.11505
1.0007,0.11543
1.0006,0.11582
1.0004,0.1162
1.0003,0.11658
1.0001,0.11697
0.99994,0.11735
0.99979,0.11773
0.99963,0.11812
0.99947,0.1185
0.99931,0.11888
0.99915,0.11927
0.99899,0.11965
0.99883,0.12003
0.99868,0.12042
0.99852,0.1208
0.99836,0.12118
0.9982,0.12157
0.99804,0.12195
0.99788,0.12233
0.99773,0.12272
0.99757,0.1231
0.99741,0.12349
0.99725,0.12387
0.9971,0.12425
0.99694,0.12464
0.99678,0.12502
0.99662,0.1254
0.99646,0.12579
0.99631,0.12617
0.99615,0.12655
0.99599,0.12694
0.99584,0.12732
0.99568,0.1277
0.99552,0.12809
0.99536,0.12847
0.99521,0.12885
0.99505,0.12924
0.9949,0.12962
0.99474,0.13
0.99458,0.13039
0.99443,0.13077
0.99427,0.13116
0.99412,0.13154
0.99396,0.13192
0.9938,0.13231
0.99365,0.13269
0.99349,0.13307
0.99334,0.13346
0.99318,0.13384
0.99303,0.13422
0.99288,0.13461
0.99272,0.13499
0.99257,0.13537
0.99241,0.13576
0.99226,0.13614
0.99211,0.13652
0.99195,0.13691
0.9918,0.13729
0.99165,0.13767
0.9915,0.13806
0.99134,0.13844
0.99119,0.13883
0.99104,0.13921
0.99089,0.13959
0.99074,0.13998
0.99058,0.14036
0.99043,0.14074
0.99028,0.14113
0.99013,0.14151
0.98998,0.14189
0.98983,0.14228
0.98968,0.14266
0.98953,0.14304
0.98938,0.14343
0.98924,0.14381
0.98909,0.14419
0.98894,0.14458
0.98879,0.14496
0.98864,0.14534
0.9885,0.14573
0.98835,0.14611
0.9882,0.1465
0.98806,0.14688
0.98791,0.14726
0.98776,0.14765
0.98762,0.14803
0.98747,0.14841
0.98733,0.1488
0.98718,0.14918
0.98704,0.14956
0.9869,0.14995
0.98675,0.15033
0.98661,0.15071
0.98647,0.1511
0.98633,0.15148
0.98618,0.15186
0.98604,0.15225
0.9859,0.15263
0.98576,0.15301
0.98562,0.1534
0.98548,0.15378
0.98534,0.15417
0.9852,0.15455
0.98506,0.15493
0.98492,0.15532
0.98478,0.1557
0.98465,0.15608
0.98451,0.15647
0.98437,0.15685
0.98423,0.15723
0.9841,0.15762
0.98396,0.158
0.98383,0.15838
0.98369,0.15877
0.98356,0.15915
0.98342,0.15953
0.98329,0.15992
0.98316,0.1603
0.98302,0.16068
0.98289,0.16107
0.98276,0.16145
0.98263,0.16183
0.9825,0.16222
0.98237,0.1626
0.98224,0.16299
0.98211,0.16337
0.98198,0.16375
0.98185,0.16414
0.98172,0.16452
0.98159,0.1649
0.98147,0.16529
0.98134,0.16567
0.98121,0.16605
0.98109,0.16644
0.98096,0.16682
0.98084,0.1672
0.98071,0.16759
0.98059,0.16797
0.98047,0.16835
0.98035,0.16874
0.98022,0.16912
0.9801,0.1695
0.97998,0.16989
0.97986,0.17027
0.97974,0.17066
0.97962,0.17104
0.9795,0.17142
0.97938,0.17181
0.97927,0.17219
0.97915,0.17257
0.97903,0.17296
0.97891,0.17334
0.9788,0.17372
0.97868,0.17411
0.97857,0.17449
0.97846,0.17487
0.97834,0.17526
0.97823,0.17564
0.97812,0.17602
0.97801,0.17641
0.97789,0.17679
0.97778,0.17717
0.97767,0.17756
0.97756,0.17794
0.97746,0.17833
0.97735,0.17871
0.97724,0.17909
0.97713,0.17948
0.97703,0.17986
0.97692,0.18024
0.97682,0.18063
0.97671,0.18101
0.97661,0.18139
0.9765,0.18178
0.9764,0.18216
0.9763,0.18254
0.9762,0.18293
0.9761,0.18331
0.976,0.18369
0.9759,0.18408
0.9758,0.18446
0.9757,0.18484
0.9756,0.18523
0.97551,0.18561
0.97541,0.186
0.97531,0.18638
0.97522,0.18676
0.97512,0.18715
0.97503,0.18753
0.97494,0.18791
0.97484,0.1883
0.97475,0.18868
0.97466,0.18906
0.97457,0.18945
0.97448,0.18983
0.97439,0.19021
0.9743,0.1906
0.97422,0.19098
0.97413,0.19136
0.97404,0.19175
0.97396,0.19213
0.97387,0.19251
0.97379,0.1929
0.9737,0.19328
0.97362,0.19367
0.97354,0.19405
0.97346,0.19443
0.97338,0.19482
0.9733,0.1952
0.97322,0.19558
0.97314,0.19597
0.97306,0.19635
0.97298,0.19673
0.97291,0.19712
0.97283,0.1975
0.97275,0.19788
0.97268,0.19827
0.97261,0.19865
0.97253,0.19903
0.97246,0.19942
0.97239,0.1998
0.97232,0.20018
0.97225,0.20057
0.97218,0.20095
0.97211,0.20133
0.97204,0.20172
0.97198,0.2021
0.97191,0.20249
0.97184,0.20287
0.97178,0.20325
0.97171,0.20364
0.97165,0.20402
0.97159,0.2044
0.97153,0.20479
0.97147,0.20517
0.97141,0.20555
0.97135,0.20594
0.97129,0.20632
0.97123,0.2067
0.97117,0.20709
0.97111,0.20747
0.97106,0.20785
0.971,0.20824
0.97095,0.20862
0.9709,0.209
0.97084,0.20939
0.97079,0.20977
0.97074,0.21016
0.97069,0.21054
0.97064,0.21092
0.97059,0.21131
0.97054,0.21169
0.97049,0.21207
0.97045,0.21246
0.9704,0.21284
0.97036,0.21322
0.97031,0.21361
0.97027,0.21399
0.97023,0.21437
0.97018,0.21476
0.97014,0.21514
0.9701,0.21552
0.97006,0.21591
0.97002,0.21629
0.96999,0.21667
0.96995,0.21706
0.96991,0.21744
0.96988,0.21783
0.96984,0.21821
0.96981,0.21859
0.96977,0.21898
0.96974,0.21936
0.96971,0.21974
0.96968,0.22013
0.96965,0.22051
0.96962,0.22089
0.96959,0.22128
0.96956,0.22166
0.96954,0.22204
0.96951,0.22243
0.96949,0.22281
0.96946,0.22319
0.96944,0.22358
0.96942,0.22396
0.96939,0.22434
0.96937,0.22473
0.96935,0.22511
0.96933,0.2255
0.96931,0.22588
0.9693,0.22626
0.96928,0.22665
0.96926,0.22703
0.96925,0.22741
0.96923,0.2278
0.96922,0.22818
0.96921,0.22856
0.96919,0.22895
0.96918,0.22933
0.96917,0.22971
0.96916,0.2301
0.96915,0.23048
0.96914,0.23086
0.96914,0.23125
0.96913,0.23163
0.96912,0.23201
0.96912,0.2324
0.96912,0.23278
0.96911,0.23317
0.96911,0.23355
0.96911,0.23393
0.96911,0.23432
0.96911,0.2347
0.96911,0.23508
0.96911,0.23547
0.96911,0.23585
0.96912,0.23623
0.96912,0.23662
0.96912,0.237
0.96913,0.23738
0.96914,0.23777
0.96914,0.23815
0.96915,0.23853
0.96916,0.23892
0.96917,0.2393
0.96918,0.23968
0.96919,0.24007
0.9692,0.24045
0.96922,0.24083
0.96923,0.24122
0.96925,0.2416
0.96926,0.24199
