abs(H),w
1,0
0.99999,0.0015332
0.99998,0.0030665
0.99994,0.0045997
0.9999,0.0061329
0.99985,0.0076662
0.99978,0.0091994
0.9997,0.010733
0.99961,0.012266
0.9995,0.013799
0.99938,0.015332
0.99925,0.016866
0.99911,0.018399
0.99896,0.019932
0.99879,0.021465
0.99861,0.022998
0.99842,0.024532
0.99822,0.026065
0.998,0.027598
0.99777,0.029131
0.99753,0.030665
0.99728,0.032198
0.99702,0.033731
0.99674,0.035264
0.99645,0.036798
0.99615,0.038331
0.99583,0.039864
0.99551,0.041397
0.99517,0.04293
0.99482,0.044464
0.99446,0.045997
0.99408,0.04753
0.99369,0.049063
0.99329,0.050597
0.99288,0.05213
0.99246,0.053663
0.99202,0.055196
0.99157,0.05673
0.99111,0.058263
0.99064,0.059796
0.99016,0.061329
0.98966,0.062863
0.98915,0.064396
0.98863,0.065929
0.9881,0.067462
0.98755,0.068995
0.98699,0.070529
0.98642,0.072062
0.98584,0.073595
0.98525,0.075128
0.98464,0.076662
0.98403,0.078195
0.9834,0.079728
0.98275,0.081261
0.9821,0.082795
0.98144,0.084328
0.98076,0.085861
0.98007,0.087394
0.97937,0.088927
0.97865,0.090461
0.97793,0.091994
0.97719,0.093527
0.97644,0.09506
0.97568,0.096594
0.97491,0.098127
0.97413,0.09966
0.97333,0.10119
0.97252,0.10273
0.9717,0.10426
0.97087,0.10579
0.97003,0.10733
0.96918,0.10886
0.96831,0.11039
0.96743,0.11193
0.96654,0.11346
0.96564,0.11499
0.96473,0.11653
0.9638,0.11806
0.96287,0.11959
0.96192,0.12113
0.96096,0.12266
0.95999,0.12419
0.95901,0.12573
0.95802,0.12726
0.95701,0.12879
0.956,0.13032
0.95497,0.13186
0.95393,0.13339
0.95288,0.13492
0.95182,0.13646
0.95074,0.13799
0.94966,0.13952
0.94857,0.14106
0.94746,0.14259
0.94634,0.14412
0.94521,0.14566
0.94407,0.14719
0.94292,0.14872
0.94176,0.15026
0.94058,0.15179
0.9394,0.15332
0.9382,0.15486
0.937,0.15639
0.93578,0.15792
0.93455,0.15946
0.93331,0.16099
0.93206,0.16252
0.9308,0.16406
0.92953,0.16559
0.92825,0.16712
0.92695,0.16866
0.92565,0.17019
0.92433,0.17172
0.92301,0.17326
0.92167,0.17479
0.92032,0.17632
0.91897,0.17785
0.9176,0.17939
0.91622,0.18092
0.91483,0.18245
0.91343,0.18399
0.91202,0.18552
0.9106,0.18705
0.90917,0.18859
0.90773,0.19012
0.90627,0.19165
0.90481,0.19319
0.90334,0.19472
0.90186,0.19625
0.90036,0.19779
0.89886,0.19932
0.89735,0.20085
0.89582,0.20239
0.89429,0.20392
0.89275,0.20545
0.89119,0.20699
0.88963,0.20852
0.88806,0.21005
0.88647,0.21159
0.88488,0.21312
0.88328,0.21465
0.88166,0.21619
0.88004,0.21772
0.87841,0.21925
0.87677,0.22079
0.87511,0.22232
0.87345,0.22385
0.87178,0.22539
0.8701,0.22692
0.86841,0.22845
0.86671,0.22998
0.865,0.23152
0.86328,0.23305
0.86155,0.23458
0.85982,0.23612
0.85807,0.23765
0.85631,0.23918
0.85455,0.24072
0.85277,0.24225
0.85099,0.24378
0.8492,0.24532
0.8474,0.24685
0.84559,0.24838
0.84377,0.24992
0.84194,0.25145
0.8401,0.25298
0.83825,0.25452
0.8364,0.25605
0.83453,0.25758
0.83266,0.25912
0.83078,0.26065
0.82889,0.26218
0.82699,0.26372
0.82508,0.26525
0.82316,0.26678
0.82124,0.26832
0.8193,0.26985
0.81736,0.27138
0.81541,0.27292
0.81345,0.27445
0.81149,0.27598
0.80951,0.27752
0.80753,0.27905
0.80554,0.28058
0.80354,0.28211
0.80153,0.28365
0.79951,0.28518
0.79749,0.28671
0.79546,0.28825
0.79342,0.28978
0.79137,0.29131
0.78931,0.29285
