abs(H),w
0.00020743,0.0015332
0.0010368,0.0030665
0.0018656,0.0045997
0.0026938,0.0061329
0.0035214,0.0076662
0.0043484,0.0091994
0.0051746,0.010733
0.0060002,0.012266
0.006825,0.013799
0.0076491,0.015332
0.0084723,0.016866
0.0092948,0.018399
0.010116,0.019932
0.010937,0.021465
0.011757,0.022998
0.012576,0.024532
0.013394,0.026065
0.01421,0.027598
0.015026,0.029131
0.015841,0.030665
0.016655,0.032198
0.017467,0.033731
0.018279,0.035264
0.019089,0.036798
0.019898,0.038331
0.020706,0.039864
0.021513,0.041397
0.022318,0.04293
0.023122,0.044464
0.023925,0.045997
0.024726,0.04753
0.025526,0.049063
0.026325,0.050597
0.027122,0.05213
0.027917,0.053663
0.028712,0.055196
0.029504,0.05673
0.030295,0.058263
0.031085,0.059796
0.031872,0.061329
0.032659,0.062863
0.033443,0.064396
0.034226,0.065929
0.035007,0.067462
0.035787,0.068995
0.036564,0.070529
0.03734,0.072062
0.038114,0.073595
0.038886,0.075128
0.039656,0.076662
0.040425,0.078195
0.041191,0.079728
0.041955,0.081261
0.042718,0.082795
0.043478,0.084328
0.044237,0.085861
0.044993,0.087394
0.045747,0.088927
0.0465,0.090461
0.04725,0.091994
0.047997,0.093527
0.048743,0.09506
0.049487,0.096594
0.050228,0.098127
0.050967,0.09966
0.051703,0.10119
0.052438,0.10273
0.05317,0.10426
0.053899,0.10579
0.054627,0.10733
0.055351,0.10886
0.056074,0.11039
0.056794,0.11193
0.057511,0.11346
0.058226,0.11499
0.058938,0.11653
0.059648,0.11806
0.060355,0.11959
0.06106,0.12113
0.061762,0.12266
0.062461,0.12419
0.063158,0.12573
0.063852,0.12726
0.064543,0.12879
0.065232,0.13032
0.065917,0.13186
0.0666,0.13339
0.06728,0.13492
0.067957,0.13646
0.068632,0.13799
0.069303,0.13952
0.069972,0.14106
0.070637,0.14259
0.0713,0.14412
0.07196,0.14566
0.072617,0.14719
0.07327,0.14872
0.073921,0.15026
0.074568,0.15179
0.075213,0.15332
0.075854,0.15486
0.076493,0.15639
0.077128,0.15792
0.07776,0.15946
0.078388,0.16099
0.079014,0.16252
0.079636,0.16406
0.080255,0.16559
0.080871,0.16712
0.081483,0.16866
0.082092,0.17019
0.082698,0.17172
0.083301,0.17326
0.0839,0.17479
0.084495,0.17632
0.085088,0.17785
0.085677,0.17939
0.086262,0.18092
0.086844,0.18245
0.087422,0.18399
0.087997,0.18552
0.088569,0.18705
0.089136,0.18859
0.089701,0.19012
0.090261,0.19165
0.090818,0.19319
0.091372,0.19472
0.091922,0.19625
0.092468,0.19779
0.09301,0.19932
0.093549,0.20085
0.094084,0.20239
0.094615,0.20392
0.095143,0.20545
0.095667,0.20699
0.096187,0.20852
0.096703,0.21005
0.097215,0.21159
0.097724,0.21312
0.098229,0.21465
0.09873,0.21619
0.099227,0.21772
0.09972,0.21925
0.10021,0.22079
0.10069,0.22232
0.10118,0.22385
0.10165,0.22539
0.10213,0.22692
0.1026,0.22845
0.10306,0.22998
0.10352,0.23152
0.10398,0.23305
0.10443,0.23458
0.10488,0.23612
0.10533,0.23765
0.10577,0.23918
0.10621,0.24072
0.10664,0.24225
0.10707,0.24378
0.10749,0.24532
0.10791,0.24685
0.10833,0.24838
0.10874,0.24992
