abs(H),w
0.00076661,0.0015332
0.0015332,0.0030665
0.0022997,0.0045997
0.0030662,0.0061329
0.0038325,0.0076662
0.0045987,0.0091994
0.0053647,0.010733
0.0061306,0.012266
0.0068962,0.013799
0.0076616,0.015332
0.0084267,0.016866
0.0091915,0.018399
0.0099559,0.019932
0.01072,0.021465
0.011484,0.022998
0.012247,0.024532
0.01301,0.026065
0.013772,0.027598
0.014534,0.029131
0.015296,0.030665
0.016057,0.032198
0.016817,0.033731
0.017576,0.035264
0.018336,0.036798
0.019094,0.038331
0.019852,0.039864
0.020609,0.041397
0.021365,0.04293
0.02212,0.044464
0.022875,0.045997
0.023629,0.04753
0.024382,0.049063
0.025134,0.050597
0.025885,0.05213
0.026636,0.053663
0.027385,0.055196
0.028133,0.05673
0.028881,0.058263
0.029627,0.059796
0.030372,0.061329
0.031116,0.062863
0.03186,0.064396
0.032601,0.065929
0.033342,0.067462
0.034082,0.068995
0.03482,0.070529
0.035557,0.072062
0.036293,0.073595
0.037027,0.075128
0.037761,0.076662
0.038492,0.078195
0.039223,0.079728
0.039952,0.081261
0.04068,0.082795
0.041406,0.084328
0.04213,0.085861
0.042853,0.087394
0.043575,0.088927
0.044295,0.090461
0.045014,0.091994
0.04573,0.093527
0.046446,0.09506
0.047159,0.096594
0.047871,0.098127
0.048581,0.09966
0.049289,0.10119
0.049996,0.10273
0.050701,0.10426
0.051404,0.10579
0.052105,0.10733
0.052804,0.10886
0.053502,0.11039
0.054197,0.11193
0.05489,0.11346
0.055582,0.11499
0.056271,0.11653
0.056959,0.11806
0.057644,0.11959
0.058328,0.12113
0.059009,0.12266
0.059688,0.12419
0.060365,0.12573
0.06104,0.12726
0.061713,0.12879
0.062383,0.13032
0.063051,0.13186
0.063717,0.13339
0.064381,0.13492
0.065042,0.13646
0.065701,0.13799
0.066358,0.13952
0.067012,0.14106
0.067664,0.14259
0.068313,0.14412
0.06896,0.14566
0.069605,0.14719
0.070247,0.14872
0.070886,0.15026
0.071523,0.15179
0.072157,0.15332
0.072789,0.15486
0.073418,0.15639
0.074045,0.15792
0.074668,0.15946
0.075289,0.16099
0.075908,0.16252
0.076523,0.16406
0.077136,0.16559
0.077746,0.16712
0.078354,0.16866
0.078958,0.17019
0.07956,0.17172
0.080159,0.17326
0.080754,0.17479
0.081347,0.17632
0.081937,0.17785
0.082525,0.17939
0.083109,0.18092
0.08369,0.18245
0.084268,0.18399
0.084843,0.18552
0.085415,0.18705
0.085984,0.18859
0.08655,0.19012
0.087112,0.19165
0.087672,0.19319
0.088228,0.19472
0.088782,0.19625
0.089332,0.19779
0.089878,0.19932
0.090422,0.20085
0.090962,0.20239
0.091499,0.20392
0.092033,0.20545
0.092563,0.20699
0.09309,0.20852
0.093614,0.21005
0.094134,0.21159
0.094651,0.21312
0.095164,0.21465
0.095674,0.21619
0.096181,0.21772
0.096684,0.21925
0.097184,0.22079
0.09768,0.22232
0.098172,0.22385
0.098661,0.22539
0.099147,0.22692
0.099629,0.22845
0.10011,0.22998
0.10058,0.23152
0.10105,0.23305
0.10152,0.23458
0.10198,0.23612
0.10244,0.23765
0.1029,0.23918
0.10335,0.24072
0.1038,0.24225
0.10425,0.24378
0.10469,0.24532
0.10512,0.24685
0.10556,0.24838
0.10599,0.24992
