f,s100,s410,s700
0,-54.24,-54.053,-53.987
1,-90.101,-101.2,-115.78
2,-90.046,-101.8,-118.25
3,-90.136,-101.81,-130.22
4,-90.132,-101.57,-128.98
5,-90.238,-100.85,-127.8
6,-90.118,-101.44,-120.35
7,-89.908,-101.89,-125.67
8,-90.185,-101.06,-130.8
9,-90.142,-101.18,-128.44
10,-90.099,-101.07,-136.5
11,-90.122,-101.37,-134.04
12,-90.077,-101.6,-129.92
13,-90.091,-100.91,-127.63
14,-90.032,-101.32,-132.1
15,-90.023,-101.51,-121.76
16,-90.066,-101.44,-124.61
17,-90.047,-101.16,-134.33
18,-90.104,-101.37,-125.99
19,-90.192,-101.34,-135.15
20,-90.203,-101.33,-140.63
21,-90.066,-101.2,-137.45
22,-90.053,-101.59,-137
23,-90.04,-101.52,-134.34
24,-89.998,-101.56,-136.06
25,-90.042,-101.38,-131.33
26,-89.982,-101.34,-130.75
27,-89.986,-101.25,-128.37
28,-90.153,-101,-128.5
29,-90.029,-101.42,-129.04
30,-90.068,-101.44,-135.92
31,-90.041,-101.13,-137.2
32,-90.04,-101.31,-128.65
33,-90.071,-101.4,-132.99
34,-90.141,-101.56,-136.81
35,-90.095,-101.14,-129.85
36,-90.019,-101.5,-133.6
37,-90.043,-101.38,-153.11
38,-90.058,-101.41,-141.01
39,-90.088,-101.28,-134.43
40,-90.057,-101.24,-135.33
41,-90.114,-101.51,-134.99
42,-90.066,-101.56,-134.24
43,-90.092,-101.5,-137.66
44,-90.053,-101.59,-141.13
45,-90.096,-101.3,-134.12
46,-90.022,-101.37,-130.42
47,-90.125,-101.17,-143.55
48,-90.081,-101.34,-130.1
49,-90.053,-101.44,-130.92
50,-90.054,-101.23,-131.62
51,-90.051,-101.06,-128.1
52,-90.041,-101.35,-127.99
53,-90.047,-101.33,-157.08
54,-90.059,-101.32,-138.91
55,-90.03,-101.33,-134.85
56,-90.015,-101.51,-134.79
57,-90.117,-101.26,-155.98
58,-90.065,-101.44,-128.24
59,-90.125,-101.35,-142.85
60,-90.067,-101.35,-140.46
61,-90.021,-101.47,-129.88
62,-90.049,-101.24,-138.26
63,-90.007,-101.39,-131.39
64,-90.02,-100.99,-133.27
65,-90.038,-101.06,-137.38
66,-90.067,-101.58,-132.99
67,-90.116,-101.23,-141.33
68,-89.923,-101.43,-129.76
69,-90.096,-101.3,-142.16
70,-90.117,-101.32,-136.19
71,-90.081,-101.43,-143.16
72,-90.026,-101.41,-135.61
73,-89.968,-101.43,-143.18
74,-90.08,-101.57,-134.81
75,-90.071,-101.35,-140.18
76,-89.993,-101.38,-132.6
77,-90.016,-101.31,-136.3
78,-90.057,-101.13,-138.3
79,-90.033,-101.22,-128.51
80,-90.072,-101.35,-130.42
81,-90.071,-101.3,-137.88
82,-90.054,-101.54,-168.2
83,-90.03,-101.53,-138.35
84,-90.075,-101.25,-132.17
85,-90.018,-101.42,-147.44
86,-90.054,-100.9,-136.76
87,-90.039,-101.23,-131.38
88,-89.987,-101.26,-131.3
89,-89.94,-101.35,-146.25
90,-89.994,-101.57,-138
91,-90.046,-101.21,-134.05
92,-89.973,-101.3,-138.37
93,-90.067,-101.2,-131.1
94,-90.09,-101.2,-139.38
95,-89.997,-101.33,-137.62
96,-89.91,-101.27,-139.6
97,-89.931,-101.16,-132.6
98,-90.029,-101.32,-127.99
99,-89.988,-101.1,-135.76
100,-89.955,-101.18,-129.81
101,-90.045,-101.44,-143.56
102,-90.048,-101.49,-148.7
103,-89.99,-101.19,-131.64
104,-90.041,-101.69,-134.01
105,-89.896,-101.61,-130.38
106,-90.101,-101.21,-132.38
107,-89.991,-101.19,-132.31
108,-89.859,-101.54,-137.36
109,-89.973,-101.37,-141.82
110,-90.021,-101.41,-135.78
111,-89.974,-101.62,-130.09
112,-89.886,-101.37,-152.85
113,-89.954,-101.35,-139.01
114,-90.011,-101.32,-129.02
115,-89.94,-101.47,-131.39
116,-89.917,-101.21,-140.97
117,-90.009,-101.4,-133.74
118,-89.971,-101.39,-135.46
119,-89.999,-101.45,-135.34
120,-90.037,-101.16,-141.52
121,-89.966,-101.24,-128.87
122,-89.888,-101.13,-132.92
123,-89.917,-101.45,-131.2
124,-89.894,-101.13,-133.62
125,-90.003,-101.46,-133.23
126,-90.008,-101.44,-131.38
127,-89.875,-101.63,-129.87
128,-89.954,-101.17,-137.81
129,-89.857,-101.22,-127.8
130,-89.908,-101.26,-137.81
131,-89.905,-101.46,-136.55
132,-90.005,-101.34,-129.81
133,-89.914,-101.24,-136.48
134,-89.844,-101.25,-146.85
135,-89.98,-101.26,-132.18
136,-89.927,-101.51,-129.48
137,-89.823,-101.68,-136.57
138,-89.972,-101.53,-139.51
139,-89.961,-101.11,-132.66
140,-89.908,-101.37,-136.66
141,-89.875,-101.57,-143.24
142,-90.002,-101.26,-129.33
143,-89.944,-101.33,-146
144,-89.871,-101.2,-134.55
145,-89.918,-101.33,-140.65
