f,xrms,xmean,xsnr
1,0.43969,-0.00097761,66.665
10,0.44272,-0.014095,65.817
100,0.42906,-0.012541,52.04
1000,0.010729,-0.010726,-2.259
1001,0.010837,-0.010834,-2.7038
1002,0.010759,-0.010756,-3.4071
1003,0.010759,-0.010756,-2.8975
1004,0.010774,-0.010771,-3.624
1005,0.010712,-0.010709,-1.7762
1006,0.010732,-0.010729,-2.3563
1007,0.010794,-0.010791,-2.3087
1008,0.010753,-0.01075,-2.9456
1009,0.010726,-0.010724,-4.6804
101,0.42884,-0.012789,53.081
1010,0.010804,-0.010801,-2.4697
1011,0.010762,-0.01076,-4.2441
1012,0.010817,-0.010815,-4.6033
1013,0.010774,-0.010771,-3.3253
1014,0.010792,-0.010789,-3.8611
1015,0.01069,-0.010687,-2.7604
1016,0.01072,-0.010717,-3.8614
1017,0.010781,-0.010778,-1.8732
1018,0.010759,-0.010756,-2.6452
1019,0.010763,-0.01076,-1.7237
102,0.42887,-0.012715,53.778
1020,0.010774,-0.01077,-2.2887
1021,0.010717,-0.010714,-3.5473
1022,0.010768,-0.010765,-2.8412
1023,0.010771,-0.010768,-3.8757
1024,0.010733,-0.010731,-3.9595
1025,0.010785,-0.010782,-2.7726
1026,0.010738,-0.010735,-2.0941
1027,0.010797,-0.010794,-3.481
1028,0.010741,-0.010738,-3.0699
1029,0.010731,-0.010728,-1.3433
103,0.42893,-0.012538,54.827
1030,0.010725,-0.010723,-2.9357
1031,0.010766,-0.010764,-2.7173
1032,0.010769,-0.010766,-3.9403
1033,0.010738,-0.010735,-2.6219
1034,0.01079,-0.010787,-3.4175
1035,0.010792,-0.010788,-2.2638
1036,0.010786,-0.010783,-2.5811
1037,0.010796,-0.010793,-3.695
1038,0.010762,-0.01076,-3.1291
1039,0.010786,-0.010783,-2.5556
104,0.42912,-0.012745,56.243
1040,0.010702,-0.010699,-2.573
1041,0.010766,-0.010763,-2.1867
1042,0.010772,-0.010769,-3.9627
1043,0.010731,-0.010728,-2.9492
1044,0.010774,-0.010771,-3.0179
1045,0.010832,-0.010829,-2.2921
1046,0.010758,-0.010755,-2.579
1047,0.010755,-0.010752,-3.8376
1048,0.010791,-0.010789,-2.7656
1049,0.010815,-0.010813,-3.3326
105,0.42929,-0.012555,57.967
1050,0.010784,-0.010782,-2.0545
1051,0.010804,-0.010801,-2.1734
1052,0.01079,-0.010787,-2.372
1053,0.010802,-0.010799,-3.6151
1054,0.010805,-0.010802,-3.2056
1055,0.010806,-0.010803,-3.9182
1056,0.010788,-0.010784,-2.5307
1057,0.010761,-0.010758,-1.8845
1058,0.010796,-0.010793,-2.9599
1059,0.010775,-0.010772,-2.1741
106,0.42975,-0.012729,59.863
1060,0.010752,-0.010749,-4.4668
1061,0.010735,-0.010732,-4.2218
1062,0.010749,-0.010746,-3.337
1063,0.010804,-0.010801,-1.7963
